Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Mario Lemieux,22,PIT,C,77,70,98,168,23,92,38,22,10,7,36,58,4,382,18.3,,,"ASG,ASnhl-1,Hart-1,Ross-1,Pearson-1"
Wayne Gretzky,27,EDM,C,64,40,109,149,39,24,26,9,5,3,65,40,4,211,19.0,,,"ASG,ASnhl-2,Byng-2,Hart-3"
Denis Savard,26,CHI,C,80,44,87,131,4,95,23,14,7,6,33,48,6,270,16.3,,,"ASG,ASnhl-3,ASnhl-8,Byng-21,Hart-5"
Dale Hawerchuk,24,WIN,C,80,44,77,121,-9,59,21,20,3,4,36,39,2,292,15.1,,,"ASG,ASnhl-6,ASnhl-13,Hart-7"
Mark Messier,27,EDM,C,77,37,74,111,21,103,22,12,3,7,48,21,5,182,20.3,,,"ASG,ASnhl-8,Selke-15"
Luc Robitaille,21,LAK,LW,80,53,58,111,-9,82,36,17,0,6,33,25,0,220,24.1,,,"ASG,ASnhl-1"
Peter Šťastný,31,QUE,C,76,46,65,111,2,69,26,20,0,2,26,37,2,199,23.1,,,"ASG,ASnhl-5"
Jimmy Carson,19,LAK,C,80,55,52,107,-19,45,33,22,0,7,26,26,0,264,20.8,,,"ASnhl-6,ASnhl-9,Byng-5"
Michel Goulet,27,QUE,LW,80,48,58,106,-31,56,18,29,1,4,33,25,0,284,16.9,,,"ASG,ASnhl-2"
Håkan Loob,27,CGY,RW,80,50,56,106,41,47,33,9,8,4,25,26,5,198,25.3,,,"ASnhl-1,Byng-6"
Mike Bullard,26,CGY,C,79,48,55,103,25,68,27,21,0,3,29,26,0,230,20.9,,,ASnhl-13
Steve Yzerman,22,DET,C,64,50,52,102,30,44,34,10,6,6,27,24,1,242,20.7,,,"ASG,ASnhl-4,Byng-7,Hart-4,Selke-18"
Jari Kurri,27,EDM,RW,80,43,53,96,25,30,30,10,3,5,31,19,3,207,20.8,,,"ASG,ASnhl-6,Byng-9"
Kirk Muller,21,NJD,C,80,37,57,94,19,114,18,17,2,1,37,20,0,215,17.2,,,"ASG,Hart-8,Selke-10"
Bobby Smith,29,MTL,C,78,27,66,93,13,78,19,8,0,4,41,25,0,198,13.6,,,
Pat LaFontaine,22,NYI,C,75,47,45,92,12,52,32,15,0,7,29,16,0,242,19.4,,,"ASG,Byng-15"
Joe Nieuwendyk,21,CGY,C,75,51,41,92,20,23,17,31,3,8,25,14,2,212,24.1,,,"ASG,AR-1,Byng-3,Calder-1"
Gary Suter,23,CGY,D,75,21,70,91,39,124,14,6,1,3,31,37,2,204,10.3,,,"ASG,ASnhl-3,Hart-8,Norris-3"
Craig Simpson,20,2TM,RW,80,56,34,90,20,77,34,22,0,8,22,12,0,177,31.6,,,"ASnhl-3,ASnhl-4"
Craig Simpson,20,PIT,RW,21,13,13,26,5,34,9,4,0,3,9,4,0,59,22.0,,,
Craig Simpson,20,EDM,RW,59,43,21,64,15,43,25,18,0,5,13,8,0,118,36.4,,,
Bernie Federko,31,STL,C,79,20,69,89,-12,52,11,9,0,2,35,34,0,119,16.8,,,Byng-9
Steve Larmer,26,CHI,LW,80,41,48,89,-5,42,13,21,7,0,25,19,4,245,16.7,,,"ASnhl-6,ASnhl-10,Byng-21"
Glenn Anderson,27,EDM,LW,80,38,50,88,5,58,21,16,1,3,35,15,0,255,14.9,,,"ASG,ASnhl-11"
Walt Poddubny,27,NYR,C,77,38,50,88,2,76,25,13,0,4,23,27,0,202,18.8,,,
Dino Ciccarelli,27,MNS,RW,67,41,45,86,-29,79,27,13,1,2,23,21,1,262,15.6,,,
Doug Gilmour,24,STL,C,72,36,50,86,-13,59,15,19,2,4,24,25,1,163,22.1,,,
Joe Mullen,30,CGY,RW,80,40,44,84,28,30,28,12,0,5,31,13,0,205,19.5,,,"ASnhl-11,Byng-4"
Aaron Broten,27,NJD,LW,80,26,57,83,20,80,17,7,2,4,32,24,1,180,14.4,,,ASnhl-12
Al MacInnis,24,CGY,D,80,25,58,83,13,114,16,7,2,2,18,39,1,245,10.2,,,"ASG,ASnhl-11"
Mats Näslund,28,MTL,LW,78,24,59,83,17,14,20,4,0,2,36,23,0,167,14.4,,,"ASG,ASnhl-3,Byng-1"
Bryan Trottier,31,NYI,C,77,30,52,82,10,48,15,15,0,3,32,17,3,176,17.0,,,Selke-8
Brian Bellows,23,MNS,LW,77,40,41,81,-8,81,18,21,1,4,24,16,1,283,14.1,,,"ASG,ASnhl-11"
Ray Bourque,27,BOS,D,78,17,64,81,34,72,9,7,1,5,37,27,0,344,4.9,,,"ASG,ASnhl-1,Hart-8,Norris-1"
Mike Gartner,28,WSH,RW,80,48,33,81,20,73,29,19,0,7,18,13,2,316,15.2,,,"ASG,ASnhl-4,Selke-31"
Paul MacLean,29,WIN,RW,77,40,39,79,-17,76,18,22,0,2,18,21,0,176,22.7,,,
Dan Quinn,22,PIT,C,70,40,39,79,-8,50,18,21,1,4,20,18,1,235,17.0,,,
Dave Andreychuk,24,BUF,LW,80,30,48,78,1,112,15,15,0,5,34,14,0,253,11.9,,,ASnhl-13
Kelly Kisio,28,NYR,C,77,23,55,78,8,88,13,9,1,1,39,16,0,145,15.9,,,Selke-24
Tony McKegney,29,STL,LW,80,40,38,78,10,82,24,13,3,1,26,11,1,241,16.6,,,ASnhl-6
Bernie Nicholls,26,LAK,C,65,32,46,78,2,114,17,8,7,1,24,22,0,236,13.6,,,
Stéphane Richer,21,MTL,RW,72,50,28,78,12,72,34,16,0,11,15,13,0,263,19.0,,,ASnhl-5
