Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Wayne Gretzky,30,LAK,C,78,41,122,163,30,16,33,8,0,5,70,51,1,212,19.3,,,"ASG,ASnhl-1,Byng-1,Hart-2,Ross-1"
Brett Hull,26,STL,RW,78,86,45,131,23,22,57,29,0,11,29,16,0,389,22.1,,,"ASnhl-1,Byng-2,Hart-1,Pearson-1"
Adam Oates,28,STL,C,61,25,90,115,15,29,21,3,1,3,52,38,0,139,18.0,,,"ASG,ASnhl-2,Byng-5"
Mark Recchi,22,PIT,RW,78,40,73,113,0,48,28,12,0,9,44,28,1,184,21.7,,,"ASG,ASnhl-5,Hart-9"
John Cullen,26,2TM,C,78,39,71,110,-6,101,25,14,0,3,42,29,0,205,19.0,,,"ASG,ASnhl-7,Byng-13"
John Cullen,26,PIT,C,65,31,63,94,0,83,21,10,0,2,38,25,0,171,18.1,,,
John Cullen,26,HAR,C,13,8,8,16,-6,18,4,4,0,1,4,4,0,34,23.5,,,
Joe Sakic,21,QUE,C,80,48,61,109,-26,24,33,12,3,7,38,22,1,245,19.6,,,"ASG,ASnhl-3,Byng-3,Hart-7"
Steve Yzerman,25,DET,C,80,51,57,108,-2,34,33,12,6,4,35,21,1,326,15.6,,,"ASG,ASnhl-4,Byng-7"
Theo Fleury,22,CGY,RW,79,51,53,104,48,136,35,9,7,9,30,23,0,249,20.5,,,"ASG,ASnhl-3,ASnhl-6,Hart-5,Selke-5"
Al MacInnis,27,CGY,D,78,28,75,103,42,90,11,17,0,1,26,46,3,305,9.2,,,"ASG,ASnhl-2,Hart-8,Norris-2"
Steve Larmer,29,CHI,RW,80,44,57,101,37,79,25,17,2,9,25,26,6,231,19.0,,,"ASG,ASnhl-4,Hart-5,Selke-3"
Ray Bourque,30,BOS,D,76,21,73,94,33,75,14,7,0,3,35,38,0,323,6.5,,,"ASG,ASnhl-1,Hart-4,Norris-1"
Jeremy Roenick,21,CHI,C,79,41,53,94,38,80,22,15,4,10,29,23,1,194,21.1,,,"ASG,ASnhl-5,Selke-21"
Paul Coffey,29,PIT,D,76,24,69,93,-18,128,16,8,0,3,35,34,0,240,10.0,,,"ASG,ASnhl-5,Norris-5"
Craig Janney,23,BOS,C,77,26,66,92,15,8,16,9,1,5,41,25,0,133,19.5,,,"ASnhl-7,Byng-4"
Cam Neely,25,BOS,RW,69,51,40,91,26,98,32,18,1,8,29,10,1,262,19.5,,,"ASG,ASnhl-2,Selke-19"
Luc Robitaille,24,LAK,LW,76,45,46,91,28,68,34,11,0,5,34,12,0,229,19.7,,,"ASG,ASnhl-1"
Dale Hawerchuk,27,BUF,C,80,31,58,89,2,32,19,12,0,1,36,22,0,194,16.0,,,
