Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Jaromír Jágr,28,PIT,RW,81,52,69,121,19,42,37,14,1,10,41,27,1,317,16.4,1888:02,23:19,"ASnhl-1,Hart-3,Ross-1"
Joe Sakic,31,COL,C,82,54,64,118,45,30,32,19,3,12,34,27,3,332,16.3,1887:28,23:01,"ASG,ASnhl-1,Byng-1,Hart-1,Selke-2,Pearson-1"
Patrik Eliáš,24,NJD,LW,82,40,56,96,45,51,29,8,3,6,35,21,0,220,18.2,1535:28,18:44,"ASnhl-1,Byng-25,Hart-6,Selke-8"
Jason Allison,25,BOS,C,82,36,59,95,-8,85,22,11,3,6,25,33,1,185,19.5,1885:17,22:59,"ASG,ASnhl-5,Hart-21"
Alex Kovalev,27,PIT,RW,79,44,51,95,12,96,30,12,2,9,25,25,1,307,14.3,1847:32,23:23,"ASG,ASnhl-3,Hart-16"
Martin Straka,28,PIT,LW,82,27,68,95,19,38,19,7,1,4,34,33,1,185,14.6,1887:49,23:01,"ASnhl-5,ASnhl-8,Byng-15"
Pavel Bure,29,FLA,RW,82,59,33,92,-2,58,35,19,5,8,24,9,0,384,15.4,1905:48,23:14,"ASG,ASnhl-2,ASnhl-9,Hart-9,Richard-1"
Doug Weight,30,EDM,C,82,25,65,90,12,91,17,8,0,3,33,32,0,188,13.3,1798:57,21:56,"ASG,ASnhl-3,Hart-6,Selke-32"
Peter Forsberg,27,COL,C,73,27,62,89,23,54,13,12,2,5,34,24,4,178,15.2,1517:51,20:48,"ASG,ASnhl-6,Byng-32,Selke-11"
Žigmund Pálffy,28,LAK,RW,73,38,51,89,22,20,22,12,4,8,23,28,0,217,17.5,1443:09,19:46,"ASG,ASnhl-4,ASnhl-12,Byng-5,Selke-18"
Luc Robitaille,34,LAK,LW,82,37,51,88,10,66,20,16,1,4,22,29,0,235,15.7,1533:54,18:42,"ASG,ASnhl-2,Byng-32"
Alexei Yashin,27,OTT,C,82,40,48,88,10,30,25,13,2,10,31,17,0,263,15.2,1672:19,20:24,"ASnhl-7,Byng-12,Hart-14"
Bill Guerin,30,2TM,RW,85,40,45,85,7,140,28,11,1,5,28,17,0,289,13.8,1854:55,21:49,"ASG,ASnhl-5,ASnhl-12,Selke-41"
Bill Guerin,30,EDM,RW,21,12,10,22,11,18,8,4,0,1,8,2,0,64,18.8,416:06,19:49,
Bill Guerin,30,BOS,RW,64,28,35,63,-4,122,20,7,1,4,20,15,0,225,12.4,1438:49,22:29,
Mike Modano,30,DAL,C,81,33,51,84,26,52,22,8,3,7,34,17,0,208,15.9,1814:36,22:24,"ASnhl-4,Byng-18,Hart-12,Selke-3"
Alexander Mogilny,31,NJD,RW,75,43,40,83,10,43,31,12,0,7,23,17,0,240,17.9,1266:10,16:53,"ASnhl-10,ASnhl-12,Byng-25,Selke-34"
Adam Oates,38,WSH,C,81,13,69,82,-9,28,8,5,0,4,30,37,2,72,18.1,1700:52,20:60,"ASnhl-11,Byng-3,Selke-32"
Pierre Turgeon,31,STL,C,79,30,52,82,14,37,19,11,0,6,32,20,0,171,17.5,1487:31,18:50,Byng-12
Peter Bondra,32,WSH,LW,82,45,36,81,8,60,19,22,4,8,24,11,1,305,14.8,1705:19,20:48,"ASnhl-6,ASnhl-9,Hart-19"
Petr Sýkora,24,NJD,RW,73,35,46,81,36,32,24,9,2,3,30,15,1,249,14.1,1294:49,17:44,"ASnhl-11,ASnhl-12,Byng-42,Selke-14"
