Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Mario Lemieux,23,PIT,C,76,85,114,199,41,100,41,31,13,8,61,48,5,313,27.2,,,"ASG,ASnhl-1,Hart-2,Ross-1"
Wayne Gretzky,28,LAK,C,78,54,114,168,15,26,38,11,5,5,62,42,10,303,17.8,,,"ASG,ASnhl-2,Byng-2,Hart-1"
Steve Yzerman,23,DET,C,80,65,90,155,17,61,45,17,3,7,56,29,5,388,16.8,,,"ASG,ASnhl-3,Byng-8,Hart-3,Selke-11,Pearson-1"
Bernie Nicholls,27,LAK,C,79,70,80,150,30,96,41,21,8,6,46,28,6,385,18.2,,,"ASG,ASnhl-4,ASnhl-8,Byng-14"
Rob Brown,20,PIT,RW,68,49,66,115,27,118,25,24,0,6,43,23,0,169,29.0,,,"ASG,ASnhl-3,ASnhl-8"
Paul Coffey,27,PIT,D,75,30,83,113,-10,195,19,11,0,2,30,53,0,342,8.8,,,"ASG,ASnhl-2,Norris-2"
Joe Mullen,31,CGY,RW,79,51,59,110,51,16,37,13,1,7,31,27,1,270,18.9,,,"ASG,ASnhl-1,Byng-1,Hart-5"
Jari Kurri,28,EDM,RW,76,44,58,102,19,69,29,10,5,8,36,16,6,214,20.6,,,"ASG,ASnhl-2,Byng-7,Selke-10"
Jimmy Carson,20,EDM,C,80,49,51,100,3,36,30,19,0,5,35,16,0,240,20.4,,,"ASG,Byng-4"
Luc Robitaille,22,LAK,LW,78,46,52,98,5,65,36,10,0,4,38,14,0,237,19.4,,,"ASG,ASnhl-1"
Dale Hawerchuk,25,WIN,C,75,41,55,96,-30,28,24,14,3,4,30,24,1,239,17.2,,,Byng-10
Mark Messier,28,EDM,C,72,33,61,94,-5,130,21,6,6,4,27,28,6,164,20.1,,,ASG
Dan Quinn,23,PIT,C,79,34,60,94,-37,102,18,16,0,4,28,31,1,200,17.0,,,
Gerard Gallant,25,DET,LW,76,39,54,93,7,230,26,13,0,7,33,21,0,221,17.6,,,"ASnhl-2,Selke-21"
