Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Leon Draisaitl,24,EDM,C,71,43,67,110,-7,18,27,16,0,10,39,28,0,218,19.7,402,1605:24,22:37,662,608,52.1,19,27,60,91,"ASG,ASnhl-1,Byng-10,Hart-1,Ross-1,Selke-33,Pearson-1"
Connor McDavid,23,EDM,C,64,34,63,97,-6,28,23,11,0,6,31,32,0,212,16.0,339,1399:24,21:52,320,350,47.8,18,37,53,75,"ASG,ASnhl-3,Hart-5"
Artemi Panarin,28,NYR,LW,69,32,63,95,36,20,25,7,0,4,46,17,0,209,15.3,403,1421:40,20:36,1,1,50.0,18,25,56,82,"ASnhl-1,Byng-16,Hart-3,Selke-16"
David Pastrňák,23,BOS,RW,70,48,47,95,21,40,28,20,0,10,29,18,0,279,17.2,507,1327:15,18:58,7,11,38.9,22,47,49,88,"ASG,ASnhl-1,Hart-4,Richard-1"
Nathan MacKinnon,24,COL,C,69,35,58,93,13,12,23,12,0,4,39,19,0,318,11.0,552,1464:21,21:13,363,478,43.2,31,51,38,53,"ASG,ASnhl-2,Byng-1,Hart-2,Selke-26"
Brad Marchand,31,BOS,LW,70,28,59,87,25,82,22,5,1,5,34,23,2,185,15.1,301,1361:39,19:27,22,29,43.1,19,55,43,71,"ASnhl-2,Hart-9,Selke-9"
Nikita Kucherov,26,TBL,RW,68,33,52,85,26,38,29,4,0,6,31,21,0,210,15.7,386,1282:42,18:52,0,1,0.0,19,37,30,59,"ASnhl-2,Hart-13"
Patrick Kane,31,CHI,RW,70,33,51,84,8,40,25,8,0,2,36,15,0,275,12.0,464,1493:51,21:20,1,3,25.0,19,24,43,41,"ASG,ASnhl-3,Hart-17"
Auston Matthews,22,TOR,C,70,47,33,80,19,8,35,12,0,5,20,13,0,290,16.2,504,1467:52,20:58,506,415,54.9,60,40,78,48,"ASnhl-4,Byng-2,Hart-10,Selke-16"
Jack Eichel,23,BUF,C,68,36,42,78,5,34,24,11,1,9,26,16,0,227,15.9,396,1502:52,22:06,615,696,46.9,42,40,44,67,"ASG,ASnhl-5,ASnhl-6,Byng-34,Hart-8"
Jonathan Huberdeau,26,FLA,LW,69,23,55,78,5,30,18,5,0,3,31,24,0,152,15.1,276,1295:13,18:46,24,37,39.3,26,51,42,70,"ASG,ASnhl-4"
John Carlson,30,WSH,D,69,15,60,75,12,26,13,2,0,6,36,24,0,189,7.9,369,1699:41,24:38,0,1,0.0,108,55,42,80,"ASG,ASnhl-2,Hart-12,Norris-2"
Mika Zibanejad,26,NYR,C,57,41,34,75,9,14,23,15,3,6,20,12,2,208,19.7,350,1232:50,21:38,592,612,49.2,49,51,42,43,"ASnhl-6,Byng-8,Selke-30"
Evgeni Malkin,33,PIT,C,55,25,49,74,7,58,18,7,0,5,32,17,0,171,14.6,294,1073:40,19:31,441,435,50.3,22,38,70,69,"ASnhl-6,Hart-10,Selke-30"
Kyle Connor,23,WPG,LW,71,38,35,73,4,34,28,9,1,7,26,8,1,239,15.9,369,1497:13,21:05,2,11,15.4,17,18,43,39,ASnhl-5
Mark Scheifele,26,WPG,C,71,29,44,73,2,45,19,10,0,6,34,10,0,170,17.1,288,1548:07,21:48,605,685,46.9,49,34,57,46,ASG
J.T. Miller,26,VAN,C,69,27,45,72,11,47,18,9,0,3,27,16,2,165,16.4,290,1387:06,20:06,425,293,59.2,38,123,52,36,"ASnhl-7,Hart-17,Selke-19"
Mitch Marner,22,TOR,RW,59,16,51,67,6,16,10,6,0,2,32,18,1,154,10.4,277,1271:41,21:33,7,19,26.9,37,24,64,71,"ASG,ASnhl-5,Byng-30,Selke-33"
Alex Ovechkin,34,WSH,LW,68,48,19,67,-12,30,35,13,0,3,14,5,0,311,15.4,602,1405:11,20:40,1,0,100.0,30,184,28,48,"ASnhl-3,ASnhl-6,Hart-13,Richard-1"
Sebastian Aho,22,CAR,F,68,38,28,66,10,26,26,8,4,5,18,9,1,206,18.4,333,1320:49,19:25,409,480,46.0,20,55,71,58,
Max Pacioretty,31,VEG,LW,71,32,34,66,18,44,24,8,0,5,23,11,0,307,10.4,549,1271:59,17:55,51,45,53.1,35,90,32,55,"ASG,ASnhl-6,Byng-42"
Elias Pettersson,21,VAN,C,68,27,39,66,16,18,19,8,0,5,23,16,0,162,16.7,328,1260:07,18:32,59,82,41.8,42,63,36,33,"ASG,ASnhl-7,Byng-12,Hart-16"
Steven Stamkos,29,TBL,C,57,29,37,66,14,22,19,10,0,6,28,9,0,176,16.5,319,1049:57,18:25,365,307,54.3,38,69,24,33,Byng-42
Roman Josi,29,NSH,D,69,16,49,65,22,41,12,4,0,1,30,19,0,260,6.2,525,1778:45,25:47,0,0,,108,52,34,68,"ASG,ASnhl-1,Byng-42,Hart-7,Norris-1"
