Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Stan Mikita,24,CBH,C,70,28,59,87,29,154,20,8,0,6,39,20,0,256,10.9,,,"ASnhl-2,Ross-1"
Norm Ullman,29,DET,C,70,42,41,83,15,70,31,10,1,10,22,17,2,251,16.7,,,"ASG,ASnhl-1,Hart-2"
Gordie Howe,36,DET,RW,70,29,47,76,22,104,13,13,3,2,27,20,0,341,8.5,,,"ASG,ASnhl-2,Hart-3"
Bobby Hull,26,CBH,LW,61,39,32,71,23,32,27,10,2,5,25,5,2,368,10.6,,,"ASG,ASnhl-1,Byng-1,Hart-1"
Alex Delvecchio,32,DET,C,68,25,42,67,10,16,19,6,0,7,20,20,2,259,9.7,,,"ASG,Byng-2"
Claude Provost,31,MTL,RW,70,27,37,64,13,28,14,12,1,5,27,10,0,304,8.9,,,"ASG,ASnhl-1,Byng-5"
Rod Gilbert,23,NYR,RW,70,25,36,61,-23,54,15,10,0,3,22,14,0,238,10.5,,,ASG
Pierre Pilote,33,CBH,D,68,14,45,59,25,162,6,7,1,2,28,15,2,109,12.8,,,"ASG,ASnhl-1,Norris-1"
Ralph Backstrom,27,MTL,C,70,25,30,55,2,44,18,7,0,2,22,8,0,225,11.1,,,ASG
Johnny Bucyk,29,BOS,LW,68,26,29,55,-25,24,19,7,0,2,22,7,0,196,13.3,,,ASG
Phil Esposito,22,CBH,C,70,23,32,55,5,44,17,5,1,9,26,6,0,187,12.3,,,
Henri Richard,28,MTL,C,53,23,29,52,16,43,18,5,0,5,23,6,0,199,11.6,,,ASG
Frank Mahovlich,27,TOR,LW,59,23,28,51,9,76,16,7,0,4,12,16,0,182,12.6,,,"ASG,ASnhl-2"
Dave Keon,24,TOR,C,65,21,29,50,15,10,14,6,1,2,17,10,2,191,11.0,,,Byng-3
Bobby Rousseau,24,MTL,RW,66,12,35,47,-1,24,6,5,1,2,20,15,0,173,6.9,,,ASG
Phil Goyette,31,NYR,C,52,12,34,46,-13,6,7,5,0,2,16,18,0,91,13.2,,,
Red Kelly,37,TOR,C,70,18,28,46,6,8,11,6,1,1,18,10,0,182,9.9,,,
Parker MacDonald,31,DET,LW,69,13,33,46,16,38,7,6,0,1,22,11,0,169,7.7,,,
