Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Sidney Crosby,19,PIT,C,79,36,84,120,10,60,23,13,0,4,36,48,0,250,14.4,1639:58,20:46,"ASG,ASnhl-1,Byng-29,Hart-1,Ross-1,Pearson-1"
Joe Thornton,27,SJS,C,82,22,92,114,24,44,12,10,0,5,48,44,0,213,10.3,1665:37,20:19,"ASG,ASnhl-3,Byng-14,Hart-5,Selke-21"
Vincent Lecavalier,26,TBL,C,82,52,56,108,2,44,31,16,5,7,32,20,4,339,15.3,1853:32,22:36,"ASG,ASnhl-2,Byng-19,Hart-4,Richard-1,Selke-41"
Dany Heatley,26,OTT,RW,82,50,55,105,31,74,30,17,3,10,32,22,1,310,16.1,1724:41,21:02,"ASG,ASnhl-1,ASnhl-4,Hart-12,Selke-47"
Martin St. Louis,31,TBL,RW,82,43,59,102,7,28,24,14,5,7,37,16,6,273,15.8,1980:48,24:09,"ASG,ASnhl-2,ASnhl-13,Byng-2,Hart-14,Selke-18"
Marián Hossa,28,ATL,RW,82,43,57,100,18,49,23,17,3,5,29,27,1,340,12.6,1777:59,21:41,"ASG,ASnhl-3,Byng-18,Hart-10,Selke-25"
Joe Sakic,37,COL,C,82,36,64,100,2,46,20,16,0,4,37,27,0,258,14.0,1655:23,20:11,"ASG,ASnhl-4,Byng-3,Hart-8,Selke-15"
Jaromír Jágr,34,NYR,RW,82,30,66,96,26,78,23,7,0,5,32,34,0,324,9.3,1784:13,21:46,"ASnhl-6,Byng-34,Hart-19,Selke-48"
Marc Savard,29,BOS,C,82,22,74,96,-19,96,11,10,1,3,35,39,0,221,10.0,1657:41,20:13,
Daniel Brière,29,BUF,C,81,32,63,95,17,89,23,9,0,6,42,21,0,234,13.7,1564:19,19:19,"ASG,ASnhl-5,Byng-37,Hart-11"
Jarome Iginla,29,CGY,RW,70,39,55,94,12,40,25,13,1,7,35,20,0,264,14.8,1544:28,22:04,"ASnhl-5,Byng-13,Hart-15"
Teemu Selänne,36,ANA,RW,82,48,46,94,26,82,23,25,0,10,23,23,0,257,18.7,1450:57,17:42,"ASG,ASnhl-4,ASnhl-14,Byng-9,Hart-9,Selke-25"
