Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Henrik Sedin,29,VAN,C,82,29,83,112,35,48,23,4,2,5,60,23,0,166,17.5,262,1614:24,19:41,756,771,49.5,13,13,44,42,"ASnhl-1,Byng-7,Hart-1,Ross-1,Selke-49"
Sidney Crosby,22,PIT,C,81,51,58,109,15,71,36,13,2,6,36,21,1,298,17.1,497,1778:19,21:57,992,781,56.0,42,62,43,77,"ASnhl-2,Byng-54,Hart-3,Richard-1,Selke-30,Messier-1"
Alex Ovechkin,24,WSH,LW,72,50,59,109,45,89,37,13,0,7,36,23,0,368,13.6,818,1569:25,21:48,10,12,45.5,20,181,66,75,"ASnhl-1,ASnhl-9,Hart-2,Selke-28,Pearson-1"
Nicklas Bäckström,22,WSH,C,82,33,68,101,37,50,22,11,0,4,42,26,0,222,14.9,362,1676:35,20:27,657,660,49.9,61,90,53,51,"ASnhl-4,Byng-54,Hart-9,Selke-10"
Steven Stamkos,19,TBL,C,82,51,44,95,-2,38,26,24,1,5,27,17,0,297,17.2,530,1685:14,20:33,475,517,47.9,38,68,47,52,"ASnhl-3,ASnhl-7,Byng-15,Hart-6,Richard-1"
Martin St. Louis,34,TBL,RW,82,29,65,94,-8,12,21,7,1,7,35,30,0,242,12.0,405,1788:21,21:49,71,85,45.5,40,19,62,57,"ASnhl-2,ASnhl-7,Byng-1,Hart-17"
Brad Richards,29,DAL,C,80,24,67,91,-12,14,11,13,0,2,40,27,0,284,8.5,571,1669:09,20:52,587,553,51.5,22,16,57,73,Byng-2
Joe Thornton,30,SJS,C,79,20,69,89,17,54,15,4,1,2,42,25,2,141,14.2,233,1568:36,19:51,662,566,53.9,29,113,71,88,"ASnhl-5,Byng-27,Hart-12,Selke-32"
Patrick Kane,21,CHI,RW,82,30,58,88,16,20,21,9,0,6,37,20,1,261,11.5,474,1574:06,19:12,9,13,40.9,17,17,51,41,"ASnhl-1,ASnhl-9,Byng-12,Hart-7"
Marián Gáborík,27,NYR,RW,76,42,44,86,15,37,27,14,1,4,31,12,1,272,15.4,478,1614:44,21:15,2,5,28.6,31,59,25,46,"ASnhl-3,Byng-27,Hart-17"
Daniel Sedin,29,VAN,LW,63,29,56,85,36,28,21,8,0,8,43,13,0,225,12.9,396,1205:35,19:08,11,22,33.3,3,8,25,28,"ASnhl-2,Byng-11,Selke-45"
Ilya Kovalchuk,26,2TM,LW,76,41,44,85,10,53,29,12,0,4,29,15,0,290,14.1,562,1674:42,22:02,7,23,23.3,20,30,34,73,"ASnhl-5,ASnhl-12"
Ilya Kovalchuk,26,ATL,LW,49,31,27,58,1,45,21,10,0,3,18,9,0,179,17.3,359,1089:34,22:14,5,18,21.7,16,13,21,49,
Ilya Kovalchuk,26,NJD,LW,27,10,17,27,9,8,8,2,0,1,11,6,0,111,9.0,203,585:08,21:40,2,5,28.6,4,17,13,24,
Alexander Semin,25,WSH,LW,73,40,44,84,36,66,30,8,2,5,25,19,0,278,14.4,537,1396:00,19:07,6,10,37.5,20,30,61,58,"ASnhl-6,ASnhl-9"
Patrick Marleau,30,SJS,C,82,44,39,83,21,22,28,12,4,6,26,13,0,274,16.1,472,1739:21,21:13,316,299,51.4,33,76,53,69,"ASnhl-3,ASnhl-11,Byng-6,Hart-9,Selke-8"
Dany Heatley,29,SJS,RW,82,39,43,82,14,54,20,18,1,9,31,12,0,280,13.9,518,1658:43,20:14,14,21,40.0,35,81,38,55,"ASnhl-4,ASnhl-8"
