Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Glen Harmon,29,MTL,D,62,3,16,19,28,1,2,0,0,9,7,0,,,ASG
Calum MacKay,23,MTL,LW,52,8,10,18,44,8,0,0,1,9,1,0,,,
Bill Barilko,22,TOR,D,59,7,10,17,85,6,1,0,2,8,2,0,,,
Gus Mortson,25,TOR,D,68,3,14,17,125,2,1,0,0,10,4,0,,,"ASG,ASnhl-1"
Floyd Curry,24,MTL,RW,49,8,8,16,8,8,0,0,1,8,0,0,,,
Pat Egan,31,NYR,D,70,5,11,16,50,1,4,0,0,6,5,0,,,
Ed Kryzanowski,24,BOS,D,57,6,10,16,12,6,0,0,1,9,1,0,,,
Ralph Nattrass,24,CBH,D,68,5,11,16,96,3,2,0,0,10,1,0,,,
Bill Juzda,29,TOR,D,62,1,14,15,68,1,0,0,0,11,3,0,,,
Roger Leger,30,MTL,D,55,3,12,15,21,1,2,0,2,10,2,0,,,
Jackie McLeod,19,NYR,RW,38,6,9,15,2,6,0,0,0,8,1,0,,,
Jack Stewart,32,DET,D,65,3,11,14,86,3,0,0,1,11,0,0,,,ASG
Ernie Dickens,28,CBH,D,70,0,13,13,22,0,0,0,0,9,3,1,,,
Jimmy Thomson,22,TOR,D,70,0,13,13,76,0,0,0,0,6,7,0,,,ASG
Pete Babando,24,DET,LW,56,6,6,12,25,6,0,0,1,5,1,0,,,
Lee Fogolin,23,DET,D,63,4,8,12,63,4,0,0,0,7,1,0,,,ASG
Bob Goldham,27,CBH,D,67,2,10,12,57,2,0,0,0,9,1,0,,,ASG
Murray Henderson,28,BOS,D,64,3,8,11,42,3,0,0,0,8,0,0,,,
John McCormack,24,TOR,C,34,6,5,11,0,6,0,0,2,4,1,0,,,
Jack Crawford,33,BOS,D,46,2,8,10,8,1,1,0,0,5,3,0,,,
Pete Horeck,26,BOS,LW,34,5,5,10,22,5,0,0,0,4,1,0,,,
Fred Shero,24,NYR,D,67,2,8,10,71,1,1,0,0,7,1,0,,,
Zellio Toppazzini,20,BOS,RW,36,5,5,10,18,4,1,0,0,5,0,0,,,
Garth Boesch,29,TOR,D,58,2,6,8,61,2,0,0,0,4,2,0,,,
Butch Bouchard,30,MTL,D,69,1,7,8,88,1,0,0,1,6,1,0,,,ASG
Frank Eddolls,28,NYR,D,58,2,6,8,20,2,0,0,0,6,0,0,,,
Red Hamill,33,CBH,LW,59,6,2,8,6,3,2,1,1,2,0,0,,,
Gus Kyle,26,NYR,D,70,3,5,8,143,3,0,0,0,5,0,0,,,
Max McNab,25,DET,C,65,4,4,8,8,3,1,0,0,4,0,0,,,
Allan Stanley,23,NYR,D,55,4,4,8,58,3,1,0,0,2,2,0,,,
Grant Warwick,28,MTL,RW,26,2,6,8,19,2,0,0,0,5,1,0,,,
Fern Flaman,23,BOS,D,69,2,5,7,122,2,0,0,0,5,0,0,,,
Jean-Paul Lamirande,25,NYR,LW,16,4,3,7,6,4,0,0,0,3,0,0,,,
Clare Martin,27,DET,D,64,2,5,7,14,2,0,0,1,5,0,0,,,
Rudy Migay,21,TOR,C,18,1,5,6,8,1,0,0,0,5,0,0,,,
Gerry Plamondon,25,MTL,LW,37,1,5,6,0,1,0,0,1,3,2,0,,,
Jack Lancien,26,NYR,D,43,1,4,5,27,1,0,0,1,4,0,0,,,
Ed Sandford,21,BOS,LW,19,1,4,5,6,0,1,0,0,4,0,0,,,
Adam Brown,29,CBH,LW,25,2,2,4,16,2,0,0,0,2,0,0,,,
Al Dewsbury,23,DET,D,11,2,2,4,2,1,1,0,0,1,1,0,,,
Bob Fillion,28,MTL,LW,57,1,3,4,8,0,1,0,0,2,1,0,,,
Doug McCaig,30,CBH,D,62,0,4,4,49,0,0,0,0,4,0,0,,,
Bob Dawes,25,TOR,D,11,1,2,3,2,1,0,0,0,2,0,0,,,
Gilles Dube,22,MTL,LW,12,1,2,3,2,1,0,0,0,2,0,0,,,
Bert Hirschfeld,20,MTL,LW,13,1,2,3,2,1,0,0,0,2,0,0,,,
Bing Juckes,23,NYR,LW,14,2,1,3,6,1,1,0,1,1,0,0,,,
Lorne Ferguson,19,BOS,LW,3,1,1,2,0,1,0,0,0,0,1,0,,,
Hal Laycoe,27,MTL,D,30,0,2,2,21,0,0,0,0,2,0,0,,,
Odie Lowe,21,NYR,C,3,1,1,2,0,1,0,0,0,1,0,0,,,
Don Smith,20,NYR,C,10,1,1,2,0,1,0,0,1,1,0,0,,,
Wally Stanowski,30,NYR,D,37,1,1,2,10,1,0,0,1,0,1,0,,,
Vic Stasiuk,20,CBH,RW,17,1,1,2,2,1,0,0,1,1,0,0,,,
Sherman White,26,NYR,C,3,0,2,2,0,0,0,0,0,1,1,0,,,
Douglas Adam,26,NYR,LW,4,0,1,1,0,0,0,0,0,1,0,0,,,
Gord Byers,19,BOS,D,1,0,1,1,0,0,0,0,0,0,1,0,,,
Jean-Paul Denis,25,NYR,RW,4,0,1,1,2,0,0,0,0,1,0,0,,,
Lulu Denis,21,MTL,RW,2,0,1,1,0,0,0,0,0,1,0,0,,,
Bill Durnan,34,MTL,G,64,0,1,1,2,,,,,1,,,3840:00,,"ASnhl-1,Hart-5,Vezina-1"
Bob Fryday,21,MTL,RW,2,1,0,1,0,1,0,0,0,0,0,0,,,
Arnie Kullman,22,BOS,C,12,0,1,1,11,0,0,0,0,1,0,0,,,
Edward Leier,22,CBH,C,5,0,1,1,0,0,0,0,0,1,0,0,,,
Frank Mathers,25,TOR,D,6,0,1,1,2,0,0,0,0,0,1,0,,,
Jack McIntyre,19,BOS,LW,1,0,1,1,0,0,0,0,0,1,0,0,,,
Red Sullivan,20,BOS,C,3,0,1,1,0,0,0,0,0,1,0,0,,,
George Armstrong,19,TOR,RW,2,0,0,0,0,0,0,0,0,0,0,0,,,
John Arundel,22,TOR,D,3,0,0,0,9,0,0,0,0,0,0,0,,,
James Bedard,22,CBH,D,5,0,0,0,2,0,0,0,0,0,0,0,,,
Richard Bittner,28,BOS,G,1,0,0,0,0,,,,,0,,,60:00,,
Hugh Bolton,20,TOR,D,2,0,0,0,2,0,0,0,0,0,0,0,,,
Bart Bradley,19,BOS,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Frank Brimsek,34,CBH,G,70,0,0,0,2,,,,,0,,,4200:00,,
Turk Broda,35,TOR,G,68,0,0,0,2,,,,,0,,,4039:00,,"ASG,Hart-9"
Al Buchanan,22,TOR,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Norm Corcoran,18,BOS,RW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Jack Evans,21,NYR,D,3,0,0,0,2,0,0,0,0,0,0,0,,,
Bob Frampton,21,MTL,LW,2,0,0,0,0,0,0,0,0,0,0,0,,,
Emile Francis,23,NYR,G,1,0,0,0,0,,,,,0,,,60:00,,
Jack Gelineau,25,BOS,G,67,0,0,0,0,,,,,0,,,4020:00,,Calder-1
Fred Glover,22,DET,C,7,0,0,0,0,0,0,0,0,0,0,0,,,
Jack Gordon,21,NYR,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Bob Hassard,20,TOR,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Gord Henry,23,BOS,G,2,0,0,0,0,,,,,0,,,120:00,,
Tim Horton,20,TOR,D,1,0,0,0,2,0,0,0,0,0,0,0,,,
Bill Johansen,21,TOR,RW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Bill Kyle,25,NYR,C,2,0,0,0,0,0,0,0,0,0,0,0,,,
Ross Lowe,21,BOS,D,3,0,0,0,0,0,0,0,0,0,0,0,,,
Harry Lumley,23,DET,G,63,0,0,0,10,,,,,0,,,3780:00,,
Gilles Mayer,19,TOR,G,1,0,0,0,0,,,,,0,,,60:00,,
Bill McDonagh,21,NYR,LW,4,0,0,0,2,0,0,0,0,0,0,0,,,
Gerry McNeil,23,MTL,G,6,0,0,0,0,,,,,0,,,360:00,,
Jack Miller,24,CBH,C,6,0,0,0,0,0,0,0,0,0,0,0,,,
Fern Perreault,22,NYR,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Chuck Rayner,29,NYR,G,69,0,0,0,6,,,,,0,,,4140:00,,"ASG,ASnhl-2,Hart-1"
Al Rollins,23,TOR,G,2,0,0,0,0,,,,,0,,,100:00,,
Phil Samis,22,TOR,D,2,0,0,0,0,0,0,0,0,0,0,0,,,
Terry Sawchuk,20,DET,G,7,0,0,0,0,,,,,0,,,420:00,,ASG
Enio Sclisizzi,24,DET,LW,4,0,0,0,2,0,0,0,0,0,0,0,,,
Glen Skov,19,DET,C,2,0,0,0,0,0,0,0,0,0,0,0,,,
Frank Sullivan,20,TOR,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Chick Webster,29,NYR,C,14,0,0,0,4,0,0,0,0,0,0,0,,,
Johnny Wilson,20,DET,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Larry Wilson,19,DET,C,1,0,0,0,2,0,0,0,0,0,0,0,,,
League Average,,,,,,,,,,,,,,,,,,
