Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Gordie Howe,25,DET,RW,70,33,48,81,109,18,15,0,8,30,18,0,,,"ASG,ASnhl-1,Hart-4,Ross-1"
Maurice Richard,32,MTL,RW,70,37,30,67,112,20,17,0,6,18,11,1,,,"ASG,ASnhl-2,Hart-3"
Ted Lindsay,28,DET,LW,70,26,36,62,110,14,11,1,5,20,16,0,,,"ASG,ASnhl-1"
Bernie Geoffrion,22,MTL,RW,54,29,25,54,87,20,9,0,7,15,10,0,,,ASG
Bert Olmstead,27,MTL,LW,70,15,37,52,85,7,8,0,3,24,12,1,,,
Red Kelly,26,DET,D,62,16,33,49,18,9,6,1,2,23,10,0,,,"ASG,ASnhl-1,Byng-1,Hart-2,Norris-1"
Dutch Reibel,23,DET,C,69,15,33,48,18,13,2,0,5,23,10,0,,,"ASG,Calder-2"
Fleming Mackell,24,BOS,C,67,15,32,47,60,10,5,0,3,25,6,1,,,ASG
Ed Sandford,25,BOS,LW,70,16,31,47,42,13,3,0,1,23,8,0,,,"ASG,ASnhl-2,Byng-5"
Ken Mosdell,31,MTL,C,67,22,24,46,64,20,2,0,3,14,10,0,,,"ASG,ASnhl-1"
Paul Ronty,25,NYR,C,70,13,33,46,18,9,3,1,1,21,12,0,,,ASG
Don Raleigh,27,NYR,C,70,15,30,45,16,13,2,0,0,24,6,0,,,"ASG,Byng-2"
Wally Hergesheimer,27,NYR,RW,66,27,16,43,42,19,8,0,6,7,8,1,,,
Tod Sloan,26,TOR,C,67,11,32,43,100,11,0,0,1,27,5,0,,,
Larry Wilson,23,CBH,C,66,9,33,42,22,6,3,0,3,25,8,0,,,
Bill Gadsby,26,CBH,D,70,12,29,41,108,7,4,1,1,22,6,1,,,"ASG,ASnhl-2"
Dave Creighton,23,BOS,C,69,20,20,40,27,17,3,0,4,15,5,0,,,
Johnny Peirson,28,BOS,RW,68,21,19,40,55,15,6,0,5,16,3,0,,,
Camille Henry,21,NYR,LW,66,24,15,39,10,4,20,0,7,3,12,0,,,Calder-1
Ted Kennedy,28,TOR,C,67,15,23,38,78,13,1,1,6,13,8,2,,,"ASG,ASnhl-2"
