Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Sid Smith,28,TOR,LW,70,22,16,38,28,15,7,0,2,13,3,0,,,"ASG,Byng-4"
Doug Harvey,29,MTL,D,68,8,29,37,110,6,2,0,2,16,13,0,,,"ASG,ASnhl-1,Norris-2"
Joe Klukay,31,BOS,RW,70,20,17,37,27,17,2,1,6,15,2,0,,,
Leo Labine,22,BOS,RW,68,16,19,35,57,12,4,0,2,13,6,0,,,
Nick Mickoski,26,NYR,LW,68,19,16,35,22,16,3,0,2,12,4,0,,,
Jean Béliveau,22,MTL,C,44,13,21,34,22,10,3,0,1,9,12,0,,,ASG
Cal Gardner,29,BOS,C,70,14,20,34,62,12,2,0,3,16,3,1,,,
Bill Mosienko,32,CBH,RW,65,15,19,34,17,12,3,0,1,16,3,0,,,Byng-3
Johnny Wilson,24,DET,LW,70,17,17,34,22,11,6,0,2,11,6,0,,,ASG
George Armstrong,23,TOR,RW,63,17,15,32,60,12,5,0,4,12,3,0,,,
Max Bentley,33,NYR,C,57,14,18,32,15,5,9,0,2,3,14,1,,,
Milt Schmidt,35,BOS,C,62,14,18,32,28,7,7,0,0,12,4,2,,,
Tim Horton,24,TOR,D,70,7,24,31,94,5,2,0,2,19,5,0,,,"ASG,ASnhl-2"
Alex Delvecchio,21,DET,C,69,11,18,29,34,9,2,0,2,12,6,0,,,ASG
Marty Pavelich,26,DET,LW,65,9,20,29,57,7,1,1,2,18,1,1,,,ASG
Pete Conacher,21,CBH,LW,70,19,9,28,23,17,2,0,3,8,1,0,,,
Lou Jankowski,22,CBH,RW,68,15,13,28,7,10,5,0,1,11,1,1,,,
Harry Watson,30,TOR,LW,70,21,7,28,30,17,4,0,4,5,2,0,,,
Doug Mohns,20,BOS,LW,70,13,14,27,27,10,3,0,4,10,4,0,,,ASG
Metro Prystai,26,DET,C,70,12,15,27,26,8,4,0,3,10,5,0,,,ASG
Glen Skov,23,DET,C,70,17,10,27,95,17,0,0,2,8,2,0,,,ASG
Gus Bodnar,30,2TM,C,59,9,18,27,30,7,2,0,1,14,4,0,,,
Gus Bodnar,30,CBH,C,45,6,15,21,28,6,0,0,1,11,4,0,,,
Gus Bodnar,30,BOS,C,14,3,3,6,2,1,2,0,0,3,0,0,,,
George Gee,31,CBH,LW,69,10,16,26,59,9,1,0,0,14,2,0,,,
Paul Masnick,22,MTL,C,50,5,21,26,57,5,0,0,1,19,2,0,,,
Jimmy Thomson,26,TOR,D,61,2,24,26,86,2,0,0,0,15,8,1,,,
Bill Dineen,21,DET,RW,70,17,8,25,34,11,6,0,3,3,5,0,,,ASG
Elmer Lach,36,MTL,C,48,5,20,25,28,2,3,0,0,12,8,0,,,
Ron Stewart,21,TOR,RW,70,14,11,25,72,11,1,2,4,7,4,0,,,
Tony Leswick,30,DET,LW,70,6,18,24,90,6,0,0,0,18,0,0,,,ASG
Calum MacKay,27,MTL,LW,47,10,13,23,54,8,2,0,5,13,0,0,,,
Rudy Migay,25,TOR,C,70,8,15,23,60,6,1,1,3,9,6,0,,,
Eric Nesterenko,20,TOR,RW,68,14,9,23,70,9,4,1,2,7,1,1,,,
Floyd Curry,28,MTL,RW,70,13,8,21,22,12,0,1,1,8,0,0,,,
Al Dewsbury,27,CBH,D,69,6,15,21,44,4,1,1,1,7,8,0,,,
Eddie Mazur,24,MTL,LW,67,7,14,21,95,6,1,0,1,11,3,0,,,
Frank Martin,20,BOS,D,68,3,17,20,38,3,0,0,1,9,8,0,,,
Jim Morrison,22,TOR,D,60,9,11,20,51,4,4,1,2,8,3,0,,,
Hal Laycoe,31,BOS,D,57,3,16,19,29,2,0,1,1,14,2,0,,,
Tom Johnson,25,MTL,D,70,7,11,18,85,5,2,0,2,9,2,0,,,
Gus Mortson,29,CBH,D,68,5,13,18,132,5,0,0,0,9,4,0,,,ASG
Marcel Pronovost,23,DET,D,57,6,12,18,50,4,1,1,3,6,5,1,,,ASG
Ike Hildebrand,26,2TM,RW,38,7,11,18,16,6,1,0,1,11,0,0,,,
Ike Hildebrand,26,NYR,RW,32,6,10,16,12,6,0,0,1,10,0,0,,,
Ike Hildebrand,26,CBH,RW,6,1,1,2,4,0,1,0,0,1,0,0,,,
Hy Buller,27,NYR,D,41,3,14,17,40,2,1,0,0,3,11,0,,,
Dean Prentice,21,NYR,LW,52,4,13,17,18,4,0,0,1,11,2,0,,,
Bill Quackenbush,31,BOS,D,45,0,17,17,6,0,0,0,0,5,10,2,,,ASG
Bob Goldham,31,DET,D,69,1,15,16,50,1,0,0,0,13,2,0,,,ASG
Harry Howell,21,NYR,D,67,7,9,16,58,7,0,0,1,5,4,0,,,ASG
John McCormack,28,MTL,C,51,5,10,15,12,4,0,1,1,10,0,0,,,
Dollard St. Laurent,24,MTL,D,53,3,12,15,43,2,0,1,0,11,1,0,,,
Warren Godfrey,22,BOS,D,70,5,9,14,71,4,0,1,0,9,0,0,,,
Ivan Irwin,26,NYR,D,56,2,12,14,109,2,0,0,1,12,0,0,,,
Eddie Kullman,30,NYR,RW,70,4,10,14,44,4,0,0,1,10,0,0,,,
Jimmy Peters,31,2TM,RW,71,6,8,14,29,5,0,1,0,3,5,0,,,
Jimmy Peters,31,CBH,RW,47,6,6,12,23,5,0,1,0,3,3,0,,,
Jimmy Peters,31,DET,RW,24,0,2,2,6,0,0,0,0,0,2,0,,,
Paul Meger,24,MTL,LW,44,4,9,13,24,4,0,0,0,8,1,0,,,
Jerry Toppazzini,22,2TM,RW,51,5,8,13,42,3,2,0,1,7,1,0,,,
Jerry Toppazzini,22,BOS,RW,38,3,7,10,26,2,1,0,1,6,1,0,,,
Jerry Toppazzini,22,CBH,RW,13,2,1,3,16,1,1,0,0,1,0,0,,,
Bob Armstrong,22,BOS,D,64,2,10,12,81,2,0,0,0,9,1,0,,,
Doug Bentley,37,NYR,LW,20,2,10,12,2,2,0,0,0,2,8,0,,,
Dick Gamble,25,MTL,LW,32,4,8,12,18,4,0,0,0,6,2,0,,,
Butch Bouchard,34,MTL,D,70,1,10,11,89,1,0,0,0,10,0,0,,,
Gerry Couture,28,CBH,RW,40,6,5,11,14,6,0,0,0,4,1,0,,,
Jack McIntyre,23,CBH,LW,23,8,3,11,4,7,1,0,1,2,1,0,,,
Bob Chrystal,23,NYR,D,64,5,5,10,44,3,2,0,2,3,2,0,,,
Lorne Davis,23,MTL,RW,37,6,4,10,2,6,0,0,2,4,0,0,,,
Jack Price,21,CBH,D,46,4,6,10,22,4,0,0,0,5,1,0,,,
Bob Bailey,22,TOR,RW,48,2,7,9,70,2,0,0,0,6,1,0,,,
Jack Evans,25,NYR,D,44,4,4,8,73,3,1,0,1,4,0,0,,,
Fern Flaman,27,TOR,D,62,0,8,8,84,0,0,0,0,7,0,1,,,
Aldo Guidolin,21,NYR,RW,68,2,6,8,51,2,0,0,0,6,0,0,,,
Gord Hannigan,25,TOR,C,35,4,4,8,18,2,2,0,2,4,0,0,,,
Leo Reise,31,NYR,D,70,3,5,8,71,3,0,0,0,5,0,0,,,
Kenny Wharram,20,CBH,RW,29,1,7,8,8,1,0,0,0,6,1,0,,,
Leo Boivin,21,TOR,D,58,1,6,7,83,1,0,0,0,4,1,1,,,
Woody Dumart,37,BOS,LW,69,4,3,7,6,4,0,0,0,3,0,0,,,
Ray Gariepy,25,BOS,D,35,1,6,7,39,1,0,0,0,6,0,0,,,
Edgar Laprade,34,NYR,C,35,1,6,7,2,1,0,0,0,5,1,0,,,
Vic Stasiuk,24,DET,RW,42,5,2,7,4,4,1,0,0,2,0,0,,,
Larry Zeidel,25,CBH,D,64,1,6,7,102,1,0,0,0,6,0,0,,,
Jim McFadden,33,CBH,C,19,3,3,6,6,0,2,1,0,3,0,0,,,
Real Chevrefils,21,BOS,LW,14,4,1,5,2,3,0,1,1,1,0,0,,,
Murray Costello,19,CBH,C,40,3,2,5,6,2,1,0,0,2,0,0,,,
Bob Hassard,24,TOR,C,26,1,4,5,4,1,0,0,0,3,1,0,,,
Bud MacPherson,26,MTL,D,41,0,5,5,41,0,0,0,0,5,0,0,,,
Dickie Moore,23,MTL,LW,13,1,4,5,12,1,0,0,0,4,0,0,,,
Bob Solinger,28,TOR,LW,39,3,2,5,2,3,0,0,0,2,0,0,,,
Keith Allen,30,DET,D,10,0,4,4,2,0,0,0,0,4,0,0,,,ASG
Andy Bathgate,21,NYR,RW,20,2,2,4,18,1,1,0,0,2,0,0,,,
Ron Murphy,20,NYR,LW,27,1,3,4,20,1,0,0,1,2,1,0,,,
Fred Hucul,22,CBH,D,27,0,3,3,19,0,0,0,0,1,2,0,,,
Billy Dea,20,NYR,C,14,1,1,2,2,1,0,0,0,1,0,0,,,
Glen Sonmor,24,NYR,LW,15,2,0,2,17,2,0,0,2,0,0,0,,,
Allan Stanley,27,NYR,D,10,0,2,2,11,0,0,0,0,1,1,0,,,
Benny Woit,26,DET,D,70,0,2,2,38,0,0,0,0,2,0,0,,,ASG
Al Arbour,21,DET,D,36,0,1,1,18,0,0,0,0,1,0,0,,,
Earl Balfour,21,TOR,LW,17,0,1,1,6,0,0,0,0,1,0,0,,,
Andre Corriveau,25,MTL,RW,3,0,1,1,0,0,0,0,0,1,0,0,,,
Lee Fogolin,27,CBH,D,68,0,1,1,95,0,0,0,0,1,0,0,,,
Danny Lewicki,22,TOR,LW,7,0,1,1,12,0,0,0,0,1,0,0,,,
Vic Lynn,29,CBH,LW,11,1,0,1,2,0,1,0,0,0,0,0,,,
Howie Meeker,30,TOR,RW,5,1,0,1,0,1,0,0,0,0,0,0,,,
Terry Sawchuk,24,DET,G,67,0,1,1,31,,,,,1,,,4003:57,,"ASG,ASnhl-2"
Sid Abel,35,CBH,C,3,0,0,0,4,0,0,0,0,0,0,0,,,
Hugh Bolton,24,TOR,D,9,0,0,0,10,0,0,0,0,0,0,0,,,
Marcel Bonin,21,DET,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,ASG
Johnny Bower,29,NYR,G,70,0,0,0,0,,,,,0,,,4200:00,,
Fred Burchell,23,MTL,C,2,0,0,0,2,0,0,0,0,0,0,0,,,
Chick Chalmers,20,NYR,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Gerard Desaulniers,25,MTL,C,3,0,0,0,0,0,0,0,0,0,0,0,,,
Sid Finney,24,CBH,RW,6,0,0,0,0,0,0,0,0,0,0,0,,,
Dave Gatherum,21,DET,G,3,0,0,0,0,,,,,0,,,180:00,,
Jack Gelineau,29,CBH,G,2,0,0,0,0,,,,,0,,,120:00,,
Jim Hay,22,DET,D,12,0,0,0,0,0,0,0,0,0,0,0,,,
Jim Henry,33,BOS,G,70,0,0,0,0,,,,,0,,,4200:00,,
Vic Howe,24,NYR,RW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Earl Johnson,22,DET,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Aggie Kukulowicz,20,NYR,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Hec Lalande,19,CBH,C,2,0,0,0,2,0,0,0,0,0,0,0,,,
Ed Litzenberger,21,MTL,C,3,0,0,0,0,0,0,0,0,0,0,0,,,
Harry Lumley,27,TOR,G,69,0,0,0,6,,,,,0,,,4140:00,,"ASG,ASnhl-1,Hart-5,Vezina-1"
Jean Marois,29,CBH,G,2,0,0,0,0,,,,,0,,,120:00,,
Gilles Mayer,23,TOR,G,1,0,0,0,0,,,,,0,,,60:00,,
Bill McCreary,19,NYR,LW,2,0,0,0,2,0,0,0,0,0,0,0,,,
Gerry McNeil,27,MTL,G,53,0,0,0,0,,,,,0,,,3180:00,,
Hillary Menard,20,CBH,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Jacques Plante,25,MTL,G,17,0,0,0,0,,,,,0,,,1020:00,,
Al Rollins,27,CBH,G,66,0,0,0,20,,,,,0,,,3957:45,,"ASG,Hart-1"
Fred Sasakamoose,20,CBH,C,11,0,0,0,6,0,0,0,0,0,0,0,,,
John Sleaver,19,CBH,C,1,0,0,0,2,0,0,0,0,0,0,0,,,
Ed Stankiewicz,24,DET,C,1,0,0,0,2,0,0,0,0,0,0,0,,,
Bob Wilson,19,CBH,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Lefty Wilson,34,DET,G,1,0,0,0,0,,,,,0,,,16:03,,
League Average,,,,,,,,,,,,,,,,,,
