Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Andy Bathgate,29,NYR,RW,70,28,56,84,3,44,24,4,0,4,35,21,0,305,9.2,,,"ASG,ASnhl-1,Hart-5"
Bobby Hull,23,CBH,LW,70,50,34,84,10,35,41,9,0,7,22,10,2,375,13.3,,,"ASG,ASnhl-1,Hart-3,Ross-1"
Gordie Howe,33,DET,RW,70,33,44,77,12,54,21,10,2,7,30,13,1,346,9.5,,,"ASG,ASnhl-2,Hart-4"
Stan Mikita,21,CBH,RW,70,25,52,77,12,97,16,9,0,5,34,18,0,208,12.0,,,ASnhl-1
Frank Mahovlich,24,TOR,C,70,33,38,71,31,87,32,1,0,9,28,10,0,236,14.0,,,"ASG,ASnhl-2"
Alex Delvecchio,29,DET,C,70,26,43,69,4,18,20,5,1,1,24,17,2,291,8.9,,,ASG
Ralph Backstrom,24,MTL,C,66,27,38,65,35,29,24,3,0,3,36,2,0,181,14.9,,,ASG
Norm Ullman,26,DET,C,70,26,38,64,-20,54,20,6,0,6,24,14,0,200,13.0,,,ASG
Bill Hay,26,CBH,C,60,11,52,63,0,34,3,8,0,3,36,16,0,207,5.3,,,
Claude Provost,28,MTL,RW,70,33,29,62,20,22,26,5,2,5,23,6,0,258,12.8,,,"ASG,Byng-2"
Dave Keon,21,TOR,C,64,26,35,61,40,2,21,3,2,6,30,5,0,252,10.3,,,"ASG,ASnhl-2,Byng-1"
Johnny Bucyk,26,BOS,LW,67,20,40,60,-43,32,14,6,0,2,24,16,0,202,9.9,,,
Dean Prentice,29,NYR,LW,68,22,38,60,2,20,11,10,1,4,30,8,0,217,10.1,,,ASG
Bernie Geoffrion,30,MTL,RW,62,23,36,59,17,36,15,8,0,1,21,15,0,240,9.6,,,ASG
Earl Ingarfield,27,NYR,C,70,26,31,57,-13,18,19,7,0,4,22,9,0,162,16.0,,,
Don McKenney,27,BOS,C,70,22,33,55,-31,10,14,8,0,3,21,12,0,177,12.4,,,"ASG,Byng-3"
Gilles Tremblay,23,MTL,LW,70,32,22,54,19,28,26,5,1,3,16,6,0,180,17.8,,,
George Armstrong,31,TOR,C,70,21,32,53,48,27,18,3,0,2,28,2,2,187,11.2,,,ASG
Bill Hicke,23,MTL,RW,70,20,31,51,11,42,17,3,0,3,24,7,0,152,13.2,,,
Henri Richard,25,MTL,C,53,21,29,50,21,48,18,3,0,5,25,4,0,191,11.0,,,
Jerry Toppazzini,30,BOS,RW,70,19,31,50,-11,26,12,6,1,1,17,11,3,166,11.4,,,
Red Kelly,34,TOR,C,58,22,27,49,23,6,17,4,1,2,25,2,0,159,13.8,,,"ASG,Byng-4,Hart-8"
Jean-Guy Talbot,29,MTL,D,70,5,42,47,30,90,3,2,0,1,26,14,2,130,3.8,,,"ASG,ASnhl-1,Norris-3"
Bronco Horvath,31,CBH,C,68,17,29,46,0,19,12,5,0,1,21,8,0,139,12.2,,,
Don Marshall,29,MTL,C,66,18,28,46,25,12,15,2,1,7,19,4,5,121,14.9,,,
Murray Oliver,24,BOS,C,70,17,29,46,-44,20,16,1,0,2,24,5,0,201,8.5,,,
Doug Mohns,28,BOS,D,69,16,29,45,-62,74,9,7,0,1,15,14,0,166,9.6,,,"ASG,Hart-9"
Bob Nevin,23,TOR,RW,69,15,30,45,20,14,11,4,0,4,24,5,1,137,10.9,,,ASG
Bobby Rousseau,21,MTL,RW,70,21,24,45,24,26,17,0,4,3,20,3,1,198,10.6,,,Calder-1
Vic Stasiuk,32,DET,LW,59,15,28,43,1,45,11,4,0,3,21,7,0,127,11.8,,,
Andy Hebenton,32,NYR,RW,70,18,24,42,-18,10,13,4,1,1,19,5,0,190,9.5,,,
Pierre Pilote,30,CBH,D,59,7,35,42,14,97,3,3,1,2,23,12,0,99,7.1,,,"ASG,ASnhl-2,Norris-2"
Jean Béliveau,30,MTL,C,43,18,23,41,10,36,10,8,0,4,17,6,0,149,12.1,,,
Dickie Moore,31,MTL,LW,57,19,22,41,25,52,17,2,0,4,16,6,0,153,12.4,,,
Cliff Pennington,21,BOS,C,70,9,32,41,-41,2,6,3,0,1,16,16,0,146,6.2,,,Calder-2
Ab McDonald,25,CBH,LW,65,22,18,40,4,8,12,9,1,4,12,6,0,159,13.8,,,
Ed Litzenberger,29,2TM,RW,69,18,22,40,3,14,14,4,0,2,17,4,1,160,11.3,,,ASG
Ed Litzenberger,29,DET,RW,32,8,12,20,-5,4,5,3,0,0,7,4,1,83,9.6,,,
Ed Litzenberger,29,TOR,RW,37,10,10,20,8,10,9,1,0,2,10,0,0,77,13.0,,,
Bob Pulford,25,TOR,C,70,18,21,39,-4,95,13,3,2,1,18,3,0,210,8.6,,,ASG
Camille Henry,29,NYR,C,60,23,15,38,-13,8,17,6,0,0,11,4,0,131,17.6,,,Byng-5
Tim Horton,32,TOR,D,70,10,28,38,35,88,8,2,0,0,21,6,1,140,7.1,,,ASG
Dick Duff,25,TOR,LW,51,17,20,37,32,37,15,2,0,2,18,2,0,144,11.8,,,ASG
Bill Gadsby,34,DET,D,70,7,30,37,-12,88,7,0,0,1,22,7,1,146,4.8,,,
Kenny Wharram,28,CBH,RW,62,14,23,37,8,22,14,0,0,1,17,5,1,105,13.3,,,
Bert Olmstead,35,TOR,LW,56,13,23,36,-2,10,10,2,1,1,14,9,0,122,10.7,,,
Allan Stanley,35,TOR,D,60,9,26,35,25,24,5,4,0,1,19,7,0,87,10.3,,,ASG
Phil Goyette,28,MTL,C,69,7,27,34,2,16,5,2,0,2,23,4,0,108,6.5,,,
Murray Balfour,25,CBH,RW,49,15,15,30,7,70,15,0,0,1,13,2,0,102,14.7,,,
Doug Harvey,37,NYR,D,69,6,24,30,-9,42,2,3,1,3,14,10,0,77,7.8,,,"ASG,ASnhl-1,Hart-2,Norris-1"
Eric Nesterenko,28,CBH,C,68,15,14,29,-7,97,14,0,1,0,14,0,0,109,13.8,,,
Charlie Burns,25,BOS,C,70,11,17,28,-17,43,6,2,3,2,16,0,1,139,7.9,,,
Ted Hampson,25,NYR,C,68,4,24,28,-10,10,4,0,0,0,21,2,1,89,4.5,,,
Ron Murphy,28,CBH,LW,60,12,16,28,4,41,11,1,0,4,16,0,0,120,10.0,,,
Ken Schinkel,29,NYR,RW,65,7,21,28,-12,17,7,0,0,1,17,3,1,117,6.0,,,
Jean-Guy Gendron,27,NYR,LW,69,14,11,25,-22,71,11,3,0,1,10,1,0,119,11.8,,,
Billy Harris,26,TOR,C,67,15,10,25,14,12,14,1,0,2,8,2,0,92,16.3,,,ASG
Albert Langlois,27,NYR,D,69,7,18,25,-10,90,6,1,0,2,15,3,0,105,6.7,,,
Moose Vasko,26,CBH,D,64,2,22,24,16,87,2,0,0,0,19,2,1,98,2.0,,,
Leo Boivin,29,BOS,D,65,5,18,23,-46,70,4,0,1,0,18,0,0,123,4.1,,,ASG
Carl Brewer,23,TOR,D,67,1,22,23,47,89,1,0,0,0,20,2,0,133,0.8,,,"ASG,ASnhl-2,Norris-4"
André Pronovost,25,BOS,LW,70,15,8,23,-33,74,13,2,0,1,8,0,0,131,11.5,,,
Pat Hannigan,25,NYR,LW,56,8,14,22,7,34,7,1,0,1,11,2,1,62,12.9,,,
Marcel Bonin,29,MTL,W,33,7,14,21,12,41,7,0,0,1,12,2,0,71,9.9,,,
Harry Howell,29,NYR,D,66,6,15,21,-10,89,5,1,0,1,15,0,0,122,4.9,,,
Gerry Melnyk,27,CBH,C,63,5,16,21,3,2,5,0,0,1,14,2,0,69,7.2,,,
Eddie Shack,24,TOR,LW,44,7,14,21,-3,62,7,0,0,3,13,1,0,76,9.2,,,ASG
Wayne Connelly,22,BOS,C,61,8,12,20,-28,34,8,0,0,0,12,0,0,127,6.3,,,Calder-4
J.C. Tremblay,23,MTL,D,70,3,17,20,48,18,2,1,0,0,17,0,0,84,3.6,,,
Claude Laforge,25,DET,LW,38,10,9,19,1,20,7,3,0,1,7,2,0,101,9.9,,,
Tom Johnson,33,MTL,D,62,1,17,18,27,43,1,0,0,0,15,1,1,67,1.5,,,
Bruce MacGregor,20,DET,C,66,6,12,18,-12,16,6,0,0,1,12,0,0,73,8.2,,,Calder-5
Marcel Pronovost,31,DET,D,70,4,14,18,-11,38,4,0,0,0,13,1,0,124,3.2,,,
Jack Evans,33,CBH,D,70,3,14,17,7,80,1,0,2,0,12,1,1,59,5.1,,,ASG
Warren Godfrey,30,DET,D,69,4,13,17,-11,84,4,0,0,0,11,0,2,110,3.6,,,
Ron Stewart,29,TOR,C,60,8,9,17,5,16,7,1,0,2,7,0,2,80,10.0,,,ASG
Reggie Fleming,25,CBH,W,70,7,9,16,5,71,7,0,0,1,9,0,0,76,9.2,,,
Dave Balon,23,NYR,LW,30,4,11,15,1,11,4,0,0,0,11,0,0,62,6.5,,,
Bob Baun,25,TOR,D,65,4,11,15,34,94,4,0,0,0,11,0,0,81,4.9,,,ASG
Lou Fontinato,30,MTL,D,54,2,13,15,55,167,2,0,0,0,12,0,1,63,3.2,,,
Howie Glover,26,DET,RW,39,7,8,15,-6,44,5,2,0,0,6,2,0,84,8.3,,,
Terry Gray,23,BOS,RW,42,8,7,15,-27,15,7,1,0,0,7,0,0,70,11.4,,,
Johnny Wilson,32,NYR,LW,40,11,3,14,3,14,10,1,0,2,2,0,1,63,17.5,,,
Dollard St. Laurent,32,CBH,D,64,0,13,13,9,44,0,0,0,0,12,0,1,94,0.0,,,
Parker MacDonald,28,DET,C,32,5,7,12,-11,8,4,1,0,1,4,3,0,72,6.9,,,
Jean Ratelle,21,NYR,C,31,4,8,12,-8,4,4,0,0,1,5,3,0,43,9.3,,,
Irv Spencer,24,NYR,D,43,2,10,12,0,31,2,0,0,1,8,2,0,36,5.6,,,
