Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Wayne Gretzky,21,EDM,C,80,92,120,212,80,26,68,18,6,12,79,39,2,370,24.9,,,"ASG,ASnhl-1,Byng-3,Hart-1,Ross-1,Pearson-1"
Mike Bossy,25,NYI,RW,80,64,83,147,69,22,47,17,0,10,53,30,0,301,21.3,,,"ASG,ASnhl-1,Byng-2,Hart-3"
Peter Šťastný,25,QUE,C,80,46,93,139,-10,91,27,16,3,3,59,33,1,227,20.3,,,"ASG,ASnhl-3,Hart-4"
Dennis Maruk,26,WSH,C,80,60,76,136,-7,128,38,20,2,1,38,37,1,268,22.4,,,"ASG,ASnhl-4,ASnhl-7,Hart-6"
Bryan Trottier,25,NYI,C,80,50,79,129,70,88,30,18,2,10,57,17,5,217,23.0,,,"ASG,ASnhl-2,Hart-2"
Denis Savard,20,CBH,C,80,32,87,119,0,82,24,8,0,4,49,38,0,231,13.9,,,"ASG,ASnhl-5,Byng-11,Hart-10"
Marcel Dionne,30,LAK,C,78,50,67,117,-10,50,32,17,1,5,41,26,0,346,14.5,,,"ASnhl-8,Byng-15"
Bobby Smith,23,MNS,C,80,43,71,114,10,82,23,20,0,4,56,15,0,261,16.5,,,"ASG,ASnhl-7,ASnhl-13,Hart-10,Selke-22"
Dino Ciccarelli,21,MNS,RW,76,55,51,106,14,138,35,20,0,4,34,17,0,289,19.0,,,"ASG,ASnhl-3,Hart-15"
Dave Taylor,26,LAK,RW,78,39,67,106,-3,130,26,13,0,3,38,28,1,232,16.8,,,"ASG,ASnhl-4"
Glenn Anderson,21,EDM,RW,80,38,67,105,45,71,29,9,0,8,52,15,0,252,15.1,,,"ASnhl-5,ASnhl-7"
Dale Hawerchuk,18,WIN,C,80,45,58,103,-7,47,33,12,0,2,34,22,2,339,13.3,,,"ASG,ASnhl-6,Byng-20,Hart-5,Calder-1"
Mike Rogers,27,NYR,C,80,38,65,103,1,43,31,6,1,2,34,31,0,213,17.8,,,Byng-15
Neal Broten,22,MNS,C,73,38,60,98,14,42,29,7,2,4,39,19,2,188,20.2,,,"ASnhl-8,Byng-7,Calder-4,Selke-13"
Réal Cloutier,25,QUE,RW,67,37,60,97,27,34,29,8,0,5,34,26,0,214,17.3,,,Byng-9
Rick Middleton,28,BOS,RW,75,51,43,94,15,12,31,19,1,9,27,14,2,202,25.2,,,"ASG,ASnhl-2,Byng-1,Hart-8"
John Tonelli,24,NYI,LW,80,35,58,93,48,57,30,5,0,5,46,12,0,165,21.2,,,"ASG,ASnhl-2,Selke-5"
Bernie Federko,25,STL,C,74,30,62,92,-11,70,18,12,0,6,47,15,0,177,16.9,,,
Ken Linseman,23,PHI,C,79,24,68,92,6,275,19,2,3,0,46,22,0,212,11.3,,,
Morris Lukowich,25,WIN,LW,77,43,49,92,-4,102,30,13,0,6,36,13,0,229,18.8,,,"ASnhl-4,Byng-17,Selke-13"
Barry Pederson,20,BOS,C,80,44,48,92,27,53,27,13,4,7,30,17,1,197,22.3,,,"Byng-20,Calder-2"
Brian Propp,22,PHI,LW,80,44,47,91,19,117,31,13,0,6,24,22,1,290,15.2,,,"ASG,ASnhl-8"
Blaine Stoughton,28,HAR,LW,80,52,39,91,-17,57,38,13,1,4,23,16,0,266,19.5,,,"ASG,ASnhl-9"
Bill Barber,29,PHI,LW,80,45,44,89,2,85,28,13,4,6,18,26,0,350,12.9,,,"ASG,ASnhl-3,Hart-15,Selke-13"
Paul Coffey,20,EDM,D,80,29,60,89,35,106,16,13,0,1,34,23,3,234,12.4,,,"ASG,ASnhl-3,Norris-3"
Marián Šťastný,29,QUE,RW,74,35,54,89,-5,27,22,13,0,3,37,17,0,174,20.1,,,"ASnhl-9,Calder-8"
Rick Vaive,22,TOR,RW,77,54,35,89,12,157,37,12,5,6,28,6,1,267,20.2,,,"ASG,ASnhl-6"
Keith Acton,23,MTL,C,78,36,52,88,47,88,26,10,0,5,42,10,0,218,16.5,,,"ASG,Selke-13"
Mark Messier,21,EDM,LW,78,50,38,88,20,119,40,10,0,3,32,5,1,235,21.3,,,"ASG,ASnhl-1,Byng-17"
Ryan Walter,23,WSH,LW,78,38,49,87,-4,142,18,19,1,3,35,14,0,183,20.8,,,"ASnhl-9,Selke-8"
Mel Bridgman,26,2TM,LW,72,33,54,87,17,141,22,9,2,4,41,12,1,163,20.2,,,
Mel Bridgman,26,PHI,C,9,7,5,12,0,47,4,3,0,1,5,0,0,22,31.8,,,
Mel Bridgman,26,CGY,LW,63,26,49,75,17,94,18,6,2,3,36,12,1,141,18.4,,,
Thomas Gradin,25,VAN,C,76,37,49,86,15,32,28,6,3,4,35,14,0,183,20.2,,,Byng-11
Jari Kurri,21,EDM,LW,71,32,54,86,39,32,25,6,1,5,40,11,3,211,15.2,,,
Rick Kehoe,30,PIT,RW,71,33,52,85,-27,8,16,17,0,1,19,33,0,249,13.3,,,Byng-4
Doug Wilson,24,CBH,D,76,39,46,85,1,54,24,14,1,3,27,18,1,326,12.0,,,"ASG,ASnhl-1,Hart-9,Norris-1"
Bill Derlago,23,TOR,C,75,34,50,84,5,42,28,6,0,2,34,13,3,198,17.2,,,
Michel Goulet,21,QUE,LW,80,42,42,84,35,48,28,8,6,3,33,5,4,250,16.8,,,"ASnhl-10,Selke-22"
Guy Lafleur,30,MTL,RW,66,27,57,84,32,24,18,9,0,3,43,14,0,233,11.6,,,"ASnhl-8,Byng-11"
Tom Lysiak,28,CBH,C,71,32,50,82,-8,84,20,10,2,3,34,15,1,170,18.8,,,
Lanny McDonald,28,2TM,RW,71,40,42,82,19,57,29,10,1,4,27,15,0,243,16.5,,,
Lanny McDonald,28,CLR,RW,16,6,9,15,-3,20,6,0,0,1,6,3,0,65,9.2,,,
Lanny McDonald,28,CGY,RW,55,34,33,67,22,37,23,10,1,3,21,12,0,178,19.1,,,
Mark Napier,25,MTL,LW,80,40,41,81,48,14,31,9,0,5,35,6,0,186,21.5,,,"ASnhl-9,Byng-5"
Guy Chouinard,25,CGY,C,64,23,57,80,-5,12,10,13,0,4,36,21,0,182,12.6,,,
Mike Gartner,22,WSH,RW,80,35,45,80,-12,121,28,5,2,5,35,10,0,301,11.6,,,
Blake Dunlop,28,STL,C,77,25,53,78,-6,32,14,10,1,1,36,17,0,129,19.4,,,
Steve Payne,23,MNS,LW,74,33,45,78,20,76,22,11,0,3,31,14,0,239,13.8,,,
Stan Smyl,24,VAN,RW,80,34,44,78,18,144,22,10,2,5,34,10,0,222,15.3,,,
Clark Gillies,27,NYI,LW,79,38,39,77,39,75,30,8,0,5,33,6,0,200,19.0,,,"ASnhl-5,ASnhl-22"
Craig Hartsburg,22,MNS,D,76,17,60,77,11,117,12,5,0,2,31,29,0,204,8.3,,,"ASG,ASnhl-5,Norris-4"
Mike Foligno,23,2TM,RW,82,33,44,77,18,177,26,7,0,6,38,6,0,194,17.0,,,
Mike Foligno,23,DET,RW,26,13,13,26,-2,28,10,3,0,0,12,1,0,70,18.6,,,
Mike Foligno,23,BUF,RW,56,20,31,51,20,149,16,4,0,6,26,5,0,124,16.1,,,
Dave Christian,22,WIN,C,80,25,51,76,-40,28,18,6,1,3,28,23,0,218,11.5,,,Selke-22
Ron Duguay,24,NYR,RW,72,40,36,76,16,82,29,10,1,3,27,9,0,202,19.8,,,"ASG,ASnhl-9"
Peter McNab,29,BOS,C,80,36,40,76,1,19,24,11,1,5,21,19,0,172,20.9,,,Byng-7
Mark Pavelich,23,NYR,C,79,33,43,76,19,67,18,12,3,3,34,8,1,181,18.2,,,Calder-5
Randy Carlyle,25,PIT,D,73,11,64,75,-16,131,3,7,1,0,31,33,0,193,5.7,,,"ASG,ASnhl-12,Norris-13"
Al Secord,23,CBH,LW,80,44,31,75,-17,303,30,14,0,6,20,11,0,215,20.5,,,"ASG,ASnhl-6,Hart-15,Selke-13"
Brian Sutter,25,STL,LW,74,39,36,75,-3,239,25,14,0,3,24,12,0,195,20.0,,,"ASG,ASnhl-12,Hart-15"
Pat Boutette,29,PIT,LW,80,23,51,74,-23,230,8,14,1,2,23,27,1,140,16.4,,,
Dave Lumley,27,EDM,RW,66,32,42,74,14,96,27,4,1,6,34,7,1,148,21.6,,,
Ivan Boldirev,32,VAN,C,78,33,40,73,-17,45,23,10,0,4,22,18,0,202,16.3,,,
Gilbert Perreault,31,BUF,C,62,31,42,73,19,40,29,2,0,4,34,8,0,155,20.0,,,
Mario Tremblay,25,MTL,RW,80,33,40,73,24,66,26,7,0,4,31,9,0,205,16.1,,,
Ron Flockhart,21,PHI,C,72,33,39,72,19,44,23,10,0,2,26,13,0,240,13.8,,,Calder-7
Dale Hunter,21,QUE,C,80,22,50,72,26,272,20,0,2,1,41,4,5,124,17.7,,,Selke-7
Anton Šťastný,22,QUE,LW,68,26,46,72,-29,16,16,10,0,4,31,15,0,137,19.0,,,ASnhl-15
Wilf Paiement,26,2TM,RW,77,25,46,71,-20,221,13,9,3,2,36,9,1,210,11.9,,,
Wilf Paiement,26,TOR,RW,69,18,40,58,-19,203,11,6,1,1,32,8,0,186,9.7,,,
Wilf Paiement,26,QUE,RW,8,7,6,13,-1,18,2,3,2,1,4,1,1,24,29.2,,,
Pierre Larouche,26,2TM,C,67,34,37,71,-21,12,19,14,1,1,23,14,0,161,21.1,,,Byng-20
Pierre Larouche,26,MTL,C,22,9,12,21,-3,0,6,3,0,0,6,6,0,40,22.5,,,
Pierre Larouche,26,HAR,C,45,25,25,50,-18,12,13,11,1,1,17,8,0,121,20.7,,,
Marc Tardif,32,QUE,C,75,39,31,70,-18,55,25,14,0,3,16,15,0,166,23.5,,,ASG
Darryl Sittler,31,2TM,C,73,32,38,70,-14,74,19,10,3,2,31,7,0,241,13.3,,,
Darryl Sittler,31,TOR,C,38,18,20,38,-13,24,11,5,2,0,15,5,0,127,14.2,,,
Darryl Sittler,31,PHI,C,35,14,18,32,-1,50,8,5,1,2,16,2,0,114,12.3,,,
Paul Gardner,25,PIT,C,59,36,33,69,-5,28,15,21,0,2,15,18,0,157,22.9,,,Hart-15
Jörgen Pettersson,25,STL,LW,77,38,31,69,-4,28,30,8,0,2,20,11,0,227,16.7,,,"ASnhl-16,Byng-17,Selke-9"
Doug Sulliman,22,HAR,RW,77,29,40,69,-14,39,24,5,0,4,24,16,0,197,14.7,,,
Don Lever,29,2TM,C,82,30,39,69,-24,26,26,4,0,1,29,9,1,191,15.7,,,ASG
Don Lever,29,CGY,C,23,8,11,19,-14,6,7,1,0,0,7,4,0,55,14.5,,,
Don Lever,29,CLR,LW,59,22,28,50,-10,20,19,3,0,1,22,5,1,136,16.2,,,
Dale McCourt,25,2TM,C,78,33,36,69,-4,18,23,9,1,2,27,9,0,206,16.0,,,
Dale McCourt,25,DET,C,26,13,14,27,-3,6,8,5,0,0,11,3,0,84,15.5,,,
Dale McCourt,25,BUF,C,52,20,22,42,-1,12,15,4,1,2,16,6,0,122,16.4,,,
Dave Babych,20,WIN,D,79,19,49,68,-9,92,8,11,0,2,22,27,0,262,7.3,,,ASnhl-14
Jim Fox,21,LAK,RW,77,30,38,68,-15,23,24,5,1,0,33,5,0,157,19.1,,,
Ron Francis,18,HAR,C,59,25,43,68,-15,51,13,12,0,1,29,14,0,163,15.3,,,Calder-10
Pierre Mondou,26,MTL,C,73,35,33,68,18,57,25,8,2,4,28,5,0,146,24.0,,,
Pekka Rautakallio,28,CGY,D,80,17,51,68,-9,40,12,5,0,3,32,19,0,176,9.7,,,ASG
John Van Boxmeer,29,BUF,D,69,14,54,68,23,62,7,7,0,1,28,26,0,196,7.1,,,"ASnhl-11,Norris-11"
Bobby Carpenter,18,WSH,LW,80,32,35,67,-24,69,24,7,1,3,30,5,0,262,12.2,,,Calder-8
Curt Fraser,24,VAN,LW,79,28,39,67,2,175,17,11,0,5,32,7,0,233,12.0,,,
Mark Osborne,20,DET,LW,80,26,41,67,-6,61,21,5,0,3,36,5,0,181,14.4,,,
Jim Peplinski,21,CGY,C,74,30,37,67,0,115,24,3,3,5,30,7,0,141,21.3,,,
Chris Valentine,20,WSH,C,60,30,37,67,-17,92,12,18,0,5,19,18,0,154,19.5,,,
Ray Bourque,21,BOS,D,65,17,49,66,21,51,13,4,0,2,25,21,3,211,8.1,,,"ASG,ASnhl-2,Hart-15,Norris-2"
Larry Murphy,20,LAK,D,79,22,44,66,-12,95,13,8,1,2,24,19,1,191,11.5,,,
Yvon Lambert,31,BUF,LW,77,25,39,64,22,38,11,14,0,4,30,9,0,108,23.1,,,
Mike Bullard,20,PIT,C,75,36,27,63,-2,91,26,10,0,5,18,9,0,145,24.8,,,
Bobby Clarke,32,PHI,C,62,17,46,63,28,154,14,2,1,3,33,11,2,110,15.5,,,Selke-22
Risto Siltanen,23,EDM,D,63,15,48,63,13,26,8,7,0,1,22,26,0,143,10.5,,,
Kevin LaVallee,20,CGY,LW,75,32,29,61,-9,30,26,6,0,3,24,5,0,169,18.9,,,
Al MacAdam,29,MNS,RW,79,18,43,61,9,37,11,5,2,4,35,7,1,141,12.8,,,Selke-21
Paul MacLean,23,WIN,RW,74,36,25,61,-8,106,24,12,0,1,16,9,0,164,22.0,,,
Denis Potvin,28,NYI,D,60,24,37,61,39,83,12,11,1,4,18,18,1,169,14.2,,,"ASnhl-10,Norris-8"
Paul Reinhart,22,CGY,D,62,13,48,61,1,17,5,8,0,0,21,26,1,116,11.2,,,Byng-20
Bob MacMillan,29,2TM,RW,80,22,39,61,-20,41,18,4,0,1,30,9,0,132,16.7,,,
Bob MacMillan,29,CGY,RW,23,4,7,11,-11,14,3,1,0,0,5,2,0,26,15.4,,,
Bob MacMillan,29,CLR,RW,57,18,32,50,-9,27,15,3,0,1,25,7,0,106,17.0,,,
Brent Ashton,21,CLR,LW,80,24,36,60,-31,26,20,4,0,4,26,9,1,182,13.2,,,
Bengt-Åke Gustafsson,23,WSH,RW,70,26,34,60,-22,40,23,3,0,2,25,9,0,144,18.1,,,
Ivan Hlinka,32,VAN,C,72,23,37,60,21,16,16,7,0,2,33,4,0,152,15.1,,,
Reed Larson,25,DET,D,80,21,39,60,-17,112,15,4,2,2,28,10,1,311,6.8,,,ASnhl-22
Matti Hagman,26,EDM,C,72,21,38,59,12,18,16,5,0,2,28,10,0,94,22.3,,,
Willy Lindström,30,WIN,RW,74,32,27,59,12,33,27,5,0,5,22,5,0,236,13.6,,,
Joe Mullen,24,STL,RW,45,25,34,59,11,4,15,10,0,3,23,11,0,141,17.7,,,Calder-11
