Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Dickie Moore,27,MTL,LW,70,36,48,84,65,21,14,1,9,28,20,0,,,"ASG,ASnhl-1,Hart-8,Ross-1"
Henri Richard,21,MTL,C,67,28,52,80,58,22,6,0,3,38,14,0,,,"ASG,ASnhl-1,Byng-5,Hart-4"
Andy Bathgate,25,NYR,RW,65,30,48,78,42,23,6,1,4,21,24,3,,,"ASG,ASnhl-2,Hart-2"
Gordie Howe,29,DET,RW,64,33,44,77,38,20,10,3,7,29,14,1,,,"ASG,ASnhl-1,Hart-1"
Bronco Horvath,27,BOS,C,67,30,36,66,71,27,3,0,3,29,7,0,,,
Ed Litzenberger,25,CBH,C,70,32,30,62,63,24,8,0,4,19,8,3,,,ASG
Fleming Mackell,28,BOS,C,70,20,40,60,72,11,6,3,2,27,6,7,,,Hart-9
Jean Béliveau,26,MTL,C,55,27,32,59,93,21,6,0,5,15,17,0,,,"ASG,ASnhl-2"
Alex Delvecchio,25,DET,C,70,21,38,59,22,16,1,4,4,24,14,0,,,ASG
Don McKenney,23,BOS,C,70,28,30,58,22,21,6,1,4,23,6,1,,,"ASG,Byng-3"
Camille Henry,25,NYR,LW,70,32,24,56,0,13,19,0,5,12,12,0,,,"ASG,ASnhl-2,Byng-1,Hart-7"
Vic Stasiuk,28,BOS,RW,70,21,35,56,55,17,4,0,3,31,4,0,,,
Johnny Bucyk,22,BOS,LW,68,21,31,52,57,20,1,0,4,27,4,0,,,
Dave Creighton,27,NYR,C,70,17,35,52,40,11,6,0,2,18,17,0,,,
Claude Provost,24,MTL,RW,70,19,32,51,73,17,2,0,5,30,2,0,,,ASG
Norm Ullman,22,DET,C,69,23,28,51,38,15,8,0,3,21,6,1,,,
Bernie Geoffrion,26,MTL,RW,42,27,23,50,51,17,10,0,1,17,6,0,,,ASG
Dick Duff,21,TOR,LW,65,26,23,49,79,22,3,1,1,18,5,0,,,ASG
Jerry Toppazzini,26,BOS,RW,64,25,24,49,51,12,5,8,2,17,5,2,,,ASG
Bobby Hull,19,CBH,LW,70,13,34,47,60,10,3,0,1,26,8,0,,,Calder-2
Bill Gadsby,30,NYR,D,65,14,32,46,48,5,8,1,1,17,14,1,,,"ASG,ASnhl-1,Hart-6,Norris-2"
Phil Goyette,24,MTL,C,70,9,37,46,6,8,1,0,1,33,4,0,,,"ASG,Calder-3"
Red Sullivan,28,NYR,C,70,11,35,46,61,9,0,2,2,33,2,0,,,ASG
Andy Hebenton,28,NYR,RW,70,21,24,45,17,19,2,0,3,14,10,0,,,
Billy Harris,22,TOR,C,68,16,28,44,32,11,5,0,4,24,4,0,,,ASG
Brian Cullen,24,TOR,C,67,20,23,43,25,14,6,0,2,16,7,0,,,
George Armstrong,27,TOR,RW,59,17,25,42,93,13,4,0,1,15,9,1,,,
