Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Barry Cullen,22,TOR,RW,70,16,25,41,31,12,4,0,3,19,6,0,,,
Doug Harvey,33,MTL,D,68,9,32,41,131,5,4,0,5,16,15,1,,,"ASG,ASnhl-1,Hart-3,Norris-1"
Don Marshall,25,MTL,C,68,22,19,41,14,13,7,2,1,15,4,0,,,"ASG,Byng-2"
Marcel Bonin,25,MTL,LW,66,15,24,39,37,14,1,0,3,18,6,0,,,ASG
Ted Lindsay,32,CBH,LW,68,15,24,39,110,10,5,0,3,17,7,0,,,
Larry Regan,27,BOS,RW,59,11,28,39,22,9,2,0,4,18,9,1,,,
Ron Stewart,25,TOR,RW,70,15,24,39,51,10,4,1,4,15,8,1,,,Norris-4
Johnny Wilson,28,DET,LW,70,12,27,39,14,9,3,0,3,19,7,1,,,
Eric Nesterenko,24,CBH,RW,70,20,18,38,104,13,5,2,2,13,4,1,,,
Tod Sloan,30,TOR,C,59,13,25,38,61,10,3,0,0,18,7,0,,,
Bert Olmstead,31,MTL,LW,57,9,28,37,69,6,3,0,2,19,9,0,,,
Frank Mahovlich,20,TOR,LW,67,20,16,36,67,15,5,0,2,10,6,0,,,Calder-1
Glen Skov,27,CBH,C,70,17,18,35,35,14,2,1,3,13,4,1,,,
Larry Popein,27,NYR,C,70,12,22,34,22,11,0,1,1,18,2,2,,,
Maurice Richard,36,MTL,RW,28,15,19,34,28,10,5,0,2,15,4,0,,,ASG
Red Kelly,30,DET,D,61,13,18,31,26,9,3,1,2,10,5,3,,,ASG
Bob Pulford,21,TOR,LW,70,14,17,31,48,11,3,0,1,10,7,0,,,
Allan Stanley,31,BOS,D,69,6,25,31,37,5,0,1,1,17,5,3,,,
Nick Mickoski,30,2TM,LW,65,13,18,31,48,13,0,0,3,15,2,1,,,
Nick Mickoski,30,CBH,LW,28,5,6,11,20,5,0,0,1,5,1,0,,,
Nick Mickoski,30,DET,LW,37,8,12,20,28,8,0,0,2,10,1,1,,,
Danny Lewicki,26,NYR,LW,70,11,19,30,26,9,2,0,3,14,5,0,,,
Pierre Pilote,26,CBH,D,70,6,24,30,91,5,1,0,0,17,7,0,,,
Ron Murphy,24,CBH,LW,69,11,17,28,30,10,0,1,3,14,3,0,,,
André Pronovost,21,MTL,LW,66,16,12,28,53,15,1,0,4,12,0,0,,,ASG
Jean-Guy Gendron,23,NYR,LW,70,10,17,27,66,8,2,0,5,11,5,1,,,
Forbes Kennedy,22,DET,C,70,11,16,27,135,11,0,0,1,12,3,1,,,
Tim Horton,28,TOR,D,53,6,20,26,39,6,0,0,0,17,3,0,,,
Moose Vasko,22,CBH,D,59,6,20,26,51,3,2,1,2,12,8,0,,,
Jack McIntyre,27,2TM,RW,68,15,11,26,14,13,2,0,3,11,0,0,,,
Jack McIntyre,27,CBH,RW,27,0,4,4,10,0,0,0,0,4,0,0,,,
Jack McIntyre,27,DET,LW,41,15,7,22,4,13,2,0,3,7,0,0,,,
Dutch Reibel,27,2TM,C,69,8,17,25,10,6,2,0,1,12,5,0,,,
Dutch Reibel,27,DET,C,29,4,5,9,4,2,2,0,1,3,2,0,,,
Dutch Reibel,27,CBH,C,40,4,12,16,6,4,0,0,0,9,3,0,,,
Gary Aldcorn,22,TOR,LW,59,10,14,24,12,10,0,0,1,12,2,0,,,
Jim Morrison,26,TOR,D,70,3,21,24,62,2,1,0,0,18,2,1,,,
Dollard St. Laurent,28,MTL,D,64,3,20,23,72,3,0,0,1,20,0,0,,,ASG
Larry Hillman,20,BOS,D,70,3,19,22,60,3,0,0,1,18,1,0,,,
Dean Prentice,25,NYR,LW,38,13,9,22,14,10,2,1,2,9,0,0,,,Byng-4
Tom Johnson,29,MTL,D,66,3,18,21,75,3,0,0,0,10,6,2,,,ASG
Leo Labine,26,BOS,RW,62,7,14,21,60,6,1,0,1,13,1,0,,,
Rudy Migay,29,TOR,C,48,7,14,21,18,4,1,2,2,11,2,1,,,
Doug Mohns,24,BOS,LW,54,5,16,21,28,4,1,0,1,8,8,0,,,ASG
Billy Dea,24,2TM,C,63,9,12,21,10,9,0,0,2,11,1,0,,,
Billy Dea,24,DET,C,29,4,4,8,6,4,0,0,1,3,1,0,,,
Billy Dea,24,CBH,C,34,5,8,13,4,5,0,0,1,8,0,0,,,
Bob Bailey,26,2TM,RW,63,9,12,21,79,9,0,0,1,11,1,0,,,
Bob Bailey,26,CBH,RW,28,3,6,9,38,3,0,0,0,6,0,0,,,
Bob Bailey,26,DET,RW,35,6,6,12,41,6,0,0,1,5,1,0,,,
Marcel Pronovost,27,DET,D,62,2,18,20,52,2,0,0,0,15,2,1,,,"ASG,ASnhl-2,Norris-5"
Jean-Guy Talbot,25,MTL,D,55,4,15,19,67,4,0,0,1,12,3,0,,,
Lorne Ferguson,27,2TM,LW,53,7,12,19,22,6,1,0,1,11,0,1,,,
Lorne Ferguson,27,DET,LW,16,1,3,4,0,0,1,0,0,3,0,0,,,
Lorne Ferguson,27,CBH,LW,37,6,9,15,22,6,0,0,1,8,0,1,,,
Bill Dineen,25,2TM,RW,63,6,13,19,10,5,1,0,1,12,1,0,,,
Bill Dineen,25,DET,RW,22,2,4,6,2,2,0,0,0,3,1,0,,,
Bill Dineen,25,CBH,RW,41,4,9,13,8,3,1,0,1,9,0,0,,,
Real Chevrefils,25,BOS,LW,44,9,9,18,21,8,1,0,0,7,2,0,,,
Warren Godfrey,26,DET,D,67,2,16,18,56,2,0,0,0,15,1,0,,,
Parker MacDonald,24,NYR,LW,70,8,10,18,28,8,0,0,0,10,0,0,,,
Don Poile,25,DET,C,63,7,9,16,12,4,3,0,1,5,4,0,,,
Fern Flaman,31,BOS,D,66,0,15,15,73,0,0,0,0,13,0,2,,,"ASG,ASnhl-2,Norris-3"
Billy McNeill,22,DET,RW,35,5,10,15,29,4,1,0,0,8,2,0,,,
Gus Mortson,33,CBH,D,67,3,10,13,60,2,1,0,0,7,3,0,,,
Jack Evans,29,NYR,D,70,4,8,12,108,3,1,0,2,7,1,0,,,
Ed Kachur,23,CBH,RW,62,5,7,12,14,3,2,0,0,7,0,0,,,
Lou Fontinato,26,NYR,D,70,3,8,11,152,2,1,0,0,8,0,0,,,
Harry Howell,25,NYR,D,70,4,7,11,62,3,0,1,1,7,0,0,,,
Paul Masnick,26,TOR,C,41,2,9,11,14,0,1,1,0,9,0,0,,,
Jimmy Thomson,30,CBH,D,70,4,7,11,75,4,0,0,1,7,0,0,,,
Bob Baun,21,TOR,D,67,1,9,10,91,1,0,0,0,9,0,0,,,Calder-5
Ian Cushenan,24,CBH,D,61,2,8,10,67,0,1,1,1,8,0,0,,,ASG
Gene Achtymichuk,25,MTL,C,16,3,5,8,2,3,0,0,0,5,0,0,,,
Buddy Boone,25,BOS,RW,34,5,3,8,28,4,1,0,0,3,0,0,,,
Hank Ciesla,23,NYR,C,62,2,6,8,14,2,0,0,1,6,0,0,,,
Marc Reaume,23,TOR,D,68,1,7,8,49,1,0,0,0,5,2,0,,,
Al Arbour,25,DET,D,69,1,6,7,104,1,0,0,0,6,0,0,,,
Gerry Foley,25,NYR,RW,68,2,5,7,39,2,0,0,0,5,0,0,,,
Hec Lalande,23,2TM,C,34,2,4,6,12,2,0,0,0,2,2,0,,,
Hec Lalande,23,CBH,C,23,2,2,4,10,2,0,0,0,0,2,0,,,
Hec Lalande,23,DET,C,11,0,2,2,2,0,0,0,0,2,0,0,,,
Bob Armstrong,26,BOS,D,47,1,4,5,66,1,0,0,0,4,0,0,,,
Jack Bionda,24,BOS,D,42,1,4,5,50,1,0,0,1,4,0,0,,,
Floyd Curry,32,MTL,RW,42,2,3,5,8,2,0,0,0,1,0,2,,,
Gerry James,23,TOR,RW,15,3,2,5,61,3,0,0,0,2,0,0,,,
Norm Johnson,25,BOS,C,15,2,3,5,8,2,0,0,0,3,0,0,,,
Leo Boivin,25,BOS,D,33,0,4,4,54,0,0,0,0,3,1,0,,,
Johnny Peirson,32,BOS,RW,52,2,2,4,6,1,0,1,0,2,0,0,,,
Connie Broden,25,MTL,C,3,2,1,3,0,1,1,0,0,1,0,0,,,
Gord Hollingworth,24,DET,D,27,1,2,3,22,1,0,0,0,2,0,0,,,
Tony Leswick,34,DET,RW,22,1,2,3,2,1,0,0,0,2,0,0,,,
Tom McCarthy,23,DET,LW,18,2,1,3,4,2,0,0,0,1,0,0,,,
Sid Smith,32,TOR,LW,12,2,1,3,2,2,0,0,0,1,0,0,,,
Stan Smrke,29,MTL,LW,5,0,3,3,0,0,0,0,0,3,0,0,,,
Bob Turner,24,MTL,D,66,0,3,3,30,0,0,0,0,3,0,0,,,
Murray Balfour,21,MTL,RW,3,1,1,2,4,1,0,0,0,1,0,0,,,
Larry Cahan,24,NYR,D,40,1,1,2,18,1,0,0,0,1,0,0,,,
Pete Goegan,23,DET,D,14,0,2,2,28,0,0,0,0,2,0,0,,,
Metro Prystai,30,DET,C,16,1,1,2,2,1,0,0,0,1,0,0,,,
Ralph Backstrom,20,MTL,C,2,0,1,1,0,0,0,0,0,1,0,0,,,ASG
Cummy Burton,21,DET,RW,25,0,1,1,12,0,0,0,0,1,0,0,,,
Jack Caffery,23,BOS,C,7,1,0,1,2,1,0,0,0,0,0,0,,,
Pete Conacher,25,TOR,LW,5,0,1,1,5,0,0,0,0,1,0,0,,,
Gerry Ehman,25,BOS,RW,1,1,0,1,0,1,0,0,0,0,0,0,,,
Bill McCreary,23,DET,LW,3,1,0,1,0,1,0,0,0,0,0,0,,,
Ken Mosdell,35,MTL,RW,2,0,1,1,0,0,0,0,0,1,0,0,,,
Murray Oliver,20,DET,C,1,0,1,1,0,0,0,0,0,1,0,0,,,
Brian Smith,20,DET,LW,4,0,1,1,0,0,0,0,0,1,0,0,,,
John Aiken,26,MTL,G,1,0,0,0,0,,,,,0,,,33:45,,
Dave Amadio,18,DET,D,2,0,0,0,2,0,0,0,0,0,0,0,,,
Earl Balfour,25,TOR,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Doug Barkley,21,CBH,D,3,0,0,0,0,0,0,0,0,0,0,0,,,
Bob Beckett,21,BOS,C,9,0,0,0,2,0,0,0,0,0,0,0,,,
Jack Bownass,27,MTL,D,4,0,0,0,0,0,0,0,0,0,0,0,,,
Carl Brewer,19,TOR,D,2,0,0,0,0,0,0,0,0,0,0,0,,,
Len Broderick,19,MTL,G,1,0,0,0,0,,,,,0,,,60:00,,
Billy Carter,20,MTL,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Ed Chadwick,24,TOR,G,70,0,0,0,0,,,,,0,,,4196:51,,
Claude Evans,24,BOS,G,1,0,0,0,0,,,,,0,,,60:00,,
Guyle Fielder,27,DET,C,6,0,0,0,2,0,0,0,0,0,0,0,,,
Kenny Girard,21,TOR,RW,3,0,0,0,0,0,0,0,0,0,0,0,,,
Glenn Hall,26,CBH,G,70,0,0,0,20,,,,,0,,,4196:00,,"ASG,ASnhl-1,Hart-5"
John Hendrickson,21,DET,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Charlie Hodge,24,MTL,G,12,0,0,0,0,,,,,0,,,720:00,,
Ivan Irwin,30,NYR,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Brian Kilrea,23,DET,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Claude Laforge,21,MTL,LW,5,0,0,0,0,0,0,0,0,0,0,0,,,
Albert Langlois,23,MTL,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Harry Lumley,31,BOS,G,24,0,0,0,2,,,,,0,,,1440:00,,
Al MacNeil,22,TOR,D,13,0,0,0,9,0,0,0,0,0,0,0,,,
Frank Martin,24,CBH,D,4,0,0,0,10,0,0,0,0,0,0,0,,,
Stu McNeill,19,DET,C,3,0,0,0,0,0,0,0,0,0,0,0,,,
Al Millar,28,BOS,G,6,0,0,0,0,,,,,0,,,360:00,,
Bob Nevin,19,TOR,RW,4,0,0,0,0,0,0,0,0,0,0,0,,,
Willie O'Ree,22,BOS,LW,2,0,0,0,0,0,0,0,0,0,0,0,,,
Dennis Olson,23,DET,C,3,0,0,0,0,0,0,0,0,0,0,0,,,
Marcel Paille,25,NYR,G,33,0,0,0,0,,,,,0,,,1980:00,,Calder-4
Harry Pidhirny,29,BOS,C,2,0,0,0,0,0,0,0,0,0,0,0,,,
Jacques Plante,29,MTL,G,57,0,0,0,13,,,,,0,,,3386:15,,"ASG,ASnhl-2,Vezina-1"
Noel Price,22,TOR,D,1,0,0,0,5,0,0,0,0,0,0,0,,,
Terry Sawchuk,28,DET,G,70,0,0,0,31,,,,,0,,,4197:57,,
Don Simmons,26,BOS,G,39,0,0,0,0,,,,,0,,,2284:20,,
Gord Strate,22,DET,D,46,0,0,0,24,0,0,0,0,0,0,0,,,
Don Ward,22,CBH,D,3,0,0,0,0,0,0,0,0,0,0,0,,,
Lefty Wilson,38,BOS,G,1,0,0,0,0,,,,,0,,,51:40,,
Gump Worsley,28,NYR,G,37,0,0,0,0,,,,,0,,,2220:00,,
League Average,,,,,,,,,,,,,,,,,,
