Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Bobby Hull,21,CBH,LW,70,39,42,81,27,68,33,6,0,8,36,6,0,319,12.2,,,"ASG,ASnhl-1,Hart-2,Ross-1"
Bronco Horvath,29,BOS,C,68,39,41,80,-12,60,19,20,0,5,31,10,0,238,16.4,,,"ASG,ASnhl-2"
Andy Bathgate,27,NYR,RW,70,26,48,74,4,28,23,3,0,1,37,11,0,275,9.5,,,ASG
Jean Béliveau,28,MTL,C,60,34,40,74,20,57,22,12,0,10,24,16,0,285,11.9,,,"ASG,ASnhl-1,Hart-4"
Gordie Howe,31,DET,RW,70,28,45,73,16,46,21,5,2,5,27,17,1,354,7.9,,,"ASG,ASnhl-1,Hart-1"
Henri Richard,23,MTL,C,70,30,43,73,21,66,24,6,0,3,33,10,0,223,13.5,,,"ASG,Byng-4"
Bernie Geoffrion,28,MTL,RW,59,30,41,71,8,36,23,6,1,5,20,21,0,267,11.2,,,"ASG,ASnhl-2"
Don McKenney,25,BOS,C,70,20,49,69,-18,28,18,2,0,1,32,17,0,182,11.0,,,"ASG,Byng-1"
Vic Stasiuk,30,BOS,RW,69,29,39,68,-4,121,22,7,0,7,26,13,0,162,17.9,,,ASG
Dean Prentice,27,NYR,LW,70,32,34,66,-1,43,28,4,0,1,28,6,0,251,12.7,,,ASnhl-2
Dickie Moore,29,MTL,LW,62,22,42,64,27,54,12,10,0,2,28,14,0,176,12.5,,,ASG
Norm Ullman,24,DET,C,70,24,34,58,-19,46,20,3,1,2,27,7,0,226,10.6,,,ASG
Bill Hay,24,CBH,C,70,18,37,55,17,29,14,4,0,2,34,3,0,149,12.1,,,"ASG,Calder-1"
Johnny Bucyk,24,BOS,LW,56,16,36,52,-14,26,11,5,0,1,23,13,0,149,10.7,,,
Bob Pulford,23,TOR,C,70,24,28,52,7,81,17,1,6,2,25,1,2,231,10.4,,,ASG
Gary Aldcorn,24,DET,LW,70,22,29,51,20,32,21,1,0,3,26,2,1,161,13.7,,,
George Armstrong,29,TOR,RW,70,23,28,51,-4,62,19,3,1,2,22,6,0,183,12.6,,,
Marcel Bonin,27,MTL,LW,59,17,34,51,28,59,12,5,0,3,27,7,0,136,12.5,,,ASG
Alex Delvecchio,27,DET,C,70,19,28,47,-26,8,13,5,1,3,22,5,1,261,7.3,,,Byng-3
Andy Hebenton,30,NYR,RW,70,19,27,46,-27,4,11,8,0,1,18,8,1,172,11.0,,,"ASG,Byng-2"
Claude Provost,26,MTL,RW,70,17,29,46,7,42,15,0,2,2,27,1,1,218,7.8,,,ASG
Doug Mohns,26,BOS,LW,65,20,25,45,-6,64,16,4,0,5,19,6,0,136,14.7,,,
Pierre Pilote,28,CBH,D,70,7,38,45,20,100,2,5,0,1,27,11,0,89,7.9,,,"ASG,ASnhl-2,Norris-4"
Jerry Toppazzini,28,BOS,RW,69,12,33,45,-24,26,10,1,1,0,21,12,0,146,8.2,,,
Leo Labine,28,BOS,RW,63,16,28,44,-6,58,15,1,0,4,23,5,0,188,8.5,,,
Phil Goyette,26,MTL,C,65,21,22,43,10,4,20,1,0,5,21,1,0,128,16.4,,,Byng-5
Dick Duff,23,TOR,LW,67,19,22,41,5,53,15,4,0,2,20,2,0,180,10.6,,,
Tod Sloan,32,CBH,C,69,20,20,40,-1,52,15,5,0,4,16,4,0,185,10.8,,,
Frank Mahovlich,22,TOR,LW,70,18,21,39,-2,61,15,3,0,2,14,7,0,200,9.0,,,ASG
Murray Oliver,22,DET,C,54,20,19,39,9,16,16,4,0,3,13,6,0,156,12.8,,,Calder-2
Billy Harris,24,TOR,C,70,13,25,38,3,29,11,2,0,3,21,4,0,107,12.1,,,
Don Marshall,27,MTL,LW,70,16,22,38,19,4,14,1,1,2,17,4,1,125,12.8,,,ASG
Red Sullivan,30,NYR,C,70,12,25,37,-23,81,9,2,1,3,19,6,0,192,6.3,,,ASG
Ron Murphy,26,CBH,LW,63,15,21,36,-5,18,13,2,0,6,16,4,1,159,9.4,,,
Eric Nesterenko,26,CBH,RW,61,13,23,36,10,71,11,1,1,0,16,6,1,123,10.6,,,
Bert Olmstead,33,TOR,LW,53,15,21,36,-3,63,12,3,0,5,13,7,1,140,10.7,,,Hart-5
Larry Popein,29,NYR,C,66,14,22,36,-3,16,13,1,0,1,20,1,1,150,9.3,,,
Jean-Guy Gendron,25,BOS,LW,67,24,11,35,-3,64,23,1,0,0,10,1,0,142,16.9,,,
Maurice Richard,38,MTL,RW,51,19,16,35,18,50,13,6,0,1,11,5,0,166,11.4,,,
Ron Stewart,27,TOR,C,67,14,20,34,-2,28,12,1,1,3,17,2,1,155,9.0,,,
Allan Stanley,33,TOR,D,64,10,23,33,-1,22,7,3,0,2,16,4,3,97,10.3,,,"ASG,ASnhl-2,Norris-2"
Tim Horton,30,TOR,D,70,3,29,32,-1,69,3,0,0,0,17,9,3,171,1.8,,,
Bill Gadsby,32,NYR,D,65,9,22,31,-31,60,3,6,0,0,13,8,1,111,8.1,,,ASG
André Pronovost,23,MTL,LW,69,12,19,31,5,62,12,0,0,2,19,0,0,123,9.8,,,ASG
Johnny Wilson,30,TOR,LW,70,15,16,31,2,6,7,6,2,3,11,4,1,98,15.3,,,
Murray Balfour,23,CBH,RW,61,18,12,30,2,55,17,1,0,2,12,0,0,89,20.2,,,Calder-5
Ed Litzenberger,27,CBH,RW,52,12,18,30,-9,15,11,1,0,0,14,4,0,199,6.0,,,
Moose Vasko,24,CBH,D,69,3,27,30,14,110,2,0,1,0,20,6,1,110,2.7,,,
Brian Cullen,26,NYR,C,64,8,21,29,3,6,8,0,0,1,17,4,0,86,9.3,,,
Tom Johnson,31,MTL,D,64,4,25,29,24,59,2,2,0,2,17,7,1,108,3.7,,,"ASG,Norris-5"
Ken Schinkel,27,NYR,RW,69,13,16,29,-24,27,10,3,0,2,14,2,0,130,10.0,,,Calder-3
Red Kelly,32,2TM,D,68,12,17,29,-10,18,10,1,1,4,14,3,0,178,6.7,,,ASG
Red Kelly,32,DET,D,50,6,12,18,-9,10,4,1,1,1,11,1,0,131,4.6,,,
Red Kelly,32,TOR,C,18,6,5,11,-1,8,6,0,0,3,3,2,0,47,12.8,,,
Ralph Backstrom,22,MTL,C,64,13,15,28,-2,24,12,1,0,2,14,1,0,130,10.0,,,ASG
Gerry Ehman,27,TOR,RW,69,12,16,28,3,26,8,4,0,3,14,2,0,134,9.0,,,
Charlie Burns,23,BOS,C,62,10,17,27,-2,48,8,0,2,1,17,0,0,91,11.0,,,
