Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Phil Esposito,26,BOS,C,74,49,77,126,55,79,37,10,2,9,46,29,2,351,14.0,,,"ASG,ASnhl-1,Hart-1,Ross-1"
Bobby Hull,30,CBH,LW,74,58,49,107,12,48,36,20,2,11,33,16,0,414,14.0,,,"ASG,ASnhl-1,Byng-3,Hart-5"
Gordie Howe,40,DET,RW,76,44,59,103,45,58,35,9,0,6,43,16,0,284,15.5,,,"ASG,ASnhl-1,Hart-5"
Stan Mikita,28,CBH,C,74,30,67,97,14,52,20,7,3,2,44,23,0,299,10.0,,,ASG
Ken Hodge,24,BOS,RW,75,45,45,90,50,75,35,9,1,7,37,6,2,236,19.1,,,
Yvan Cournoyer,25,MTL,RW,76,43,44,87,18,31,29,14,0,8,30,14,0,245,17.6,,,"ASnhl-2,Hart-9"
Alex Delvecchio,36,DET,C,72,25,58,83,42,8,18,7,0,2,47,10,1,221,11.3,,,Byng-1
Jean Béliveau,37,MTL,C,69,33,49,82,15,55,26,7,0,5,36,13,0,235,14.0,,,"ASG,ASnhl-2,Hart-2"
Red Berenson,29,STL,C,76,35,47,82,26,43,27,7,1,6,33,14,0,288,12.2,,,"ASG,Byng-5,Hart-4"
Frank Mahovlich,31,DET,LW,76,49,29,78,44,38,42,7,0,5,23,6,0,293,16.7,,,"ASG,ASnhl-2"
Jean Ratelle,28,NYR,C,75,32,46,78,16,26,24,8,0,4,32,14,0,204,15.7,,,
Rod Gilbert,27,NYR,RW,66,28,49,77,13,22,20,8,0,5,33,16,0,301,9.3,,,ASG
Norm Ullman,33,TOR,C,75,35,42,77,20,39,22,13,0,2,34,8,0,247,14.2,,,"ASG,Hart-9"
Ted Hampson,32,OAK,C,76,26,49,75,-13,6,17,9,0,3,35,14,0,189,13.8,,,"ASG,Byng-2"
Jim Pappin,29,CBH,RW,75,30,40,70,7,49,27,3,0,4,28,12,0,208,14.4,,,
Bobby Rousseau,28,MTL,RW,76,30,40,70,28,59,27,3,0,8,29,11,0,278,10.8,,,ASG
Kenny Wharram,35,CBH,RW,76,30,39,69,18,19,25,5,0,4,25,14,0,167,18.0,,,
Johnny Bucyk,33,BOS,LW,70,24,42,66,-4,18,13,11,0,3,28,14,0,192,12.5,,,
Vic Hadfield,28,NYR,LW,73,26,40,66,10,108,16,10,0,4,29,11,0,321,8.1,,,
Danny Grant,22,MNS,LW,75,34,31,65,-13,46,23,11,0,2,24,7,0,189,18.0,,,"ASG,Calder-1"
Ray Cullen,27,MNS,C,67,26,38,64,-25,44,23,3,0,2,26,12,0,195,13.3,,,
Dennis Hull,24,CBH,LW,72,30,34,64,8,25,27,3,0,3,27,7,0,233,12.9,,,ASG
Bobby Orr,20,BOS,D,67,21,43,64,55,133,17,4,0,2,27,14,2,285,7.4,,,"ASG,ASnhl-1,Hart-3,Norris-1"
Jacques Lemaire,23,MTL,LW,75,29,34,63,29,29,24,5,0,4,25,9,0,330,8.8,,,
Claude Larose,26,MNS,RW,67,25,37,62,-11,106,20,5,0,3,26,11,0,268,9.3,,,ASG
