Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Jaromír Jágr,26,PIT,RW,81,44,83,127,17,66,33,10,1,7,49,34,0,343,12.8,1968:28,24:18,"ASG,ASnhl-1,ASnhl-6,Hart-1,Ross-1,Pearson-1"
Teemu Selänne,28,MDA,RW,75,47,60,107,18,30,22,25,0,7,31,29,0,281,16.7,1687:38,22:30,"ASG,ASnhl-2,Byng-3,Hart-5,Richard-1"
Paul Kariya,24,MDA,LW,82,39,62,101,17,40,26,11,2,4,29,32,1,429,9.1,2071:26,25:16,"ASG,ASnhl-1,Byng-6,Hart-8"
Peter Forsberg,25,COL,C,78,30,67,97,27,108,19,9,2,7,35,28,4,217,13.8,1800:05,23:05,"ASG,ASnhl-1,ASnhl-7,Hart-7,Selke-8"
Joe Sakic,29,COL,C,73,41,55,96,23,29,24,12,5,6,32,22,1,255,16.1,1789:37,24:31,"ASnhl-4,Byng-5,Hart-15"
Alexei Yashin,25,OTT,C,82,44,50,94,16,54,25,19,0,5,26,23,1,337,13.1,1795:21,21:54,"ASG,ASnhl-2,Hart-2"
Eric Lindros,25,PHI,C,71,40,53,93,35,120,29,10,1,2,36,17,0,242,16.5,1628:16,22:56,"ASG,ASnhl-3,Hart-6,Selke-14"
Theo Fleury,30,2TM,RW,75,40,53,93,26,86,29,8,3,5,34,17,2,301,13.3,1750:53,23:21,"ASG,ASnhl-3"
Theo Fleury,30,CGY,RW,60,30,39,69,18,68,20,7,3,3,24,13,2,250,12.0,1412:31,23:33,
Theo Fleury,30,COL,RW,15,10,14,24,8,18,9,1,0,2,10,4,0,51,19.6,338:22,22:33,
John LeClair,29,PHI,LW,76,43,47,90,36,30,27,16,0,7,38,9,0,246,17.5,1599:58,21:03,"ASG,ASnhl-2,Byng-7"
Pavol Demitra,24,STL,LW,82,37,52,89,13,16,23,14,0,10,37,15,0,259,14.3,1654:14,20:10,"ASG,ASnhl-3,ASnhl-5,Byng-4,Hart-12"
