Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Bobby Hull,27,CBH,LW,65,54,43,97,19,66,31,22,1,7,23,19,1,351,15.4,,,"ASnhl-1,Hart-1,Ross-1"
Stan Mikita,25,CBH,C,68,30,48,78,6,58,18,11,1,1,23,25,0,244,12.3,,,ASnhl-1
Bobby Rousseau,25,MTL,RW,70,30,48,78,10,20,20,10,0,3,18,30,0,256,11.7,,,"ASnhl-2,Byng-2"
Jean Béliveau,34,MTL,C,67,29,48,77,10,50,16,13,0,8,32,16,0,267,10.9,,,"ASnhl-2,Hart-2"
Gordie Howe,37,DET,RW,70,29,46,75,19,83,22,7,0,3,26,17,3,274,10.6,,,"ASnhl-1,Hart-3"
Norm Ullman,30,DET,C,70,31,41,72,2,35,24,7,0,2,32,9,0,259,12.0,,,Hart-5
Alex Delvecchio,33,DET,C,70,31,38,69,19,16,18,9,4,6,24,13,1,238,13.0,,,Byng-1
Bob Nevin,27,NYR,RW,69,29,33,62,-7,10,20,8,1,2,18,15,0,221,13.1,,,Byng-3
Henri Richard,29,MTL,C,62,22,39,61,6,47,19,3,0,7,30,9,0,240,9.2,,,
Murray Oliver,28,BOS,C,70,18,42,60,-23,30,13,5,0,3,33,9,0,218,8.3,,,
Johnny Bucyk,30,BOS,LW,63,27,30,57,-1,12,24,3,0,5,24,6,0,186,14.5,,,
Frank Mahovlich,28,TOR,LW,68,32,24,56,3,68,22,10,0,6,17,7,0,245,13.1,,,ASnhl-2
Bob Pulford,29,TOR,LW,70,28,28,56,9,51,15,11,2,2,27,1,0,238,11.8,,,
Claude Provost,32,MTL,RW,70,19,36,55,22,38,16,3,0,5,32,4,0,202,9.4,,,
Dave Keon,25,TOR,C,69,24,30,54,6,4,18,6,0,6,19,9,2,246,9.8,,,Byng-4
Don Marshall,33,NYR,LW,69,26,28,54,-9,6,16,10,0,3,20,7,1,164,15.9,,,Byng-5
Phil Esposito,23,CBH,C,69,27,26,53,21,49,20,7,0,6,23,3,0,172,15.7,,,
George Armstrong,35,TOR,RW,70,16,35,51,11,12,11,3,2,3,25,10,0,186,8.6,,,
Bill Hay,30,CBH,C,68,20,31,51,2,20,14,4,2,3,24,6,1,151,13.2,,,
Jean Ratelle,25,NYR,C,67,21,30,51,-11,10,17,4,0,2,23,7,0,156,13.5,,,
Doug Mohns,32,CBH,LW,70,22,27,49,-1,63,12,10,0,4,16,10,1,180,12.2,,,
Floyd Smith,30,DET,RW,66,21,28,49,9,20,19,2,0,3,22,6,0,156,13.5,,,
Chico Maki,26,CBH,RW,68,17,31,48,22,41,13,2,2,2,27,4,0,135,12.6,,,
Gilles Tremblay,27,MTL,LW,70,27,21,48,26,24,22,5,0,4,17,4,0,171,15.8,,,
Andy Bathgate,33,DET,RW,70,15,32,47,-5,25,11,4,0,3,19,13,0,216,6.9,,,
Paul Henderson,23,DET,LW,69,22,24,46,4,34,17,5,0,9,19,4,1,173,12.7,,,
Dick Duff,29,MTL,LW,63,21,24,45,2,80,16,5,0,2,15,9,0,156,13.5,,,
Dean Prentice,33,2TM,LW,69,13,31,44,-23,18,9,3,1,2,23,8,0,165,7.9,,,
Dean Prentice,33,BOS,LW,50,7,22,29,-23,10,4,3,0,1,18,4,0,107,6.5,,,
Dean Prentice,33,DET,LW,19,6,9,15,0,8,5,0,1,1,5,4,0,58,10.3,,,
Eddie Shack,28,TOR,LW,63,26,17,43,11,88,24,2,0,6,13,4,0,179,14.5,,,
Kenny Wharram,32,CBH,RW,69,26,17,43,-3,28,17,9,0,7,12,5,0,174,14.9,,,
