Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Jaromír Jágr,22,PIT,RW,48,32,38,70,23,37,21,8,3,7,24,14,0,192,16.7,,,"ASnhl-1,Hart-2,Ross-1"
Eric Lindros,21,PHI,C,46,29,41,70,27,60,22,7,0,4,24,17,0,144,20.1,,,"ASnhl-1,Hart-1,Pearson-1"
Alexei Zhamnov,24,WIN,C,48,30,35,65,5,20,21,9,0,4,19,16,0,155,19.4,,,"ASnhl-2,Byng-3"
Joe Sakic,25,QUE,C,47,19,43,62,7,30,14,3,2,5,23,19,1,157,12.1,,,ASnhl-4
Ron Francis,31,PIT,C,44,11,48,59,30,18,8,3,0,1,29,18,1,94,11.7,,,"ASnhl-3,Byng-1,Selke-1"
Paul Coffey,33,DET,D,45,14,44,58,18,72,9,4,1,2,17,27,0,181,7.7,,,"ASnhl-1,Hart-4,Norris-1"
Theo Fleury,26,CGY,RW,47,29,29,58,6,112,18,9,2,5,17,11,1,173,16.8,,,"ASnhl-2,Hart-5"
Mikael Renberg,22,PHI,RW,47,26,31,57,20,20,18,8,0,4,27,4,0,143,18.2,,,Byng-4
John LeClair,25,2TM,LW,46,26,28,54,20,30,20,6,0,7,17,11,0,131,19.8,,,ASnhl-1
John LeClair,25,MTL,LW,9,1,4,5,-1,10,0,1,0,0,3,1,0,18,5.6,,,
John LeClair,25,PHI,LW,37,25,24,49,21,20,20,5,0,7,14,10,0,113,22.1,,,
Mark Messier,34,NYR,C,46,14,39,53,8,40,8,3,3,2,22,17,0,126,11.1,,,
Adam Oates,32,BOS,C,48,12,41,53,-11,8,7,4,1,2,22,19,0,109,11.0,,,Byng-2
Bernie Nicholls,33,CHI,C,48,22,29,51,4,32,9,11,2,5,12,17,0,114,19.3,,,
Keith Tkachuk,22,WIN,LW,48,22,29,51,-4,152,13,7,2,2,16,10,3,129,17.1,,,ASnhl-2
Sergei Fedorov,25,DET,C,42,20,30,50,6,24,10,7,3,5,21,9,0,147,13.6,,,"ASnhl-5,Selke-4"
Peter Forsberg,21,QUE,C,47,15,35,50,17,16,12,3,0,3,22,12,1,86,17.4,,,"AR-1,Calder-1"
Brett Hull,30,STL,RW,48,29,21,50,13,10,17,9,3,6,11,7,3,200,14.5,,,"ASnhl-3,Byng-4,Hart-6"
Joe Nieuwendyk,28,CGY,C,46,21,29,50,11,33,18,3,0,4,17,12,0,122,17.2,,,"ASnhl-6,Clancy-1"
Owen Nolan,22,QUE,RW,46,30,19,49,21,46,15,13,2,8,15,4,0,137,21.9,,,ASnhl-5
Wayne Gretzky,34,LAK,C,48,11,37,48,-20,6,8,3,0,1,15,19,3,142,7.7,,,
Teemu Selänne,24,WIN,RW,45,22,26,48,1,2,12,8,2,1,16,10,0,167,13.2,,,Byng-6
Mark Recchi,26,2TM,RW,49,16,32,48,-9,28,7,9,0,3,25,7,0,121,13.2,,,
Mark Recchi,26,PHI,RW,10,2,3,5,-6,12,1,1,0,2,1,2,0,17,11.8,,,
Mark Recchi,26,MTL,RW,39,14,29,43,-3,16,6,8,0,1,24,5,0,104,13.5,,,
Alexander Mogilny,25,BUF,RW,44,19,28,47,0,36,7,12,0,2,13,14,1,148,12.8,,,
Mats Sundin,23,TOR,C,47,23,24,47,-5,14,14,9,0,4,14,10,0,173,13.3,,,
Pierre Turgeon,25,2TM,C,49,24,23,47,0,14,17,5,2,4,11,12,0,160,15.0,,,
Pierre Turgeon,25,NYI,C,34,13,14,27,-12,10,8,3,2,2,6,8,0,93,14.0,,,
Pierre Turgeon,25,MTL,C,15,11,9,20,12,4,9,2,0,2,5,4,0,67,16.4,,,
Tomas Sandström,30,PIT,LW,47,21,23,44,1,42,16,4,1,3,16,5,2,116,18.1,,,
Alexei Yashin,21,OTT,C,47,21,23,44,-20,20,10,11,0,1,13,10,0,154,13.6,,,
Peter Bondra,26,WSH,RW,47,34,9,43,9,24,16,12,6,3,3,6,0,177,19.2,,,ASnhl-4
Ray Bourque,34,BOS,D,46,12,31,43,3,20,3,9,0,2,11,20,0,210,5.7,,,"ASnhl-3,Norris-3"
Pavel Bure,23,VAN,LW,44,20,23,43,-8,47,12,6,2,2,12,7,4,198,10.1,,,
Dino Ciccarelli,34,DET,RW,42,16,27,43,12,39,10,6,0,3,16,11,0,106,15.1,,,
Ray Ferraro,30,NYI,C,47,22,21,43,1,30,20,2,0,1,16,5,0,94,23.4,,,
Phil Housley,30,CGY,D,43,8,35,43,17,18,5,3,0,0,18,17,0,135,5.9,,,ASnhl-6
Joé Juneau,27,WSH,C,44,5,38,43,-1,8,2,3,0,0,15,22,1,70,7.1,,,
Dave Gagner,30,DAL,LW,48,14,28,42,2,42,7,7,0,2,15,12,1,138,10.1,,,
Keith Primeau,23,DET,C,45,15,27,42,17,99,14,1,0,3,18,8,1,96,15.6,,,ASnhl-6
Luc Robitaille,28,PIT,LW,46,23,19,42,10,37,18,5,0,3,16,3,0,109,21.1,,,ASnhl-3
Brian Leetch,26,NYR,D,48,9,32,41,0,18,6,3,0,2,13,18,1,182,4.9,,,"ASnhl-8,Norris-5"
Joe Murphy,27,CHI,RW,40,23,18,41,7,89,16,7,0,3,9,8,1,120,19.2,,,
Cam Neely,29,BOS,RW,42,27,14,41,7,72,11,16,0,5,11,3,0,178,15.2,,,
Brendan Shanahan,26,STL,LW,45,20,21,41,7,136,12,6,2,6,15,5,1,153,13.1,,,ASnhl-3
Brian Bradley,30,TBL,C,46,13,27,40,-6,42,10,3,0,2,20,7,0,111,11.7,,,
Vincent Damphousse,27,MTL,LW,48,10,30,40,15,42,6,4,0,4,20,10,0,123,8.1,,,
Trevor Linden,24,VAN,C,48,18,22,40,-5,40,9,9,0,1,8,14,0,129,14.0,,,
Ray Sheppard,28,DET,RW,43,30,10,40,11,17,19,11,0,5,8,2,0,125,24.0,,,ASnhl-5
Doug Weight,24,EDM,C,48,7,33,40,-17,69,6,1,0,1,13,20,0,104,6.7,,,
Rod Brind'Amour,24,PHI,C,48,12,27,39,-4,33,7,4,1,2,14,12,1,86,14.0,,,
