Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Jaromír Jágr,25,PIT,RW,77,35,67,102,17,64,28,7,0,8,36,31,0,262,13.4,1748:43,22:43,"ASG,ASnhl-1,ASnhl-9,Hart-2,Ross-1"
Peter Forsberg,24,COL,C,72,25,66,91,6,94,15,7,3,7,36,30,0,202,12.4,1599:32,22:13,"ASG,ASnhl-1,Hart-8,Selke-6"
Pavel Bure,26,VAN,RW,82,51,39,90,5,48,32,13,6,4,24,12,3,329,15.5,1823:42,22:14,"ASG,ASnhl-3"
Wayne Gretzky,37,NYR,C,82,23,67,90,-11,28,17,6,0,4,43,24,0,201,11.4,1756:20,21:25,"ASG,ASnhl-2,Byng-3,Hart-5"
Ron Francis,34,PIT,C,81,25,62,87,12,20,18,7,0,5,37,25,0,189,13.2,1809:24,22:20,"ASnhl-3,Byng-1,Hart-15,Selke-4"
John LeClair,28,PHI,LW,82,51,36,87,30,32,35,16,0,9,25,11,0,303,16.8,1737:43,21:12,"ASG,ASnhl-1,Byng-12,Hart-7"
Žigmund Pálffy,25,NYI,RW,82,45,42,87,-2,34,26,17,2,5,22,18,2,277,16.2,1774:47,21:39,"ASG,ASnhl-5,ASnhl-10,Byng-11"
Teemu Selänne,27,MDA,RW,73,52,34,86,12,30,41,10,1,10,26,7,1,268,19.4,1660:13,22:45,"ASG,ASnhl-2,Byng-2,Hart-3"
Jason Allison,22,BOS,C,81,33,50,83,33,60,28,5,0,8,28,20,2,158,20.9,1593:45,19:41,"ASnhl-4,Hart-9,Selke-15"
Jozef Stümpel,25,LAK,C,77,21,58,79,17,53,17,4,0,2,39,17,2,162,13.0,1496:38,19:26,
Peter Bondra,29,WSH,RW,76,52,26,78,14,44,36,11,5,13,16,10,0,284,18.3,1640:56,21:35,"ASG,ASnhl-4,ASnhl-10,Hart-6"
Theo Fleury,29,CGY,RW,82,27,51,78,0,197,22,3,2,4,27,19,5,282,9.6,1961:40,23:55,"ASG,ASnhl-10"
Adam Oates,35,WSH,C,82,18,58,76,6,36,13,3,2,3,31,23,4,121,14.9,1897:12,23:08,"ASnhl-10,Byng-6,Selke-19"
Rod Brind'Amour,27,PHI,LW,82,36,38,74,-2,54,24,10,2,8,22,14,2,205,17.6,1764:59,21:31,"ASnhl-3,Selke-13"
Mark Recchi,29,MTL,RW,82,32,42,74,11,51,22,9,1,6,22,20,0,216,14.8,1672:50,20:24,ASG
Mats Sundin,26,TOR,C,82,33,41,74,-3,49,23,9,1,5,26,12,3,219,15.1,1739:55,21:13,"ASG,ASnhl-7"
Tony Amonte,27,CHI,RW,82,31,42,73,21,66,21,7,3,5,27,12,3,296,10.5,1798:13,21:56,ASG
Brett Hull,33,STL,LW,66,27,45,72,-1,26,17,10,0,6,32,12,1,211,12.8,1311:54,19:53,Byng-13
Alexei Yashin,24,OTT,C,82,33,39,72,6,24,28,5,0,6,25,14,0,291,11.3,1730:15,21:06,Byng-5
Eric Lindros,24,PHI,C,63,30,41,71,14,134,19,10,1,4,27,14,0,202,14.9,1405:08,22:18,"ASG,ASnhl-9"
