Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Marcel Dionne,28,LAK,C,80,53,84,137,34,32,36,17,0,6,55,29,0,348,15.2,,,"ASG,ASnhl-1,Byng-2,Hart-2,Ross-1,Pearson-1"
Wayne Gretzky,19,EDM,C,79,51,86,137,14,21,37,13,1,6,63,22,1,284,18.0,,,"ASG,ASnhl-2,Byng-1,Hart-1"
Guy Lafleur,28,MTL,RW,74,50,75,125,40,12,35,15,0,7,49,26,0,323,15.5,,,"ASG,ASnhl-1,ASnhl-8,Byng-3,Hart-4"
Gilbert Perreault,29,BUF,C,80,40,66,106,33,57,30,10,0,5,37,29,0,180,22.2,,,"ASG,ASnhl-3"
Mike Rogers,25,HAR,C,80,44,61,105,28,10,39,3,2,0,42,19,0,229,19.2,,,ASnhl-8
Bryan Trottier,23,NYI,C,78,42,62,104,31,68,27,15,0,7,47,15,0,186,22.6,,,"ASG,ASnhl-4"
Charlie Simmer,25,LAK,LW,64,56,45,101,47,65,35,21,0,8,29,16,0,213,26.3,,,ASnhl-1
Blaine Stoughton,26,HAR,RW,80,56,44,100,10,16,38,16,2,9,35,8,1,234,23.9,,,"ASnhl-4,ASnhl-12"
Darryl Sittler,29,TOR,C,73,40,57,97,3,62,22,17,1,5,40,17,0,315,12.7,,,"ASG,ASnhl-5,Hart-8"
Bernie Federko,23,STL,C,79,38,56,94,3,24,31,7,0,4,37,19,0,183,20.8,,,"ASG,ASnhl-6"
Blair MacDonald,26,EDM,RW,80,46,48,94,0,6,31,13,2,6,32,15,1,266,17.3,,,"ASG,ASnhl-10,Byng-4"
Al MacAdam,27,MNS,LW,80,42,51,93,36,24,29,13,0,3,35,16,0,170,24.7,,,"ASnhl-5,ASnhl-7"
Kent Nilsson,23,ATF,C,80,40,53,93,-3,10,26,14,0,3,31,22,0,217,18.4,,,"ASG,ASnhl-6"
Mike Bossy,23,NYI,RW,75,51,41,92,28,12,36,15,0,8,25,16,0,246,20.7,,,"ASG,ASnhl-3,Byng-5"
Rick Middleton,26,BOS,RW,80,40,52,92,30,24,31,9,0,4,28,22,2,223,17.9,,,ASnhl-7
Pierre Larouche,24,MTL,C,73,50,41,91,35,16,38,12,0,7,27,14,0,220,22.7,,,ASnhl-8
Dave Taylor,24,LAK,RW,61,37,53,90,38,72,25,12,0,7,40,13,0,170,21.8,,,ASnhl-6
Réal Cloutier,23,QUE,RW,67,42,47,89,-5,12,29,13,0,3,25,22,0,254,16.5,,,ASG
Danny Gare,25,BUF,RW,76,56,33,89,48,90,39,17,0,11,22,11,0,270,20.7,,,"ASG,ASnhl-2,Hart-5"
Steve Shutt,27,MTL,LW,77,47,42,89,45,34,30,17,0,4,36,6,0,224,21.0,,,ASnhl-2
Steve Payne,21,MNS,LW,80,42,43,85,37,40,26,16,0,2,29,14,0,233,18.0,,,"ASG,ASnhl-3"
Bobby Smith,21,MNS,C,61,27,56,83,17,24,18,9,0,3,36,20,0,223,12.1,,,ASnhl-6
Dale McCourt,23,DET,C,80,30,51,81,1,12,21,7,2,3,36,14,1,200,15.0,,,
Mark Howe,24,HAR,D,74,24,56,80,14,20,17,5,2,3,40,14,2,178,13.5,,,"ASnhl-5,Norris-5"
Ken Linseman,21,PHI,C,80,22,57,79,26,107,20,2,0,4,43,14,0,168,13.1,,,ASnhl-8
Rick Martin,28,BUF,LW,80,45,34,79,19,54,37,8,0,3,23,11,0,257,17.5,,,ASnhl-8
Butch Goring,30,2TM,C,81,26,53,79,-13,14,23,2,1,1,23,30,0,180,14.4,,,ASG
Butch Goring,30,LAK,C,69,20,48,68,-20,12,18,2,0,1,20,28,0,160,12.5,,,
Butch Goring,30,NYI,C,12,6,5,11,7,2,5,0,1,0,3,2,0,20,30.0,,,
Phil Esposito,37,NYR,C,80,34,44,78,-14,73,21,13,0,5,29,15,0,245,13.9,,,ASG
Peter McNab,27,BOS,C,74,40,38,78,24,10,29,11,0,9,35,3,0,193,20.7,,,
Stan Smyl,22,VAN,RW,77,31,47,78,27,204,20,11,0,3,40,7,0,182,17.0,,,
Guy Chouinard,23,ATF,C,76,31,46,77,5,22,22,9,0,1,30,16,0,208,14.9,,,
Reggie Leach,29,PHI,RW,76,50,26,76,41,28,41,5,4,7,21,4,1,328,15.2,,,"ASG,ASnhl-7"
Thomas Gradin,23,VAN,C,80,30,45,75,15,22,23,7,0,2,26,19,0,146,20.5,,,
Brian Propp,20,PHI,LW,80,34,41,75,45,54,30,4,0,3,30,11,0,209,16.3,,,"ASG,ASnhl-9,Calder-4"
Larry Robinson,28,MTL,D,72,14,61,75,38,39,8,6,0,3,33,28,0,133,10.5,,,"ASG,ASnhl-1,Hart-7,Norris-1"
Lanny McDonald,26,2TM,RW,81,40,35,75,-17,53,26,14,0,6,21,14,0,334,12.0,,,ASnhl-9
Lanny McDonald,26,TOR,RW,35,15,15,30,-2,10,9,6,0,3,10,5,0,140,10.7,,,
Lanny McDonald,26,CLR,RW,46,25,20,45,-15,43,17,8,0,3,11,9,0,194,12.9,,,
Morris Lukowich,23,WIN,LW,78,35,39,74,-16,77,21,13,1,2,22,17,0,201,17.4,,,ASG
Václav Nedomanský,35,DET,RW,79,35,39,74,-5,13,24,11,0,6,21,18,0,235,14.9,,,
Tim Young,24,MNS,C,77,31,43,74,13,24,24,5,2,5,34,9,0,219,14.2,,,
Wilf Paiement,24,2TM,RW,75,30,44,74,-5,113,18,10,2,3,29,15,0,270,11.1,,,
