Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Martin St. Louis,28,TBL,RW,82,38,56,94,35,24,22,8,8,7,31,22,3,212,17.9,1687:46,20:35,"ASG,ASnhl-1,ASnhl-8,Byng-3,Hart-1,Ross-1,Selke-4,Pearson-1"
Ilya Kovalchuk,20,ATL,LW,81,41,46,87,-10,63,24,16,1,6,28,17,1,341,12.0,1871:06,23:06,"ASG,ASnhl-2,Hart-10,Richard-1"
Joe Sakic,34,COL,C,81,33,54,87,11,42,19,13,1,3,30,24,0,253,13.0,1641:20,20:16,"ASG,ASnhl-1,Byng-9,Hart-7,Selke-15"
Markus Näslund,30,VAN,LW,78,35,49,84,24,58,30,5,0,6,28,21,0,296,11.8,1511:53,19:23,"ASG,ASnhl-1,ASnhl-6,ASnhl-8,Byng-12,Hart-5,Selke-55"
Marián Hossa,25,OTT,RW,81,36,46,82,4,46,21,14,1,5,21,25,0,233,15.5,1508:32,18:37,"ASnhl-3,Byng-27,Hart-18"
Patrik Eliáš,27,NJD,LW,82,38,43,81,26,44,26,9,3,9,31,11,1,300,12.7,1539:01,18:46,"ASnhl-3,ASnhl-5,ASnhl-12,Byng-15,Hart-14,Selke-15"
Daniel Alfredsson,31,OTT,RW,77,32,48,80,12,24,23,9,0,5,18,29,1,230,13.9,1494:13,19:24,"ASG,ASnhl-4,ASnhl-12,Byng-2,Hart-17"
Cory Stillman,30,TBL,LW,81,25,55,80,18,36,13,11,1,6,40,15,0,178,14.0,1581:51,19:32,ASnhl-7
Brad Richards,23,TBL,C,82,26,53,79,14,12,20,5,1,6,31,21,1,244,10.7,1675:11,20:26,"ASnhl-5,Byng-1,Hart-22"
Alex Tanguay,24,COL,LW,69,25,54,79,30,42,18,7,0,5,35,18,1,117,21.4,1266:17,18:21,"ASG,ASnhl-5,Byng-23,Selke-18"
Robert Lang,33,2TM,C,69,30,49,79,4,24,20,10,0,3,22,27,0,163,18.4,1454:03,21:04,"ASG,ASnhl-4,Byng-11,Hart-23"
Robert Lang,33,WSH,C,63,29,45,74,2,24,19,10,0,2,20,25,0,149,19.5,1356:02,21:31,
Robert Lang,33,DET,C,6,1,4,5,2,0,1,0,0,1,2,2,0,14,7.1,98:01,16:20,
Milan Hejduk,27,COL,RW,82,35,40,75,19,20,19,16,0,6,27,12,1,237,14.8,1538:36,18:46,"ASnhl-5,Byng-7"
