Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Mike Richards,25,PHI,C,81,23,43,66,11,62,15,5,3,4,24,16,3,184,12.5,373,1529:24,18:53,606,610,49.8,73,104,62,46,Selke-8
Nicklas Bäckström,23,WSH,C,77,18,47,65,24,40,13,4,1,2,29,18,0,202,8.9,349,1586:00,20:36,679,619,52.3,62,68,73,42,Selke-53
Dany Heatley,30,SJS,RW,80,26,38,64,8,56,14,11,1,5,18,19,1,217,12.0,404,1572:07,19:39,9,11,45.0,29,104,29,68,
Phil Kessel,23,TOR,RW,82,32,32,64,-20,24,19,12,1,6,21,11,0,325,9.8,572,1611:00,19:39,24,35,40.7,22,11,45,45,"ASG,Byng-39"
Jeff Skinner,18,CAR,RW,82,31,32,63,3,46,25,6,0,2,20,12,0,215,14.4,404,1371:59,16:44,58,97,37.4,28,70,62,31,"ASG,AR-1,Calder-1"
David Backes,26,STL,RW,82,31,31,62,32,93,26,5,0,2,20,10,1,211,14.7,361,1615:53,19:42,506,632,44.5,40,213,47,23,"ASG,Selke-7"
Ryane Clowe,28,SJS,LW,75,24,38,62,13,100,19,5,0,2,30,8,0,185,13.0,286,1347:05,17:58,17,24,41.5,22,153,43,54,
Patrik Eliáš,34,NJD,LW,81,21,41,62,-4,16,13,7,1,5,28,13,0,204,10.3,349,1509:43,18:38,224,274,45.0,25,62,45,55,"ASG,Byng-12"
Martin Havlát,29,MIN,LW,78,22,40,62,-10,52,19,3,0,4,29,11,0,229,9.6,369,1431:19,18:21,3,7,30.0,24,34,43,47,ASG
Mikko Koivu,27,MIN,C,71,17,45,62,4,50,9,7,1,3,30,15,0,191,8.9,341,1383:53,19:29,683,609,52.9,29,63,64,51,Selke-53
David Krejčí,24,BOS,C,75,13,49,62,23,28,12,1,0,2,38,11,0,157,8.3,266,1414:14,18:51,560,589,48.7,40,56,33,28,
Nicklas Lidström,40,DET,D,82,16,46,62,-2,20,9,7,0,1,13,32,1,175,9.1,357,1924:25,23:28,0,0,,92,49,33,33,"ASG,ASnhl-1,Byng-2,Hart-19,Norris-1"
Milan Lucic,22,BOS,LW,79,30,32,62,28,121,25,5,0,7,23,9,0,173,17.3,340,1309:49,16:35,21,33,38.9,22,167,27,43,"ASnhl-8,Selke-40"
Clarke MacArthur,25,TOR,LW,82,21,41,62,-3,37,15,6,0,3,28,13,0,154,13.6,292,1403:24,17:07,9,7,56.3,20,115,24,49,
Shane Doan,34,PHX,RW,72,20,40,60,5,67,9,11,0,6,30,10,0,221,9.0,402,1388:56,19:17,73,86,45.9,28,172,41,36,
Ilya Kovalchuk,27,NJD,LW,81,31,29,60,-26,28,22,9,0,9,17,12,0,245,12.7,461,1827:35,22:34,9,22,29.0,12,28,43,104,
Pavel Datsyuk,32,DET,C,56,23,36,59,11,15,16,6,1,5,24,12,0,137,16.8,257,1082:04,19:19,429,356,54.6,20,54,71,38,"Byng-9,Selke-3"
Andrew Ladd,25,ATL,LW,81,29,30,59,-10,39,18,9,2,2,20,9,1,195,14.9,333,1625:50,20:04,15,28,34.9,43,68,61,43,
Keith Yandle,24,PHX,D,82,11,48,59,12,68,8,3,0,0,24,23,1,199,5.5,430,1999:04,24:23,0,0,,103,30,31,61,"ASG,ASnhl-5,Hart-26,Norris-5"
Mikhail Grabovski,27,TOR,C,81,29,29,58,14,60,19,10,0,4,24,5,0,239,12.1,428,1568:18,19:22,642,684,48.4,25,44,49,45,
Patrice Bergeron,25,BOS,C,80,22,35,57,20,26,17,3,2,4,26,8,1,211,10.4,365,1431:05,17:53,815,624,56.6,56,45,49,24,"Byng-16,Selke-4"
Dustin Brown,26,LAK,RW,82,28,29,57,17,67,21,7,0,2,21,8,0,228,12.3,420,1588:07,19:22,18,19,48.6,29,300,35,67,Selke-51
Marián Hossa,32,CHI,RW,65,25,32,57,9,32,15,8,2,2,20,11,1,205,12.2,318,1280:56,19:42,3,1,75.0,23,48,53,32,
Nikolai Kulemin,24,TOR,LW,82,30,27,57,7,26,24,5,1,5,19,8,0,173,17.3,314,1420:35,17:19,60,51,54.1,48,101,37,28,
Tomáš Plekanec,28,MTL,C,77,22,35,57,8,60,18,3,1,4,19,15,1,227,9.7,398,1559:09,20:15,788,789,50.0,45,53,43,37,"Byng-32,Selke-13"
Tuomo Ruutu,27,CAR,C,82,19,38,57,1,54,12,7,0,1,29,9,0,148,12.8,302,1379:48,16:50,256,369,41.0,38,307,42,38,
Jason Spezza,27,OTT,C,62,21,36,57,-7,28,14,7,0,2,25,10,1,188,11.2,345,1252:20,20:12,681,529,56.3,24,14,52,62,
Paul Stastny,25,COL,C,74,22,35,57,-7,56,17,4,1,3,20,15,0,181,12.2,279,1460:29,19:44,810,714,53.1,31,74,52,22,ASG
R.J. Umberger,28,CBJ,C,82,25,32,57,3,38,14,8,3,3,27,5,0,220,11.4,363,1575:30,19:13,111,109,50.5,70,114,44,20,
Ray Whitney,38,PHX,LW,75,17,40,57,0,24,14,3,0,1,17,23,0,156,10.9,283,1271:36,16:57,45,55,45.0,15,29,27,32,
Justin Williams,29,LAK,RW,73,22,35,57,14,59,17,5,0,3,27,8,0,213,10.3,386,1259:21,17:15,7,7,50.0,29,51,26,64,
Jamie Benn,21,DAL,LW,69,22,34,56,-5,52,12,6,4,3,27,5,2,177,12.4,326,1242:59,18:01,84,111,43.1,41,124,66,33,
Logan Couture,21,SJS,C,79,32,24,56,18,41,22,10,0,8,20,4,0,253,12.6,431,1408:02,17:49,474,414,53.4,66,60,49,25,"AR-1,Calder-2,Selke-36"
Milan Hejduk,34,COL,RW,71,22,34,56,-23,18,12,10,0,2,20,14,0,170,12.9,254,1272:30,17:55,2,3,40.0,31,9,38,23,Byng-30
Brenden Morrow,32,DAL,LW,82,33,23,56,-3,76,23,9,1,5,19,4,0,209,15.8,362,1577:19,19:14,1,10,9.1,43,225,41,60,Selke-53
Johan Franzén,31,DET,C,76,28,27,55,5,58,18,10,0,5,20,7,0,248,11.3,410,1324:58,17:26,74,73,50.3,29,143,36,35,
Brad Boyes,28,2TM,C,83,17,38,55,13,36,11,6,0,3,31,7,0,178,9.6,321,1410:27,16:60,136,184,42.5,33,67,30,29,
Brad Boyes,28,STL,C,62,12,29,41,11,30,8,4,0,2,24,5,0,132,9.1,257,1064:32,17:10,56,79,41.5,20,56,21,18,
Brad Boyes,28,BUF,C,21,5,9,14,2,6,3,2,0,1,7,2,0,46,10.9,64,345:55,16:28,80,105,43.2,13,11,9,11,
Brandon Dubinsky,24,NYR,C,77,24,30,54,-3,100,18,4,2,2,21,7,2,202,11.9,343,1557:28,20:14,459,416,52.5,31,141,48,18,
Olli Jokinen,32,CGY,C,79,17,37,54,-17,44,12,5,0,1,23,14,0,208,8.2,368,1404:23,17:47,552,613,47.4,35,56,54,45,
Vincent Lecavalier,30,TBL,C,65,25,29,54,-5,43,13,12,0,5,13,16,0,210,11.9,348,1199:31,18:27,591,570,50.9,25,93,35,26,
Alexander Semin,26,WSH,LW,65,28,26,54,22,71,21,6,1,4,14,12,0,196,14.3,434,1174:46,18:04,4,8,33.3,6,27,61,42,
Dustin Byfuglien,25,ATL,D,81,20,33,53,-2,93,12,8,0,6,17,16,0,347,5.8,650,1887:40,23:18,0,0,,71,138,84,58,"ASG,ASnhl-8,Norris-7"
Nathan Horton,25,BOS,C,80,26,27,53,29,85,20,6,0,2,25,2,0,188,13.8,334,1302:55,16:17,8,11,42.1,14,74,26,25,
Ville Leino,27,PHI,LW,81,19,34,53,14,22,14,5,0,2,28,6,0,117,16.2,196,1297:18,16:01,78,58,57.4,40,35,39,37,Selke-36
Matt Moulson,27,NYI,LW,82,31,22,53,-10,24,22,9,0,3,16,6,0,237,13.1,399,1547:18,18:52,5,4,55.6,47,84,46,21,
P.A. Parenteau,27,NYI,LW,81,20,33,53,-8,46,11,9,0,2,22,11,0,161,12.4,261,1476:00,18:13,11,19,36.7,28,117,44,53,
Chris Stewart,23,2TM,RW,62,28,25,53,-6,53,16,12,0,5,21,4,0,162,17.3,245,1084:12,17:29,13,19,40.6,18,56,14,22,ASnhl-6
Chris Stewart,23,COL,RW,36,13,17,30,-10,38,8,5,0,3,14,3,0,95,13.7,140,609:18,16:56,2,4,33.3,7,30,6,16,
Chris Stewart,23,STL,RW,26,15,8,23,4,15,8,7,0,2,7,1,0,67,22.4,105,474:54,18:16,11,15,42.3,11,26,8,6,
Patrik Berglund,22,STL,C,81,22,30,52,-3,26,14,8,0,1,20,9,1,175,12.6,314,1392:26,17:11,450,524,46.2,33,116,28,19,
Erik Cole,32,CAR,LW,82,26,26,52,-1,49,22,3,1,9,20,5,1,201,12.9,365,1513:33,18:27,7,27,20.6,34,223,64,36,
Michael Grabner,23,NYI,RW,76,34,18,52,13,10,26,2,6,3,15,2,1,228,14.9,333,1146:19,15:05,2,4,33.3,24,22,68,29,"AR-1,Byng-21,Calder-3,Selke-20"
Jussi Jokinen,27,CAR,LW,70,19,33,52,3,24,11,8,0,1,23,10,0,136,14.0,221,1205:43,17:13,166,148,52.9,36,43,37,38,
Jason Pominville,28,BUF,RW,73,22,30,52,1,15,16,5,1,2,21,9,0,215,10.2,353,1325:09,18:09,67,88,43.2,50,35,43,27,Byng-17
Drew Stafford,25,BUF,RW,62,31,21,52,13,34,20,11,0,4,13,8,0,179,17.3,275,1025:21,16:32,17,39,30.4,5,53,19,17,
Toby Enström,26,ATL,D,72,10,41,51,-10,54,4,6,0,0,18,22,1,113,8.8,246,1705:22,23:41,0,0,,137,30,26,27,ASnhl-18
Teddy Purcell,25,TBL,RW,81,17,34,51,5,10,14,3,0,1,16,18,0,196,8.7,316,1142:15,14:06,12,25,32.4,16,21,35,19,
Alexander Steen,26,STL,C,72,20,31,51,-3,26,17,1,2,5,22,9,0,218,9.2,457,1407:42,19:33,41,65,38.7,28,39,29,25,Selke-53
James Wisniewski,26,2TM,D,75,10,41,51,-14,38,3,7,0,2,19,22,0,158,6.3,346,1720:37,22:56,0,0,,119,105,34,66,
James Wisniewski,26,NYI,D,32,3,18,21,-18,18,0,3,0,0,8,10,0,71,4.2,160,743:58,23:15,0,0,,35,49,17,23,
James Wisniewski,26,MTL,D,43,7,23,30,4,20,3,4,0,2,11,12,0,87,8.0,186,976:39,22:43,0,0,,84,56,17,43,
Rene Bourque,29,CGY,LW,80,27,23,50,-17,42,20,6,1,6,12,9,2,218,12.4,382,1420:17,17:45,7,17,29.2,26,90,35,48,
Dan Boyle,34,SJS,D,76,9,41,50,2,67,5,4,0,2,18,23,0,199,4.5,419,1994:01,26:14,0,2,0.0,139,55,34,51,"ASG,ASnhl-11,Byng-48,Norris-12"
Christian Ehrhoff,28,VAN,D,79,14,36,50,19,52,8,6,0,3,13,22,1,209,6.7,451,1895:20,23:59,0,0,,108,54,19,47,"ASnhl-7,Norris-8"
Martin Erat,29,NSH,LW,64,17,33,50,14,22,10,7,0,3,25,8,0,135,12.6,242,1157:54,18:06,19,25,43.2,21,57,35,35,Selke-40
Sergei Kostitsyn,23,NSH,LW,77,23,27,50,10,20,18,4,1,2,18,9,0,93,24.7,185,1169:42,15:11,1,5,16.7,15,41,28,44,
Kris Letang,23,PIT,D,82,8,42,50,15,101,4,4,0,2,21,20,1,236,3.4,488,1970:45,24:02,1,0,100.0,109,167,39,52,"ASG,ASnhl-6,Hart-20,Norris-6"
Andy McDonald,33,STL,C,58,20,30,50,18,26,14,5,1,3,18,12,0,180,11.1,280,1162:01,20:02,207,142,59.3,27,40,23,15,
Mikael Samuelsson,34,VAN,RW,75,18,32,50,8,36,13,5,0,2,18,14,0,215,8.4,382,1247:24,16:38,9,19,32.1,21,76,25,36,
Tyler Ennis,21,BUF,C,82,20,29,49,0,30,15,5,0,1,20,9,0,210,9.5,340,1285:10,15:40,2,7,22.2,27,42,45,25,Calder-11
Scott Hartnell,28,PHI,RW,82,24,25,49,14,142,20,4,0,4,19,6,0,177,13.6,291,1361:36,16:36,5,5,50.0,38,168,31,33,
Stephen Weiss,27,FLA,C,76,21,28,49,-9,49,16,3,2,1,12,16,0,172,12.2,283,1527:31,20:06,689,590,53.9,44,52,44,28,
Alexandre Burrows,29,VAN,LW,72,26,22,48,26,77,24,1,1,4,21,0,1,152,17.1,267,1226:17,17:02,6,8,42.9,24,84,39,15,Selke-24
Ryan Callahan,25,NYR,RW,60,23,25,48,-7,46,13,10,0,5,18,5,2,179,12.8,299,1194:01,19:54,2,15,11.8,77,224,42,12,Selke-10
Marián Gáborík,28,NYR,RW,62,22,26,48,8,18,15,7,0,4,17,9,0,192,11.5,324,1121:14,18:05,0,0,,22,46,34,26,
Patric Hörnqvist,24,NSH,RW,79,21,27,48,11,47,15,6,0,5,19,8,0,265,7.9,391,1242:19,15:44,22,23,48.9,36,86,40,21,
Chris Kunitz,31,PIT,LW,66,23,25,48,18,47,15,7,1,2,20,4,1,133,17.3,263,1206:28,18:17,4,4,50.0,14,155,18,22,
Brooks Laich,27,WSH,C,82,16,32,48,14,46,11,4,1,3,21,9,2,207,7.7,353,1510:33,18:25,268,254,51.3,54,112,38,32,"Byng-48,Selke-11"
Bryan Little,23,ATL,C,76,18,30,48,11,33,14,2,2,1,21,8,1,158,11.4,283,1402:39,18:27,607,704,46.3,30,40,79,21,
Brian Rafalski,37,DET,D,63,4,44,48,11,22,4,0,0,0,27,17,0,106,3.8,218,1286:38,20:25,0,0,,54,49,12,57,
Mark Recchi,42,BOS,RW,81,14,34,48,13,35,8,6,0,6,22,11,1,132,10.6,211,1304:29,16:06,52,45,53.6,25,81,16,32,
Brent Seabrook,25,CHI,D,82,9,39,48,0,47,4,5,0,1,22,15,2,135,6.7,289,1999:46,24:23,0,0,,154,227,27,69,ASnhl-15
Radim Vrbata,29,PHX,RW,79,19,29,48,5,20,9,10,0,2,22,7,0,240,7.9,380,1293:02,16:22,2,5,28.6,22,42,32,28,
Shea Weber,25,NSH,D,82,16,32,48,7,56,9,6,1,3,21,11,0,254,6.3,497,2076:09,25:19,0,0,,113,211,62,51,"ASG,ASnhl-2,Hart-25,Norris-2"
Derick Brassard,23,CBJ,C,74,17,30,47,-11,55,11,6,0,3,20,10,0,183,9.3,304,1260:07,17:02,414,474,46.6,14,121,26,23,
Mike Cammalleri,28,MTL,C,67,19,28,47,2,33,12,7,0,2,14,14,0,193,9.8,343,1238:08,18:29,33,41,44.6,19,17,23,31,
Ryan Smyth,34,LAK,LW,82,23,24,47,-1,35,14,9,0,2,19,5,0,195,11.8,307,1479:09,18:02,57,75,43.2,18,25,33,46,
Antoine Vermette,28,CBJ,C,82,19,28,47,0,60,15,3,1,3,21,7,0,183,10.4,321,1542:46,18:49,856,684,55.6,47,123,35,23,
Tomáš Kaberle,32,2TM,D,82,4,43,47,4,18,4,0,0,1,18,25,0,130,3.1,297,1813:06,22:07,0,0,,140,37,29,70,Byng-19
Tomáš Kaberle,32,TOR,D,58,3,35,38,-2,16,3,0,0,1,13,22,0,99,3.0,217,1303:09,22:28,0,0,,100,28,27,58,
Tomáš Kaberle,32,BOS,D,24,1,8,9,6,2,1,0,0,0,5,3,0,31,3.2,80,509:57,21:15,0,0,,40,9,2,12,
Andrew Brunette,37,MIN,LW,82,18,28,46,-7,16,10,8,0,3,18,10,0,117,15.4,154,1377:33,16:48,7,11,38.9,31,27,18,29,Byng-15
Brent Burns,25,MIN,D,80,17,29,46,-10,98,9,8,0,3,22,6,1,170,10.0,378,2003:47,25:03,1,1,50.0,106,133,47,80,ASG
Daniel Cleary,32,DET,LW,68,26,20,46,-1,20,21,5,0,8,17,3,0,192,13.5,312,1131:15,16:38,35,56,38.5,25,112,18,16,
Blake Comeau,24,NYI,RW,77,24,22,46,-17,43,18,5,1,3,15,7,0,182,13.2,356,1439:14,18:41,34,77,30.6,32,118,55,54,
Matt D'Agostini,24,STL,RW,82,21,25,46,8,40,15,6,0,5,17,8,0,163,12.9,286,1210:15,14:46,21,34,38.2,36,70,24,12,
Brian Gionta,32,MTL,RW,82,29,17,46,3,24,20,7,2,6,13,4,0,298,9.7,521,1608:45,19:37,19,40,32.2,31,87,45,27,Selke-31
John-Michael Liles,30,COL,D,76,6,40,46,-9,35,3,3,0,0,25,15,0,163,3.7,360,1672:40,22:01,0,0,,153,59,32,36,
Jakub Voráček,21,CBJ,RW,80,14,32,46,-3,26,12,2,0,2,26,6,0,183,7.7,299,1357:40,16:58,24,41,36.9,22,55,38,27,
Kris Versteeg,24,2TM,RW,80,21,25,46,-9,53,14,6,1,0,17,8,0,180,11.7,366,1418:24,17:44,63,67,48.5,56,45,53,35,
Kris Versteeg,24,TOR,RW,53,14,21,35,-13,29,9,5,0,0,13,8,0,128,10.9,271,1003:26,18:56,40,37,51.9,39,20,40,21,
Kris Versteeg,24,PHI,RW,27,7,4,11,4,24,5,1,1,0,4,0,0,52,13.5,95,414:58,15:22,23,30,43.4,17,25,13,14,
Alex Goligoski,25,2TM,D,83,14,32,46,20,40,7,7,0,4,15,17,0,162,8.6,392,1845:33,22:14,0,0,,106,75,14,56,
Alex Goligoski,25,PIT,D,60,9,22,31,20,28,5,4,0,4,9,13,0,101,8.9,254,1245:56,20:46,0,0,,74,51,8,31,
Alex Goligoski,25,DAL,D,23,5,10,15,0,12,2,3,0,0,6,4,0,61,8.2,138,599:37,26:04,0,0,,32,24,6,25,
Todd Bertuzzi,35,DET,RW,81,16,29,45,-7,71,14,2,0,2,24,5,0,138,11.6,239,1292:31,15:57,18,22,45.0,21,110,30,46,
David Jones,26,COL,RW,77,27,18,45,-2,28,21,6,0,4,14,3,1,153,17.6,267,1361:04,17:41,10,11,47.6,38,93,24,28,
Erik Karlsson,20,OTT,D,75,13,32,45,-30,50,9,4,0,4,14,17,1,182,7.1,386,1763:42,23:31,0,0,,74,32,56,79,ASG
Duncan Keith,27,CHI,D,82,7,38,45,-1,22,3,3,1,1,19,19,0,173,4.0,451,2204:33,26:53,0,0,,149,45,56,83,"ASG,ASnhl-9,Byng-30,Norris-9"
Tyler Kennedy,24,PIT,C,80,21,24,45,1,37,14,7,0,2,17,7,0,234,9.0,402,1162:17,14:32,27,33,45.0,23,95,25,20,
Saku Koivu,36,ANA,C,75,15,30,45,-8,36,11,4,0,3,19,11,0,104,14.4,189,1435:12,19:08,707,632,52.8,35,48,29,32,Byng-48
Andrei Kostitsyn,25,MTL,LW,81,20,25,45,3,36,15,5,0,6,19,6,0,196,10.2,363,1286:58,15:53,0,2,0.0,26,140,23,38,
Derek Stepan,20,NYR,C,82,21,24,45,8,20,18,3,0,3,17,7,0,166,12.7,309,1348:24,16:27,277,442,38.5,26,83,39,25,Calder-13
James Neal,23,2TM,LW,79,22,23,45,7,66,17,5,0,3,18,5,0,212,10.4,381,1382:14,17:30,8,15,34.8,26,159,59,34,
James Neal,23,DAL,LW,59,21,18,39,8,60,16,5,0,3,15,3,0,160,13.1,270,1044:17,17:42,7,10,41.2,22,120,51,26,
James Neal,23,PIT,LW,20,1,5,6,-1,6,1,0,0,0,3,2,0,52,1.9,111,337:57,16:54,1,5,16.7,4,39,8,8,
Dustin Penner,28,2TM,RW,81,23,22,45,-12,47,16,6,1,3,20,2,0,173,13.3,307,1467:59,18:07,131,175,42.8,30,90,45,69,
Dustin Penner,28,EDM,RW,62,21,18,39,-12,45,14,6,1,3,16,2,0,137,15.3,234,1144:42,18:28,127,167,43.2,26,63,35,51,
Dustin Penner,28,LAK,RW,19,2,4,6,0,2,2,0,0,0,4,0,0,36,5.6,73,323:17,17:01,4,8,33.3,4,27,10,18,
Artem Anisimov,22,NYR,C,82,18,26,44,3,20,15,3,0,2,21,5,0,190,9.5,335,1329:02,16:12,306,382,44.5,45,74,46,16,
Zdeno Chára,33,BOS,D,81,14,30,44,33,88,5,8,1,2,22,7,1,264,5.3,511,2060:13,25:26,0,0,,111,153,32,62,"ASG,ASnhl-3,Hart-13,Messier-1,Norris-3"
Frans Nielsen,26,NYI,C,71,13,31,44,13,38,6,0,7,1,22,8,1,156,8.3,253,1261:12,17:46,439,512,46.2,62,22,65,33,"Byng-39,Selke-6"
Travis Zajac,25,NJD,C,82,13,31,44,-6,24,10,2,1,1,22,8,1,173,7.5,290,1622:12,19:47,707,571,55.3,31,55,60,34,Selke-24
Blake Wheeler,24,2TM,RW,81,18,26,44,10,46,18,0,0,2,21,5,0,179,10.1,292,1316:02,16:15,52,96,35.1,47,74,40,29,
Blake Wheeler,24,BOS,RW,58,11,16,27,8,32,11,0,0,2,14,2,0,101,10.9,170,881:54,15:12,52,84,38.2,35,56,21,21,
Blake Wheeler,24,ATL,RW,23,7,10,17,2,14,7,0,0,0,7,3,0,78,9.0,122,434:08,18:53,0,12,0.0,12,18,19,8,
Jordan Eberle,20,EDM,C,69,18,25,43,-12,22,12,4,2,5,18,7,0,158,11.4,286,1220:08,17:41,11,15,42.3,17,32,56,41,Calder-15
Mark Giordano,27,CGY,D,82,8,35,43,-8,67,3,5,0,1,15,20,0,165,4.8,390,1897:33,23:08,0,0,,193,140,25,42,
