Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Daniel Sedin,30,VAN,LW,82,41,63,104,30,32,23,18,0,10,39,24,0,266,15.4,452,1521:21,18:33,4,13,23.5,12,13,36,48,"ASG,ASnhl-1,Byng-8,Hart-2,Ross-1,Selke-34,Pearson-1"
Martin St. Louis,35,TBL,RW,82,31,68,99,0,12,27,4,0,7,31,37,0,254,12.2,450,1720:21,20:59,50,81,38.2,64,37,55,71,"ASG,ASnhl-2,ASnhl-8,Byng-1,Hart-3,Selke-19"
Corey Perry,25,ANA,RW,82,50,48,98,9,104,32,14,4,11,30,17,1,290,17.2,483,1829:40,22:19,9,13,40.9,41,64,55,54,"ASG,ASnhl-1,Hart-1,Richard-1,Selke-21"
Henrik Sedin,30,VAN,C,82,19,75,94,26,40,11,8,0,4,48,27,0,157,12.1,257,1579:17,19:16,721,666,52.0,21,15,43,38,"ASG,ASnhl-1,ASnhl-8,Byng-11,Hart-10,Selke-23"
Steven Stamkos,20,TBL,C,82,45,46,91,3,74,28,17,0,8,27,19,0,272,16.5,519,1655:56,20:12,431,496,46.5,37,84,40,60,"ASG,ASnhl-2,ASnhl-6,ASnhl-8,Byng-20,Hart-11"
Jarome Iginla,33,CGY,RW,82,43,43,86,0,40,29,14,0,6,27,16,0,289,14.9,518,1716:44,20:56,227,193,54.0,28,103,40,70,"ASnhl-3,Byng-17,Hart-12"
Alex Ovechkin,25,WSH,LW,79,32,53,85,24,41,25,7,0,11,36,17,0,367,8.7,771,1687:55,21:22,6,12,33.3,23,239,48,58,"ASG,ASnhl-2,Hart-14"
Teemu Selänne,40,ANA,RW,73,31,49,80,6,49,15,16,0,5,31,18,0,213,14.6,322,1309:32,17:56,97,121,44.5,20,15,37,45,"ASnhl-4,Byng-6,Selke-40"
Henrik Zetterberg,30,DET,C,80,24,56,80,-1,40,14,10,0,3,35,20,1,306,7.8,541,1566:42,19:35,516,468,52.4,19,38,54,60,"ASnhl-3,Byng-46,Hart-16,Selke-12"
Brad Richards,30,DAL,C,72,28,49,77,1,24,21,7,0,3,27,22,0,272,10.3,548,1564:10,21:43,501,489,50.6,22,20,47,73,"ASG,ASnhl-6,Byng-7,Selke-14"
Ryan Getzlaf,25,ANA,C,67,19,57,76,14,35,12,7,0,4,37,20,0,117,16.2,236,1464:09,21:51,542,641,45.8,57,189,35,81,"ASnhl-7,Byng-26,Hart-20,Selke-53"
Claude Giroux,23,PHI,RW,82,25,51,76,20,47,14,8,3,5,36,11,4,169,14.8,303,1590:37,19:24,548,547,50.0,44,117,48,44,"ASG,ASnhl-5,ASnhl-11,Byng-26,Selke-14"
Eric Staal,26,CAR,C,81,33,43,76,-10,72,18,12,3,8,26,17,0,296,11.1,532,1777:06,21:56,827,901,47.9,31,80,64,43,"ASG,ASnhl-9,Byng-22,Selke-31"
Jonathan Toews,22,CHI,C,80,32,44,76,25,26,21,10,1,8,28,15,1,233,13.7,344,1661:08,20:46,937,716,56.7,28,74,93,30,"ASG,ASnhl-3,Byng-5,Hart-6,Selke-2"
Loui Eriksson,25,DAL,LW,79,27,46,73,10,8,16,10,1,6,29,15,2,179,15.1,285,1624:57,20:34,1,3,25.0,46,26,72,34,"ASG,ASnhl-7,Byng-3,Selke-37"
Patrick Kane,22,CHI,RW,73,27,46,73,7,28,22,5,0,2,27,19,0,216,12.5,378,1407:47,19:17,2,12,14.3,17,17,55,40,"ASG,ASnhl-9,Byng-26"
Ryan Kesler,26,VAN,C,82,41,32,73,24,66,23,15,3,7,16,15,1,260,15.8,496,1680:33,20:30,859,637,57.4,80,124,65,21,"ASG,ASnhl-4,ASnhl-6,Hart-8,Selke-1"
Anže Kopitar,23,LAK,C,75,25,48,73,25,20,18,6,1,6,36,12,0,233,10.7,410,1619:03,21:35,579,581,49.9,45,92,62,40,"ASG,ASnhl-8,Byng-10,Selke-9"
Patrick Marleau,31,SJS,C,82,37,36,73,-3,16,24,11,2,9,20,15,1,279,13.3,470,1704:46,20:47,288,261,52.5,31,86,35,66,"ASnhl-4,Byng-4,Hart-26,Selke-53"
Thomas Vanek,27,BUF,LW,80,32,41,73,2,24,21,11,0,5,24,17,0,238,13.4,383,1388:17,17:21,8,18,30.8,12,30,43,45,"ASnhl-6,Byng-46"
Mike Ribeiro,30,DAL,C,82,19,52,71,-4,28,12,7,0,4,36,16,0,161,11.8,286,1636:36,19:58,565,648,46.6,33,95,72,71,
Bobby Ryan,23,ANA,RW,82,34,37,71,15,61,28,5,1,5,32,5,0,270,12.6,423,1654:44,20:11,87,132,39.7,34,156,62,42,ASnhl-12
Patrick Sharp,29,CHI,C,74,34,37,71,-1,38,20,12,2,6,22,14,1,268,12.7,476,1436:33,19:25,244,264,48.0,26,76,64,23,"ASG,ASnhl-5,Selke-40"
Joe Thornton,31,SJS,C,80,21,49,70,4,47,10,9,2,3,25,24,0,149,14.1,261,1589:37,19:52,675,565,54.4,35,56,114,98,Selke-36
Alex Tanguay,31,CGY,LW,79,22,47,69,0,24,19,3,0,2,30,17,0,120,18.3,204,1561:14,19:46,42,65,39.3,38,31,49,57,Byng-48
Daniel Brière,33,PHI,C,77,34,34,68,20,87,28,6,0,6,25,9,0,246,13.8,386,1409:53,18:19,395,425,48.2,17,36,33,16,ASG
Ľubomír Višňovský,34,ANA,D,81,18,50,68,18,24,13,5,0,4,24,26,0,152,11.8,339,1967:43,24:18,0,0,,116,52,30,45,"ASnhl-4,Byng-13,Hart-23,Norris-4"
Matt Duchene,20,COL,C,80,27,40,67,-8,33,24,3,0,2,28,12,0,202,13.4,356,1515:35,18:57,628,618,50.4,48,57,65,52,"ASG,Byng-48"
John Tavares,20,NYI,C,79,29,38,67,-16,53,20,9,0,4,23,15,0,243,11.9,404,1520:45,19:15,681,616,52.5,23,21,73,51,
Jeff Carter,26,PHI,C,80,36,30,66,27,39,28,8,0,7,21,9,0,335,10.7,569,1459:44,18:15,331,274,54.7,41,65,40,29,"ASnhl-10,Byng-22,Selke-24"
Sidney Crosby,23,PIT,C,41,32,34,66,20,31,21,10,1,3,25,9,0,161,19.9,278,898:37,21:55,546,435,55.7,23,31,15,29,"ASnhl-5,Hart-20"
Rick Nash,26,CBJ,LW,75,32,34,66,2,34,26,6,0,7,26,8,0,305,10.5,547,1419:30,18:56,7,17,29.2,19,91,47,24,ASG
Joe Pavelski,26,SJS,C,74,20,46,66,10,24,8,11,1,5,27,17,2,282,7.1,453,1454:22,19:39,554,466,54.3,67,61,51,49,"Byng-32,Selke-24"
