Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Wayne Gretzky,24,EDM,C,80,73,135,208,100,52,54,8,11,7,92,36,7,354,20.6,,,"ASG,ASnhl-1,Byng-15,Hart-1,Ross-1,Selke-25,Pearson-1"
Jari Kurri,24,EDM,RW,73,71,64,135,78,30,54,14,3,13,47,14,3,267,26.6,,,"ASG,ASnhl-1,Byng-1,Hart-14,Selke-4"
Dale Hawerchuk,21,WIN,C,80,53,77,130,20,74,33,17,3,4,50,26,1,280,18.9,,,"ASG,ASnhl-2,Hart-2"
Marcel Dionne,33,LAK,C,80,46,80,126,11,46,29,16,1,2,41,36,3,316,14.6,,,"ASG,ASnhl-3,Byng-7,Hart-9"
Paul Coffey,23,EDM,D,80,37,84,121,57,97,23,12,2,6,53,27,4,285,13.0,,,"ASG,ASnhl-1,Hart-15,Norris-1"
Mike Bossy,28,NYI,RW,76,58,59,117,37,38,40,14,4,7,45,14,0,285,20.4,,,"ASG,ASnhl-2,Byng-4,Hart-11"
John Ogrodnick,25,DET,LW,79,55,50,105,-5,30,39,15,1,6,30,17,3,301,18.3,,,"ASG,ASnhl-1,ASnhl-6,Byng-3,Selke-25"
Denis Savard,23,CBH,C,79,38,67,105,16,56,31,7,0,1,36,31,0,265,14.3,,,ASnhl-6
Bernie Federko,28,STL,C,76,30,73,103,-10,27,24,6,0,3,41,32,0,175,17.1,,,"Byng-10,Hart-15"
Mike Gartner,25,WSH,RW,80,50,52,102,16,71,33,17,0,11,33,19,0,331,15.1,,,"ASG,ASnhl-4"
Brent Sutter,22,NYI,C,72,42,60,102,42,51,30,12,0,4,45,14,1,195,21.5,,,"ASG,ASnhl-4,Hart-15,Selke-8"
Paul MacLean,26,WIN,RW,79,41,60,101,3,119,27,14,0,6,44,16,0,185,22.2,,,"ASG,ASnhl-6"
Mario Lemieux,19,PIT,C,73,43,57,100,-33,54,32,11,0,2,35,22,0,209,20.6,,,"ASG,ASnhl-7,AR-1,Calder-1"
Bernie Nicholls,23,LAK,C,80,46,54,100,-5,76,31,15,0,6,35,19,0,329,14.0,,,
Peter Šťastný,28,QUE,C,75,32,68,100,21,95,24,7,1,9,46,22,0,208,15.4,,,
