Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Guy Lafleur,25,MTL,RW,80,56,80,136,89,20,42,14,0,8,62,18,0,290,19.3,,,"ASG,ASnhl-1,Byng-3,Hart-1,Ross-1,Pearson-1"
Marcel Dionne,25,LAK,C,80,53,69,122,11,12,38,14,1,5,36,32,1,376,14.1,,,"ASG,ASnhl-1,ASnhl-3,Byng-1,Hart-5"
Steve Shutt,24,MTL,LW,80,60,45,105,89,28,52,8,0,9,35,10,0,293,20.5,,,ASnhl-1
Rick MacLeish,27,PHI,C,79,49,48,97,46,42,38,10,1,8,35,13,0,252,19.4,,,"ASG,ASnhl-4"
Gilbert Perreault,26,BUF,C,80,39,56,95,9,30,30,7,2,9,33,23,0,195,20.0,,,"ASG,ASnhl-2,Hart-7"
Tim Young,21,MNS,C,80,29,66,95,-31,58,19,10,0,2,42,24,0,223,13.0,,,"ASG,ASnhl-7"
Jean Ratelle,36,BOS,C,78,33,61,94,18,22,24,8,1,6,50,11,0,185,17.8,,,"ASnhl-6,Byng-2,Hart-8"
Bobby Clarke,27,PHI,C,80,27,63,90,40,71,15,6,6,3,46,16,1,158,17.1,,,"ASG,ASnhl-3,Hart-2"
Lanny McDonald,23,TOR,RW,80,46,44,90,12,77,26,16,4,5,28,14,2,293,15.7,,,"ASG,ASnhl-2"
Darryl Sittler,26,TOR,C,73,38,52,90,7,89,25,12,1,5,37,13,2,307,12.4,,,"ASnhl-5,Hart-9"
Peter McNab,24,BOS,C,80,38,48,86,27,11,32,6,0,8,38,9,1,208,18.3,,,ASG
Butch Goring,27,LAK,C,78,30,55,85,10,6,17,13,0,3,29,24,2,216,13.9,,,Byng-4
Larry Robinson,25,MTL,D,77,19,66,85,120,45,16,3,0,3,51,15,0,196,9.7,,,"ASG,ASnhl-1,Hart-5,Norris-1"
Guy Charron,28,WSH,C,80,36,46,82,-28,10,29,6,1,4,24,21,1,262,13.7,,,"ASG,ASnhl-8,ASnhl-9"
Tom Lysiak,23,ATF,C,79,30,51,81,3,52,24,5,1,3,37,13,1,276,10.9,,,ASG
Wilf Paiement,21,CLR,RW,78,41,40,81,-14,101,27,9,5,2,30,10,0,285,14.4,,,"ASG,ASnhl-4"
Phil Esposito,34,NYR,C,80,34,46,80,-27,52,19,15,0,4,29,16,1,344,9.9,,,ASG
Denis Potvin,23,NYI,D,80,25,55,80,42,103,17,7,1,4,33,21,1,238,10.5,,,"ASG,ASnhl-3,Hart-9,Norris-3"
Ian Turnbull,23,TOR,D,80,22,57,79,46,84,16,4,2,0,34,22,1,315,7.0,,,"ASG,ASnhl-7"
Dennis Maruk,21,CLE,C,80,28,50,78,3,68,24,4,0,1,37,13,0,268,10.4,,,
Börje Salming,25,TOR,D,76,12,66,78,45,46,11,1,0,0,42,21,3,186,6.5,,,"ASG,ASnhl-2,Byng-5,Hart-4,Norris-2"
Guy Lapointe,28,MTL,D,77,25,51,76,70,53,15,10,0,6,34,16,1,287,8.7,,,"ASG,ASnhl-4,Norris-4"
Rod Gilbert,35,NYR,RW,77,27,48,75,-17,50,20,7,0,2,28,20,0,186,14.5,,,"ASG,ASnhl-6"
Jacques Lemaire,31,MTL,C,75,34,41,75,69,22,27,5,2,4,35,6,0,272,12.5,,,ASnhl-8
Tom Williams,25,LAK,LW,80,35,39,74,13,14,20,15,0,3,26,13,0,233,15.0,,,ASnhl-4
René Robert,28,BUF,RW,80,33,40,73,27,46,28,5,0,4,22,18,0,250,13.2,,,ASnhl-8
Bryan Trottier,20,NYI,C,76,30,42,72,28,34,18,11,1,6,31,11,0,175,17.1,,,
Eric Vail,23,ATF,LW,78,32,39,71,9,22,19,12,1,3,31,7,1,208,15.4,,,"ASG,ASnhl-3"
Roland Eriksson,22,MNS,C,80,25,44,69,-29,10,15,10,0,1,25,18,1,253,9.9,,,Calder-3
Don Luce,28,BUF,C,80,26,43,69,38,16,19,6,1,6,38,3,2,204,12.7,,,
Rick Blight,21,VAN,RW,78,28,40,68,0,32,17,11,0,5,23,17,0,198,14.1,,,
Billy Harris,25,NYI,RW,80,24,43,67,18,44,18,5,1,3,27,15,1,160,15.0,,,
Brad Park,28,BOS,D,77,12,55,67,49,67,7,4,1,4,38,17,0,234,5.1,,,"ASG,ASnhl-6"
Gregg Sheppard,27,BOS,C,77,31,36,67,4,20,22,8,1,5,21,14,1,247,12.6,,,
Rick Martin,25,BUF,LW,66,36,29,65,10,58,24,12,0,6,21,8,0,222,16.2,,,"ASG,ASnhl-2"
Gerry Meehan,30,WSH,C,80,28,36,64,-11,13,18,9,1,6,21,15,0,192,14.6,,,
Jean Pronovost,31,PIT,RW,79,33,31,64,8,24,25,7,1,6,20,8,3,216,15.3,,,"ASG,ASnhl-5"
Pierre Larouche,21,PIT,C,65,29,34,63,-10,14,21,8,0,6,25,9,0,228,12.7,,,
Al MacAdam,24,CLE,RW,80,22,41,63,-2,68,16,6,0,3,33,8,0,192,11.5,,,ASG
Ivan Boldirev,27,CBH,C,80,24,38,62,-15,40,20,4,0,4,29,9,0,164,14.6,,,
Ken Hodge,32,NYR,RW,78,21,41,62,-20,43,15,6,0,5,28,13,0,141,14.9,,,
Pete Mahovlich,30,MTL,C,76,15,47,62,36,45,12,3,0,1,37,10,0,157,9.6,,,
Syl Apps,29,PIT,C,72,18,43,61,1,20,13,3,2,2,29,13,1,163,11.0,,,
Mike Murphy,26,LAK,RW,76,25,36,61,15,58,13,9,3,3,26,10,0,164,15.2,,,
Craig Ramsay,25,BUF,LW,80,20,41,61,37,20,15,2,3,2,31,9,1,145,13.8,,,ASnhl-7
Dennis Kearns,31,VAN,D,80,5,55,60,-25,60,2,2,1,1,32,22,1,120,4.2,,,ASnhl-15
Doug Risebrough,23,MTL,C,78,22,38,60,33,132,21,1,0,6,32,6,0,143,15.4,,,
André Savard,23,BUF,C,80,25,35,60,11,30,21,4,0,4,32,3,0,160,15.6,,,
Gary Dornhoefer,33,PHI,RW,79,25,34,59,46,85,20,5,0,3,27,6,1,115,21.7,,,"ASG,ASnhl-9"
Paul Gardner,20,CLR,C,60,30,29,59,-30,25,19,11,0,0,16,13,0,190,15.8,,,
Walt McKechnie,29,DET,C,80,25,34,59,-24,50,19,3,3,1,22,10,2,189,13.2,,,
Bob MacMillan,24,STL,LW,80,19,39,58,2,11,9,10,0,1,28,11,0,168,11.3,,,ASnhl-11
Mel Bridgman,21,PHI,C,70,19,38,57,35,120,15,4,0,2,34,3,1,136,14.0,,,ASnhl-11
Rick Kehoe,25,PIT,RW,80,30,27,57,-5,10,23,7,0,5,22,5,0,245,12.2,,,
Don Lever,24,VAN,C,80,27,30,57,-8,28,18,8,1,2,22,5,3,198,13.6,,,
Glen Sharpley,20,MNS,C,80,25,32,57,-22,48,22,2,1,6,25,7,0,206,12.1,,,Calder-4
Garry Unger,29,STL,C,80,30,27,57,-11,56,23,7,0,5,17,10,0,235,12.8,,,ASG
Jim Lorentz,29,BUF,RW,79,23,33,56,3,8,16,7,0,3,27,6,0,156,14.7,,,
Wayne Merrick,24,CLE,C,80,18,38,56,-21,25,14,4,0,2,22,16,0,199,9.0,,,
Don Murdoch,20,NYR,RW,59,32,24,56,5,47,21,11,0,6,17,7,0,223,14.3,,,"ASG,Calder-2"
Bob Nystrom,24,NYI,RW,80,29,27,56,22,91,24,5,0,3,20,7,0,207,14.0,,,"ASG,ASnhl-7"
J.P. Parisé,35,NYI,LW,80,25,31,56,26,46,20,5,0,7,25,6,0,147,17.0,,,
Willi Plett,21,ATF,RW,64,33,23,56,15,123,28,5,0,6,17,6,0,156,21.2,,,"ASnhl-9,Calder-1"
Bill Barber,24,PHI,LW,73,20,35,55,32,62,17,3,0,3,20,13,2,243,8.2,,,ASnhl-6
Clark Gillies,22,NYI,LW,70,33,22,55,18,93,21,12,0,5,14,8,0,215,15.3,,,ASnhl-5
Ross Lonsberry,29,PHI,LW,75,23,32,55,42,43,19,3,1,3,30,2,0,173,13.3,,,ASnhl-8
Terry O'Reilly,25,BOS,RW,79,14,41,55,38,147,12,1,1,4,40,1,0,136,10.3,,,
Gary Sargent,22,LAK,D,80,14,40,54,6,65,6,8,0,2,16,24,0,200,7.0,,,ASnhl-8
Tom Bladon,24,PHI,D,80,10,43,53,33,39,8,2,0,2,28,15,0,156,6.4,,,"ASG,ASnhl-14"
Yvan Cournoyer,33,MTL,RW,60,25,28,53,25,8,19,6,0,2,24,4,0,121,20.7,,,
Jude Drouin,28,NYI,C,78,24,29,53,18,27,20,4,0,2,19,10,0,135,17.8,,,
Pit Martin,33,CBH,C,75,17,36,53,-4,22,10,6,1,2,26,9,1,116,14.7,,,
Steve Vickers,25,NYR,LW,75,22,31,53,-13,26,18,4,0,3,24,7,0,157,14.0,,,
Wayne Cashman,31,BOS,LW,65,15,37,52,4,76,12,3,0,3,26,11,0,105,14.3,,,ASnhl-11
Réjean Houle,27,MTL,RW,65,22,30,52,39,24,20,2,0,3,23,6,1,131,16.8,,,
Yvon Lambert,26,MTL,LW,79,24,28,52,29,50,22,2,0,5,19,9,0,130,18.5,,,
Bobby Schmautz,31,BOS,RW,57,23,29,52,26,62,19,4,0,2,24,5,0,177,13.0,,,
Gary Croteau,30,CLR,LW,78,24,27,51,-17,14,19,5,0,2,23,4,0,144,16.7,,,
Orest Kindrachuk,26,PHI,C,78,15,36,51,21,79,13,1,1,3,30,5,1,147,10.2,,,
Guy Chouinard,20,ATF,C,80,17,33,50,-12,8,14,3,0,0,20,13,0,167,10.2,,,
Ernie Hicke,29,MNS,LW,77,30,20,50,-32,41,20,10,0,5,12,8,0,188,16.0,,,
Hartland Monahan,25,WSH,RW,79,23,27,50,-28,37,15,7,1,4,24,2,1,137,16.8,,,
Larry Patey,23,STL,C,80,21,29,50,11,41,18,1,2,2,28,0,1,133,15.8,,,
Walt Tkaczuk,29,NYR,C,80,12,38,50,11,38,10,1,1,0,34,3,1,138,8.7,,,
Red Berenson,37,STL,C,80,21,28,49,-28,8,17,4,0,3,21,6,1,178,11.8,,,
Stan Mikita,36,CBH,C,57,19,30,49,-9,20,12,6,1,4,19,11,0,128,14.8,,,
Ron Schock,33,PIT,C,80,17,32,49,-6,10,13,3,1,4,28,4,0,153,11.1,,,
Dean Talafous,23,MNS,RW,80,22,27,49,-30,10,13,9,0,2,13,14,0,185,11.9,,,
Claude Larose,34,STL,RW,80,29,19,48,5,22,27,1,1,2,17,2,0,207,14.0,,,
Carol Vadnais,31,NYR,D,74,11,37,48,-20,131,7,3,1,0,16,20,1,169,6.5,,,
Curt Bennett,28,ATF,LW,76,22,25,47,-14,36,16,5,1,5,20,5,0,183,12.0,,,
Ron Greschner,22,NYR,D,80,11,36,47,0,89,9,0,2,1,32,4,0,191,5.8,,,ASnhl-16
Jerry Korab,28,BUF,D,77,14,33,47,22,120,10,4,0,1,16,17,0,185,7.6,,,ASnhl-16
