Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Wayne Gretzky,29,LAK,C,73,40,102,142,8,42,26,10,4,4,70,30,2,236,16.9,,,"ASG,ASnhl-2,Byng-2,Hart-4,Ross-1,Selke-26"
Mark Messier,29,EDM,C,79,45,84,129,19,79,26,13,6,3,45,34,5,211,21.3,,,"ASG,ASnhl-1,ASnhl-10,Hart-1,Selke-14,Pearson-1"
Steve Yzerman,24,DET,C,79,62,65,127,-6,79,39,16,7,8,40,21,4,332,18.7,,,"ASG,ASnhl-3,Byng-14,Hart-7"
Mario Lemieux,24,PIT,C,59,45,78,123,-18,78,28,14,3,4,43,35,0,226,19.9,,,"ASG,ASnhl-4"
Brett Hull,25,STL,RW,80,72,41,113,-1,24,45,27,0,12,24,17,0,385,18.7,,,"ASG,ASnhl-1,ASnhl-10,Byng-1,Hart-3"
Bernie Nicholls,28,2TM,C,79,39,73,112,-9,86,24,15,0,1,35,37,1,287,13.6,,,"ASG,ASnhl-10,Byng-15"
Bernie Nicholls,28,LAK,C,47,27,48,75,-6,66,19,8,0,1,25,22,1,172,15.7,,,
Bernie Nicholls,28,NYR,C,32,12,25,37,-3,20,5,7,0,0,10,15,0,115,10.4,,,
Pierre Turgeon,20,BUF,C,80,40,66,106,10,29,22,17,1,10,36,29,1,193,20.7,,,"ASG,ASnhl-6,Byng-4"
Pat LaFontaine,24,NYI,C,74,54,51,105,-13,38,39,13,2,8,24,27,0,286,18.9,,,"ASG,ASnhl-5,Byng-3,Hart-5"
Paul Coffey,28,PIT,D,80,29,74,103,-25,95,19,10,0,3,35,38,1,324,9.0,,,"ASG,ASnhl-3,Norris-4"
Adam Oates,27,STL,C,80,23,79,102,9,30,15,6,2,3,50,28,1,168,13.7,,,"ASnhl-7,Byng-7"
Joe Sakic,20,QUE,C,80,39,63,102,-40,27,30,8,1,2,36,27,0,234,16.7,,,"ASG,Byng-5"
Ron Francis,26,HAR,C,80,32,69,101,13,73,16,15,1,5,41,28,0,170,18.8,,,"ASG,Byng-18,Selke-5"
Luc Robitaille,23,LAK,LW,80,52,49,101,8,38,32,20,0,7,35,13,1,210,24.8,,,"ASG,ASnhl-1,Byng-18"
Brian Bellows,25,MNS,LW,80,55,44,99,-3,72,33,21,1,9,24,19,1,300,18.3,,,ASnhl-2
Rick Tocchet,25,PHI,RW,75,37,59,96,4,196,21,15,1,0,39,18,2,269,13.8,,,"ASG,ASnhl-5"
Gary Leeman,25,TOR,RW,80,51,44,95,4,63,36,14,1,5,32,12,0,256,19.9,,,"ASnhl-4,ASnhl-17"
Joe Nieuwendyk,23,CGY,C,79,45,50,95,32,40,27,18,0,3,33,17,0,226,19.9,,,"ASG,Byng-10"
Vincent Damphousse,22,TOR,LW,80,33,61,94,2,56,24,9,0,5,41,20,0,229,14.4,,,"ASnhl-3,Byng-9"
Jari Kurri,29,EDM,RW,78,33,60,93,18,48,21,10,2,2,33,19,8,201,16.4,,,"ASG,ASnhl-8,Byng-17"
John Cullen,25,PIT,C,72,32,60,92,-13,138,23,9,0,4,39,20,1,197,16.2,,,
