Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Joe Thornton,26,2TM,C,81,29,96,125,31,61,18,11,0,6,54,40,2,195,14.9,1728:16,21:20,"ASnhl-1,Byng-15,Hart-1,Ross-1,Selke-19"
Joe Thornton,26,BOS,C,23,9,24,33,0,6,6,3,0,2,15,8,1,60,15.0,495:41,21:33,
Joe Thornton,26,SJS,C,58,20,72,92,31,55,12,8,0,4,39,32,1,135,14.8,1232:35,21:15,
Jaromír Jágr,33,NYR,RW,82,54,69,123,34,72,30,24,0,9,41,28,0,368,14.7,1810:09,22:05,"ASnhl-1,Hart-2,Pearson-1"
Alex Ovechkin,20,WSH,LW,81,52,54,106,2,52,28,21,3,5,23,31,0,425,12.2,1751:22,21:37,"ASnhl-1,AR-1,Hart-6,Calder-1"
Daniel Alfredsson,33,OTT,RW,77,43,60,103,29,50,22,16,5,8,27,32,1,249,17.3,1670:11,21:41,"ASnhl-2,ASnhl-8,Byng-4,Hart-5,Selke-4"
Dany Heatley,25,OTT,LW,82,50,53,103,29,86,25,23,2,7,31,20,2,300,16.7,1734:27,21:09,"ASnhl-2,ASnhl-9,Hart-10"
Sidney Crosby,18,PIT,C,81,39,63,102,-1,110,23,16,0,5,30,31,2,278,14.0,1630:16,20:08,"ASnhl-3,AR-1,Hart-24,Calder-2"
Eric Staal,21,CAR,C,82,45,55,100,-8,81,22,19,4,4,34,21,0,279,16.1,1610:50,19:39,"ASnhl-2,Hart-4"
Ilya Kovalchuk,22,ATL,LW,78,52,46,98,-6,68,25,27,0,7,16,29,1,323,16.1,1730:38,22:11,"ASnhl-3,ASnhl-9,Hart-24"
Marc Savard,28,ATL,C,82,28,69,97,7,100,13,14,1,4,31,36,2,212,13.2,1681:40,20:30,
Jonathan Cheechoo,25,SJS,RW,82,56,37,93,23,58,30,24,2,11,20,17,0,317,17.7,1636:30,19:57,"ASnhl-3,ASnhl-10,Hart-15,Richard-1"
Marián Hossa,27,ATL,RW,80,39,53,92,17,67,18,14,7,7,27,25,1,341,11.4,1735:14,21:41,"ASnhl-6,Selke-14"
Brad Richards,25,TBL,C,82,23,68,91,0,32,12,7,4,0,28,39,1,282,8.2,1865:41,22:45,"ASnhl-5,Byng-2,Hart-26"
Teemu Selänne,35,MDA,RW,80,40,50,90,28,44,22,18,0,5,28,22,0,267,15.0,1423:44,17:48,"ASnhl-5,Byng-5,Hart-13"
Jason Spezza,22,OTT,C,68,19,71,90,23,33,12,7,0,5,37,34,0,156,12.2,1292:13,19:00,"ASnhl-7,Byng-8"
Brian Gionta,27,NJD,RW,82,48,41,89,18,46,23,24,1,10,31,10,0,291,16.5,1625:17,19:49,"ASnhl-4,Hart-13"
Olli Jokinen,27,FLA,C,82,38,51,89,14,88,23,14,1,9,28,23,0,351,10.8,1679:49,20:29,
Pavel Datsyuk,27,DET,C,75,28,59,87,26,22,17,11,0,4,31,28,0,145,19.3,1341:47,17:53,"ASnhl-4,Byng-1,Hart-21"
Joe Sakic,36,COL,C,82,32,55,87,10,60,22,10,0,6,31,24,0,263,12.2,1633:02,19:55,"ASnhl-6,Byng-15"
Patrick Marleau,26,SJS,C,82,34,52,86,-12,26,13,20,1,4,28,24,0,260,13.1,1633:55,19:56,Byng-3
Paul Kariya,31,NSH,LW,82,31,54,85,-6,40,17,14,0,3,22,32,0,245,12.7,1564:39,19:05,"ASnhl-6,Byng-12,Hart-26"
Andy McDonald,28,MDA,C,82,34,51,85,24,32,21,13,0,7,25,25,1,229,14.8,1377:47,16:48,"ASnhl-10,Byng-14,Selke-17"
Henrik Zetterberg,25,DET,LW,77,39,46,85,29,30,21,17,1,9,28,18,0,270,14.4,1459:30,18:57,"ASnhl-4,Byng-6,Selke-9"
Scott Gomez,26,NJD,C,82,33,51,84,8,42,24,9,0,5,27,24,0,244,13.5,1540:13,18:47,
Brendan Shanahan,37,DET,LW,82,40,41,81,29,105,26,14,0,6,27,14,0,289,13.8,1360:13,16:35,ASnhl-7
Nicklas Lidström,35,DET,D,80,16,64,80,21,50,7,9,0,2,23,41,0,243,6.6,2199:07,27:29,"ASnhl-1,Byng-10,Hart-7,Norris-1"
Václav Prospal,30,TBL,LW,81,25,55,80,-3,50,15,10,0,3,38,17,0,236,10.6,1553:02,19:10,
Simon Gagné,25,PHI,LW,72,47,32,79,31,38,33,12,2,7,18,11,3,334,14.1,1495:21,20:46,"ASnhl-5,Byng-9,Hart-21,Selke-12"
Markus Näslund,32,VAN,LW,81,32,47,79,-19,66,19,13,0,2,18,29,0,264,12.1,1496:26,18:28,
Michael Nylander,33,NYR,C,81,23,56,79,31,76,17,6,0,4,45,11,0,172,13.4,1565:56,19:20,
Brian Rolston,32,MIN,C,82,34,45,79,14,50,14,15,5,7,28,17,0,293,11.6,1668:54,20:21,Selke-10
Mats Sundin,34,TOR,C,70,31,47,78,7,58,13,16,2,2,19,26,2,220,14.1,1398:41,19:59,
Alex Tanguay,26,COL,LW,71,29,49,78,8,46,21,8,0,4,28,21,0,125,23.2,1304:05,18:22,ASnhl-10
Aleš Hemský,22,EDM,RW,81,19,58,77,-5,64,11,7,1,4,23,35,0,178,10.7,1375:16,16:59,
Mike Modano,35,DAL,C,78,27,50,77,23,58,14,12,1,4,27,22,1,207,13.0,1526:07,19:34,"ASnhl-8,Hart-19"
Jason Arnott,31,DAL,C,81,32,44,76,13,102,20,11,1,5,26,18,0,167,19.2,1392:57,17:12,
Cory Stillman,32,CAR,LW,72,21,55,76,-9,32,11,10,0,3,31,24,0,177,11.9,1344:08,18:40,
Martin Straka,33,NYR,LW,82,22,54,76,17,42,18,4,0,4,25,29,0,171,12.9,1570:33,19:09,
Justin Williams,24,CAR,RW,82,31,45,76,1,60,19,8,4,4,26,17,2,255,12.2,1733:07,21:08,
Peter Forsberg,32,PHI,C,60,19,56,75,21,46,10,8,1,2,32,24,0,132,14.4,1127:29,18:47,"ASnhl-9,Hart-17"
Vincent Lecavalier,25,TBL,C,80,35,40,75,0,90,20,13,2,7,20,19,1,309,11.3,1610:07,20:08,
Henrik Sedin,25,VAN,C,82,18,57,75,11,56,12,5,1,0,28,27,2,113,15.9,1386:21,16:54,
Maxim Afinogenov,26,BUF,RW,77,22,51,73,6,84,11,11,0,3,31,20,0,241,9.1,1257:48,16:20,
Patrice Bergeron,20,BOS,C,81,31,42,73,3,22,18,12,1,6,24,17,1,310,10.0,1668:13,20:36,Byng-11
Shawn Horcoff,27,EDM,LW,79,22,51,73,0,85,16,3,3,5,27,21,3,167,13.2,1578:18,19:59,
Todd Bertuzzi,30,VAN,RW,82,25,46,71,-17,120,13,12,0,3,26,20,0,200,12.5,1568:20,19:08,
Vyacheslav Kozlov,33,ATL,LW,82,25,46,71,14,33,17,8,0,1,29,16,1,206,12.1,1457:47,17:47,
Daniel Sedin,25,VAN,LW,82,22,49,71,7,34,11,11,0,4,26,21,2,204,10.8,1366:20,16:40,
Sergei Zubov,35,DAL,D,78,13,58,71,20,46,4,9,0,0,28,30,0,141,9.2,2046:59,26:15,"ASnhl-3,Norris-3"
Rod Brind'Amour,35,CAR,C,78,31,39,70,8,68,10,19,2,5,20,16,3,198,15.7,1894:53,24:18,"Hart-10,Selke-1"
Brad Boyes,23,BOS,C,82,26,43,69,11,30,18,8,0,3,29,14,0,203,12.8,1293:16,15:46,"AR-1,Calder-5"
Bryan McCabe,30,TOR,D,73,19,49,68,-1,116,6,13,0,6,13,32,4,207,9.2,2065:35,28:18,"ASnhl-9,Norris-9"
Jarret Stoll,23,EDM,C,82,22,46,68,4,74,10,11,1,4,25,20,1,243,9.1,1506:48,18:23,
Steve Sullivan,31,NSH,RW,69,31,37,68,2,50,14,13,4,5,16,21,0,192,16.1,1317:27,19:06,
Chris Drury,29,BUF,C,81,30,37,67,-11,32,12,16,2,5,16,21,0,172,17.4,1465:52,18:06,"Byng-20,Selke-15"
Jarome Iginla,28,CGY,RW,82,35,32,67,5,86,17,17,1,6,16,14,2,293,11.9,1778:49,21:42,ASnhl-7
Tomáš Kaberle,27,TOR,D,82,9,58,67,-1,46,3,6,0,2,13,45,0,163,5.5,2293:45,27:58,Norris-13
Ľubomír Višňovský,29,LAK,D,80,17,50,67,7,50,7,10,0,3,19,31,0,152,11.2,1861:32,23:16,"ASnhl-10,Norris-10"
Craig Conroy,34,LAK,C,78,22,44,66,13,78,14,5,3,3,25,16,3,154,14.3,1499:06,19:13,Selke-20
