Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Mario Lemieux,27,PIT,C,60,69,91,160,55,38,47,16,6,10,49,39,3,286,24.1,,,"ASnhl-1,Byng-7,Hart-1,Ross-1,Pearson-1"
Pat LaFontaine,27,BUF,C,84,53,95,148,11,63,31,20,2,7,52,43,0,306,17.3,,,"ASG,ASnhl-2,Byng-3,Hart-3,Selke-14"
Adam Oates,30,BOS,C,84,45,97,142,15,32,20,24,1,11,58,38,1,254,17.7,,,"ASG,ASnhl-4,Byng-2,Hart-4,Selke-10"
Steve Yzerman,27,DET,C,84,58,79,137,33,44,38,13,7,6,49,28,2,307,18.9,,,"ASG,ASnhl-5,Byng-6,Hart-8"
Teemu Selänne,22,WIN,RW,84,76,56,132,8,45,52,24,0,7,31,25,0,387,19.6,,,"ASG,ASnhl-1,AR-1,Byng-10,Hart-6,Calder-1"
Pierre Turgeon,23,NYI,C,83,58,74,132,-1,26,34,24,0,10,43,30,1,301,19.3,,,"ASG,ASnhl-6,Byng-1,Hart-5"
Doug Gilmour,29,TOR,C,83,32,95,127,32,100,14,15,3,2,49,44,2,211,15.2,,,"ASG,ASnhl-3,Hart-2,Selke-1"
Alexander Mogilny,23,BUF,RW,77,76,51,127,7,40,49,27,0,11,29,21,1,360,21.1,,,"ASG,ASnhl-2,Byng-8"
Luc Robitaille,26,LAK,LW,84,63,62,125,18,100,37,24,2,8,39,21,2,265,23.8,,,"ASG,ASnhl-1,Byng-17"
Mark Recchi,24,PHI,RW,84,53,70,123,1,95,34,15,4,6,42,27,1,274,19.3,,,"ASG,ASnhl-4"
Mats Sundin,21,QUE,C,80,47,67,114,21,96,30,13,4,9,28,34,5,215,21.9,,,
Kevin Stevens,27,PIT,LW,72,55,56,111,17,177,29,26,0,5,38,18,0,326,16.9,,,"ASG,ASnhl-2"
Pavel Bure,21,VAN,RW,83,60,50,110,35,69,40,13,7,9,28,20,2,407,14.7,,,"ASG,ASnhl-3,ASnhl-7"
Rick Tocchet,28,PIT,RW,80,48,61,109,28,252,24,20,4,5,41,20,0,240,20.0,,,"ASG,ASnhl-4"
Jeremy Roenick,23,CHI,C,84,50,57,107,15,86,25,22,3,3,28,29,0,255,19.6,,,ASG
Craig Janney,25,STL,C,84,24,82,106,-4,12,16,8,0,6,46,36,0,137,17.5,,,Byng-5
Joe Sakic,23,QUE,C,78,48,57,105,-3,40,26,20,2,4,29,27,1,264,18.2,,,"ASG,Byng-4"
Joé Juneau,25,BOS,LW,84,32,70,102,23,33,23,9,0,3,42,28,0,229,14.0,,,"ASnhl-4,AR-1,Byng-14,Calder-2"
Brett Hull,28,STL,RW,80,54,47,101,-27,41,25,29,0,2,18,29,0,390,13.8,,,ASG
Theo Fleury,24,CGY,RW,83,34,66,100,14,88,20,12,2,4,44,21,1,250,13.6,,,
Ron Francis,29,PIT,C,84,24,76,100,6,68,13,9,2,4,28,41,7,215,11.2,,,Selke-6
Dave Andreychuk,29,2TM,LW,83,54,45,99,4,56,22,32,0,4,23,22,0,310,17.4,,,"ASnhl-3,Byng-11"
Dave Andreychuk,29,BUF,LW,52,29,32,61,-8,48,9,20,0,2,15,17,0,171,17.0,,,
Dave Andreychuk,29,TOR,LW,31,25,13,38,12,8,13,12,0,2,8,5,0,139,18.0,,,
Dino Ciccarelli,32,DET,RW,82,41,56,97,12,81,20,21,0,8,33,23,0,200,20.5,,,ASnhl-7
Vincent Damphousse,25,MTL,LW,84,39,58,97,5,98,27,9,3,8,34,24,0,287,13.6,,,ASnhl-6
Phil Housley,28,WIN,D,80,18,79,97,-14,52,12,6,0,2,29,50,0,249,7.2,,,"ASG,ASnhl-6,Norris-5"
Dale Hawerchuk,29,BUF,C,81,16,80,96,-17,52,8,8,0,2,36,44,0,259,6.2,,,
Jaromír Jágr,20,PIT,RW,81,34,60,94,30,61,23,10,1,9,48,12,0,242,14.0,,,"ASG,ASnhl-7"
Kirk Muller,26,MTL,C,80,37,57,94,8,77,25,12,0,4,35,21,1,231,16.0,,,"ASG,ASnhl-9,Selke-14"
Brendan Shanahan,24,STL,LW,71,51,43,94,10,174,33,18,0,8,24,19,0,232,22.0,,,ASnhl-4
Mike Modano,22,MNS,C,82,33,60,93,-7,83,24,9,0,7,33,27,0,307,10.7,,,ASG
Mark Messier,32,NYR,C,75,25,66,91,-6,72,16,7,2,2,41,23,2,215,11.6,,,
Geoff Sanderson,20,HAR,LW,82,46,43,89,-21,28,23,21,2,4,22,20,1,271,17.0,,,Byng-17
Brian Bellows,28,MTL,RW,82,40,48,88,4,44,24,16,0,5,29,19,0,260,15.4,,,
Robert Reichel,21,CGY,C,80,40,48,88,25,54,28,12,0,5,32,16,0,238,16.8,,,
Sergei Fedorov,23,DET,C,73,34,53,87,33,72,17,13,4,3,30,18,5,217,15.7,,,Selke-4
Jari Kurri,32,LAK,RW,82,27,60,87,19,38,13,12,2,3,40,19,1,210,12.9,,,"ASG,Byng-17,Selke-18"
Steve Thomas,29,NYI,RW,79,37,50,87,3,111,25,12,0,7,24,26,0,264,14.0,,,
Paul Coffey,31,2TM,D,80,12,75,87,16,77,7,5,0,0,29,46,0,254,4.7,,,"ASG,ASnhl-7,Norris-9"
Paul Coffey,31,LAK,D,50,8,49,57,9,50,6,2,0,0,21,28,0,182,4.4,,,
Paul Coffey,31,DET,D,30,4,26,30,7,27,1,3,0,0,8,18,0,72,5.6,,,
Brian Bradley,28,TBL,C,80,42,44,86,-24,92,26,16,0,6,24,19,1,205,20.5,,,ASG
Rod Brind'Amour,22,PHI,C,81,37,49,86,-8,89,20,13,4,4,30,17,2,206,18.0,,,
Peter Bondra,24,WSH,RW,83,37,48,85,8,70,27,10,0,7,32,16,0,239,15.5,,,ASG
Andrew Cassels,23,HAR,C,84,21,64,85,-11,62,10,8,3,1,30,30,4,134,15.7,,,
Larry Murphy,31,PIT,D,83,22,63,85,45,73,14,6,2,2,27,36,0,230,9.6,,,"ASnhl-3,Norris-3"
Cliff Ronning,27,VAN,C,79,29,56,85,19,30,19,10,0,2,38,18,0,209,13.9,,,
Ray Bourque,32,BOS,D,78,19,63,82,38,40,11,8,0,7,25,33,5,330,5.8,,,"ASG,ASnhl-2,Byng-17,Norris-2"
Steve Duchesne,27,QUE,D,82,20,62,82,15,57,12,8,0,2,25,37,0,227,8.8,,,"ASG,ASnhl-8,Norris-7"
Tony Granato,28,LAK,RW,81,37,45,82,-1,171,21,14,2,6,29,13,3,247,15.0,,,
Mike Ridley,29,WSH,C,84,26,56,82,5,44,18,6,2,3,30,24,2,148,17.6,,,Selke-10
Pat Verbeek,28,HAR,RW,84,39,43,82,-7,197,23,16,0,6,28,15,0,235,16.6,,,
Claude Lemieux,27,NJD,RW,77,30,51,81,3,155,17,13,0,3,29,22,0,311,9.6,,,
Gary Suter,28,CGY,D,81,23,58,81,-1,112,12,10,1,2,23,34,1,263,8.7,,,"ASnhl-10,Norris-7"
Stéphan Lebeau,24,MTL,C,71,31,49,80,23,20,23,8,0,7,38,11,0,150,20.7,,,
Russ Courtnall,27,MNS,RW,84,36,43,79,1,49,20,14,2,3,28,14,1,294,12.2,,,
