Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Stan Mikita,27,CBH,C,72,40,47,87,0,14,25,13,2,8,33,14,0,303,13.2,,,"ASG,ASnhl-1,Byng-1,Hart-1,Ross-1"
Phil Esposito,25,BOS,C,74,35,49,84,18,21,26,8,1,3,30,19,0,284,12.3,,,"ASnhl-2,Byng-5"
Gordie Howe,39,DET,RW,74,39,43,82,12,53,29,10,0,4,31,12,0,301,13.0,,,"ASG,ASnhl-1,Hart-5"
Jean Ratelle,27,NYR,C,74,32,46,78,23,18,22,10,0,5,39,7,0,180,17.8,,,Byng-4
Rod Gilbert,26,NYR,RW,73,29,48,77,17,12,21,8,0,6,34,14,0,282,10.3,,,"ASnhl-2,Byng-3"
Bobby Hull,29,CBH,LW,71,44,31,75,13,39,34,8,2,6,22,8,1,367,12.0,,,"ASG,ASnhl-1,Hart-3"
Norm Ullman,32,2TM,C,71,35,37,72,0,28,27,8,0,4,28,7,2,228,15.4,,,ASG
Norm Ullman,32,DET,C,58,30,25,55,-12,26,23,7,0,4,17,6,2,189,15.9,,,
Norm Ullman,32,TOR,C,13,5,12,17,12,2,4,1,0,0,11,1,0,39,12.8,,,
Alex Delvecchio,35,DET,C,74,22,48,70,7,14,19,3,0,2,36,11,1,212,10.4,,,
Johnny Bucyk,32,BOS,LW,72,30,39,69,18,8,23,6,1,4,30,9,0,175,17.1,,,"ASG,ASnhl-2,Byng-2"
Kenny Wharram,34,CBH,RW,74,27,42,69,-3,18,17,9,1,3,28,13,1,177,15.3,,,ASG
Jean Béliveau,36,MTL,C,59,31,37,68,25,28,22,9,0,3,24,13,0,206,15.0,,,"ASG,Hart-2"
John McKenzie,30,BOS,RW,74,28,38,66,14,107,21,7,0,4,33,4,1,181,15.5,,,
Phil Goyette,34,NYR,C,72,25,40,65,19,10,21,4,0,7,30,10,0,179,14.0,,,
Bobby Rousseau,27,MTL,RW,74,19,46,65,11,47,11,7,1,5,31,15,0,183,10.4,,,
Fred Stanfield,23,BOS,C,73,20,44,64,9,10,17,3,0,1,30,14,0,215,9.3,,,
Yvan Cournoyer,24,MTL,RW,64,28,32,60,19,23,20,7,1,4,18,14,0,221,12.7,,,
Andy Bathgate,35,PIT,RW,74,20,39,59,-11,55,18,2,0,4,25,14,0,292,6.8,,,
Mike Walton,23,TOR,C,73,30,29,59,0,48,19,11,0,5,25,4,0,238,12.6,,,ASG
Bob Nevin,29,NYR,RW,74,28,30,58,15,20,25,3,0,4,23,7,0,217,12.9,,,
Eddie Joyal,27,LAK,C,74,23,34,57,-2,20,18,5,0,3,25,9,0,226,10.2,,,
Wayne Connelly,28,MNS,RW,74,35,21,56,-33,40,21,14,0,8,10,11,0,257,13.6,,,
Ken Hodge,23,BOS,RW,74,25,31,56,12,31,20,5,0,3,27,3,1,185,13.5,,,
Dean Prentice,35,DET,LW,69,17,38,55,7,42,12,4,1,2,30,7,1,174,9.8,,,
Red Berenson,28,2TM,LW,74,24,30,54,-11,24,17,7,0,7,21,6,3,244,9.8,,,
Red Berenson,28,NYR,LW,19,2,1,3,-1,2,2,0,0,0,1,0,0,25,8.0,,,
Red Berenson,28,STL,LW,55,22,29,51,-10,22,15,7,0,7,20,6,3,219,10.0,,,
Ted Hampson,31,2TM,C,71,17,37,54,-3,14,15,2,0,3,27,10,0,148,11.5,,,
Ted Hampson,31,DET,C,37,9,18,27,7,10,9,0,0,2,16,2,0,76,11.8,,,
Ted Hampson,31,OAK,C,34,8,19,27,-10,4,6,2,0,1,11,8,0,72,11.1,,,
André Boudrias,24,MNS,C,74,18,35,53,-3,42,14,4,0,3,29,6,0,183,9.8,,,
Ray Cullen,26,MNS,C,67,28,25,53,-24,18,17,11,0,6,17,8,0,203,13.8,,,
Doug Mohns,34,CBH,LW,65,24,29,53,8,53,18,5,1,4,17,12,0,160,15.0,,,
Frank Mahovlich,30,2TM,LW,63,26,26,52,5,32,24,2,0,5,22,4,0,191,13.6,,,ASG
Frank Mahovlich,30,TOR,LW,50,19,17,36,2,30,17,2,0,4,14,3,0,152,12.5,,,
Frank Mahovlich,30,DET,LW,13,7,9,16,3,2,7,0,0,1,8,1,0,39,17.9,,,
Gilles Tremblay,29,MTL,LW,71,23,28,51,28,8,15,7,1,2,25,3,0,215,10.7,,,
Gerry Melnyk,33,STL,C,73,15,35,50,-11,14,11,3,1,3,19,14,2,145,10.3,,,
Bob Pulford,31,TOR,LW,74,20,30,50,-7,40,13,4,3,3,23,5,2,229,8.7,,,ASG
Tommy Williams,27,BOS,RW,68,18,32,50,25,12,18,0,0,4,29,3,0,136,13.2,,,
Lou Angotti,30,PHI,C,70,12,37,49,4,35,10,2,0,1,29,7,1,147,8.2,,,
Don Marshall,35,NYR,LW,70,19,30,49,19,2,15,4,0,3,22,8,0,146,13.0,,,ASG
Derek Sanderson,21,BOS,C,71,24,25,49,11,98,19,4,1,6,24,1,0,187,12.8,,,Calder-1
Ron Ellis,23,TOR,RW,74,28,20,48,7,8,26,1,1,5,17,3,0,215,13.0,,,ASG
Dave Keon,27,TOR,C,67,11,37,48,15,4,10,1,0,3,29,8,0,196,5.6,,,ASG
Dave Balon,29,MNS,LW,73,15,32,47,-10,84,10,4,1,2,26,6,0,152,9.9,,,ASG
Mike McMahon,26,MNS,D,74,14,33,47,-14,71,10,4,0,1,15,18,0,151,9.3,,,
Dick Duff,31,MTL,LW,66,25,21,46,5,21,19,6,0,8,16,5,0,111,22.5,,,
Bill Flett,24,LAK,RW,73,26,20,46,4,97,23,3,0,6,14,4,2,205,12.7,,,Calder-4
