Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Stan Mikita,23,CBH,C,70,39,50,89,21,146,24,14,1,7,30,20,0,305,12.8,,,"ASG,ASnhl-1,Hart-5,Ross-1"
Bobby Hull,25,CBH,LW,70,43,44,87,14,48,27,12,4,5,24,20,0,408,10.5,,,"ASG,ASnhl-1,Byng-4,Hart-2"
Jean Béliveau,32,MTL,C,68,28,50,78,9,42,15,13,0,2,31,19,0,228,12.3,,,"ASG,ASnhl-2,Hart-1"
Andy Bathgate,31,2TM,RW,71,19,58,77,-12,34,14,5,0,1,38,20,0,284,6.7,,,ASG
Andy Bathgate,31,NYR,RW,56,16,43,59,-18,26,11,5,0,1,30,13,0,232,6.9,,,
Andy Bathgate,31,TOR,RW,15,3,15,18,6,8,3,0,0,0,8,7,0,52,5.8,,,
Gordie Howe,35,DET,RW,69,26,47,73,-10,70,13,12,1,3,30,17,0,345,7.5,,,"ASG,ASnhl-2,Hart-3"
Kenny Wharram,30,CBH,RW,70,39,32,71,25,18,25,14,0,8,26,6,0,191,20.4,,,"ASnhl-1,Byng-1,Hart-7"
Murray Oliver,26,BOS,C,70,24,44,68,-6,41,19,5,0,2,33,11,0,251,9.6,,,ASG
Phil Goyette,30,NYR,C,67,24,41,65,-8,15,18,6,0,4,30,11,0,194,12.4,,,Byng-5
Rod Gilbert,22,NYR,RW,70,24,40,64,-5,62,17,7,0,0,28,12,0,185,13.0,,,ASG
Dave Keon,23,TOR,C,70,23,37,60,2,6,16,7,0,2,25,11,1,240,9.6,,,"ASG,Byng-2"
Bill Hay,28,CBH,C,70,23,33,56,5,30,18,5,0,2,24,9,0,204,11.3,,,
Bobby Rousseau,23,MTL,RW,70,25,31,56,24,32,23,2,0,7,24,7,0,243,10.3,,,
Camille Henry,31,NYR,LW,68,29,26,55,-17,8,20,9,0,3,17,9,0,153,19.0,,,"ASG,Byng-3"
Frank Mahovlich,26,TOR,LW,70,26,29,55,8,66,20,6,0,4,20,9,0,205,12.7,,,"ASG,ASnhl-2"
