Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Eric Nystrom,29,DAL,LW,48,7,4,11,-3,61,6,0,1,3,4,0,0,49,14.3,107,688:48,14:21,15,11,57.7,26,122,19,12,
Taylor Pyatt,31,NYR,LW,48,6,5,11,5,6,5,1,0,0,4,1,0,56,10.7,93,628:49,13:06,4,6,40.0,28,85,11,10,Byng-50
Luke Schenn,23,PHI,D,47,3,8,11,3,34,3,0,0,0,8,0,0,81,3.7,161,1027:33,21:52,0,0,,102,187,14,31,
Marc Staal,26,NYR,D,21,2,9,11,4,14,1,1,0,0,7,2,0,20,10.0,71,513:27,24:27,0,0,,36,47,4,12,
Bobby Butler,25,2TM,LW,34,4,7,11,-8,4,3,1,0,0,4,3,0,41,9.8,70,367:19,10:48,2,3,40.0,4,15,7,4,
Bobby Butler,25,NJD,LW,14,1,1,2,-6,0,0,1,0,0,0,1,0,13,7.7,28,139:40,9:59,2,2,50.0,2,8,3,1,
Bobby Butler,25,NSH,LW,20,3,6,9,-2,4,3,0,0,0,4,2,0,28,10.7,42,227:39,11:23,0,1,0.0,2,7,4,3,
Sven Baertschi,20,CGY,LW,20,3,7,10,0,6,3,0,0,0,7,0,0,28,10.7,44,268:07,13:24,1,0,100.0,5,12,12,5,
André Benoit,29,OTT,D,33,3,7,10,-3,8,2,1,0,2,6,1,0,50,6.0,119,541:47,16:25,0,0,,54,29,7,17,
Alexander Burmistrov,21,WPG,C,44,4,6,10,0,14,4,0,0,0,6,0,0,55,7.3,113,688:09,15:38,142,159,47.2,16,106,22,17,
Cal Clutterbuck,25,MIN,RW,42,4,6,10,-5,27,4,0,0,1,5,0,1,87,4.6,149,576:51,13:44,1,1,50.0,17,155,13,10,
Emerson Etem,20,ANA,RW,38,3,7,10,7,9,3,0,0,0,5,0,2,48,6.3,89,435:33,11:28,2,3,40.0,20,43,11,5,
Michael Frolík,24,CHI,C,45,3,7,10,5,8,3,0,0,1,7,0,0,98,3.1,160,563:18,12:31,15,25,37.5,23,32,42,6,Selke-25
Ryan Garbutt,27,DAL,C,36,3,7,10,1,32,3,0,0,0,7,0,0,59,5.1,103,357:11,9:55,7,10,41.2,9,67,11,3,
Nathan Gerbe,25,BUF,C,42,5,5,10,-3,14,4,0,1,0,5,0,0,64,7.8,110,525:10,12:30,0,1,0.0,8,32,12,17,
Travis Hamonic,22,NYI,D,48,3,7,10,-8,28,2,1,0,1,4,2,1,83,3.6,189,1094:35,22:48,0,0,,109,59,34,46,
Jay Harrison,30,CAR,D,47,3,7,10,-10,51,3,0,0,2,6,1,0,54,5.6,122,935:40,19:54,0,0,,110,83,12,24,
Jan Hejda,34,COL,D,46,1,9,10,-3,28,1,0,0,1,9,0,0,50,2.0,118,906:10,19:42,0,1,0.0,102,96,18,29,
Niklas Hjalmarsson,25,CHI,D,46,2,8,10,15,22,2,0,0,0,8,0,0,43,4.7,99,961:45,20:54,0,0,,94,26,29,40,
Dwight King,23,LAK,LW,47,4,6,10,-3,11,4,0,0,0,6,0,0,60,6.7,104,599:32,12:45,2,4,33.3,9,58,14,11,
Filip Kuba,36,FLA,D,44,1,9,10,-18,24,1,0,0,0,5,4,0,50,2.0,82,933:50,21:13,0,0,,69,37,14,17,
