Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Gordie Howe,23,DET,RW,70,47,39,86,78,41,5,1,10,20,19,0,,,"ASG,ASnhl-1,Hart-1,Ross-1"
Ted Lindsay,26,DET,LW,70,30,39,69,123,20,9,1,3,30,9,0,,,"ASG,ASnhl-1"
Elmer Lach,34,MTL,C,70,15,50,65,36,8,7,0,3,33,15,2,,,"ASG,ASnhl-1,Hart-2"
Don Raleigh,25,NYR,C,70,19,42,61,14,10,9,0,1,31,9,2,,,Byng-3
Sid Smith,26,TOR,LW,70,27,30,57,6,18,8,1,6,16,14,0,,,"ASG,ASnhl-2,Byng-1"
Bernie Geoffrion,20,MTL,RW,67,30,24,54,66,19,10,1,7,19,5,0,,,"ASG,Calder-1"
Sid Abel,33,DET,C,62,17,36,53,32,9,8,0,2,24,12,0,,,
Bill Mosienko,30,CBH,RW,70,31,22,53,10,25,6,0,6,18,3,1,,,"ASG,Byng-3"
Ted Kennedy,26,TOR,C,70,19,33,52,33,11,8,0,4,20,13,0,,,
Johnny Peirson,26,BOS,RW,68,20,30,50,30,16,4,0,3,22,8,0,,,
Milt Schmidt,33,BOS,C,69,21,29,50,57,18,2,1,3,20,9,0,,,"ASG,ASnhl-2,Hart-4"
George Gee,29,CBH,C,70,18,31,49,39,11,5,2,3,25,6,0,,,
Tod Sloan,24,TOR,RW,68,25,23,48,89,14,10,1,4,15,8,0,,,ASG
Red Kelly,24,DET,D,67,16,31,47,16,12,2,2,3,19,10,2,,,"ASG,ASnhl-1,Byng-2"
Maurice Richard,30,MTL,RW,48,27,17,44,44,18,9,0,3,11,6,0,,,"ASG,ASnhl-2"
Metro Prystai,24,DET,C,69,21,22,43,16,15,6,0,4,20,2,0,,,
Paul Ronty,23,NYR,C,65,12,31,43,16,8,4,0,1,27,4,0,,,
Ed Slowinski,29,NYR,LW,64,21,22,43,18,15,6,0,3,15,7,0,,,
Paul Meger,22,MTL,LW,69,24,18,42,44,22,1,1,2,14,4,0,,,ASG
Max Bentley,31,TOR,C,69,24,17,41,40,20,4,0,3,5,12,0,,,
Cal Gardner,27,TOR,C,70,15,26,41,40,14,1,0,2,20,6,0,,,
Billy Reay,33,MTL,C,68,7,34,41,20,4,2,1,1,31,3,0,,,ASG
Gus Bodnar,28,CBH,C,69,14,26,40,26,12,2,0,0,21,4,1,,,
Dick Gamble,23,MTL,LW,64,23,17,40,8,17,5,1,8,12,4,1,,,
Gaye Stewart,28,NYR,LW,69,15,25,40,22,12,3,0,4,17,8,0,,,
Harry Watson,28,TOR,LW,70,22,17,39,18,16,6,0,2,14,3,0,,,ASG
Floyd Curry,26,MTL,RW,64,20,18,38,10,16,2,2,4,14,1,3,,,"ASG,Byng-5"
Wally Hergesheimer,25,NYR,RW,68,26,12,38,6,25,1,0,3,9,3,0,,,
