Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Edgar Laprade,32,NYR,C,70,9,29,38,8,7,2,0,2,27,2,0,,,
Dave Creighton,21,BOS,C,49,20,17,37,18,14,6,0,0,14,3,0,,,ASG
Alex Delvecchio,19,DET,C,65,15,22,37,22,14,1,0,6,16,6,0,,,
Marty Pavelich,24,DET,LW,68,17,19,36,54,15,2,0,5,17,2,0,,,ASG
Jimmy Peters,29,CBH,RW,70,15,21,36,16,13,2,0,1,19,1,1,,,
Hy Buller,25,NYR,D,68,12,23,35,96,9,3,0,0,14,9,0,,,"ASG,ASnhl-2,Calder-2"
Bert Olmstead,25,MTL,LW,69,7,28,35,49,6,1,0,1,19,9,0,,,
Jim McFadden,31,CBH,C,70,10,24,34,14,8,1,1,2,19,5,0,,,
Dickie Moore,21,MTL,LW,33,18,15,33,44,14,4,0,2,9,6,0,,,Calder-3
Bep Guidolin,26,CBH,LW,67,13,18,31,78,12,1,0,1,17,1,0,,,
Jack McIntyre,21,BOS,LW,52,12,19,31,18,10,2,0,3,16,3,0,,,
Reg Sinclair,26,NYR,RW,69,20,10,30,33,17,1,2,2,8,2,0,,,ASG
Doug Harvey,27,MTL,D,68,6,23,29,82,6,0,0,1,12,10,1,,,"ASG,ASnhl-1"
Herb Dickenson,20,NYR,LW,37,14,13,27,8,14,0,0,2,11,2,0,,,
Dunc Fisher,24,BOS,RW,65,15,12,27,2,15,0,0,1,11,0,1,,,
Glen Skov,21,DET,C,70,12,14,26,46,5,7,0,4,11,3,0,,,
Pete Babando,26,CBH,LW,49,11,14,25,29,6,4,1,1,12,2,0,,,
Real Chevrefils,19,BOS,LW,33,8,17,25,8,8,0,0,2,14,3,0,,,
Ed Sandford,23,BOS,LW,65,13,12,25,54,13,0,0,5,11,1,0,,,ASG
Jimmy Thomson,24,TOR,D,70,0,25,25,86,0,0,0,0,16,8,1,,,"ASG,ASnhl-2"
Al Dewsbury,25,CBH,D,69,7,17,24,99,6,1,0,0,6,11,0,,,
Red Sullivan,22,BOS,C,67,12,12,24,24,7,3,2,1,5,7,0,,,
Howie Meeker,28,TOR,RW,54,9,14,23,50,6,3,0,3,12,2,0,,,
Bill Gadsby,24,CBH,D,59,7,15,22,87,6,1,0,1,11,4,0,,,
Eddie Kullman,28,NYR,RW,64,11,10,21,61,10,1,0,1,8,2,0,,,
Pete Horeck,28,CBH,LW,60,9,11,20,22,8,1,0,1,8,3,0,,,
Nick Mickoski,24,NYR,LW,43,7,13,20,20,5,2,0,1,9,4,0,,,
Tony Leswick,28,DET,RW,70,9,10,19,93,9,0,0,1,9,1,0,,,ASG
Bill Quackenbush,29,BOS,D,69,2,17,19,6,2,0,0,0,14,3,0,,,ASG
Allan Stanley,25,NYR,D,50,5,14,19,52,5,0,0,0,11,3,0,,,
Fleming Mackell,22,2TM,C,62,3,16,19,40,2,1,0,1,14,2,0,,,
Fleming Mackell,22,TOR,C,32,2,8,10,16,1,1,0,0,6,2,0,,,
Fleming Mackell,22,BOS,C,30,1,8,9,24,1,0,0,1,8,0,0,,,
Fred Glover,24,DET,LW,54,9,9,18,25,4,5,0,1,5,4,0,,,
Marcel Pronovost,21,DET,D,69,7,11,18,50,6,1,0,1,8,3,0,,,
Adam Brown,31,BOS,LW,33,8,9,17,6,7,1,0,2,7,2,0,,,
Stephen Kraftcheck,22,NYR,D,58,8,9,17,30,4,4,0,0,5,4,0,,,
Hugh Bolton,22,TOR,D,60,3,13,16,73,3,0,0,1,11,2,0,,,
Ken Mosdell,29,MTL,C,44,5,11,16,19,4,0,1,0,10,1,0,,,ASG
Bob Goldham,29,DET,D,69,0,14,14,24,0,0,0,0,11,3,0,,,ASG
Vic Stasiuk,22,DET,RW,58,5,9,14,19,4,1,0,2,8,1,0,,,
Woody Dumart,35,BOS,LW,39,5,8,13,0,5,0,0,0,8,0,0,,,
Gus Kyle,28,BOS,D,69,1,12,13,127,1,0,0,0,12,0,0,,,
Danny Lewicki,20,TOR,LW,51,4,9,13,26,3,1,0,1,8,0,1,,,
Dollard St. Laurent,22,MTL,D,40,3,10,13,30,2,1,0,1,7,2,1,,,
Butch Bouchard,32,MTL,D,60,3,9,12,45,3,0,0,1,9,0,0,,,ASG
Joe Klukay,29,TOR,LW,43,4,8,12,6,4,0,0,0,7,1,0,,,
Hal Laycoe,29,BOS,D,70,5,7,12,61,5,0,0,0,7,0,0,,,
John McCormack,26,MTL,C,54,2,10,12,4,2,0,0,0,10,0,0,,,
Sid Finney,22,CBH,RW,35,6,5,11,0,5,1,0,1,4,1,0,,,
Gus Mortson,27,TOR,D,65,1,10,11,106,1,0,0,1,9,1,0,,,ASG
Leo Reise,29,DET,D,54,0,11,11,34,0,0,0,0,11,0,0,,,ASG
Jim Ross,25,NYR,D,51,2,9,11,25,1,1,0,0,8,1,0,,,
Steve Witiuk,23,CBH,RW,33,3,8,11,14,3,0,0,0,7,1,0,,,
Benny Woit,24,DET,D,58,3,8,11,20,3,0,0,0,7,1,0,,,
Bill Ezinicki,27,BOS,RW,28,5,5,10,45,5,0,0,1,5,0,0,,,
Fred Hucul,20,CBH,D,34,3,7,10,37,2,1,0,0,7,0,0,,,
Lee Fogolin,25,CBH,D,69,0,9,9,96,0,0,0,0,9,0,0,,,
Johnny Wilson,22,DET,LW,28,4,5,9,18,4,0,0,1,3,2,0,,,
Frank Eddolls,30,NYR,D,42,3,5,8,18,3,0,0,0,4,1,0,,,
Ed Kryzanowski,26,BOS,D,70,5,3,8,33,1,4,0,2,2,0,1,,,
Bob Solinger,26,TOR,RW,24,5,3,8,4,3,1,1,0,2,1,0,,,
Jack Evans,23,NYR,D,52,1,6,7,83,1,0,0,0,4,2,0,,,
Lorne Ferguson,21,BOS,LW,27,3,4,7,14,3,0,0,1,4,0,0,,,
Fern Flaman,25,TOR,D,61,0,7,7,110,0,0,0,0,5,2,0,,,ASG
Tom Johnson,23,MTL,D,68,0,7,7,76,0,0,0,0,6,1,0,,,ASG
George Armstrong,21,TOR,RW,20,3,3,6,30,2,1,0,1,3,0,0,,,
Murray Henderson,30,BOS,D,56,0,6,6,51,0,0,0,0,6,0,0,,,
Leo Labine,20,BOS,RW,15,2,4,6,9,2,0,0,0,4,0,0,,,
Ross Lowe,23,MTL,D,31,1,5,6,42,0,1,0,0,3,2,0,,,
Jack Stoddard,25,NYR,RW,20,4,2,6,2,3,1,0,2,2,0,0,,,
Ray Timgren,23,TOR,LW,50,2,4,6,11,2,0,0,1,4,0,0,,,
Doug Bentley,35,CBH,C,8,2,3,5,4,2,0,0,0,3,0,0,,,
Bill Juzda,31,TOR,D,46,1,4,5,65,1,0,0,0,2,2,0,,,
Pentti Lund,26,BOS,RW,23,0,5,5,0,0,0,0,0,5,0,0,,,
Jackie McLeod,21,NYR,RW,13,2,3,5,2,2,0,0,1,3,0,0,,,
Rags Raglan,24,CBH,D,35,0,5,5,28,0,0,0,0,3,2,0,,,
Roy Conacher,35,CBH,LW,12,3,1,4,0,3,0,0,0,0,1,0,,,
Vic Lynn,27,BOS,D,12,2,2,4,4,2,0,0,0,2,0,0,,,
Jack Stewart,34,CBH,D,37,1,3,4,12,1,0,0,0,3,0,0,,,
Clare Martin,29,2TM,D,45,1,3,4,14,1,0,0,0,3,0,0,,,
Clare Martin,29,CBH,D,30,1,2,3,6,1,0,0,0,2,0,0,,,
Clare Martin,29,NYR,D,15,0,1,1,8,0,0,0,0,1,0,0,,,
Ray Barry,23,BOS,C,18,1,2,3,6,1,0,0,0,2,0,0,,,
Steve Hrymnak,25,CBH,D,18,2,1,3,4,2,0,0,0,1,0,0,,,
Bud MacPherson,24,MTL,D,54,2,1,3,24,2,0,0,0,1,0,0,,,
Paul Masnick,20,MTL,C,15,1,2,3,2,1,0,0,0,2,0,0,,,
Rudy Migay,23,TOR,C,19,2,1,3,12,2,0,0,0,1,0,0,,,
Enio Sclisizzi,26,DET,LW,9,2,1,3,0,2,0,0,1,1,0,0,,,
Jim Conacher,30,2TM,C,21,1,2,3,2,1,0,0,0,0,2,0,,,
Jim Conacher,30,CBH,C,5,1,1,2,0,1,0,0,0,0,1,0,,,
Jim Conacher,30,NYR,C,16,0,1,1,2,0,0,0,0,0,1,0,,,
Jim Morrison,20,2TM,D,31,0,3,3,6,0,0,0,0,3,0,0,,,
Jim Morrison,20,BOS,D,14,0,2,2,2,0,0,0,0,2,0,0,,,
Jim Morrison,20,TOR,D,17,0,1,1,4,0,0,0,0,1,0,0,,,
Bobby Bauer,36,BOS,RW,1,1,1,2,0,1,0,0,0,1,0,0,,,
Lorne Davis,21,MTL,RW,3,1,1,2,2,1,0,0,0,1,0,0,,,
Harry Taylor,25,CBH,C,15,1,1,2,0,1,0,0,0,1,0,0,,,
Zellio Toppazzini,22,NYR,RW,16,1,1,2,4,0,1,0,0,1,0,0,,,
Leo Boivin,19,TOR,D,2,0,1,1,0,0,0,0,0,1,0,0,,,
Pete Conacher,19,CBH,LW,2,0,1,1,0,0,0,0,0,1,0,0,,,
Gerry Couture,26,MTL,RW,10,0,1,1,4,0,0,0,0,0,1,0,,,
Calum MacKay,25,MTL,LW,12,0,1,1,8,0,0,0,0,1,0,0,,,
Max Quackenbush,23,CBH,D,14,0,1,1,4,0,0,0,0,1,0,0,,,
Larry Zeidel,23,DET,D,19,1,0,1,14,1,0,0,0,0,0,0,,,
Gene Achtymichuk,19,MTL,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Lloyd Ailsby,34,NYR,D,3,0,0,0,2,0,0,0,0,0,0,0,,,
Lorne Anderson,20,NYR,G,3,0,0,0,0,,,,,0,,,180:00,,
Earl Balfour,19,TOR,LW,3,0,0,0,2,0,0,0,0,0,0,0,,,
Turk Broda,37,TOR,G,1,0,0,0,0,,,,,0,,,30:00,,
Mike Buchanan,19,CBH,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Garry Edmundson,19,MTL,LW,1,0,0,0,2,0,0,0,0,0,0,0,,,
Bill Folk,24,DET,D,4,0,0,0,2,0,0,0,0,0,0,0,,,
Emile Francis,25,NYR,G,14,0,0,0,0,,,,,0,,,840:00,,
Bob Fryday,23,MTL,RW,3,0,0,0,0,0,0,0,0,0,0,0,,,
Jim Henry,31,BOS,G,70,0,0,0,0,,,,,0,,,4200:00,,"ASG,ASnhl-2,Hart-3"
Tim Horton,22,TOR,D,4,0,0,0,8,0,0,0,0,0,0,0,,,
Harry Lumley,25,CBH,G,70,0,0,0,2,,,,,0,,,4180:00,,
Cliff Malone,26,MTL,RW,3,0,0,0,0,0,0,0,0,0,0,0,,,
Don Marshall,19,MTL,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Frank Mathers,27,TOR,D,2,0,0,0,0,0,0,0,0,0,0,0,,,
John McLellan,23,TOR,C,2,0,0,0,0,0,0,0,0,0,0,0,,,
Gerry McNeil,25,MTL,G,70,0,0,0,0,,,,,0,,,4200:00,,ASG
Eric Nesterenko,18,TOR,RW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Tony Poeta,18,CBH,RW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Jack Price,19,CBH,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Chuck Rayner,31,NYR,G,53,0,0,0,4,,,,,0,,,3180:00,,ASG
Moe Roberts,46,CBH,G,1,0,0,0,0,,,,,0,,,20:00,,
Al Rollins,25,TOR,G,70,0,0,0,4,,,,,0,,,4170:00,,
Bob Sabourin,18,TOR,LW,1,0,0,0,2,0,0,0,0,0,0,0,,,
Terry Sawchuk,22,DET,G,70,0,0,0,2,,,,,0,,,4200:00,,"ASG,ASnhl-1,Hart-4,Vezina-1"
Kenny Wharram,18,CBH,RW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Larry Wilson,21,DET,C,5,0,0,0,4,0,0,0,0,0,0,0,,,
League Average,,,,,,,,,,,,,,,,,,
