Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Guy Lafleur,26,MTL,RW,78,60,72,132,73,26,45,15,0,12,51,21,0,305,19.7,,,"ASG,ASnhl-1,Hart-1,Ross-1,Pearson-1"
Bryan Trottier,21,NYI,C,77,46,77,123,52,46,31,13,2,6,57,20,0,193,23.8,,,"ASG,ASnhl-1,Hart-2"
Darryl Sittler,27,TOR,C,80,45,72,117,34,100,31,14,0,8,50,22,0,311,14.5,,,"ASG,ASnhl-2,Hart-3"
Jacques Lemaire,32,MTL,C,76,36,61,97,54,14,30,6,0,5,46,13,2,310,11.6,,,"ASnhl-4,Byng-5"
Denis Potvin,24,NYI,D,80,30,64,94,57,81,21,9,0,6,29,33,2,287,10.5,,,"ASG,ASnhl-1,Hart-7,Norris-1"
Mike Bossy,21,NYI,RW,73,53,38,91,31,6,28,25,0,4,23,15,0,235,22.6,,,"ASG,ASnhl-2,Byng-4,Calder-1"
Terry O'Reilly,26,BOS,RW,77,29,61,90,42,211,24,5,0,4,44,17,0,165,17.6,,,"ASG,ASnhl-3,Hart-8"
Bobby Clarke,28,PHI,C,71,21,68,89,47,83,14,5,2,1,43,19,6,126,16.7,,,"ASG,ASnhl-3,Hart-6,Selke-4"
Gilbert Perreault,27,BUF,C,79,41,48,89,18,20,34,7,0,7,31,17,0,192,21.4,,,"ASG,ASnhl-5"
Lanny McDonald,24,TOR,RW,74,47,40,87,35,54,36,11,0,5,23,17,0,241,19.5,,,"ASG,ASnhl-4"
Wilf Paiement,22,CLR,RW,80,31,56,87,-14,114,22,7,2,1,32,23,1,288,10.8,,,"ASG,ASnhl-6"
Steve Shutt,25,MTL,LW,80,49,37,86,56,24,33,16,0,7,30,7,0,243,20.2,,,"ASG,ASnhl-2"
Clark Gillies,23,NYI,LW,80,35,50,85,49,76,26,9,0,2,33,17,0,277,12.6,,,"ASG,ASnhl-1,Hart-10"
Jean Ratelle,37,BOS,C,80,25,59,84,48,10,22,3,0,5,53,6,0,156,16.0,,,"ASnhl-6,Byng-3"
Phil Esposito,35,NYR,C,79,38,43,81,-21,53,17,21,0,5,25,17,1,261,14.6,,,ASG
Ivan Boldirev,28,CBH,C,80,35,45,80,-3,34,25,10,0,2,31,14,0,239,14.6,,,ASG
Peter McNab,25,BOS,C,79,41,39,80,33,4,36,5,0,5,34,5,0,226,18.1,,,"ASnhl-6,ASnhl-7,Byng-2"
Marcel Dionne,26,LAK,C,70,36,43,79,-7,37,27,9,0,4,25,18,0,294,12.2,,,"ASG,ASnhl-7"
Brad Park,29,BOS,D,80,22,57,79,69,79,13,9,0,3,40,16,1,222,9.9,,,"ASG,ASnhl-2,Hart-5,Norris-2"
Danny Gare,23,BUF,RW,69,39,38,77,32,95,30,9,0,2,29,9,0,265,14.7,,,ASnhl-5
Börje Salming,26,TOR,D,80,16,60,76,30,70,10,6,0,5,31,29,0,256,6.3,,,"ASG,ASnhl-4,Norris-4"
Guy Charron,29,WSH,C,80,38,35,73,-25,12,34,4,0,3,27,8,0,260,14.6,,,
Butch Goring,28,LAK,C,80,37,36,73,-4,2,25,9,3,5,23,13,0,245,15.1,,,Byng-1
Pat Hickey,24,NYR,LW,80,40,33,73,-19,47,29,10,1,3,14,18,1,210,19.0,,,ASnhl-5
René Robert,29,BUF,RW,67,25,48,73,18,25,18,7,0,4,35,13,0,209,12.0,,,
Bill Barber,25,PHI,LW,80,41,31,72,31,34,29,8,4,9,20,9,2,262,15.6,,,"ASG,ASnhl-3"
Ron Greschner,23,NYR,D,78,24,48,72,2,100,15,8,1,5,24,23,1,177,13.6,,,ASnhl-13
Dale McCourt,21,DET,C,76,33,39,72,10,10,20,10,3,5,20,19,0,219,15.1,,,Calder-4
Dennis Maruk,22,CLE,C,76,36,35,71,-26,50,30,4,2,4,28,7,0,198,18.2,,,"ASG,ASnhl-8"
Craig Ramsay,26,BUF,LW,80,28,43,71,38,18,21,2,5,3,36,5,2,159,17.6,,,"ASnhl-4,Selke-2"
Bob MacMillan,25,2TM,LW,79,38,33,71,17,49,30,8,0,3,25,8,0,220,17.3,,,ASnhl-7
Bob MacMillan,25,STL,LW,27,7,12,19,-11,23,4,3,0,0,11,1,0,72,9.7,,,
Bob MacMillan,25,ATF,LW,52,31,21,52,28,26,26,5,0,3,14,7,0,148,20.9,,,
Rick MacLeish,28,PHI,LW,76,31,39,70,24,33,22,7,2,7,26,13,0,253,12.3,,,
André St. Laurent,24,2TM,C,79,31,39,70,7,110,21,10,0,4,30,8,1,197,15.7,,,
André St. Laurent,24,NYI,C,2,0,0,0,0,2,0,0,0,0,0,0,0,5,0.0,,,
André St. Laurent,24,DET,C,77,31,39,70,7,108,21,10,0,4,30,8,1,192,16.1,,,
Tom Lysiak,24,ATF,C,80,27,42,69,-3,54,24,3,0,5,34,8,0,215,12.6,,,
Pete Mahovlich,31,2TM,C,74,28,41,69,10,41,17,9,2,2,29,10,2,229,12.2,,,
Pete Mahovlich,31,MTL,C,17,3,5,8,6,4,3,0,0,1,5,0,0,28,10.7,,,
Pete Mahovlich,31,PIT,C,57,25,36,61,4,37,14,9,2,1,24,10,2,201,12.4,,,
Walt Tkaczuk,30,NYR,C,80,26,40,66,15,30,19,6,1,3,32,4,4,148,17.6,,,
Mike Walton,33,VAN,C,65,29,37,66,-26,30,15,14,0,4,22,15,0,115,25.2,,,
Jean Pronovost,32,PIT,RW,79,40,25,65,-15,50,26,12,2,5,16,9,0,219,18.3,,,"ASG,ASnhl-7"
Larry Robinson,26,MTL,D,80,13,52,65,71,39,8,3,2,5,36,16,0,154,8.4,,,"ASG,ASnhl-3,Hart-10,Norris-3"
Rick Blight,22,VAN,RW,80,25,38,63,-32,33,14,11,0,2,18,20,0,238,10.5,,,
Bob Bourne,23,NYI,C,80,30,33,63,15,31,28,2,0,8,28,5,0,178,16.9,,,
Rick Martin,26,BUF,LW,65,28,35,63,16,16,21,7,0,6,27,8,0,220,12.7,,,"ASG,ASnhl-7"
Steve Vickers,26,NYR,LW,79,19,44,63,9,30,10,9,0,2,26,18,0,113,16.8,,,
Wayne Cashman,32,BOS,LW,76,24,38,62,35,69,23,1,0,2,35,3,0,135,17.8,,,
Orest Kindrachuk,27,PHI,C,73,17,45,62,35,128,15,1,1,4,36,7,2,170,10.0,,,
Don Luce,29,BUF,C,78,26,35,61,32,24,19,5,2,3,29,4,2,170,15.3,,,Selke-5
Greg Malone,21,PIT,C,78,18,43,61,-16,80,16,2,0,1,36,5,2,179,10.1,,,
Bob Sirois,23,WSH,RW,72,24,37,61,-11,6,19,5,0,1,26,11,0,189,12.7,,,ASG
Ian Turnbull,24,TOR,D,77,14,47,61,2,77,10,3,1,3,34,13,0,241,5.8,,,ASnhl-16
Barry Beck,20,CLR,D,75,22,38,60,-14,89,16,6,0,4,19,18,1,271,8.1,,,"ASG,ASnhl-6,Calder-2"
