Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Wayne Gretzky,33,LAK,C,81,38,92,130,-25,20,20,14,4,0,42,47,3,233,16.3,,,"ASG,ASnhl-2,Byng-1,Ross-1"
Sergei Fedorov,24,DET,C,82,56,64,120,48,34,39,13,4,10,42,15,7,337,16.6,,,"ASG,ASnhl-1,Byng-4,Hart-1,Selke-1,Pearson-1"
Adam Oates,31,BOS,C,77,32,80,112,10,45,14,16,2,3,48,29,3,197,16.2,,,"ASG,ASnhl-4,Byng-2,Hart-12"
Doug Gilmour,30,TOR,C,83,27,84,111,25,105,16,10,1,3,50,30,4,167,16.2,,,"ASG,ASnhl-3,Hart-4,Selke-2"
Pavel Bure,22,VAN,RW,76,60,47,107,1,86,31,25,4,9,27,18,2,374,16.0,,,"ASG,ASnhl-1,Byng-12,Hart-12"
Mark Recchi,25,PHI,C,84,40,67,107,-2,46,29,11,0,5,40,25,2,217,18.4,,,"ASG,ASnhl-4,Byng-7"
Jeremy Roenick,24,CHI,C,84,46,61,107,21,125,17,24,5,5,42,17,2,281,16.4,,,"ASG,ASnhl-5,Hart-10"
Brendan Shanahan,25,STL,LW,81,52,50,102,-9,211,30,15,7,8,22,27,1,397,13.1,,,"ASG,ASnhl-1"
Dave Andreychuk,30,TOR,RW,83,53,46,99,22,98,27,21,5,8,24,22,0,333,15.9,,,"ASG,ASnhl-3"
Jaromír Jágr,21,PIT,RW,80,32,67,99,15,61,23,9,0,6,47,20,0,298,10.7,,,ASnhl-5
Rod Brind'Amour,23,PHI,LW,84,35,62,97,-9,85,20,14,1,4,42,17,3,230,15.2,,,Selke-16
Brett Hull,29,STL,RW,81,57,40,97,-3,38,29,25,3,6,22,16,2,392,14.5,,,"ASG,ASnhl-3,Byng-11"
Eric Lindros,20,PHI,C,65,44,53,97,16,103,29,13,2,9,38,14,1,197,22.3,,,"ASG,ASnhl-7"
Pierre Turgeon,24,NYI,C,69,38,56,94,14,18,24,10,4,6,31,22,3,254,15.0,,,"ASG,Byng-3"
Ron Francis,30,PIT,C,82,27,66,93,-3,62,19,8,0,2,30,33,3,216,12.5,,,"ASnhl-9,Selke-6"
Mike Modano,23,DAL,C,76,50,43,93,-8,54,32,18,0,4,22,21,0,281,17.8,,,"ASnhl-6,Byng-12"
Robert Reichel,22,CGY,C,84,40,53,93,20,58,26,14,0,6,32,21,0,249,16.1,,,
Ray Sheppard,27,DET,RW,82,52,41,93,13,26,33,19,0,5,24,15,2,260,20.0,,,"ASnhl-6,Byng-5"
Joe Sakic,24,QUE,C,84,28,64,92,-8,18,17,10,1,9,40,23,1,279,10.0,,,"ASG,Byng-6"
