Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Phil Esposito,29,BOS,C,76,66,67,133,54,76,37,27,2,16,40,25,2,426,15.5,,,"ASG,ASnhl-1,Hart-3,Ross-1"
Bobby Orr,23,BOS,D,76,37,80,117,83,106,22,11,4,4,51,24,5,353,10.5,,,"ASG,ASnhl-1,Hart-1,Norris-1"
Jean Ratelle,31,NYR,C,63,46,63,109,61,4,40,5,1,6,42,21,0,183,25.1,,,"ASG,ASnhl-2,Byng-1,Hart-4,Pearson-1"
Vic Hadfield,31,NYR,LW,78,50,56,106,60,142,27,23,0,7,45,11,0,242,20.7,,,"ASG,ASnhl-2,Hart-5"
Rod Gilbert,30,NYR,RW,73,43,54,97,50,64,37,6,0,4,37,17,0,238,18.1,,,"ASG,ASnhl-1,Hart-10"
Frank Mahovlich,34,MTL,LW,76,43,53,96,42,36,25,14,4,4,34,17,2,261,16.5,,,ASG
Bobby Hull,33,CBH,LW,78,50,43,93,53,24,39,8,3,9,27,15,1,336,14.9,,,"ASG,ASnhl-1,Byng-3,Hart-7"
Johnny Bucyk,36,BOS,LW,78,32,51,83,15,4,19,13,0,7,19,32,0,174,18.4,,,Byng-2
Yvan Cournoyer,28,MTL,RW,73,47,36,83,24,15,30,17,0,5,21,15,0,208,22.6,,,"ASG,ASnhl-2,Byng-5"
Bobby Clarke,22,PHI,C,78,35,46,81,24,87,23,11,1,3,37,9,0,225,15.6,,,"ASG,Hart-8"
Jacques Lemaire,26,MTL,C,77,32,49,81,37,26,24,8,0,7,34,15,0,266,12.0,,,
Fred Stanfield,27,BOS,C,78,23,56,79,19,14,18,5,0,4,34,22,0,169,13.6,,,Byng-4
Marcel Dionne,20,DET,C,78,28,49,77,0,14,21,7,0,2,31,18,0,268,10.4,,,Calder-3
Pit Martin,28,CBH,C,78,24,51,75,45,56,18,5,1,7,44,7,0,170,14.1,,,ASG
Rick Martin,20,BUF,LW,73,44,30,74,-39,36,25,19,0,5,17,13,0,266,16.5,,,"ASG,Calder-2"
Gilbert Perreault,21,BUF,C,76,26,48,74,-41,24,15,11,0,1,23,25,0,218,11.9,,,"ASG,Hart-10"
Brad Park,23,NYR,D,75,24,49,73,63,130,14,8,2,4,32,16,1,263,9.1,,,"ASG,ASnhl-1,Hart-9,Norris-2"
Norm Ullman,36,TOR,C,77,23,50,73,7,26,14,9,0,1,40,10,0,204,11.3,,,
Mickey Redmond,24,DET,RW,78,42,29,71,-15,34,32,10,0,5,17,12,0,271,15.5,,,
Garry Unger,24,STL,C,78,36,34,70,-7,104,21,14,1,4,27,7,0,321,11.2,,,ASG
Red Berenson,32,DET,C,78,28,41,69,-8,16,20,6,2,2,26,15,0,218,12.8,,,ASG
Dennis Hull,27,CBH,LW,78,30,39,69,21,10,21,8,1,2,31,8,0,270,11.1,,,ASG
John McKenzie,34,BOS,RW,77,22,47,69,20,128,12,10,0,3,26,21,0,133,16.5,,,ASG
Pete Mahovlich,25,MTL,C,75,35,32,67,15,103,24,7,4,6,22,9,1,207,16.9,,,
Walt Tkaczuk,24,NYR,C,76,24,42,66,33,65,19,3,2,2,30,8,4,231,10.4,,,
