Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Bob Brooke,25,NYR,RW,79,24,20,44,6,111,16,6,2,1,15,3,2,178,13.5,,,
Gilles Hamel,25,BUF,LW,77,19,25,44,-26,61,12,4,3,3,17,8,0,158,12.0,,,
Tomas Jonsson,25,NYI,D,77,14,30,44,16,62,8,5,1,1,16,13,1,119,11.8,,,
Rick Middleton,32,BOS,RW,49,14,30,44,16,10,8,4,2,0,18,10,2,100,14.0,,,Byng-10
Phil Sykes,26,LAK,LW,76,20,24,44,-26,97,17,1,2,4,18,5,1,132,15.2,,,
Scott Arniel,23,WIN,LW,80,18,25,43,-9,40,15,3,0,0,21,4,0,125,14.4,,,
Steve Bozek,25,CGY,LW,64,21,22,43,26,24,12,5,4,3,14,5,3,147,14.3,,,
Aaron Broten,25,NJD,LW,66,18,25,43,2,26,14,4,0,1,18,7,0,157,11.5,,,
Doug Crossman,25,PHI,D,80,6,37,43,-5,55,4,2,0,1,17,18,2,134,4.5,,,
Bryan Erickson,25,LAK,RW,55,20,23,43,2,36,14,6,0,4,16,5,2,108,18.5,,,
Bob Gainey,32,MTL,LW,80,20,23,43,11,20,18,0,2,4,21,0,2,133,15.0,,,Selke-6
Paul Gillis,22,QUE,C,80,19,24,43,-3,203,17,0,2,2,20,0,4,136,14.0,,,Selke-17
Peter McNab,33,NJD,C,71,19,24,43,-11,14,13,6,0,0,20,4,0,93,20.4,,,
James Patrick,22,NYR,D,75,14,29,43,12,88,11,2,1,1,15,14,0,131,10.7,,,
Doug Risebrough,32,CGY,C,62,15,28,43,22,169,12,0,3,1,28,0,0,92,16.3,,,
Doug Sulliman,26,NJD,RW,73,21,22,43,-11,20,14,6,1,5,17,5,0,139,15.1,,,
Richard Kromm,21,2TM,LW,77,19,24,43,17,35,19,0,0,2,21,3,0,120,15.8,,,
Richard Kromm,21,CGY,LW,63,12,17,29,9,31,12,0,0,2,17,0,0,97,12.4,,,
Richard Kromm,21,NYI,LW,14,7,7,14,8,4,7,0,0,0,4,3,0,23,30.4,,,
Randy Burridge,20,BOS,LW,52,17,25,42,16,28,16,1,0,2,15,9,1,90,18.9,,,
Doug Smail,28,WIN,LW,73,16,26,42,-10,32,12,1,3,4,20,3,3,150,10.7,,,
Brian Sutter,29,STL,LW,44,19,23,42,-7,87,11,8,0,1,18,5,0,92,20.7,,,
Jay Wells,26,LAK,D,79,11,31,42,5,226,7,4,0,2,21,9,1,113,9.7,,,
Steve Yzerman,20,DET,C,51,14,28,42,-22,16,11,3,0,3,13,15,0,132,10.6,,,
Thomas Gradin,29,VAN,C,71,14,27,41,-16,34,11,2,1,3,17,10,0,122,11.5,,,
Charlie Huddy,26,EDM,D,76,6,35,41,28,55,5,1,0,0,25,10,0,149,4.0,,,
Rich Preston,33,NJD,RW,76,19,22,41,3,65,16,3,0,2,16,6,0,118,16.1,,,
Robert Picard,28,2TM,D,68,9,32,41,-5,53,7,1,1,1,16,16,0,171,5.3,,,
Robert Picard,28,WIN,D,20,2,5,7,-3,17,2,0,0,1,5,0,0,40,5.0,,,
Robert Picard,28,QUE,D,48,7,27,34,-2,36,5,1,1,0,11,16,0,131,5.3,,,
Keith Brown,25,CBH,D,70,11,29,40,-7,87,9,1,1,0,16,13,0,151,7.3,,,
Raimo Helminen,21,NYR,C,66,10,30,40,0,10,6,4,0,2,16,14,0,125,8.0,,,
Steve Kasper,24,BOS,C,80,17,23,40,-10,73,13,1,3,1,22,0,1,149,11.4,,,Selke-24
Mike Krushelnyski,25,EDM,LW,54,16,24,40,11,22,13,3,0,1,16,8,0,98,16.3,,,
Tony McKegney,27,MNS,LW,70,15,25,40,-6,48,11,3,1,0,23,2,0,141,10.6,,,
Mike McPhee,25,MTL,LW,70,19,21,40,8,69,17,0,2,3,20,0,1,103,18.4,,,
Mark Osborne,24,NYR,LW,62,16,24,40,5,80,10,5,1,1,17,6,1,134,11.9,,,
Mark Pavelich,27,NYR,C,59,20,20,40,-3,82,12,8,0,3,11,9,0,104,19.2,,,
Gaétan Duchesne,23,WSH,LW,80,11,28,39,10,39,10,0,1,3,27,0,1,119,9.2,,,Selke-14
Gerard Gallant,22,DET,LW,52,20,19,39,-9,106,16,3,1,2,14,5,0,116,17.2,,,
Gord Kluzak,21,BOS,D,70,8,31,39,2,153,5,3,0,0,20,10,1,114,7.0,,,
Rich Sutter,22,PHI,RW,78,14,25,39,29,199,14,0,0,2,25,0,0,123,11.4,,,
Mario Tremblay,29,MTL,RW,56,19,20,39,4,55,16,3,0,3,16,4,0,119,16.0,,,
Wayne Babych,27,3TM,RW,54,17,22,39,6,77,14,3,0,2,16,6,0,97,17.5,,,
Wayne Babych,27,PIT,RW,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,,
Wayne Babych,27,QUE,RW,15,6,5,11,0,18,5,1,0,0,4,1,0,32,18.8,,,
Wayne Babych,27,HAR,RW,37,11,17,28,7,59,9,2,0,2,12,5,0,65,16.9,,,
Eddy Beers,26,2TM,LW,57,18,21,39,-5,32,10,8,0,1,16,5,0,135,13.3,,,
Eddy Beers,26,CGY,LW,33,11,10,21,-2,8,7,4,0,1,7,3,0,83,13.3,,,
Eddy Beers,26,STL,LW,24,7,11,18,-3,24,3,4,0,0,9,2,0,52,13.5,,,
Paul Gagné,23,NJD,LW,47,19,19,38,-14,14,15,4,0,3,15,4,0,91,20.9,,,
Bobby Gould,28,WSH,RW,79,19,19,38,7,26,16,0,3,5,17,0,2,123,15.4,,,Selke-22
Kevin LaVallee,24,STL,LW,64,18,20,38,9,6,11,7,0,2,13,7,0,129,14.0,,,
Paul Lawless,21,HAR,LW,64,17,21,38,-3,20,12,5,0,1,19,2,0,140,12.1,,,
Bob Murray,31,CBH,D,80,9,29,38,11,75,6,3,0,2,20,8,1,139,6.5,,,
Mark Reeds,26,STL,RW,78,10,28,38,13,28,10,0,0,2,27,1,0,108,9.3,,,
Doug Smith,22,2TM,C,78,18,20,38,-27,129,12,4,2,3,15,4,1,187,9.6,,,
Doug Smith,22,LAK,C,48,8,9,17,-29,56,6,1,1,0,8,1,0,115,7.0,,,
Doug Smith,22,BUF,C,30,10,11,21,2,73,6,3,1,3,7,3,1,72,13.9,,,
Doug Bodger,19,PIT,D,79,4,33,37,3,63,3,1,0,1,15,16,2,140,2.9,,,
Geoff Courtnall,23,BOS,LW,64,21,16,37,-2,61,19,2,0,4,12,4,0,162,13.0,,,
Dave Hunter,28,EDM,LW,62,15,22,37,39,77,15,0,0,1,20,0,2,110,13.6,,,
Dave Pasin,19,BOS,RW,71,18,19,37,-1,50,14,4,0,3,14,5,0,116,15.5,,,
Stéphane Richer,19,MTL,C,65,21,16,37,1,50,16,5,0,2,9,7,0,112,18.8,,,
Torrie Robertson,24,HAR,LW,76,13,24,37,-11,358,10,3,0,0,20,4,0,87,14.9,,,
Raimo Summanen,23,EDM,LW,73,19,18,37,9,16,18,1,0,4,17,1,0,83,22.9,,,
Bob Crawford,26,2TM,RW,68,15,22,37,-13,26,11,4,0,2,19,3,0,126,11.9,,,
Bob Crawford,26,HAR,RW,57,14,20,34,-15,16,10,4,0,2,17,3,0,111,12.6,,,
Bob Crawford,26,NYR,RW,11,1,2,3,2,10,1,0,0,0,2,0,0,15,6.7,,,
Risto Siltanen,27,2TM,D,65,10,27,37,-2,36,2,8,0,1,11,16,0,179,5.6,,,
Risto Siltanen,27,HAR,D,52,8,22,30,-1,30,2,6,0,1,7,15,0,126,6.3,,,
Risto Siltanen,27,QUE,D,13,2,5,7,-1,6,0,2,0,0,4,1,0,53,3.8,,,
Mike O'Connell,30,2TM,D,76,9,28,37,-12,63,3,4,2,0,13,14,1,210,4.3,,,
Mike O'Connell,30,BOS,D,63,8,21,29,-6,47,3,4,1,0,11,9,1,174,4.6,,,
Mike O'Connell,30,DET,D,13,1,7,8,-6,16,0,0,1,0,2,5,0,36,2.8,,,
Mikko Mäkelä,20,NYI,C,58,16,20,36,12,28,14,2,0,3,15,5,0,68,23.5,,,
Kevin McClelland,23,EDM,C,79,11,25,36,9,264,11,0,0,2,25,0,0,104,10.6,,,
Grant Ledyard,24,2TM,D,79,9,27,36,-27,98,5,4,0,2,14,13,0,170,5.3,,,
Grant Ledyard,24,NYR,D,27,2,9,11,-4,20,2,0,0,0,3,6,0,57,3.5,,,
Grant Ledyard,24,LAK,D,52,7,18,25,-23,78,3,4,0,2,11,7,0,113,6.2,,,
Dave Hannan,24,PIT,LW,75,17,18,35,-4,91,14,0,3,1,15,2,1,100,17.0,,,
Brian Lawton,20,MNS,LW,65,18,17,35,9,36,14,4,0,6,17,0,0,98,18.4,,,
Rick Tocchet,21,PHI,RW,69,14,21,35,14,284,11,3,0,1,19,2,0,109,12.8,,,
Paul Boutilier,22,NYI,D,77,4,30,34,-4,100,4,0,0,0,19,11,0,124,3.2,,,
Chris Chelios,24,MTL,D,41,8,26,34,6,67,6,2,0,0,9,15,2,101,7.9,,,
Alain Côté,28,QUE,LW,78,13,21,34,-3,29,10,0,3,2,20,0,1,120,10.8,,,Selke-9
Cam Neely,20,VAN,RW,73,14,20,34,-29,126,8,6,0,3,16,4,0,113,12.4,,,
Chris Nilan,27,MTL,RW,72,19,15,34,11,274,17,2,0,1,14,1,0,120,15.8,,,
Walt Poddubny,25,TOR,LW,33,12,22,34,6,25,7,5,0,1,15,7,0,76,15.8,,,
Dave Tippett,24,HAR,LW,80,14,20,34,10,18,12,0,2,1,17,0,3,117,12.0,,,Selke-11
