Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Andy Hebenton,26,NYR,RW,70,24,14,38,8,15,9,0,4,12,2,0,,,"Byng-4,Calder-2"
Dick Duff,19,TOR,LW,69,18,19,37,74,11,7,0,3,16,3,0,,,ASG
Vic Stasiuk,26,BOS,RW,59,19,18,37,118,13,5,1,1,14,3,1,,,
Cal Gardner,31,BOS,C,70,15,21,36,59,10,5,0,4,17,4,0,,,
Leo Labine,24,BOS,RW,68,16,18,34,104,8,8,0,4,13,5,0,,,ASG
Don McKenney,21,BOS,C,65,10,24,34,18,7,3,0,3,17,7,0,,,
Johnny Wilson,26,CBH,LW,70,24,9,33,12,19,4,1,5,8,1,0,,,"ASG,Byng-3,Hart-6"
Floyd Curry,30,MTL,RW,70,14,18,32,12,11,1,2,2,17,1,0,,,"ASG,Byng-2"
Metro Prystai,28,2TM,C,71,13,19,32,18,12,1,0,0,17,2,0,,,
Metro Prystai,28,CBH,C,8,1,3,4,8,1,0,0,0,3,0,0,,,
Metro Prystai,28,DET,C,63,12,16,28,10,11,1,0,0,14,2,0,,,
Hank Ciesla,21,CBH,C,70,8,23,31,22,8,0,0,3,20,3,0,,,Calder-5
Ken Mosdell,33,MTL,C,67,13,17,30,48,10,2,1,1,15,2,0,,,
Bronco Horvath,25,NYR,C,66,12,17,29,38,8,4,0,3,11,6,0,,,
Claude Provost,22,MTL,RW,60,13,16,29,30,12,1,0,0,14,2,0,,,ASG
Rudy Migay,27,TOR,C,70,12,16,28,52,9,1,2,1,12,3,1,,,
Glen Skov,25,CBH,C,70,7,20,27,26,7,0,0,0,19,0,1,,,
Ron Stewart,23,TOR,RW,69,13,14,27,35,8,2,3,0,10,3,1,,,
Lorne Ferguson,25,2TM,LW,63,15,12,27,30,13,1,1,3,11,0,1,,,
Lorne Ferguson,25,BOS,LW,35,7,5,12,18,5,1,1,1,4,0,1,,,
Lorne Ferguson,25,DET,LW,28,8,7,15,12,8,0,0,2,7,0,0,,,
Hec Lalande,21,CBH,C,65,8,18,26,70,8,0,0,2,14,4,0,,,Calder-4
Real Chevrefils,23,2TM,LW,63,14,12,26,30,12,2,0,2,7,5,0,,,
Real Chevrefils,23,DET,LW,38,3,4,7,20,1,2,0,0,3,1,0,,,
Real Chevrefils,23,BOS,LW,25,11,8,19,10,11,0,0,2,4,4,0,,,
Johnny Peirson,30,BOS,RW,33,11,14,25,10,7,3,1,1,11,2,1,,,
Bill Quackenbush,33,BOS,D,70,3,22,25,4,2,0,1,1,12,7,3,,,
Harry Watson,32,CBH,LW,55,11,14,25,6,10,1,0,0,11,3,0,,,
Pete Conacher,23,NYR,LW,41,11,11,22,8,9,2,0,3,8,3,0,,,
Billy Harris,20,TOR,C,70,9,13,22,8,8,1,0,0,9,4,0,,,
Tony Leswick,32,CBH,RW,70,11,11,22,71,11,0,0,0,11,0,0,,,
Jerry Toppazzini,24,2TM,RW,68,8,14,22,49,3,3,2,1,10,2,2,,,
Jerry Toppazzini,24,DET,RW,40,1,7,8,29,1,0,0,0,6,0,1,,,
Jerry Toppazzini,24,BOS,RW,28,7,7,14,20,2,3,2,1,4,2,1,,,
Fern Flaman,29,BOS,D,62,4,17,21,70,1,2,1,0,14,2,1,,,"ASG,Norris-5"
Ed Sandford,27,2TM,LW,61,12,9,21,56,9,3,0,1,8,1,0,,,
Ed Sandford,27,DET,LW,5,0,0,0,6,0,0,0,0,0,0,0,,,
Ed Sandford,27,CBH,LW,56,12,9,21,50,9,3,0,1,8,1,0,,,
Sid Smith,30,TOR,LW,55,4,17,21,8,4,0,0,0,14,3,0,,,
Leo Boivin,23,BOS,D,68,4,16,20,80,3,0,1,1,12,3,1,,,
Hugh Bolton,26,TOR,D,67,4,16,20,65,4,0,0,0,15,1,0,,,ASG
Jim Morrison,24,TOR,D,63,2,18,20,75,2,0,0,1,15,3,0,,,ASG
Earl Balfour,23,TOR,LW,59,14,5,19,40,9,4,1,3,4,1,0,,,
Bill Dineen,23,DET,RW,70,12,7,19,28,11,1,0,0,7,0,0,,,
Bob Goldham,33,DET,D,68,3,16,19,34,1,0,2,0,14,1,1,,,
Marcel Bonin,23,BOS,RW,67,9,9,18,49,6,3,0,0,6,3,0,,,
Lou Fontinato,24,NYR,D,70,3,15,18,206,2,1,0,0,12,3,0,,,
Harry Howell,23,NYR,D,70,3,15,18,77,3,0,0,0,13,2,0,,,
Doug Mohns,22,BOS,LW,64,10,8,18,48,7,3,0,1,3,5,0,,,
Marty Pavelich,28,DET,LW,70,5,13,18,38,4,0,1,1,11,1,1,,,
Allan Stanley,29,CBH,D,59,4,14,18,70,3,1,0,0,9,5,0,,,
Norm Ullman,20,DET,C,66,9,9,18,26,9,0,0,1,8,1,0,,,
Marcel Pronovost,25,DET,D,68,4,13,17,46,2,0,2,0,10,3,0,,,
Fleming Mackell,26,BOS,C,53,7,9,16,59,5,0,2,0,5,4,0,,,
Al Dewsbury,29,CBH,D,37,3,12,15,22,0,3,0,0,8,4,0,,,
Gord Hannigan,27,TOR,C,48,8,7,15,40,2,6,0,1,7,0,0,,,
Jack McIntyre,25,CBH,RW,46,10,5,15,14,10,0,0,1,5,0,0,,,
Gus Mortson,31,CBH,D,52,5,10,15,87,4,1,0,1,7,2,1,,,ASG
Jackie Leclair,26,MTL,C,54,6,8,14,28,5,1,0,0,8,0,0,,,ASG
Frank Martin,22,CBH,D,60,3,11,14,21,2,1,0,0,10,1,0,,,
Jean-Guy Talbot,23,MTL,D,66,1,13,14,78,1,0,0,0,11,1,1,,,ASG
Tom Johnson,27,MTL,D,64,3,10,13,75,2,1,0,0,9,1,0,,,"ASG,ASnhl-2,Norris-4"
Don Raleigh,29,NYR,C,29,1,12,13,4,1,0,0,0,11,1,0,,,
Dollard St. Laurent,26,MTL,D,46,4,9,13,58,3,1,0,0,8,1,0,,,ASG
Bob Armstrong,24,BOS,D,68,0,12,12,122,0,0,0,0,6,5,1,,,
Murray Costello,21,2TM,C,66,6,6,12,23,4,1,1,0,5,0,1,,,
Murray Costello,21,BOS,C,41,6,6,12,19,4,1,1,0,5,0,1,,,
Murray Costello,21,DET,C,25,0,0,0,4,0,0,0,0,0,0,0,,,
Jean-Guy Gendron,21,NYR,LW,63,5,7,12,38,4,1,0,0,6,1,0,,,
Ron Hurst,24,TOR,RW,50,7,5,12,62,5,2,0,1,3,2,0,,,
Marc Reaume,21,TOR,D,48,0,12,12,50,0,0,0,0,9,3,0,,,
Jack Evans,27,NYR,D,70,2,9,11,99,1,0,1,0,9,0,0,,,
Hal Laycoe,33,BOS,D,65,5,5,10,16,4,0,1,2,3,1,1,,,
Eric Nesterenko,22,TOR,RW,40,4,6,10,65,3,1,0,0,5,1,0,,,
Johnny Bucyk,20,DET,LW,38,1,8,9,18,0,1,0,1,7,1,0,,,
Benny Woit,28,CBH,D,63,1,8,9,46,1,0,0,0,8,0,0,,,
Brian Cullen,22,TOR,C,21,2,6,8,8,2,0,0,0,1,5,0,,,
Warren Godfrey,24,DET,D,67,2,6,8,86,2,0,0,0,6,0,0,,,
Pierre Pilote,24,CBH,D,20,3,5,8,34,2,1,0,0,4,1,0,,,
Lee Fogolin,29,CBH,D,51,0,7,7,83,0,0,0,0,6,1,0,,,
Jimmy Thomson,28,TOR,D,62,0,7,7,96,0,0,0,0,6,0,1,,,
Gerry James,21,TOR,RW,46,3,3,6,40,3,0,0,0,1,2,0,,,
Tim Horton,26,TOR,D,35,0,5,5,36,0,0,0,0,4,0,1,,,
Don Marshall,23,MTL,LW,66,4,1,5,8,2,1,1,2,0,1,0,,,ASG
Orval Tessier,22,BOS,C,23,2,3,5,6,1,1,0,1,3,0,0,,,
Bob Turner,22,MTL,D,33,1,4,5,35,1,0,0,0,4,0,0,,,ASG
Norm Corcoran,24,2TM,RW,25,1,3,4,19,1,0,0,1,3,0,0,,,
Norm Corcoran,24,DET,C,2,0,0,0,0,0,0,0,0,0,0,0,,,
Norm Corcoran,24,CBH,RW,23,1,3,4,19,1,0,0,1,3,0,0,,,
Dick Gamble,27,MTL,LW,12,0,3,3,8,0,0,0,0,3,0,0,,,
Larry Hillman,18,DET,D,47,0,3,3,53,0,0,0,0,3,0,0,,,
Ed Panagabko,21,BOS,LW,28,0,3,3,38,0,0,0,0,2,0,1,,,
Larry Cahan,22,TOR,D,21,0,2,2,46,0,0,0,0,1,1,0,,,
Lionel Heinrich,21,BOS,LW,35,1,1,2,33,1,0,0,0,1,0,0,,,
Gord Hollingworth,22,DET,D,41,0,2,2,28,0,0,0,0,2,0,0,,,
Jim Bartlett,23,NYR,LW,12,0,1,1,8,0,0,0,0,1,0,0,,,
Jack Bionda,22,TOR,D,13,0,1,1,18,0,0,0,0,1,0,0,,,
Bill Burega,23,TOR,D,4,0,1,1,4,0,0,0,0,1,0,0,,,
Lorne Davis,25,BOS,RW,15,0,1,1,0,0,0,0,0,1,0,0,,,
Aldo Guidolin,23,NYR,D,14,1,0,1,8,1,0,0,0,0,0,0,,,
Ivan Irwin,28,NYR,D,34,0,1,1,20,0,0,0,0,1,0,0,,,
Joe Klukay,33,TOR,LW,18,0,1,1,2,0,0,0,0,0,1,0,,,
Bob Bailey,24,TOR,RW,6,0,0,0,6,0,0,0,0,0,0,0,,,
Hank Bassen,23,CBH,G,12,0,0,0,2,,,,,0,,,719:00,,
Butch Bouchard,36,MTL,D,36,0,0,0,22,0,0,0,0,0,0,0,,,
Connie Broden,23,MTL,C,3,0,0,0,2,0,0,0,0,0,0,0,,,
Cummy Burton,19,DET,RW,3,0,0,0,0,0,0,0,0,0,0,0,,,
Ed Chadwick,22,TOR,G,5,0,0,0,0,,,,,0,,,300:00,,
Wally Clune,25,MTL,D,5,0,0,0,6,0,0,0,0,0,0,0,,,
Barry Cullen,20,TOR,RW,3,0,0,0,4,0,0,0,0,0,0,0,,,
Jacques Deslauriers,27,MTL,D,2,0,0,0,0,0,0,0,0,0,0,0,,,
Ray Gariepy,27,TOR,D,1,0,0,0,4,0,0,0,0,0,0,0,,,
Glenn Hall,24,DET,G,70,0,0,0,14,,,,,0,,,4198:00,,"ASG,ASnhl-2,Calder-1"
John Henderson,22,BOS,G,1,0,0,0,0,,,,,0,,,60:00,,
Ron Howell,20,NYR,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Harry Lumley,29,TOR,G,59,0,0,0,2,,,,,0,,,3525:59,,
Al MacNeil,20,TOR,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Willie Marshall,24,TOR,C,6,0,0,0,0,0,0,0,0,0,0,0,,,
Gilles Mayer,25,TOR,G,6,0,0,0,0,,,,,0,,,359:30,,
Al Nicholson,19,BOS,LW,14,0,0,0,2,0,0,0,0,0,0,0,,,
Ellard O'Brien,25,BOS,LW,2,0,0,0,0,0,0,0,0,0,0,0,,,
Bob Perreault,25,MTL,G,6,0,0,0,0,,,,,0,,,359:30,,
Jacques Plante,27,MTL,G,64,0,0,0,10,,,,,0,,,3840:00,,"ASG,ASnhl-1,Vezina-1"
Claude Pronovost,20,BOS,G,1,0,0,0,2,,,,,0,,,60:00,,
Dave Reid,22,TOR,C,4,0,0,0,0,0,0,0,0,0,0,0,,,
Al Rollins,29,CBH,G,58,0,0,0,10,,,,,0,,,3478:30,,
Terry Sawchuk,26,BOS,G,68,0,0,0,20,,,,,0,,,4078:20,,ASG
Ed Stankiewicz,26,DET,C,5,0,0,0,0,0,0,0,0,0,0,0,,,
Frank Sullivan,26,CBH,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Kenny Wharram,22,CBH,C,3,0,0,0,0,0,0,0,0,0,0,0,,,
Larry Wilson,25,CBH,C,2,0,0,0,2,0,0,0,0,0,0,0,,,
Lefty Wilson,36,TOR,G,1,0,0,0,0,,,,,0,,,13:01,,
Gump Worsley,26,NYR,G,70,0,0,0,2,,,,,0,,,4197:30,,Hart-3
League Average,,,,,,,,,,,,,,,,,,
