Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Jean Béliveau,24,MTL,C,70,47,41,88,143,28,19,0,8,20,20,1,,,"ASG,ASnhl-1,Hart-1,Ross-1"
Gordie Howe,27,DET,RW,70,38,41,79,100,24,14,0,8,18,22,1,,,"ASnhl-2,Hart-7"
Maurice Richard,34,MTL,RW,70,38,33,71,89,25,13,0,12,17,16,0,,,"ASG,ASnhl-1,Hart-8"
Bert Olmstead,29,MTL,LW,70,14,56,70,99,10,4,0,3,30,26,0,,,"ASG,ASnhl-2"
Andy Bathgate,23,NYR,RW,70,19,47,66,59,12,6,1,3,36,11,0,,,Hart-8
Tod Sloan,28,TOR,C,70,37,29,66,100,28,9,0,11,17,12,0,,,"ASG,ASnhl-2,Hart-2"
Bernie Geoffrion,24,MTL,RW,59,29,33,62,66,17,12,0,8,22,11,0,,,ASG
Dutch Reibel,25,DET,C,68,17,39,56,10,15,2,0,3,19,20,0,,,Byng-1
Dave Creighton,25,NYR,C,70,20,31,51,43,15,5,0,4,23,8,0,,,"ASG,Byng-5"
Alex Delvecchio,23,DET,C,70,25,26,51,24,17,8,0,7,17,8,1,,,ASG
Bill Gadsby,28,NYR,D,70,9,42,51,84,6,3,0,2,22,20,0,,,"ASG,ASnhl-1,Norris-2"
Red Kelly,28,DET,D,70,16,34,50,39,7,9,0,3,16,18,0,,,"ASG,ASnhl-2,Hart-4,Norris-3"
Ted Lindsay,30,DET,LW,67,27,23,50,161,13,14,0,4,13,10,0,,,"ASG,ASnhl-1,Hart-10"
Dickie Moore,25,MTL,LW,70,11,38,49,55,5,6,0,3,30,8,0,,,ASG
George Armstrong,25,TOR,RW,67,16,32,48,97,14,2,0,3,21,11,0,,,ASG
Danny Lewicki,24,NYR,LW,70,18,27,45,26,16,2,0,2,18,9,0,,,
Doug Harvey,31,MTL,D,62,5,39,44,60,3,2,0,1,12,26,1,,,"ASG,ASnhl-1,Hart-5,Norris-1"
Ron Murphy,22,NYR,LW,66,16,28,44,69,12,4,0,3,19,9,0,,,
Dean Prentice,23,NYR,LW,70,24,18,42,47,24,0,0,3,16,1,1,,,
Wally Hergesheimer,29,NYR,RW,70,22,18,40,26,17,5,0,5,16,2,0,,,ASG
Henri Richard,19,MTL,C,64,19,21,40,46,17,2,0,5,18,3,0,,,"ASG,Calder-3"
Red Sullivan,26,CBH,C,63,14,26,40,58,10,4,0,2,22,4,0,,,ASG
Ed Litzenberger,23,CBH,RW,70,10,29,39,36,9,1,0,1,22,7,0,,,
Nick Mickoski,28,CBH,LW,70,19,20,39,52,17,1,1,2,17,2,1,,,ASG
Larry Popein,25,NYR,C,64,14,25,39,37,14,0,0,0,25,0,0,,,
