Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Bryan Trottier,22,NYI,C,76,47,87,134,76,50,32,15,0,8,58,29,0,187,25.1,,,"ASnhl-1,Byng-12,Hart-1,Ross-1"
Marcel Dionne,27,LAK,C,80,59,71,130,22,30,40,19,0,7,40,30,1,362,16.3,,,"ASnhl-2,Byng-2,Hart-3,Pearson-1"
Guy Lafleur,27,MTL,RW,80,52,77,129,55,28,39,13,0,13,44,32,1,342,15.2,,,"ASnhl-1,Byng-13,Hart-2"
Mike Bossy,22,NYI,RW,80,69,57,126,63,25,42,27,0,9,34,23,0,279,24.7,,,"ASnhl-2,Byng-4,Hart-7"
Bob MacMillan,26,ATF,LW,79,37,71,108,34,14,28,8,1,4,51,19,1,193,19.2,,,"ASnhl-3,ASnhl-10,Byng-1"
Guy Chouinard,22,ATF,C,80,50,57,107,23,14,39,11,0,5,42,15,0,229,21.8,,,"ASnhl-3,ASnhl-13,Byng-4"
Denis Potvin,25,NYI,D,73,31,70,101,71,58,16,12,3,2,39,30,1,237,13.1,,,"ASnhl-1,Hart-4,Norris-1"
Bernie Federko,22,STL,C,74,31,64,95,-15,14,24,7,0,1,40,24,0,156,19.9,,,"ASnhl-4,Byng-7"
Clark Gillies,24,NYI,LW,75,35,56,91,57,68,24,11,0,5,38,18,0,210,16.7,,,"ASnhl-1,Selke-6"
Dave Taylor,23,LAK,RW,78,43,48,91,27,124,30,13,0,4,34,14,0,238,18.1,,,"ASnhl-6,ASnhl-15,Byng-17,Selke-13"
Dennis Maruk,23,2TM,C,78,31,59,90,-15,71,23,6,2,3,39,20,0,191,16.2,,,
Dennis Maruk,23,MNS,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,,,
Dennis Maruk,23,WSH,C,76,31,59,90,-14,71,23,6,2,3,39,20,0,189,16.4,,,
Butch Goring,29,LAK,C,80,36,51,87,-20,16,19,13,4,2,25,25,1,217,16.6,,,"Byng-8,Selke-12"
Darryl Sittler,28,TOR,C,70,36,51,87,9,69,24,12,0,4,36,15,0,290,12.4,,,"ASnhl-5,Hart-13"
Rick Middleton,25,BOS,RW,71,38,48,86,32,7,25,12,1,5,37,8,3,152,25.0,,,"ASnhl-4,ASnhl-6,Byng-3,Selke-23"
Lanny McDonald,25,TOR,RW,79,43,42,85,11,32,27,16,0,2,29,13,0,314,13.7,,,ASnhl-5
Gilbert Perreault,28,BUF,C,79,27,58,85,12,20,21,6,0,4,41,17,0,172,15.7,,,Byng-22
Eric Vail,25,ATF,LW,80,35,48,83,25,53,29,5,1,5,36,12,0,203,17.2,,,ASnhl-10
Bill Barber,26,PHI,LW,79,34,46,80,20,22,18,10,6,4,24,20,2,258,13.2,,,"ASnhl-2,Byng-22,Selke-24"
Peter McNab,26,BOS,C,76,35,45,80,28,10,31,4,0,4,38,7,0,200,17.5,,,Byng-6
Brian Sutter,22,STL,LW,77,41,39,80,-2,165,29,12,0,3,31,8,0,177,23.2,,,ASnhl-5
Phil Esposito,36,NYR,C,80,42,36,78,-1,37,28,14,0,7,24,12,0,215,19.5,,,"ASnhl-6,Hart-15"
Anders Hedberg,27,NYR,RW,80,33,45,78,20,33,27,6,0,5,28,15,2,214,15.4,,,"ASnhl-7,Byng-11"
Ivan Boldirev,29,2TM,C,79,35,43,78,8,31,21,14,0,4,35,8,0,225,15.6,,,
Ivan Boldirev,29,CBH,C,66,29,35,64,7,25,19,10,0,4,30,5,0,192,15.1,,,
Ivan Boldirev,29,ATF,C,13,6,8,14,1,6,2,4,0,0,5,3,0,33,18.2,,,
Terry O'Reilly,27,BOS,RW,80,26,51,77,9,205,23,3,0,5,41,10,0,120,21.7,,,"ASnhl-7,Selke-15"
Steve Shutt,26,MTL,LW,72,37,40,77,38,31,27,10,0,6,32,8,0,190,19.5,,,ASnhl-3
Pat Hickey,25,NYR,LW,80,34,41,75,8,56,26,8,0,1,32,9,0,193,17.6,,,ASnhl-7
Bobby Smith,20,MNS,C,80,30,44,74,-8,39,21,9,0,4,31,13,0,244,12.3,,,Calder-1
Bobby Clarke,29,PHI,C,80,16,57,73,12,68,10,5,1,1,32,20,5,143,11.2,,,"ASnhl-6,Hart-16,Selke-8"
Václav Nedomanský,34,DET,RW,80,38,35,73,-13,19,25,13,0,2,15,20,0,212,17.9,,,"ASnhl-9,Byng-17"
Börje Salming,27,TOR,D,78,17,56,73,31,76,13,4,0,2,28,27,1,230,7.4,,,"ASnhl-3,Hart-7,Norris-3"
Pierre Mondou,23,MTL,C,77,31,41,72,58,26,24,6,1,7,30,11,0,163,19.0,,,
Jean Ratelle,38,BOS,C,80,27,45,72,17,12,16,11,0,5,33,11,1,137,19.7,,,"Byng-10,Selke-11"
Dale McCourt,22,DET,C,79,28,43,71,-28,14,12,14,2,3,17,24,2,222,12.6,,,
Guy Charron,30,WSH,C,80,28,42,70,-14,24,19,9,0,4,31,11,0,224,12.5,,,Byng-22
Tom Lysiak,25,2TM,C,66,23,45,68,19,50,15,7,1,2,33,12,0,164,14.0,,,
Tom Lysiak,25,ATF,C,52,23,35,58,16,36,15,7,1,2,25,10,0,137,16.8,,,
Tom Lysiak,25,CBH,C,14,0,10,10,3,14,0,0,0,0,8,2,0,27,0.0,,,
Wayne Cashman,33,BOS,LW,75,27,40,67,16,63,17,10,0,4,28,12,0,133,20.3,,,ASnhl-13
Danny Gare,24,BUF,RW,71,27,40,67,17,90,20,7,0,3,28,11,1,260,10.4,,,
Reed Larson,22,DET,D,79,18,49,67,-22,169,10,6,2,0,23,25,1,271,6.6,,,"ASnhl-10,Norris-10"
Jean Pronovost,33,ATF,RW,75,28,39,67,21,30,22,4,2,8,28,10,1,151,18.5,,,"Byng-17,Selke-15"
Yvon Lambert,28,MTL,LW,79,26,40,66,30,26,20,5,1,7,32,8,0,133,19.5,,,
Ulf Nilsson,28,NYR,C,59,27,39,66,17,21,17,8,2,5,29,9,1,96,28.1,,,ASnhl-8
Stefan Persson,24,NYI,D,78,10,56,66,38,57,4,6,0,1,21,34,1,113,8.8,,,"ASnhl-9,Norris-10"
Greg Malone,22,PIT,C,80,35,30,65,6,52,27,8,0,5,29,1,0,198,17.7,,,
Robert Picard,21,WSH,D,77,21,44,65,3,85,13,8,0,2,20,23,1,243,8.6,,,"ASnhl-7,Norris-6"
Wayne Babych,20,STL,RW,67,27,36,63,-9,75,16,11,0,0,28,8,0,196,13.8,,,Calder-3
Ron Duguay,21,NYR,C,79,27,36,63,10,35,24,1,2,3,27,9,0,178,15.2,,,
Ian Turnbull,25,TOR,D,80,12,51,63,-8,80,8,4,0,0,35,16,0,239,5.0,,,ASnhl-20
