Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Gordie Howe,24,DET,RW,70,49,46,95,57,37,11,1,6,30,16,0,,,"ASG,ASnhl-1,Hart-1,Ross-1"
Ted Lindsay,27,DET,LW,70,32,39,71,111,23,9,0,3,31,8,0,,,"ASG,ASnhl-1"
Maurice Richard,31,MTL,RW,70,28,33,61,112,21,7,0,1,23,10,0,,,"ASG,ASnhl-2"
Alex Delvecchio,20,DET,C,70,16,43,59,28,13,3,0,1,28,15,0,,,"ASG,ASnhl-2"
Wally Hergesheimer,26,NYR,RW,70,30,29,59,10,23,7,0,4,24,5,0,,,"ASG,Byng-2"
Paul Ronty,24,NYR,C,70,16,38,54,20,12,4,0,3,29,9,0,,,ASG
Metro Prystai,25,DET,C,70,16,34,50,12,11,5,0,5,30,4,0,,,ASG
Red Kelly,25,DET,D,70,19,27,46,8,15,4,0,1,16,11,0,,,"ASG,ASnhl-1,Byng-1,Hart-3"
Bert Olmstead,26,MTL,LW,69,17,28,45,83,9,8,0,3,15,13,0,,,"ASG,ASnhl-2"
Fleming Mackell,23,BOS,C,65,27,17,44,63,21,4,2,5,15,2,0,,,ASnhl-1
Jim McFadden,32,CBH,C,70,23,21,44,29,17,3,3,2,15,5,1,,,
Johnny Wilson,23,DET,LW,70,23,19,42,22,17,6,0,1,15,4,0,,,
Elmer Lach,35,MTL,C,53,16,25,41,56,8,8,0,6,12,13,0,,,ASG
Jimmy Peters,30,CBH,RW,69,22,19,41,16,19,3,0,3,16,3,0,,,Byng-4
George Gee,30,CBH,LW,67,18,21,39,99,16,1,1,3,18,2,1,,,
Bernie Geoffrion,21,MTL,RW,65,22,17,39,37,18,4,0,3,9,8,0,,,ASG
Sid Smith,27,TOR,LW,70,20,19,39,6,13,6,1,4,14,4,1,,,"ASG,Byng-3"
Gerry Couture,27,CBH,RW,70,19,18,37,20,15,4,0,2,15,2,1,,,
Ted Kennedy,27,TOR,C,43,14,23,37,42,10,3,1,2,15,7,1,,,Hart-5
Bill Mosienko,31,CBH,RW,65,17,20,37,20,17,0,0,2,16,4,0,,,ASG
Cal Gardner,28,CBH,C,70,11,24,35,60,6,4,1,3,23,1,0,,,
Gord Hannigan,24,TOR,C,65,17,18,35,49,13,3,1,2,16,2,0,,,Calder-2
Nick Mickoski,25,NYR,LW,70,19,16,35,39,16,1,2,0,13,3,0,,,
Ed Sandford,24,BOS,LW,61,14,21,35,44,12,2,0,2,15,5,1,,,ASG
Ron Stewart,20,TOR,RW,70,13,22,35,29,10,2,1,3,15,6,1,,,
Doug Harvey,28,MTL,D,69,4,30,34,67,2,2,0,0,12,18,0,,,"ASG,ASnhl-1"
Milt Schmidt,34,BOS,C,68,11,23,34,30,7,3,1,1,17,6,0,,,
Real Chevrefils,20,BOS,LW,69,19,14,33,44,15,4,0,1,11,3,0,,,
Marty Pavelich,25,DET,LW,64,13,20,33,49,13,0,0,3,17,3,0,,,
Bob Hassard,23,TOR,C,70,8,23,31,14,8,0,0,2,20,3,0,,,
Gus Bodnar,29,CBH,C,66,16,13,29,26,13,1,2,5,12,1,0,,,
Joe Klukay,30,BOS,RW,70,13,16,29,20,10,2,1,3,15,1,0,,,
Johnny Peirson,27,BOS,RW,49,14,15,29,32,12,2,0,5,10,5,0,,,
Tony Leswick,29,DET,RW,70,15,12,27,87,13,0,2,5,9,3,0,,,
Marcel Pronovost,22,DET,D,68,8,19,27,72,5,3,0,2,14,5,0,,,
Glen Skov,22,DET,C,70,12,15,27,54,8,4,0,2,13,2,0,,,
Paul Meger,23,MTL,LW,69,9,17,26,36,7,1,1,0,17,0,0,,,ASG
George Armstrong,22,TOR,RW,52,14,11,25,54,11,3,0,2,9,1,1,,,
Hy Buller,26,NYR,D,70,7,18,25,73,6,1,0,1,9,9,0,,,
Tod Sloan,25,TOR,RW,70,15,10,25,76,12,3,0,1,9,1,0,,,
Jack Stoddard,26,NYR,RW,60,12,13,25,29,9,3,0,1,10,3,0,,,
Dick Gamble,24,MTL,LW,69,11,13,24,26,9,2,0,1,11,1,1,,,ASG
Neil Strain,26,NYR,LW,52,11,13,24,12,10,1,0,1,10,3,0,,,
Harry Watson,29,TOR,LW,63,16,8,24,8,15,1,0,2,7,1,0,,,ASG
Max Bentley,32,TOR,C,36,12,11,23,16,8,4,0,2,6,5,0,,,
Leo Labine,21,BOS,RW,51,8,15,23,69,7,1,0,1,10,5,0,,,
Gus Mortson,28,CBH,D,68,5,18,23,88,5,0,0,1,18,0,0,,,ASG
Reg Sinclair,27,DET,RW,69,11,12,23,36,5,6,0,4,8,4,0,,,
Jerry Toppazzini,21,BOS,RW,70,10,13,23,34,8,1,1,2,9,4,0,,,
Floyd Curry,27,MTL,RW,68,16,6,22,10,12,2,2,4,4,1,1,,,ASG
Bill Gadsby,25,CBH,D,68,2,20,22,84,2,0,0,1,14,5,1,,,"ASG,ASnhl-2"
Jack McIntyre,22,BOS,LW,70,7,15,22,31,7,0,0,3,15,0,0,,,
Don Raleigh,26,NYR,C,55,4,18,22,2,4,0,0,2,14,4,0,,,
Jimmy Thomson,25,TOR,D,69,0,22,22,73,0,0,0,0,12,10,0,,,ASG
Al Dewsbury,26,CBH,D,69,5,16,21,97,5,0,0,0,11,4,1,,,
Ken Mosdell,30,MTL,C,63,5,14,19,27,4,1,0,3,13,1,0,,,ASG
Billy Reay,34,MTL,C,56,4,15,19,26,3,1,0,3,14,0,1,,,
Leo Reise,30,NYR,D,61,4,15,19,53,4,0,0,0,11,3,1,,,ASG
Eddie Kullman,29,NYR,RW,70,8,10,18,61,7,1,0,0,10,0,0,,,
Bill Quackenbush,30,BOS,D,69,2,16,18,6,2,0,0,1,12,3,1,,,"ASG,ASnhl-2,Byng-4"
Pete Babando,27,2TM,LW,58,9,9,18,18,7,2,0,3,9,0,0,,,
Pete Babando,27,CBH,LW,29,5,5,10,14,5,0,0,2,5,0,0,,,
Pete Babando,27,NYR,LW,29,4,4,8,4,2,2,0,1,4,0,0,,,
Pentti Lund,27,BOS,RW,54,8,9,17,2,8,0,0,1,7,2,0,,,
Allan Stanley,26,NYR,D,70,5,12,17,52,4,1,0,1,5,7,0,,,
Dave Creighton,22,BOS,C,45,8,8,16,14,5,3,0,1,8,0,0,,,
Tim Horton,23,TOR,D,70,2,14,16,85,2,0,0,0,11,3,0,,,
Eric Nesterenko,19,TOR,RW,35,10,6,16,27,8,2,0,4,5,1,0,,,
Leo Boivin,20,TOR,D,70,2,13,15,97,1,0,1,0,12,1,0,,,Calder-3
Woody Dumart,36,BOS,LW,62,5,9,14,2,3,1,1,1,3,5,1,,,
Warren Godfrey,21,BOS,D,61,1,13,14,40,0,1,0,0,11,2,0,,,
Bob Goldham,30,DET,D,70,1,13,14,32,1,0,0,1,13,0,0,,,
Marcel Bonin,20,DET,LW,37,4,9,13,14,4,0,0,1,6,3,0,,,
Fred Hucul,21,CBH,D,55,5,7,12,25,3,2,0,1,6,1,0,,,
Hal Laycoe,30,BOS,D,54,2,10,12,36,2,0,0,0,10,0,0,,,
Paul Masnick,21,MTL,C,53,5,7,12,44,4,1,0,0,7,0,0,,,
Pete Conacher,20,CBH,LW,41,5,6,11,7,5,0,0,0,6,0,0,,,
Harry Howell,20,NYR,D,67,3,8,11,46,1,2,0,2,6,2,0,,,
Tom Johnson,24,MTL,D,70,3,8,11,65,3,0,0,1,8,0,0,,,ASG
Stephen Kraftcheck,23,NYR,D,69,2,9,11,45,1,1,0,0,7,2,0,,,
Red Sullivan,23,BOS,C,32,3,8,11,8,2,1,0,1,8,0,0,,,
Butch Bouchard,33,MTL,D,58,2,8,10,55,2,0,0,0,7,1,0,,,ASG
Lee Fogolin,26,CBH,D,70,2,8,10,79,2,0,0,1,7,0,1,,,
Vic Lynn,28,CBH,LW,29,0,10,10,23,0,0,0,0,10,0,0,,,
John McCormack,27,MTL,C,59,1,9,10,9,0,0,1,1,8,0,1,,,ASG
Sid Abel,34,CBH,C,39,5,4,9,6,3,2,0,1,2,2,0,,,
Rudy Migay,24,TOR,C,39,5,4,9,22,5,0,0,1,4,0,0,,,
Jim Morrison,21,TOR,D,56,1,8,9,36,0,1,0,0,4,3,1,,,
Dean Prentice,20,NYR,LW,55,6,3,9,20,3,3,0,0,3,0,0,,,
Bob Armstrong,21,BOS,D,55,0,8,8,45,0,0,0,0,6,1,1,,,
Herb Dickenson,21,NYR,LW,11,4,4,8,2,1,3,0,0,3,1,0,,,
Fern Flaman,26,TOR,D,66,2,6,8,110,2,0,0,0,6,0,0,,,
Aldo Guidolin,20,NYR,RW,30,4,4,8,24,3,1,0,1,2,2,0,,,
Phil Maloney,25,TOR,C,29,2,6,8,0,1,1,0,1,6,0,0,,,
Howie Meeker,29,TOR,RW,25,1,7,8,26,1,0,0,1,7,0,0,,,
Dickie Moore,22,MTL,LW,18,2,6,8,19,1,1,0,1,4,2,0,,,ASG
Dollard St. Laurent,23,MTL,D,54,2,6,8,34,1,1,0,0,6,0,0,,,ASG
Ed Slowinski,30,NYR,RW,37,2,5,7,14,2,0,0,0,4,0,1,,,
Sid Finney,23,CBH,RW,18,4,2,6,4,4,0,0,0,2,0,0,,,
Fred Glover,25,CBH,C,31,4,2,6,37,4,0,0,0,1,1,0,,,
Benny Woit,25,DET,D,70,1,5,6,40,1,0,0,0,5,0,0,,,
Jean Béliveau,21,MTL,C,3,5,0,5,0,4,1,0,1,0,0,0,,,ASG
Jim Conacher,31,NYR,C,17,1,4,5,2,1,0,0,0,3,1,0,,,
Jim Hay,21,DET,D,42,1,4,5,2,0,1,0,1,1,3,0,,,
Bud MacPherson,25,MTL,D,59,2,3,5,67,2,0,0,0,2,1,0,,,ASG
George Senick,23,NYR,LW,13,2,3,5,8,2,0,0,0,2,1,0,,,
Danny Lewicki,21,TOR,LW,4,1,3,4,2,0,1,0,0,1,2,0,,,
Ron Murphy,19,NYR,LW,15,3,1,4,0,3,0,0,0,1,0,0,,,
Rags Raglan,25,CBH,D,32,1,3,4,10,1,0,0,0,3,0,0,,,
Larry Wilson,22,DET,C,15,0,4,4,6,0,0,0,0,1,3,0,,,
Gaye Stewart,29,2TM,LW,23,1,3,4,8,0,1,0,0,3,0,0,,,
Gaye Stewart,29,NYR,LW,18,1,2,3,8,0,1,0,0,2,0,0,,,
Gaye Stewart,29,MTL,LW,5,0,1,1,0,0,0,0,0,1,0,0,,,
Lou Jankowski,21,DET,RW,22,1,2,3,0,1,0,0,0,1,1,0,,,
Edgar Laprade,33,NYR,C,11,2,1,3,2,2,0,0,0,1,0,0,,,
Frank Martin,19,BOS,D,14,0,2,2,6,0,0,0,0,2,0,0,,,
Jim Ross,26,NYR,D,11,0,2,2,4,0,0,0,0,2,0,0,,,
Enio Sclisizzi,27,CBH,LW,14,0,2,2,0,0,0,0,0,1,1,0,,,
Bob Solinger,27,TOR,LW,18,1,1,2,2,1,0,0,0,1,0,0,,,
Andy Bathgate,20,NYR,RW,18,0,1,1,6,0,0,0,0,1,0,0,,,
Kelly Burnett,26,NYR,C,3,1,0,1,0,1,0,0,0,0,0,0,,,
Gerard Desaulniers,24,MTL,C,2,0,1,1,2,0,0,0,0,1,0,0,,,
Dunc Fisher,25,BOS,RW,7,0,1,1,0,0,0,0,0,1,0,0,,,
Gord Haworth,20,NYR,C,2,0,1,1,0,0,0,0,0,1,0,0,,,
Ivan Irwin,25,MTL,D,4,0,1,1,0,0,0,0,0,1,0,0,,,
Aggie Kukulowicz,19,NYR,C,3,1,0,1,0,0,1,0,0,0,0,0,,,
Ed Litzenberger,20,MTL,C,2,1,0,1,2,1,0,0,0,0,0,0,,,
Jim McBurney,19,CBH,LW,1,0,1,1,0,0,0,0,0,1,0,0,,,
Reg Abbott,22,MTL,C,3,0,0,0,0,0,0,0,0,0,0,0,,,
Red Almas,28,DET,G,1,0,0,0,0,,,,,0,,,60:00,,
Frank Bathgate,22,NYR,C,2,0,0,0,2,0,0,0,0,0,0,0,,,
Hugh Bolton,23,TOR,D,9,0,0,0,10,0,0,0,0,0,0,0,,,
Norm Corcoran,21,BOS,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Bill Folk,25,DET,D,8,0,0,0,2,0,0,0,0,0,0,0,,,
Glenn Hall,21,DET,G,6,0,0,0,0,,,,,0,,,360:00,,
Jim Henry,32,BOS,G,70,0,0,0,0,,,,,0,,,4200:00,,
Ed Kryzanowski,27,CBH,D,5,0,0,0,0,0,0,0,0,0,0,0,,,
Mike Labadie,20,NYR,RW,3,0,0,0,0,0,0,0,0,0,0,0,,,
Harry Lumley,26,TOR,G,70,0,0,0,16,,,,,0,,,4200:00,,
Parker MacDonald,19,TOR,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Ian MacIntosh,25,NYR,RW,4,0,0,0,4,0,0,0,0,0,0,0,,,
Willie Marshall,21,TOR,C,2,0,0,0,0,0,0,0,0,0,0,0,,,
Wally Maxwell,19,TOR,C,2,0,0,0,0,0,0,0,0,0,0,0,,,
Jackie McLeod,22,NYR,RW,3,0,0,0,2,0,0,0,0,0,0,0,,,
Gerry McNeil,26,MTL,G,66,0,0,0,0,,,,,0,,,3960:00,,"ASG,ASnhl-2,Hart-4"
Hal Murphy,25,MTL,G,1,0,0,0,0,,,,,0,,,60:00,,
Jacques Plante,24,MTL,G,3,0,0,0,0,,,,,0,,,180:00,,
Jack Price,20,CBH,D,10,0,0,0,2,0,0,0,0,0,0,0,,,
Chuck Rayner,32,NYR,G,20,0,0,0,2,,,,,0,,,1200:00,,
Dave Reid,19,TOR,C,2,0,0,0,0,0,0,0,0,0,0,0,,,
Al Rollins,26,CBH,G,70,0,0,0,0,,,,,0,,,4200:00,,Hart-2
