Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Wayne Gretzky,23,EDM,C,74,87,118,205,78,39,55,20,12,11,80,27,11,326,26.7,,,"ASG,ASnhl-1,Byng-6,Hart-1,Ross-1,Pearson-1"
Paul Coffey,22,EDM,D,80,40,86,126,52,104,25,14,1,4,51,27,8,259,15.4,,,"ASG,ASnhl-3,Hart-10,Norris-2"
Michel Goulet,23,QUE,LW,75,56,66,122,62,76,43,11,2,16,46,19,1,239,23.4,,,"ASG,ASnhl-1,Hart-7,Selke-8"
Peter Šťastný,27,QUE,C,80,46,73,119,22,73,35,11,0,4,52,20,1,189,24.3,,,"ASG,ASnhl-4,Byng-11,Hart-11"
Mike Bossy,27,NYI,RW,67,51,67,118,65,8,45,6,0,11,45,22,0,246,20.7,,,"ASnhl-1,Byng-1,Hart-6"
Barry Pederson,22,BOS,C,80,39,77,116,27,64,26,10,3,7,40,37,0,236,16.5,,,"ASG,ASnhl-3,Hart-12,Selke-10"
Jari Kurri,23,EDM,RW,64,52,61,113,39,14,37,10,5,4,41,16,4,195,26.7,,,"ASnhl-2,Byng-3,Selke-3"
Bryan Trottier,27,NYI,C,68,40,71,111,68,59,30,7,3,4,53,16,2,194,20.6,,,"ASnhl-2,Byng-16,Hart-3,Selke-2"
Bernie Federko,27,STL,C,79,41,66,107,-2,43,27,14,0,4,42,24,0,196,20.9,,,"ASnhl-6,Byng-7"
Rick Middleton,30,BOS,RW,80,47,58,105,26,14,27,16,4,6,40,17,1,209,22.5,,,"ASG,ASnhl-3,Byng-2,Hart-4,Selke-4"
Dale Hawerchuk,20,WIN,C,80,37,65,102,-14,73,27,10,0,4,44,19,2,256,14.5,,,
Mark Messier,23,EDM,LW,73,37,64,101,40,165,26,7,4,7,39,18,7,220,16.8,,,"ASG,ASnhl-2,Selke-28"
Glenn Anderson,23,EDM,RW,80,54,45,99,41,65,39,11,4,11,34,10,1,277,19.5,,,"ASG,ASnhl-5"
Ray Bourque,23,BOS,D,78,31,65,96,51,57,18,12,1,5,37,27,1,343,9.0,,,"ASG,ASnhl-2,Hart-5,Norris-3"
Bernie Nicholls,22,LAK,C,78,41,54,95,-22,83,29,8,4,2,32,21,1,255,16.1,,,ASG
Denis Savard,22,CBH,C,75,37,57,94,-12,71,25,12,0,5,25,32,0,211,17.5,,,"ASG,Hart-12"
Tim Kerr,24,PHI,RW,79,54,39,93,29,29,45,9,0,5,30,9,0,288,18.8,,,"ASG,ASnhl-4,ASnhl-9,Hart-11"
Rick Vaive,24,TOR,RW,76,52,41,93,-11,114,35,17,0,6,27,14,0,261,19.9,,,"ASG,ASnhl-6"
Mike Bullard,22,PIT,C,76,51,41,92,-29,57,36,15,0,0,25,16,0,213,23.9,,,"ASG,ASnhl-15"
Marcel Dionne,32,LAK,C,66,39,53,92,7,28,26,13,0,2,34,19,0,282,13.8,,,"ASnhl-7,Byng-11"
Brian Propp,24,PHI,LW,79,39,53,92,47,37,27,11,1,4,38,12,3,301,13.0,,,"ASG,ASnhl-4,Selke-25"
Charlie Simmer,29,LAK,LW,79,44,48,92,7,78,30,13,1,4,33,15,0,188,23.4,,,"ASG,ASnhl-5"
