Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Guy Lafleur,24,MTL,RW,80,56,69,125,67,36,38,18,0,12,49,20,0,303,18.5,,,"ASG,Byng-3,Hart-3,Ross-1,Pearson-1"
Bobby Clarke,26,PHI,C,76,30,89,119,83,136,16,10,4,2,59,28,2,194,15.5,,,Hart-1
Gilbert Perreault,25,BUF,C,80,44,69,113,17,36,30,14,0,4,40,29,0,237,18.6,,,Hart-7
Bill Barber,23,PHI,LW,80,50,62,112,74,104,31,15,4,10,36,23,3,380,13.2,,,ASG
Pierre Larouche,20,PIT,C,76,53,58,111,3,33,35,18,0,3,44,14,0,319,16.6,,,ASG
Pete Mahovlich,29,MTL,C,80,34,71,105,72,76,25,8,1,7,53,18,0,200,17.0,,,"ASG,Hart-7"
Jean Ratelle,35,2TM,C,80,36,69,105,20,18,18,17,1,4,43,25,1,214,16.8,,,"Byng-1,Hart-6"
Jean Ratelle,35,NYR,C,13,5,10,15,3,2,3,2,0,1,7,3,0,28,17.9,,,
Jean Ratelle,35,BOS,C,67,31,59,90,17,16,15,15,1,3,36,22,1,186,16.7,,,
Jean Pronovost,30,PIT,RW,80,52,52,104,16,24,37,13,2,3,28,24,0,299,17.4,,,"ASG,Byng-2"
Darryl Sittler,25,TOR,C,79,41,59,100,12,90,29,11,1,2,45,12,2,346,11.8,,,Hart-9
Syl Apps,28,PIT,C,80,32,67,99,17,24,24,7,1,4,45,20,2,210,15.2,,,
Denis Potvin,22,NYI,D,78,31,67,98,12,100,13,18,0,4,29,36,2,256,12.1,,,"ASG,Hart-2,Norris-1"
Bryan Trottier,19,NYI,C,80,32,63,95,27,21,20,11,1,5,33,30,0,178,18.0,,,"ASG,Calder-1"
Marcel Dionne,24,LAK,C,80,40,54,94,4,38,32,7,1,6,38,15,1,329,12.2,,,ASG
Lanny McDonald,22,TOR,RW,75,37,56,93,24,70,26,6,5,4,36,20,0,270,13.7,,,
Reggie Leach,25,PHI,RW,80,61,30,91,72,41,51,10,0,11,17,13,0,335,18.2,,,ASG
René Robert,27,BUF,RW,72,35,52,87,16,53,24,11,0,4,29,23,0,273,12.8,,,
Rod Gilbert,34,NYR,RW,70,36,50,86,-8,32,27,9,0,4,30,20,0,211,17.1,,,
Rick Martin,24,BUF,LW,80,49,37,86,23,67,31,18,0,7,26,11,0,327,15.0,,,ASG
Chuck Lefley,26,STL,LW,75,43,42,85,15,41,31,4,8,9,19,18,5,207,20.8,,,
Johnny Bucyk,40,BOS,LW,77,36,47,83,22,20,23,13,0,9,27,20,0,151,23.8,,,
Garry Unger,28,STL,C,80,39,44,83,2,95,26,13,0,3,24,17,3,357,10.9,,,ASG
Steve Vickers,24,NYR,LW,80,30,53,83,-16,40,20,10,0,4,34,19,0,202,14.9,,,ASG
Phil Esposito,33,2TM,C,74,35,48,83,-39,36,15,19,1,2,27,21,0,274,12.8,,,
Phil Esposito,33,BOS,C,12,6,10,16,-1,8,3,3,0,0,4,6,0,57,10.5,,,
Phil Esposito,33,NYR,C,62,29,38,67,-38,28,12,16,1,2,23,15,0,217,13.4,,,
Tom Lysiak,22,ATF,C,80,31,51,82,3,60,21,9,1,5,30,21,0,233,13.3,,,ASG
Walt McKechnie,28,DET,C,80,26,56,82,8,85,21,2,3,7,33,19,4,186,14.0,,,
Errol Thompson,25,TOR,LW,75,43,37,80,28,26,29,13,1,7,29,7,1,210,20.5,,,Byng-5
