Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Patrick Kane,27,CHI,RW,82,46,60,106,17,30,29,17,0,9,40,20,0,287,16.0,461,1673:39,20:25,11,40,21.6,21,37,34,37,"ASG,ASnhl-1,Byng-18,Hart-1,Ross-1,Pearson-1"
Jamie Benn,26,DAL,LW,82,41,48,89,7,64,22,17,2,5,32,13,3,247,16.6,431,1641:48,20:01,226,252,47.3,55,156,65,80,"ASG,ASnhl-1,Hart-3"
Sidney Crosby,28,PIT,C,80,36,49,85,19,42,26,10,0,9,35,14,0,248,14.5,446,1637:33,20:28,986,921,51.7,35,90,40,47,"ASnhl-1,Byng-35,Hart-2,Selke-7"
Erik Karlsson,25,OTT,D,82,16,66,82,-2,50,15,1,0,3,41,25,0,248,6.5,586,2375:19,28:58,0,1,0.0,175,84,61,96,"ASG,ASnhl-2,Hart-9,Norris-2"
Joe Thornton,36,SJS,C,82,19,63,82,25,54,11,8,0,6,42,21,0,121,15.7,211,1505:43,18:22,399,353,53.1,30,48,69,98,"ASnhl-2,ASnhl-9,Byng-20,Hart-5,Selke-5"
Johnny Gaudreau,22,CGY,LW,79,30,48,78,4,20,24,6,0,6,33,15,0,217,13.8,371,1574:31,19:56,2,3,40.0,10,26,41,90,"ASG,ASnhl-3,Byng-4"
Joe Pavelski,31,SJS,C,82,38,40,78,25,30,26,12,0,11,24,16,0,224,17.0,394,1624:54,19:49,516,422,55.0,67,147,46,82,"ASG,ASnhl-3,ASnhl-6,ASnhl-8,Byng-9,Hart-14,Selke-11"
Blake Wheeler,29,WPG,RW,82,26,52,78,8,49,21,3,2,5,36,14,2,256,10.2,459,1622:34,19:47,10,18,35.7,56,92,38,46,"ASnhl-5,Byng-70,Selke-25"
Evgeny Kuznetsov,23,WSH,C,82,20,57,77,27,32,15,5,0,4,44,13,0,193,10.4,318,1428:03,17:25,543,594,47.8,29,73,61,54,"ASG,ASnhl-4,Byng-13,Hart-19,Selke-27"
Artemi Panarin,24,CHI,LW,80,30,47,77,8,32,22,8,0,7,31,16,0,187,16.0,333,1481:38,18:31,0,0,,14,46,29,35,"ASnhl-4,AR-1,Byng-38,Calder-1"
Brent Burns,30,SJS,D,82,27,48,75,-5,53,19,7,1,4,24,23,1,353,7.6,750,2120:51,25:52,1,0,100.0,145,101,53,102,"ASG,ASnhl-3,Hart-20,Norris-3"
Anže Kopitar,28,LAK,C,81,25,49,74,34,16,19,5,1,8,34,13,2,177,14.1,311,1690:12,20:52,950,826,53.5,65,78,43,45,"ASnhl-3,Byng-1,Hart-8,Selke-1"
Vladimir Tarasenko,24,STL,RW,80,40,34,74,7,37,28,12,0,7,22,12,0,292,13.7,551,1491:01,18:38,0,1,0.0,28,32,38,34,"ASG,ASnhl-2,ASnhl-7,Hart-12"
Tyler Seguin,24,DAL,C,72,33,40,73,2,16,26,7,0,6,23,17,0,278,11.9,513,1399:51,19:27,470,376,55.6,27,80,21,46,"ASG,ASnhl-5,Byng-7"
Alex Ovechkin,30,WSH,LW,79,50,21,71,21,53,31,19,0,8,16,5,0,398,12.6,779,1604:22,20:19,0,0,,34,225,24,50,"ASnhl-2,ASnhl-7,Hart-6,Richard-1"
Nicklas Bäckström,28,WSH,C,75,20,50,70,17,36,17,3,0,4,23,27,0,129,15.5,222,1438:38,19:11,659,698,48.6,50,51,42,27,"ASG,ASnhl-8,Byng-70,Selke-12"
John Tavares,25,NYI,C,78,33,37,70,6,38,26,7,0,5,25,12,0,250,13.2,457,1559:34,19:60,741,629,54.1,29,51,69,82,"ASG,ASnhl-10,Byng-32,Hart-13"
Patrice Bergeron,30,BOS,C,80,32,36,68,12,49,19,12,1,6,21,13,2,282,11.3,455,1586:47,19:50,1130,848,57.1,56,77,67,34,"ASG,ASnhl-9,Byng-23,Selke-2"
Claude Giroux,28,PHI,C,78,22,45,67,-8,53,15,6,1,5,23,21,1,241,9.1,418,1602:37,20:33,1083,798,57.6,36,83,41,45,"ASG,Hart-16,Selke-28"
Kris Letang,28,PIT,D,71,16,51,67,9,66,11,5,0,2,26,22,3,218,7.3,417,1913:06,26:57,0,0,,122,135,47,69,"ASG,ASnhl-4,Hart-23,Norris-4"
Jaromír Jágr,43,FLA,RW,79,27,39,66,23,48,22,5,0,4,33,6,0,143,18.9,254,1348:56,17:05,0,1,0.0,16,31,33,44,"ASG,ASnhl-4,Byng-10,Hart-7,Selke-35"
Nikita Kucherov,22,TBL,RW,77,30,36,66,9,30,21,9,0,4,20,16,0,209,14.4,402,1402:21,18:13,0,1,0.0,28,61,34,58,"ASnhl-8,Byng-53"
Taylor Hall,24,EDM,LW,82,26,39,65,-4,54,22,4,0,6,31,8,0,286,9.1,474,1574:45,19:12,14,25,35.9,50,82,64,73,"ASG,ASnhl-8"
Filip Forsberg,21,NSH,LW,82,33,31,64,1,47,24,8,1,3,16,15,0,247,13.4,490,1562:19,19:03,2,7,22.2,41,114,72,52,"ASnhl-6,Byng-56,Selke-10"
Kyle Okposo,27,NYI,RW,79,22,42,64,-4,51,15,7,0,4,26,16,0,202,10.9,376,1438:15,18:12,23,40,36.5,39,90,42,54,
Max Pacioretty,27,MTL,LW,82,30,34,64,-10,34,21,8,1,6,25,9,0,303,9.9,539,1519:14,18:32,6,7,46.2,37,102,35,33,"Byng-38,Selke-22"
Steven Stamkos,25,TBL,C,77,36,28,64,3,38,21,14,1,8,17,9,2,216,16.7,404,1521:06,19:45,463,464,49.9,35,109,45,45,"ASG,ASnhl-12,Byng-45"
Loui Eriksson,30,BOS,RW,82,30,33,63,13,12,18,10,2,5,25,7,1,184,16.3,268,1597:30,19:29,12,9,57.1,34,22,48,27,"ASnhl-11,Byng-3,Selke-35"
Ryan Getzlaf,30,ANA,C,77,13,50,63,14,55,7,6,0,5,33,16,1,178,7.3,351,1501:57,19:30,602,617,49.4,61,108,48,75,"ASnhl-11,Hart-20,Selke-20"
David Krejčí,29,BOS,C,72,17,46,63,4,32,13,4,0,3,29,14,3,143,11.9,292,1461:40,20:18,560,557,50.1,57,43,36,49,
Sean Monahan,21,CGY,C,81,27,36,63,-6,18,20,7,0,5,23,13,0,197,13.7,336,1552:10,19:10,887,852,51.0,37,38,55,38,Byng-14
Jason Spezza,32,DAL,C,75,33,30,63,4,22,24,9,0,7,15,15,0,202,16.3,391,1239:00,16:31,538,443,54.8,20,9,45,62,Byng-30
Jeff Carter,31,LAK,C,77,24,38,62,18,20,19,4,1,6,29,8,1,242,9.9,447,1415:54,18:23,598,630,48.7,39,89,26,41,"Byng-37,Selke-43"
Corey Perry,30,ANA,RW,82,34,28,62,2,68,22,12,0,6,16,12,0,215,15.8,384,1452:02,17:42,2,8,20.0,36,104,25,53,"ASG,ASnhl-6"
Roman Josi,25,NSH,D,81,14,47,61,-3,43,7,6,1,3,28,18,1,198,7.1,398,2064:13,25:29,0,0,,185,59,21,43,"ASG,ASnhl-5,Norris-5"
Brad Marchand,27,BOS,LW,77,37,24,61,21,90,27,6,4,6,20,2,2,250,14.8,395,1432:13,18:36,21,35,37.5,35,65,43,69,"ASnhl-5,Selke-25"
Mark Scheifele,22,WPG,C,71,29,32,61,16,48,22,7,0,3,28,4,0,194,14.9,320,1316:58,18:33,515,651,44.2,36,53,61,35,
Daniel Sedin,35,VAN,LW,82,28,33,61,7,36,20,8,0,6,21,11,1,258,10.9,396,1503:22,18:20,5,14,26.3,19,20,24,31,"ASG,ASnhl-8,Byng-25"
Mark Stone,23,OTT,RW,75,23,38,61,-4,38,17,5,1,1,26,10,2,151,15.2,272,1507:55,20:06,8,11,42.1,54,55,128,54,Selke-18
Mats Zuccarello,28,NYR,RW,81,26,35,61,2,34,19,7,0,4,24,11,0,166,15.7,321,1496:36,18:29,5,6,45.5,69,88,59,43,"Byng-56,Selke-29"
Jussi Jokinen,32,FLA,LW,81,18,42,60,25,42,12,5,1,1,34,7,1,153,11.8,248,1481:36,18:17,135,127,51.5,50,43,31,47,Selke-40
Ryan O'Reilly,24,BUF,C,71,21,39,60,-16,8,12,8,1,2,25,14,0,157,13.4,243,1543:11,21:44,1024,788,56.5,43,17,47,28,"ASG,Byng-5,Selke-33"
Wayne Simmonds,27,PHI,RW,81,32,28,60,-7,147,19,13,0,5,20,8,0,229,14.0,393,1395:58,17:14,5,2,71.4,44,192,25,31,ASnhl-10
Ryan Johansen,23,2TM,C,80,14,46,60,6,61,10,4,0,2,28,18,0,185,7.6,300,1405:01,17:34,652,594,52.3,30,115,38,42,
