Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Phil Esposito,31,BOS,C,78,68,77,145,51,58,50,14,4,9,49,26,2,393,17.3,,,"ASG,ASnhl-1,Hart-1,Ross-1,Pearson-1"
Bobby Orr,25,BOS,D,74,32,90,122,84,82,21,11,0,4,62,24,4,384,8.3,,,"ASnhl-1,Hart-3,Norris-1"
Ken Hodge,29,BOS,RW,76,50,55,105,40,43,35,15,0,11,35,20,0,251,19.9,,,"ASG,ASnhl-1"
Wayne Cashman,28,BOS,LW,78,30,59,89,48,111,23,5,2,2,52,7,0,156,19.2,,,"ASG,ASnhl-2"
Bobby Clarke,24,PHI,C,77,35,52,87,35,113,20,10,5,5,33,18,1,221,15.8,,,"ASG,ASnhl-2,Hart-4"
Rick Martin,22,BUF,LW,78,52,34,86,-22,38,44,8,0,6,19,15,0,320,16.3,,,"ASG,ASnhl-1"
Syl Apps,26,PIT,C,75,24,61,85,21,37,13,7,4,2,40,16,5,177,13.6,,,Hart-7
Darryl Sittler,23,TOR,C,78,38,46,84,12,55,27,11,0,6,35,11,0,270,14.1,,,Hart-9
Dennis Hextall,30,MNS,C,78,20,62,82,5,138,17,2,1,3,51,10,1,152,13.2,,,ASG
Lowell MacDonald,32,PIT,LW,78,43,39,82,17,14,34,9,0,2,25,14,0,260,16.5,,,"ASG,Byng-2"
Brad Park,25,NYR,D,78,25,57,82,23,148,21,4,0,4,30,24,3,234,10.7,,,"ASG,ASnhl-1,Hart-8,Norris-2"
Frank Mahovlich,36,MTL,LW,71,31,49,80,16,47,21,8,2,3,31,17,1,221,14.0,,,ASG
Stan Mikita,33,CBH,C,76,30,50,80,24,46,22,6,2,1,37,13,0,171,17.5,,,"ASG,Hart-6"
Marcel Dionne,22,DET,C,74,24,54,78,-31,10,21,3,0,1,31,23,0,280,8.6,,,Byng-5
Rod Gilbert,32,NYR,RW,75,36,41,77,11,20,20,16,0,8,31,10,0,171,21.1,,,
Rick MacLeish,24,PHI,C,78,32,45,77,21,42,15,13,4,5,30,14,1,270,11.9,,,
Pit Martin,30,CBH,C,78,30,47,77,29,43,20,8,2,4,38,7,2,175,17.1,,,ASG
Mickey Redmond,26,DET,RW,76,51,26,77,-20,14,30,21,0,9,13,13,0,296,17.2,,,"ASG,ASnhl-2,Byng-4"
André Boudrias,30,VAN,LW,78,16,59,75,-6,18,12,3,1,1,36,22,1,180,8.9,,,
Johnny Bucyk,38,BOS,LW,76,31,44,75,13,8,19,12,0,9,26,18,0,139,22.3,,,Byng-1
Bill Goldsworthy,29,MNS,RW,74,48,26,74,3,73,35,12,1,4,19,7,0,321,15.0,,,ASG
Yvan Cournoyer,30,MTL,RW,67,40,33,73,16,18,30,10,0,9,24,9,0,187,21.4,,,"ASG,Hart-9"
Pete Mahovlich,27,MTL,C,78,36,37,73,42,122,25,7,4,7,30,5,2,178,20.2,,,
Jim Pappin,34,CBH,RW,78,32,41,73,25,76,23,8,1,8,27,11,3,160,20.0,,,ASG
Jean Pronovost,28,PIT,RW,77,40,32,72,8,22,28,8,4,2,20,10,2,248,16.1,,,
Pete Stemkowski,30,NYR,C,78,25,45,70,5,74,23,2,0,2,43,1,1,239,10.5,,,
Bill Barber,21,PHI,LW,75,34,35,69,33,54,23,9,2,5,16,14,5,290,11.7,,,
Norm Ullman,38,TOR,C,78,22,47,69,11,12,18,4,0,2,39,8,0,178,12.4,,,ASG
Dennis Hull,29,CBH,LW,74,29,39,68,25,15,23,5,1,6,26,13,0,220,13.2,,,ASG
Garry Unger,26,STL,C,78,33,35,68,-18,96,23,9,1,4,22,13,0,327,10.1,,,ASG
Joey Johnston,24,CGS,LW,78,27,40,67,-39,67,15,10,2,0,28,11,1,204,13.2,,,ASG
Jacques Lemaire,28,MTL,C,66,29,38,67,4,10,19,10,0,7,24,14,0,219,13.2,,,
Jean Ratelle,33,NYR,C,68,28,39,67,5,16,22,6,0,3,25,14,0,165,17.0,,,
Red Berenson,34,DET,C,76,24,42,66,-24,28,17,6,1,2,28,12,2,179,13.4,,,ASG
René Robert,25,BUF,RW,76,21,44,65,-18,71,18,3,0,5,26,18,0,245,8.6,,,
Bobby Schmautz,28,2TM,RW,76,33,32,65,6,89,22,9,2,4,22,9,1,226,14.6,,,ASG
Bobby Schmautz,28,VAN,RW,49,26,19,45,0,58,16,8,2,3,11,7,1,164,15.9,,,
Bobby Schmautz,28,BOS,RW,27,7,13,20,6,31,6,1,0,1,11,2,0,62,11.3,,,
Danny Grant,27,MNS,LW,78,29,35,64,-1,16,26,3,0,3,26,9,0,185,15.7,,,
Tom Lysiak,20,ATF,C,77,19,45,64,-15,54,15,4,0,2,24,21,0,216,8.8,,,Calder-2
Walt Tkaczuk,26,NYR,C,71,21,42,63,16,58,15,3,3,0,31,10,1,220,9.5,,,
Bill Fairbairn,27,NYR,RW,78,18,44,62,13,12,11,4,3,3,36,8,0,186,9.7,,,
Butch Goring,24,LAK,C,70,28,33,61,1,2,20,5,3,5,23,10,0,161,17.4,,,Byng-3
Dick Redmond,24,CBH,D,76,17,42,59,26,69,12,5,0,4,24,17,1,247,6.9,,,
Carol Vadnais,28,BOS,D,78,16,43,59,34,123,10,6,0,1,23,19,1,187,8.6,,,
Steve Vickers,22,NYR,LW,75,34,24,58,7,18,29,5,0,5,14,9,1,170,20.0,,,
Dennis Ververgaert,20,VAN,RW,78,26,31,57,-20,25,19,7,0,3,22,9,0,153,17.0,,,Calder-4
Juha Widing,26,LAK,C,71,27,30,57,-5,26,22,5,0,4,26,4,0,175,15.4,,,
Bob Berry,30,LAK,LW,77,23,33,56,1,56,15,8,0,1,28,5,0,122,18.9,,,ASG
Ivan Boldirev,24,CGS,C,78,25,31,56,-53,22,23,2,0,2,23,8,0,223,11.2,,,
Guy Lafleur,22,MTL,RW,73,21,35,56,9,29,17,3,1,2,24,11,0,167,12.6,,,
Don Luce,25,BUF,C,75,26,30,56,3,44,21,2,3,1,28,1,1,237,11.0,,,
Guy Charron,25,DET,LW,76,25,30,55,-31,10,19,6,0,2,18,12,0,205,12.2,,,
Vic Hadfield,33,NYR,LW,77,27,28,55,1,75,15,12,0,4,20,8,0,202,13.4,,,
Paul Henderson,31,TOR,LW,69,24,31,55,8,40,19,5,0,2,20,11,0,159,15.1,,,
J.P. Parisé,32,MNS,LW,78,18,37,55,-8,42,16,2,0,1,28,9,0,191,9.4,,,
Henri Richard,37,MTL,C,75,19,36,55,7,28,18,1,0,3,35,1,0,175,10.9,,,ASG
Al McDonough,23,2TM,RW,72,24,31,55,-7,27,18,6,0,5,19,12,0,250,9.6,,,ASG
Al McDonough,23,PIT,RW,37,14,22,36,-3,12,11,3,0,4,15,7,0,142,9.9,,,
Al McDonough,23,ATF,RW,35,10,9,19,-4,15,7,3,0,1,4,5,0,108,9.3,,,
Chuck Lefley,24,MTL,C,74,23,31,54,10,34,20,1,2,2,26,3,2,150,15.3,,,
Jim Lorentz,26,BUF,RW,78,23,31,54,-19,28,11,12,0,4,20,11,0,154,14.9,,,
Pierre Plante,22,STL,RW,78,26,28,54,-15,85,18,8,0,3,22,6,0,151,17.2,,,
Denis Potvin,20,NYI,D,77,17,37,54,-17,175,11,6,0,3,23,13,1,209,8.1,,,"ASG,Calder-1"
Dave Keon,33,TOR,C,74,25,28,53,13,7,22,1,2,3,20,7,1,244,10.2,,,
Guy Lapointe,25,MTL,D,71,13,40,53,12,63,7,5,1,2,23,15,2,205,6.3,,,
Bobby Leiter,32,ATF,C,78,26,26,52,-4,10,16,10,0,5,15,11,0,178,14.6,,,
Walt McKechnie,26,CGS,C,63,23,29,52,-15,14,17,4,2,1,18,10,1,137,16.8,,,
Ross Lonsberry,26,PHI,LW,75,32,19,51,16,48,25,6,1,5,15,4,0,213,15.0,,,
Gilbert Perreault,23,BUF,C,55,18,33,51,-8,10,12,6,0,7,24,9,0,163,11.0,,,
Larry Romanchych,24,ATF,RW,73,22,29,51,-7,33,15,7,0,3,21,8,0,159,13.8,,,
Bobby Rousseau,33,NYR,RW,72,10,41,51,3,4,4,6,0,0,18,23,0,87,11.5,,,
Gary Dornhoefer,30,PHI,RW,57,11,39,50,14,125,8,3,0,4,23,15,1,109,10.1,,,
Billy Harris,22,NYI,RW,78,23,27,50,-11,34,19,4,0,3,19,8,0,190,12.1,,,
Don Marcotte,26,BOS,LW,78,24,26,50,44,18,21,0,3,3,22,0,4,150,16.0,,,
Bob Nevin,35,LAK,RW,78,20,30,50,7,12,15,5,0,6,23,5,2,127,15.7,,,
Frank St. Marseille,34,LAK,C,78,14,36,50,3,40,12,2,0,1,29,7,0,190,7.4,,,
Ron Ellis,29,TOR,RW,70,23,25,48,8,12,20,3,0,3,20,5,0,158,14.6,,,
Don Lever,21,VAN,C,78,23,25,48,-16,28,18,4,1,1,18,7,0,175,13.1,,,
Nick Libett,28,DET,LW,67,24,24,48,-26,37,20,3,1,5,17,5,2,177,13.6,,,
Pierre Jarry,24,2TM,LW,64,17,31,48,-3,27,15,2,0,0,23,8,0,170,10.0,,,
Pierre Jarry,24,TOR,LW,12,2,8,10,8,10,2,0,0,0,7,1,0,31,6.5,,,
Pierre Jarry,24,DET,LW,52,15,23,38,-11,17,13,2,0,0,16,7,0,139,10.8,,,
Gregg Sheppard,24,BOS,C,75,16,31,47,23,21,13,0,3,3,28,0,3,168,9.5,,,
Greg Polis,23,2TM,LW,78,22,25,47,-25,56,14,8,0,1,16,9,0,285,7.7,,,
Greg Polis,23,PIT,LW,41,14,13,27,-18,32,9,5,0,1,7,6,0,163,8.6,,,
Greg Polis,23,STL,LW,37,8,12,20,-7,24,5,3,0,0,9,3,0,122,6.6,,,
Ted Irvine,29,NYR,LW,75,26,20,46,4,105,24,2,0,5,20,0,0,144,18.1,,,
Cliff Koroll,27,CBH,RW,78,21,25,46,27,32,14,7,0,3,23,2,0,151,13.9,,,
Reggie Leach,23,CGS,RW,78,22,24,46,-62,34,20,2,0,3,18,6,0,216,10.2,,,
Gerry Meehan,27,BUF,C,72,20,26,46,-7,17,14,6,0,1,17,9,0,161,12.4,,,
Craig Ramsay,22,BUF,LW,78,20,26,46,15,0,17,1,2,3,23,2,1,154,13.0,,,
Bill Flett,30,PHI,RW,67,17,27,44,20,51,15,1,1,5,20,6,1,222,7.7,,,
Bruce MacGregor,32,NYR,RW,66,17,27,44,1,6,15,0,2,1,23,2,2,96,17.7,,,
Glen Sather,30,2TM,LW,71,15,29,44,-8,82,11,4,0,5,20,9,0,106,14.2,,,
Glen Sather,30,NYR,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Glen Sather,30,STL,LW,69,15,29,44,-8,82,11,4,0,5,20,9,0,106,14.2,,,
Fred Stanfield,29,MNS,C,71,16,28,44,-14,10,13,3,0,2,17,11,0,218,7.3,,,
Jude Drouin,25,MNS,C,65,19,24,43,-11,30,15,4,0,2,20,4,0,200,9.5,,,
Inge Hammarström,26,TOR,LW,66,20,23,43,17,14,16,4,0,4,20,3,0,135,14.8,,,
Wayne Merrick,21,STL,C,64,20,23,43,-12,32,18,2,0,4,19,4,0,146,13.7,,,
Jacques Richard,21,ATF,RW,78,27,16,43,-18,45,20,7,0,1,8,8,0,270,10.0,,,
Ron Schock,30,PIT,C,77,14,29,43,-27,22,12,0,2,3,24,4,1,138,10.1,,,
Ralph Stewart,25,NYI,C,67,23,20,43,-7,6,16,2,5,2,15,5,0,178,12.9,,,
Mike Corrigan,28,LAK,RW,75,16,26,42,-11,119,12,4,0,1,20,6,0,131,12.2,,,
Jim McKenny,27,TOR,D,77,14,28,42,16,36,11,3,0,1,20,8,0,129,10.9,,,ASG
Gerry O'Flaherty,23,VAN,LW,78,22,20,42,-4,18,20,2,0,2,16,4,0,142,15.5,,,
Ed Westfall,33,NYI,RW,68,19,23,42,-5,28,13,6,0,0,17,5,1,177,10.7,,,ASG
Curt Bennett,25,ATF,LW,71,17,24,41,3,34,16,1,0,1,20,4,0,136,12.5,,,
Bill Hogaboam,24,DET,C,47,18,23,41,-3,12,12,6,0,0,16,7,0,100,18.0,,,
Orest Kindrachuk,23,PHI,C,71,11,30,41,20,85,7,3,1,3,24,6,0,106,10.4,,,
Bob Nystrom,21,NYI,RW,77,21,20,41,-17,118,18,3,0,5,19,1,0,176,11.9,,,
Rick Kehoe,22,TOR,RW,69,18,22,40,19,8,15,3,0,3,19,3,0,197,9.1,,,
Don Saleski,24,PHI,RW,77,15,25,40,20,131,11,2,2,3,22,3,0,157,9.6,,,
Jocelyn Guevremont,22,VAN,D,72,15,24,39,-37,34,5,10,0,1,11,12,1,208,7.2,,,ASG
Börje Salming,22,TOR,D,76,5,34,39,38,48,2,3,0,0,26,8,0,130,3.8,,,"Calder-3,Norris-5"
Germain Gagnon,31,2TM,LW,76,11,28,39,15,12,11,0,0,1,22,5,1,87,12.6,,,
Germain Gagnon,31,NYI,LW,62,8,14,22,9,8,8,0,0,0,10,3,1,68,11.8,,,
Germain Gagnon,31,CBH,LW,14,3,14,17,6,4,3,0,0,1,12,2,0,19,15.8,,,
Barry Gibbs,25,MNS,D,76,9,29,38,-18,82,6,3,0,0,23,6,0,151,6.0,,,
Doug Roberts,31,2TM,RW,64,12,26,38,-8,35,10,2,0,1,26,0,0,95,12.6,,,
Doug Roberts,31,BOS,RW,7,0,1,1,2,2,0,0,0,0,1,0,0,11,0.0,,,
Doug Roberts,31,DET,RW,57,12,25,37,-10,33,10,2,0,1,25,0,0,84,14.3,,,
Randy Manery,25,ATF,D,78,8,29,37,15,75,6,2,0,1,17,12,0,189,4.2,,,
Keith McCreary,33,ATF,LW,76,18,19,37,-6,62,16,2,0,4,18,1,0,109,16.5,,,
Murray Oliver,36,MNS,C,78,17,20,37,-13,4,13,3,1,0,16,4,0,143,11.9,,,
Simon Nolet,32,PHI,RW,52,19,17,36,27,13,18,1,0,1,15,2,0,97,19.6,,,
Dave Schultz,24,PHI,LW,73,20,16,36,25,348,18,2,0,3,16,0,0,95,21.1,,,
Bill White,34,CBH,D,69,5,31,36,51,52,5,0,0,1,18,11,2,85,5.9,,,"ASG,ASnhl-2,Norris-3"
