Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Jaromír Jágr,27,PIT,RW,63,42,54,96,25,50,32,10,0,5,35,19,0,290,14.5,1431:06,22:43,"ASG,ASnhl-1,Byng-25,Hart-2,Ross-1,Pearson-1"
Pavel Bure,28,FLA,RW,74,58,36,94,25,16,45,11,2,14,27,9,0,360,16.1,1743:05,23:33,"ASG,ASnhl-2,ASnhl-6,Byng-4,Hart-3,Richard-1"
Mark Recchi,31,PHI,RW,82,28,63,91,20,50,20,7,1,5,30,32,1,223,12.6,1781:20,21:43,"ASG,ASnhl-4,Byng-21,Hart-6,Selke-23"
Paul Kariya,25,MDA,LW,74,42,44,86,22,24,28,11,3,3,24,20,0,324,13.0,1787:19,24:09,"ASG,ASnhl-2,Byng-6"
Teemu Selänne,29,MDA,RW,79,33,52,85,6,12,25,8,0,6,29,23,0,236,14.0,1795:27,22:44,"ASG,ASnhl-7,Byng-3"
Tony Amonte,29,CHI,RW,82,43,41,84,10,48,27,11,5,2,32,8,1,260,16.5,1795:19,21:54,"ASG,ASnhl-5,ASnhl-8"
Owen Nolan,27,SJS,RW,78,44,40,84,-1,110,22,18,4,6,21,15,4,261,16.9,1631:56,20:55,"ASG,ASnhl-3,Hart-5"
Mike Modano,29,DAL,C,77,38,43,81,0,48,26,11,1,8,23,16,4,188,20.2,1748:26,22:42,"ASG,ASnhl-2,Byng-5,Hart-10,Selke-18"
Joe Sakic,30,COL,C,60,28,53,81,30,28,22,5,1,5,36,17,0,242,11.6,1395:58,23:16,"ASG,ASnhl-3,Byng-8,Hart-14,Selke-10"
Steve Yzerman,34,DET,C,78,35,44,79,28,34,18,15,2,6,28,14,2,234,15.0,1646:30,21:07,"ASG,ASnhl-1,Byng-10,Hart-8,Selke-1"
Jeremy Roenick,30,PHX,C,75,34,44,78,11,102,25,6,3,12,30,13,1,192,17.7,1550:13,20:40,"ASG,ASnhl-4"
Brendan Shanahan,31,DET,LW,78,41,37,78,24,105,27,13,1,9,19,16,2,283,14.5,1448:58,18:35,"ASG,ASnhl-1,Hart-15"
John LeClair,30,PHI,LW,82,40,37,77,8,36,27,13,0,7,26,11,0,249,16.1,1663:55,20:18,"ASG,ASnhl-3"
Valeri Bure,25,CGY,RW,82,35,40,75,-7,50,22,13,0,6,22,18,0,308,11.4,1719:50,20:58,"ASG,Byng-18"
Pavol Demitra,25,STL,RW,71,28,47,75,34,8,20,8,0,4,32,15,0,241,11.6,1364:52,19:13,"ASG,ASnhl-6,Byng-1,Selke-6"
Luc Robitaille,33,LAK,LW,71,36,38,74,11,68,23,13,0,7,25,13,0,221,16.3,1317:58,18:34,"ASnhl-4,Byng-17"
Ron Francis,36,CAR,C,78,23,50,73,10,18,16,7,0,4,28,22,0,150,15.3,1713:53,21:58,"Byng-9,Selke-12"
Nicklas Lidström,29,DET,D,81,20,53,73,19,18,7,9,4,3,30,22,1,218,9.2,2123:59,26:13,"ASG,ASnhl-2,Byng-2,Hart-9,Norris-2"
Mats Sundin,28,TOR,C,73,32,41,73,16,46,20,10,2,7,31,9,1,184,17.4,1472:59,20:11,"ASG,ASnhl-5"
Doug Gilmour,36,2TM,C,74,25,48,73,-9,63,15,10,0,3,35,13,0,113,22.1,1445:09,19:32,ASnhl-7
