Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Don Raleigh,24,NYR,C,64,15,24,39,18,14,1,0,4,21,3,0,,,ASG
Reg Sinclair,25,NYR,RW,70,18,21,39,70,13,4,1,2,18,3,0,,,ASG
Johnny Peirson,25,BOS,RW,70,19,19,38,43,13,6,0,2,14,5,0,,,ASG
Jimmy Peters,28,DET,RW,68,17,21,38,14,13,3,1,4,18,3,0,,,
Pete Babando,25,CBH,LW,70,18,19,37,36,16,2,0,2,16,3,0,,,
Jim Conacher,29,CBH,C,52,10,27,37,16,7,3,0,2,26,1,0,,,
George Gee,28,DET,C,70,17,20,37,19,15,2,0,3,16,4,0,,,
Metro Prystai,23,DET,C,62,20,17,37,27,14,6,0,7,14,3,0,,,
Harry Watson,27,TOR,LW,68,18,19,37,18,16,2,0,6,18,1,0,,,ASG
Bill Mosienko,29,CBH,RW,65,21,15,36,18,18,3,0,1,12,2,1,,,
Buddy O'Connor,34,NYR,C,66,16,20,36,0,14,2,0,3,17,3,0,,,Byng-4
Jimmy Thomson,23,TOR,D,69,3,33,36,76,3,0,0,0,15,18,0,,,"ASG,ASnhl-2"
Bill Ezinicki,26,BOS,RW,53,16,19,35,119,13,3,0,0,16,3,0,,,
Nick Mickoski,23,NYR,LW,64,20,15,35,12,16,4,0,1,13,2,0,,,
Bep Guidolin,25,CBH,LW,69,12,22,34,56,11,0,1,0,20,2,0,,,
Danny Lewicki,19,TOR,LW,61,16,18,34,26,13,3,0,4,13,5,0,,,Calder-3
Lorne Ferguson,20,BOS,LW,70,16,17,33,31,13,2,1,1,15,2,0,,,
Doug Bentley,34,CBH,C,44,9,23,32,20,5,3,1,2,21,2,0,,,ASG
Eddie Kullman,27,NYR,RW,70,14,18,32,88,14,0,0,0,17,1,0,,,
Jim McFadden,30,DET,C,70,14,18,32,10,11,3,0,2,17,1,0,,,
Paul Ronty,22,BOS,C,70,10,22,32,20,7,3,0,2,18,4,0,,,
Ed Slowinski,28,NYR,LW,69,14,18,32,15,12,2,0,1,16,2,0,,,
Ken Mosdell,28,MTL,C,66,13,18,31,24,9,2,2,0,16,1,1,,,ASG
Gaye Stewart,27,DET,LW,67,18,13,31,18,16,2,0,2,11,2,0,,,ASG
Joe Klukay,28,TOR,RW,70,14,16,30,16,11,2,1,4,12,3,1,,,
Dunc Fisher,23,2TM,RW,65,9,20,29,20,7,2,0,2,16,4,0,,,
Dunc Fisher,23,NYR,RW,12,0,0,0,0,0,0,0,0,0,0,0,,,
Dunc Fisher,23,BOS,RW,53,9,20,29,20,7,2,0,2,16,4,0,,,
Doug Harvey,26,MTL,D,70,5,24,29,91,4,1,0,0,18,4,2,,,ASG
Marty Pavelich,23,DET,LW,67,9,20,29,41,9,0,0,2,16,3,1,,,
Bill Quackenbush,28,BOS,D,70,5,24,29,12,5,0,0,1,15,8,1,,,"ASG,ASnhl-1,Byng-3,Hart-7"
Calum MacKay,24,MTL,LW,70,18,10,28,69,17,1,0,3,9,1,0,,,
Zellio Toppazzini,21,2TM,RW,59,14,14,28,27,13,1,0,1,12,2,0,,,
Zellio Toppazzini,21,BOS,RW,4,0,1,1,0,0,0,0,0,1,0,0,,,
Zellio Toppazzini,21,NYR,RW,55,14,13,27,27,13,1,0,1,11,2,0,,,
Floyd Curry,25,MTL,RW,69,13,14,27,23,11,1,1,3,14,0,0,,,ASG
Tony Leswick,27,NYR,LW,70,15,11,26,112,14,0,1,2,10,0,1,,,
Fleming Mackell,21,TOR,C,70,12,13,25,40,11,1,0,0,11,1,1,,,
Norm Dussault,25,MTL,C,64,4,20,24,15,4,0,0,0,17,3,0,,,
Billy Reay,32,MTL,C,60,6,18,24,24,6,0,0,3,16,2,0,,,
Bob Goldham,28,DET,D,61,5,18,23,31,5,0,0,0,13,4,1,,,
Pete Horeck,27,BOS,LW,66,10,13,23,57,5,4,1,0,10,1,2,,,
Edgar Laprade,31,NYR,C,42,10,13,23,0,10,0,0,3,12,0,1,,,
Ed Sandford,22,BOS,LW,51,10,13,23,33,8,2,0,0,10,3,0,,,ASG
Adam Brown,30,CBH,LW,53,10,12,22,61,10,0,0,1,11,1,0,,,
Ray Powell,25,CBH,RW,31,7,15,22,2,6,1,0,1,13,2,0,,,
Leo Reise,28,DET,D,68,5,16,21,65,5,0,0,0,14,2,0,,,"ASG,ASnhl-2"
Allan Stanley,24,NYR,D,70,7,14,21,75,6,0,1,1,8,6,0,,,
Vic Stasiuk,21,2TM,RW,70,8,13,21,18,5,3,0,0,11,2,0,,,
Vic Stasiuk,21,CBH,RW,21,5,3,8,6,3,2,0,0,2,1,0,,,
Vic Stasiuk,21,DET,LW,49,3,10,13,12,2,1,0,0,9,1,0,,,
Gus Bodnar,27,CBH,RW,44,8,12,20,8,8,0,0,0,10,1,1,,,ASG
Pentti Lund,25,NYR,RW,59,4,16,20,6,3,1,0,0,16,0,0,,,
Vic Lynn,26,BOS,D,56,14,6,20,69,12,2,0,3,6,0,0,,,
Howie Meeker,27,TOR,RW,49,6,14,20,24,6,0,0,2,11,3,0,,,
Don Morrison,27,CBH,C,59,8,12,20,6,7,1,0,1,11,1,0,,,
Al Dewsbury,24,CBH,D,67,5,14,19,79,4,0,1,0,8,6,0,,,ASG
Pat Lundy,26,CBH,C,61,9,9,18,9,9,0,0,0,7,2,0,,,
Bud MacPherson,23,MTL,D,62,0,16,16,40,0,0,0,0,12,4,0,,,
Pat Egan,32,NYR,D,70,5,10,15,70,2,3,0,0,8,2,0,,,
Jackie McLeod,20,NYR,RW,41,5,10,15,2,4,1,0,0,10,0,0,,,
Bernie Geoffrion,19,MTL,RW,18,8,6,14,9,8,0,0,2,4,2,0,,,
Glen Harmon,30,MTL,D,57,2,12,14,27,2,0,0,0,5,6,1,,,
Lee Fogolin,24,2TM,D,54,3,11,14,79,3,0,0,0,10,1,0,,,ASG
Lee Fogolin,24,DET,D,17,0,1,1,16,0,0,0,0,1,0,0,,,
Lee Fogolin,24,CBH,D,37,3,10,13,63,3,0,0,0,9,1,0,,,
Butch Bouchard,31,MTL,D,52,3,10,13,80,3,0,0,0,9,1,0,,,ASG
Gerry Couture,25,DET,RW,53,7,6,13,2,7,0,0,1,5,1,0,,,
John McCormack,25,TOR,C,46,6,7,13,2,6,0,0,0,6,1,0,,,
Gus Mortson,26,TOR,D,60,3,10,13,142,2,1,0,1,8,2,0,,,ASG
Glen Skov,20,DET,LW,19,7,6,13,13,5,2,0,2,5,1,0,,,
Bill Barilko,23,TOR,D,58,6,6,12,96,5,0,1,0,5,1,0,,,
Vern Kaiser,24,MTL,LW,50,7,5,12,33,5,2,0,0,4,1,0,,,
Frank Eddolls,29,NYR,D,68,3,8,11,24,3,0,0,1,7,1,0,,,ASG
Murray Henderson,29,BOS,D,66,4,7,11,37,4,0,0,1,7,0,0,,,
Steve Black,23,2TM,LW,44,4,6,10,24,3,1,0,0,6,0,0,,,
Steve Black,23,DET,LW,5,0,0,0,2,0,0,0,0,0,0,0,,,
Steve Black,23,CBH,LW,39,4,6,10,22,3,1,0,0,6,0,0,,,
Ernie Dickens,29,CBH,D,70,2,8,10,20,2,0,0,0,7,1,0,,,
Bill Gadsby,23,CBH,D,25,3,7,10,32,2,1,0,0,5,2,0,,,
Tom Johnson,22,MTL,D,70,2,8,10,128,2,0,0,1,7,1,0,,,
Max Quackenbush,22,BOS,D,47,4,6,10,26,3,1,0,1,6,0,0,,,
Ray Timgren,22,TOR,LW,70,1,9,10,20,0,0,1,0,7,1,1,,,
Fern Flaman,24,2TM,D,53,3,7,10,101,3,0,0,0,7,0,0,,,
Fern Flaman,24,BOS,D,14,1,1,2,37,1,0,0,0,1,0,0,,,
Fern Flaman,24,TOR,D,39,2,6,8,64,2,0,0,0,6,0,0,,,
Dave Creighton,20,BOS,C,56,5,4,9,4,5,0,0,0,4,0,0,,,
Bill Juzda,30,TOR,D,65,0,9,9,64,0,0,0,0,9,0,0,,,
Ed Kryzanowski,25,BOS,D,69,3,6,9,10,2,0,1,0,3,3,0,,,
Leo Gravelle,25,2TM,RW,49,5,4,9,6,3,2,0,0,4,0,0,,,
Leo Gravelle,25,MTL,RW,30,4,3,7,0,3,1,0,0,3,0,0,,,
Leo Gravelle,25,DET,RW,19,1,1,2,6,0,1,0,0,1,0,0,,,
Ross Lowe,22,BOS,D,43,5,3,8,40,4,1,0,1,2,1,0,,,
Alex Kaleta,31,NYR,LW,58,3,4,7,26,3,0,0,0,2,2,0,,,
Clare Martin,28,DET,D,50,1,6,7,12,1,0,0,0,5,1,0,,,
Doug McCaig,31,CBH,D,54,2,5,7,29,2,0,0,0,4,1,0,,,
Marcel Pronovost,20,DET,D,37,1,6,7,20,1,0,0,0,6,0,0,,,
Paul Meger,21,MTL,LW,17,2,4,6,6,2,0,0,1,4,0,0,,,ASG
Wally Stanowski,31,NYR,D,49,1,5,6,28,0,0,1,0,5,0,0,,,
Joe Carveth,32,DET,RW,28,1,4,5,0,1,0,0,0,1,3,0,,,
Bob Dawes,26,MTL,D,15,0,5,5,4,0,0,0,0,5,0,0,,,
Gordie Fashoway,24,CBH,LW,13,3,2,5,14,3,0,0,0,2,0,0,,,
Gus Kyle,27,NYR,D,64,2,3,5,92,2,0,0,1,3,0,0,,,
Paul Masnick,19,MTL,C,43,4,1,5,14,4,0,0,0,0,1,0,,,
Hugh Bolton,21,TOR,D,13,1,3,4,4,0,1,0,0,2,1,0,,,
Rags Raglan,23,DET,D,33,3,1,4,14,3,0,0,0,1,0,0,,,
Ken Smith,26,BOS,LW,14,1,3,4,11,1,0,0,0,2,1,0,,,
Hal Laycoe,28,2TM,D,44,1,3,4,29,1,0,0,0,3,0,0,,,
Hal Laycoe,28,MTL,D,34,0,2,2,25,0,0,0,0,2,0,0,,,
Hal Laycoe,28,BOS,D,10,1,1,2,4,1,0,0,0,1,0,0,,,
Hugh Coflin,22,CBH,D,31,0,3,3,33,0,0,0,0,3,0,0,,,
Bill Kyle,26,NYR,C,1,0,3,3,0,0,0,0,0,3,0,0,,,
Phil Maloney,23,2TM,C,14,3,0,3,2,3,0,0,0,0,0,0,,,
Phil Maloney,23,BOS,C,13,2,0,2,2,2,0,0,0,0,0,0,,,
Phil Maloney,23,TOR,C,1,1,0,1,0,1,0,0,0,0,0,0,,,
James Bedard,23,CBH,D,17,1,1,2,6,1,0,0,0,1,0,0,,,
Jean Béliveau,19,MTL,C,2,1,1,2,0,1,0,0,0,1,0,0,,,
Bert Hirschfeld,21,MTL,LW,20,0,2,2,0,0,0,0,0,2,0,0,,,
Edward Leier,23,CBH,C,11,2,0,2,2,2,0,0,0,0,0,0,,,
Ed Reigle,26,BOS,D,17,0,2,2,25,0,0,0,0,2,0,0,,,
Jack Stewart,33,CBH,D,26,0,2,2,49,0,0,0,0,2,0,0,,,
Ed Harrison,23,2TM,LW,13,2,0,2,2,1,1,0,1,0,0,0,,,
Ed Harrison,23,BOS,LW,8,1,0,1,2,1,0,0,1,0,0,0,,,
Ed Harrison,23,NYR,LW,5,1,0,1,0,0,1,0,0,0,0,0,,,
Gerard Desaulniers,22,MTL,C,3,0,1,1,2,0,0,0,0,1,0,0,,,
Jack Evans,22,NYR,D,49,1,0,1,95,1,0,0,0,0,0,0,,,
Jack Gordon,22,NYR,C,4,0,1,1,0,0,0,0,0,1,0,0,,,
Bob Hassard,21,TOR,C,12,0,1,1,0,0,0,0,0,1,0,0,,,
Vic Howe,21,NYR,RW,3,1,0,1,0,1,0,0,0,0,0,0,,,
Fred Hucul,19,CBH,D,3,1,0,1,2,0,0,1,0,0,0,0,,,
Lou Jankowski,19,DET,C,1,0,1,1,0,0,0,0,0,1,0,0,,,
Frank King,21,MTL,C,10,1,0,1,2,1,0,0,0,0,0,0,,,
Jack Lancien,27,NYR,D,19,0,1,1,8,0,0,0,0,1,0,0,,,
Claude Robert,22,MTL,LW,23,1,0,1,9,1,0,0,0,0,0,0,,,
Red Almas,26,CBH,G,1,0,0,0,0,,,,,0,,,60:00,,
Bob Armstrong,19,BOS,D,2,0,0,0,2,0,0,0,0,0,0,0,,,
Andy Barbe,27,TOR,RW,1,0,0,0,2,0,0,0,0,0,0,0,,,
Dusty Blair,21,TOR,C,2,0,0,0,0,0,0,0,0,0,0,0,,,
Turk Broda,36,TOR,G,31,0,0,0,4,,,,,0,,,1833:10,,
Fred Burchell,20,MTL,C,2,0,0,0,0,0,0,0,0,0,0,0,,,
Bobby Copp,32,TOR,D,2,0,0,0,2,0,0,0,0,0,0,0,,,
Hugh Currie,25,MTL,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Alex Delvecchio,18,DET,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Lulu Denis,22,MTL,RW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Guyle Fielder,20,CBH,C,3,0,0,0,0,0,0,0,0,0,0,0,,,
Emile Francis,24,NYR,G,5,0,0,0,0,,,,,0,,,260:00,,
Dick Gamble,22,MTL,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Jack Gelineau,26,BOS,G,70,0,0,0,4,,,,,0,,,4199:17,,
Red Hamill,34,CBH,LW,2,0,0,0,0,0,0,0,0,0,0,0,,,
Dick Kotanen,25,NYR,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Stephen Kraftcheck,21,BOS,D,21,0,0,0,8,0,0,0,0,0,0,0,,,
Harry Lumley,24,CBH,G,64,0,0,0,4,,,,,0,,,3784:48,,ASG
Tom Manastersky,21,MTL,D,6,0,0,0,11,0,0,0,0,0,0,0,,,
Gerry McNeil,24,MTL,G,70,0,0,0,0,,,,,0,,,4200:00,,ASG
John Michaluk,22,CBH,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Jack Miller,25,CBH,C,11,0,0,0,4,0,0,0,0,0,0,0,,,
Marcel Pelletier,23,CBH,G,6,0,0,0,2,,,,,0,,,355:12,,
Gerry Plamondon,26,MTL,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Chuck Rayner,30,NYR,G,66,0,0,0,6,,,,,0,,,3940:00,,"ASG,ASnhl-2"
Ernie Roche,20,MTL,D,4,0,0,0,2,0,0,0,0,0,0,0,,,
Al Rollins,24,TOR,G,40,0,0,0,0,,,,,0,,,2366:50,,"Hart-8,Calder-2,Vezina-1"
Terry Sawchuk,21,DET,G,70,0,0,0,2,,,,,0,,,4200:00,,"ASG,ASnhl-1,Calder-1"
Glen Smith,19,CBH,RW,2,0,0,0,0,0,0,0,0,0,0,0,,,
Dollard St. Laurent,21,MTL,D,3,0,0,0,0,0,0,0,0,0,0,0,,,
Benny Woit,23,DET,D,2,0,0,0,2,0,0,0,0,0,0,0,,,
Robert Wood,20,NYR,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Bill Wylie,22,NYR,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
League Average,,,,,,,,,,,,,,,,,,
