Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Gordie Howe,22,DET,RW,70,43,43,86,74,38,5,0,9,32,11,0,,,"ASG,ASnhl-1,Hart-3,Ross-1"
Maurice Richard,29,MTL,RW,65,42,24,66,97,31,9,2,8,19,5,0,,,"ASG,ASnhl-2,Hart-2"
Max Bentley,30,TOR,C,67,21,41,62,34,14,7,0,3,19,22,0,,,ASG
Sid Abel,32,DET,C,69,23,38,61,30,17,6,0,4,33,4,1,,,"ASG,ASnhl-2"
Ted Kennedy,25,TOR,C,63,18,43,61,32,9,8,1,4,28,14,1,,,"ASG,ASnhl-2,Hart-5"
Milt Schmidt,32,BOS,C,62,22,39,61,33,19,3,0,5,29,10,0,,,"ASG,ASnhl-1,Hart-1"
Ted Lindsay,25,DET,LW,67,24,35,59,110,21,2,1,5,29,6,0,,,"ASG,ASnhl-1"
Tod Sloan,23,TOR,RW,70,31,25,56,105,21,10,0,3,16,9,0,,,ASG
Red Kelly,23,DET,D,70,17,37,54,24,13,4,0,3,27,10,0,,,"ASG,ASnhl-1,Byng-1,Hart-3"
Cal Gardner,26,TOR,C,66,23,28,51,42,21,2,0,7,25,3,0,,,
Sid Smith,25,TOR,LW,70,30,21,51,10,18,12,0,7,18,3,0,,,"ASG,ASnhl-2"
Roy Conacher,34,CBH,LW,70,26,24,50,14,23,3,0,2,21,3,0,,,"Byng-5,Hart-8"
Elmer Lach,33,MTL,C,65,21,24,45,48,16,4,1,3,17,7,0,,,
Woody Dumart,34,BOS,LW,70,20,21,41,7,17,3,0,2,18,3,0,,,Byng-2
Bert Olmstead,24,2TM,RW,54,18,23,41,50,13,5,0,2,19,4,0,,,Hart-6
Bert Olmstead,24,CBH,RW,15,2,1,3,0,2,0,0,1,1,0,0,,,
Bert Olmstead,24,MTL,RW,39,16,22,38,50,11,5,0,1,18,4,0,,,
