Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Bobby Orr,21,BOS,D,76,33,87,120,54,125,18,11,4,3,46,40,1,413,8.0,,,"ASG,ASnhl-1,Hart-1,Ross-1,Norris-1"
Phil Esposito,27,BOS,C,76,43,56,99,26,50,24,18,1,5,29,26,1,405,10.6,,,"ASG,ASnhl-1,Hart-6"
Stan Mikita,29,CBH,C,76,39,47,86,27,50,32,7,0,8,25,19,3,352,11.1,,,"ASnhl-2,Hart-4"
Phil Goyette,36,STL,C,72,29,49,78,3,16,16,13,0,5,21,28,0,152,19.1,,,"Byng-1,Hart-8"
Walt Tkaczuk,22,NYR,C,76,27,50,77,27,38,22,5,0,2,42,8,0,203,13.3,,,ASG
Jean Ratelle,29,NYR,C,75,32,42,74,7,28,22,10,0,6,29,13,0,198,16.2,,,"ASG,Byng-5"
Red Berenson,30,STL,C,67,33,39,72,-3,38,17,16,0,8,15,23,1,282,11.7,,,"ASG,Hart-3"
J.P. Parisé,28,MNS,LW,74,24,48,72,-4,72,17,6,1,1,37,10,1,168,14.3,,,ASG
Gordie Howe,41,DET,RW,76,31,40,71,23,58,16,11,4,5,28,12,0,268,11.6,,,"ASG,ASnhl-1,Hart-6"
Dave Balon,31,NYR,LW,76,33,37,70,40,100,27,5,1,4,31,5,1,202,16.3,,,
Frank Mahovlich,32,DET,LW,74,38,32,70,14,59,23,14,1,5,20,12,0,251,15.1,,,"ASG,ASnhl-2"
John McKenzie,32,BOS,RW,72,29,41,70,20,122,19,9,1,6,18,23,0,196,14.8,,,"ASG,ASnhl-2"
Johnny Bucyk,34,BOS,LW,76,31,38,69,19,13,17,14,0,6,21,17,0,190,16.3,,,"ASG,Byng-2"
Alex Delvecchio,37,DET,C,73,21,47,68,26,24,17,4,0,3,27,17,3,218,9.6,,,
Bobby Hull,31,CBH,LW,61,38,29,67,20,8,26,10,2,8,18,11,0,289,13.1,,,"ASG,ASnhl-1,Byng-4"
Tommy Williams,29,MNS,C,75,15,52,67,-19,18,13,2,0,0,35,17,0,165,9.1,,,
Garry Unger,22,DET,C,76,42,24,66,24,67,30,12,0,4,19,4,1,234,17.9,,,
Bill Goldsworthy,25,MNS,RW,75,36,29,65,-12,89,25,11,0,4,22,7,0,230,15.7,,,ASG
Yvan Cournoyer,26,MTL,RW,72,27,36,63,1,23,17,10,0,4,19,17,0,233,11.6,,,
Pit Martin,26,CBH,C,73,30,33,63,21,61,25,5,0,1,24,9,0,160,18.8,,,Hart-10
Dave Keon,29,TOR,C,72,32,30,62,-15,6,21,9,2,4,15,15,0,284,11.3,,,"ASG,Byng-3"
Jacques Lemaire,24,MTL,LW,69,32,28,60,17,16,20,12,0,5,23,5,0,237,13.5,,,ASG
Norm Ullman,34,TOR,C,74,18,42,60,19,37,12,5,1,0,35,7,0,207,8.7,,,
Wayne Connelly,30,DET,RW,76,23,36,59,24,10,18,5,0,5,20,16,0,242,9.5,,,
Frank St. Marseille,30,STL,RW,74,16,43,59,-4,18,13,3,0,1,24,19,0,166,9.6,,,ASG
André Lacroix,24,PHI,C,74,22,36,58,-7,14,16,6,0,4,21,15,0,175,12.6,,,
Bobby Rousseau,29,MTL,RW,72,24,34,58,2,30,17,5,2,4,21,12,1,228,10.5,,,
Fred Stanfield,25,BOS,C,73,23,35,58,7,14,10,13,0,3,19,16,0,254,9.1,,,
Danny Grant,23,MNS,LW,76,29,28,57,-12,23,15,14,0,2,13,15,0,247,11.7,,,ASG
Bill Fairbairn,23,NYR,RW,76,23,33,56,23,23,20,3,0,5,29,4,0,153,15.0,,,Calder-2
Gary Dornhoefer,26,PHI,RW,65,26,29,55,1,96,20,4,2,1,24,5,0,146,17.8,,,
Ab McDonald,33,STL,LW,64,25,30,55,12,8,14,11,0,4,19,11,0,170,14.7,,,ASG
Mike Walton,25,TOR,RW,58,21,34,55,-11,68,14,7,0,6,18,16,0,242,8.7,,,
