Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Mario Lemieux,31,PIT,C,76,50,72,122,27,65,32,15,3,7,47,22,3,327,15.3,,,"ASG,ASnhl-1,ASnhl-5,Byng-11,Hart-3,Ross-1,Selke-17"
Teemu Selänne,26,MDA,RW,78,51,58,109,28,34,39,11,1,8,37,21,0,273,18.7,,,"ASG,ASnhl-1,Byng-2,Hart-5"
Paul Kariya,22,MDA,LW,69,44,55,99,36,6,26,15,3,10,35,19,1,340,12.9,,,"ASG,ASnhl-1,Byng-1,Hart-2"
Wayne Gretzky,36,NYR,C,82,25,72,97,12,28,19,6,0,2,46,25,1,286,8.7,,,"ASG,ASnhl-2,Byng-5,Hart-15"
John LeClair,27,PHI,LW,82,50,47,97,44,58,40,10,0,5,41,6,0,324,15.4,,,"ASG,ASnhl-2,ASnhl-6,Hart-6,Selke-12"
Jaromír Jágr,24,PIT,RW,63,47,48,95,22,40,34,11,2,6,33,14,1,234,20.1,,,"ASnhl-2,Hart-13"
Mats Sundin,25,TOR,C,82,41,53,94,6,59,30,7,4,8,37,13,3,281,14.6,,,"ASG,ASnhl-6,Hart-18"
Ron Francis,33,PIT,C,81,27,63,90,7,20,16,10,1,2,38,24,1,183,14.8,,,"ASnhl-8,Byng-4,Selke-8"
Žigmund Pálffy,24,NYI,RW,80,48,42,90,21,43,38,6,4,6,25,15,2,292,16.4,,,"ASnhl-3,Hart-12"
Brendan Shanahan,28,2TM,LW,81,47,41,88,32,131,24,20,3,7,24,15,2,336,14.0,,,"ASG,ASnhl-4,Hart-19"
Brendan Shanahan,28,HAR,LW,2,1,0,1,1,0,0,0,1,0,0,0,0,13,7.7,,,
Brendan Shanahan,28,DET,LW,79,46,41,87,31,131,24,20,2,7,24,15,2,323,14.2,,,
Peter Forsberg,23,COL,C,65,28,58,86,31,73,19,5,4,4,34,21,3,188,14.9,,,"ASnhl-3,Hart-11,Selke-2"
Keith Tkachuk,24,PHX,LW,81,52,34,86,-1,228,41,9,2,7,24,10,0,296,17.6,,,"ASG,ASnhl-3,Hart-10"
Steve Yzerman,31,DET,LW,81,22,63,85,22,78,14,8,0,3,43,18,2,232,9.5,,,"ASG,Selke-16"
Pierre Turgeon,27,2TM,C,78,26,59,85,8,14,21,5,0,7,37,22,0,216,12.0,,,"ASnhl-8,Byng-7"
Pierre Turgeon,27,MTL,C,9,1,10,11,4,2,1,0,0,0,6,4,0,22,4.5,,,
Pierre Turgeon,27,STL,C,69,25,49,74,4,12,20,5,0,7,31,18,0,194,12.9,,,
Mark Messier,36,NYR,C,71,36,48,84,12,88,24,7,5,9,31,11,6,227,15.9,,,"ASG,Byng-15,Selke-17"
Mike Modano,26,DAL,C,80,35,48,83,43,42,21,9,5,9,38,8,2,291,12.0,,,"ASnhl-4,Hart-7,Selke-4"
Brett Hull,32,STL,RW,77,42,40,82,-9,10,28,12,2,6,26,14,0,302,13.9,,,"ASG,Byng-6"
Doug Weight,26,EDM,C,80,21,61,82,1,80,17,4,0,2,26,35,0,235,8.9,,,
Adam Oates,34,2TM,C,80,22,60,82,-5,14,17,3,2,5,40,16,4,160,13.8,,,"ASG,Byng-3,Selke-20"
Adam Oates,34,BOS,C,63,18,52,70,-3,10,14,2,2,4,32,16,4,138,13.0,,,
Adam Oates,34,WSH,C,17,4,8,12,-2,4,3,1,0,1,8,0,0,22,18.2,,,
Doug Gilmour,33,2TM,C,81,22,60,82,2,68,17,4,1,1,42,18,0,143,15.4,,,"Hart-19,Selke-14"
Doug Gilmour,33,TOR,C,61,15,45,60,-5,46,12,2,1,1,30,15,0,103,14.6,,,
Doug Gilmour,33,NJD,C,20,7,15,22,7,22,5,2,0,0,12,3,0,40,17.5,,,
Vincent Damphousse,29,MTL,C,82,27,54,81,-6,82,18,7,2,3,37,14,3,244,11.1,,,
Mark Recchi,28,MTL,RW,82,34,46,80,-1,58,25,7,2,3,32,13,1,202,16.8,,,"ASG,ASnhl-7"
Eric Lindros,23,PHI,C,52,32,47,79,31,136,23,9,0,7,33,14,0,198,16.2,,,"ASG,ASnhl-5,Hart-9,Selke-15"
Brian Leetch,28,NYR,D,82,20,58,78,31,40,11,9,0,2,35,21,2,256,7.8,,,"ASG,ASnhl-1,Byng-9,Hart-16,Norris-1"
Tony Amonte,26,CHI,RW,81,41,36,77,35,64,30,9,2,4,29,6,1,266,15.4,,,"ASG,ASnhl-4,Hart-17"
Peter Bondra,28,WSH,RW,77,46,31,77,7,72,32,10,4,3,21,10,0,314,14.6,,,"ASG,ASnhl-5"
Jozef Stümpel,24,BOS,C,78,21,55,76,-22,14,15,6,0,1,37,18,0,168,12.5,,,
Alexei Yashin,23,OTT,C,82,35,40,75,-7,44,25,10,0,5,22,17,1,291,12.0,,,
Joe Sakic,27,COL,C,65,22,52,74,-10,34,10,10,2,5,25,26,1,261,8.4,,,"ASnhl-7,Byng-7,Hart-14"
Alexander Mogilny,27,VAN,LW,76,31,42,73,9,18,23,7,1,4,32,9,1,174,17.8,,,
Daniel Alfredsson,24,OTT,RW,76,24,47,71,5,30,12,11,1,1,25,20,2,247,9.7,,,ASG
Petr Nedvěd,25,PIT,C,74,33,38,71,-2,66,18,12,3,4,24,14,0,189,17.5,,,
Jeremy Roenick,27,PHX,RW,72,29,40,69,-7,115,16,10,3,7,26,11,3,228,12.7,,,
