Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Dickie Moore,28,MTL,LW,70,41,55,96,61,27,13,1,7,40,15,0,,,"ASG,ASnhl-1,Hart-5,Ross-1"
Jean Béliveau,27,MTL,C,64,45,46,91,69,32,13,0,7,28,17,1,,,"ASG,ASnhl-1,Hart-3"
Andy Bathgate,26,NYR,RW,70,40,48,88,48,30,9,1,3,28,20,0,,,"ASG,ASnhl-1,Byng-5,Hart-1"
Gordie Howe,30,DET,RW,70,32,46,78,57,24,8,0,5,25,20,1,,,"ASG,ASnhl-2,Hart-2"
Ed Litzenberger,26,CBH,RW,70,33,44,77,37,27,6,0,6,29,15,0,,,ASG
Bernie Geoffrion,27,MTL,RW,59,22,44,66,30,15,7,0,3,25,19,0,,,ASG
Red Sullivan,29,NYR,C,70,21,42,63,54,13,7,1,3,24,18,0,,,ASG
Andy Hebenton,29,NYR,RW,70,33,29,62,8,17,15,1,2,23,6,0,,,Byng-2
Don McKenney,24,BOS,C,70,32,30,62,20,26,5,1,6,19,11,0,,,"ASG,Byng-4"
Tod Sloan,31,CBH,C,59,27,35,62,89,16,11,0,4,21,14,0,,,
Johnny Bucyk,23,BOS,LW,69,24,36,60,36,22,2,0,6,25,11,0,,,
Vic Stasiuk,29,BOS,RW,70,27,33,60,63,20,7,0,5,31,2,0,,,
Camille Henry,26,NYR,C,70,23,35,58,2,13,10,0,3,14,21,0,,,Byng-3
Ted Lindsay,33,CBH,LW,70,22,36,58,184,14,8,0,2,28,8,0,,,
Norm Ullman,23,DET,C,69,22,36,58,42,17,5,0,5,30,5,1,,,
Alex Delvecchio,26,DET,LW,70,19,35,54,6,12,5,2,3,24,10,1,,,"ASG,ASnhl-2,Byng-1"
Dick Duff,22,TOR,LW,69,29,24,53,71,24,4,1,5,18,6,0,,,
Billy Harris,23,TOR,C,70,22,30,52,29,18,4,0,3,24,5,1,,,
Bill Gadsby,31,NYR,D,70,5,46,51,56,3,1,1,0,23,20,3,,,"ASG,ASnhl-1,Norris-2"
Henri Richard,22,MTL,C,63,21,30,51,33,19,2,0,1,23,7,0,,,"ASG,ASnhl-2"
Bobby Hull,20,CBH,LW,70,18,32,50,52,15,2,1,5,26,6,0,,,
Dean Prentice,26,NYR,LW,70,17,33,50,11,12,5,0,2,30,3,0,,,
Frank Mahovlich,21,TOR,LW,63,22,27,49,94,16,6,0,3,17,10,0,,,ASG
Ron Murphy,25,CBH,LW,59,17,30,47,52,15,2,0,2,22,8,0,,,
Jerry Toppazzini,27,BOS,RW,70,21,23,44,61,19,2,0,3,13,8,2,,,ASG
Marcel Bonin,26,MTL,LW,57,13,30,43,38,11,2,0,3,26,4,0,,,ASG
Bert Olmstead,32,TOR,LW,70,10,31,41,74,6,3,1,0,25,5,1,,,ASG
Ralph Backstrom,21,MTL,C,64,18,22,40,17,17,1,0,2,21,1,0,,,"ASG,Calder-1"
Fleming Mackell,29,BOS,C,57,17,23,40,28,8,6,3,2,17,6,0,,,
Bronco Horvath,28,BOS,C,45,19,20,39,58,12,7,0,5,17,3,0,,,
Tom Johnson,30,MTL,D,70,10,29,39,76,5,4,1,2,20,9,0,,,"ASG,ASnhl-1,Norris-1"
Claude Provost,25,MTL,RW,69,16,22,38,37,15,0,1,4,21,1,0,,,ASG
Maurice Richard,37,MTL,RW,42,17,21,38,27,13,4,0,2,12,9,0,,,ASG
Pierre Pilote,27,CBH,D,70,7,30,37,79,3,4,0,2,13,17,0,,,
Bob Pulford,22,TOR,C,70,23,14,37,55,15,3,5,5,14,0,0,,,
George Armstrong,28,TOR,RW,59,20,16,36,37,16,3,1,3,13,2,1,,,ASG
Ab McDonald,22,MTL,LW,69,13,23,36,35,11,2,0,1,21,2,0,,,"ASG,Calder-3"
Larry Regan,28,2TM,RW,68,9,27,36,12,7,2,0,0,22,4,1,,,
Larry Regan,28,BOS,RW,36,5,6,11,10,4,1,0,0,6,0,0,,,
Larry Regan,28,TOR,RW,32,4,21,25,2,3,1,0,0,16,4,1,,,
Eric Nesterenko,25,CBH,RW,70,16,18,34,81,11,4,1,1,16,1,1,,,
Larry Popein,28,NYR,C,61,13,21,34,28,11,2,0,1,21,0,0,,,
Ron Stewart,26,TOR,RW,70,21,13,34,23,14,6,1,2,10,1,2,,,
Leo Labine,27,BOS,RW,70,9,23,32,74,8,1,0,0,21,2,0,,,
Don Marshall,26,MTL,C,70,10,22,32,12,7,3,0,2,16,4,2,,,ASG
Marcel Pronovost,28,DET,D,69,11,21,32,44,10,1,0,0,16,2,3,,,"ASG,ASnhl-2,Norris-3"
