Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Bernie Geoffrion,23,MTL,RW,70,38,37,75,57,25,13,0,8,18,19,0,,,"ASG,ASnhl-2,Ross-1"
Maurice Richard,33,MTL,RW,67,38,36,74,125,27,11,0,5,23,13,0,,,"ASG,ASnhl-1,Hart-3"
Jean Béliveau,23,MTL,C,70,37,36,73,58,23,14,0,7,24,12,0,,,"ASG,ASnhl-1,Byng-4,Hart-4"
Dutch Reibel,24,DET,C,70,25,41,66,15,17,8,0,6,24,16,1,,,ASG
Gordie Howe,26,DET,RW,64,29,33,62,68,20,7,2,5,22,11,0,,,ASG
Red Sullivan,25,CBH,C,70,19,42,61,51,10,9,0,1,28,14,0,,,ASG
Bert Olmstead,28,MTL,LW,70,10,48,58,103,6,4,0,3,30,18,0,,,
Ken Mosdell,32,MTL,C,70,22,32,54,82,19,3,0,0,26,4,2,,,"ASG,ASnhl-2"
Sid Smith,29,TOR,LW,70,33,21,54,12,22,11,0,5,13,8,0,,,"ASG,ASnhl-1,Byng-1"
Danny Lewicki,23,NYR,LW,70,29,24,53,8,25,4,0,6,15,9,0,,,"ASG,ASnhl-2,Byng-2"
Ted Kennedy,29,TOR,C,70,10,42,52,74,5,5,0,0,30,11,1,,,Hart-1
Ed Litzenberger,22,2TM,RW,73,23,28,51,40,18,5,0,3,18,10,0,,,"ASG,Calder-1"
Ed Litzenberger,22,MTL,RW,29,7,4,11,12,6,1,0,2,4,0,0,,,
Ed Litzenberger,22,CBH,RW,44,16,24,40,28,12,4,0,1,14,10,0,,,
Doug Harvey,30,MTL,D,70,6,43,49,58,3,3,0,1,18,25,0,,,"ASG,ASnhl-1,Hart-5,Norris-1"
Alex Delvecchio,22,DET,C,70,17,31,48,37,14,3,0,3,19,12,0,,,ASG
Red Kelly,27,DET,D,70,15,30,45,28,6,6,3,3,21,7,2,,,"ASG,ASnhl-1,Byng-3,Norris-2"
Nick Mickoski,27,2TM,LW,70,10,33,43,48,6,4,0,2,21,12,0,,,
Nick Mickoski,27,NYR,LW,18,1,14,15,6,1,0,0,0,8,6,0,,,
Nick Mickoski,27,CBH,LW,52,9,19,28,42,5,4,0,2,13,6,0,,,
Leo Labine,23,BOS,RW,67,24,18,42,75,16,8,0,4,12,6,0,,,ASG
Don McKenney,20,BOS,C,69,22,20,42,32,15,7,0,2,16,4,0,,,Calder-2
Andy Bathgate,22,NYR,RW,70,20,20,40,37,12,8,0,1,14,6,0,,,
Real Chevrefils,22,BOS,LW,64,18,22,40,30,13,5,0,0,15,7,0,,,ASG
Don Raleigh,28,NYR,C,69,8,32,40,19,5,3,0,0,24,8,0,,,Byng-4
Cal Gardner,30,BOS,C,70,16,22,38,40,13,3,0,3,16,6,0,,,
Ted Lindsay,29,DET,LW,49,19,19,38,85,12,7,0,8,14,5,0,,,ASG
Marcel Bonin,22,DET,LW,69,16,20,36,53,14,2,0,2,18,2,0,,,
Dickie Moore,24,MTL,LW,67,16,20,36,32,15,1,0,6,17,3,0,,,
Calum MacKay,28,MTL,LW,50,14,21,35,39,12,2,0,3,19,2,0,,,
Fleming Mackell,25,BOS,RW,60,11,24,35,76,10,1,0,2,15,8,1,,,
Lorne Ferguson,24,BOS,LW,69,20,14,34,24,15,5,0,3,13,1,0,,,
Marcel Pronovost,24,DET,D,70,9,25,34,88,8,1,0,2,19,5,1,,,ASG
Ed Sandford,26,BOS,LW,61,14,20,34,38,14,0,0,3,17,3,0,,,ASG
Jackie Leclair,25,MTL,C,59,11,22,33,12,9,2,0,2,21,1,0,,,
Doug Mohns,21,BOS,LW,70,14,18,32,82,12,2,0,3,12,6,0,,,
Harry Watson,31,2TM,LW,51,15,17,32,4,12,3,0,1,8,9,0,,,ASG
Harry Watson,31,TOR,LW,8,1,1,2,0,0,1,0,0,0,1,0,,,
Harry Watson,31,CBH,LW,43,14,16,30,4,12,2,0,1,8,8,0,,,
Dean Prentice,22,NYR,LW,70,16,15,31,20,15,1,0,2,9,6,0,,,
Ron Murphy,21,NYR,LW,66,14,16,30,36,11,3,0,0,14,2,0,,,
Eric Nesterenko,21,TOR,RW,62,15,15,30,99,11,2,2,3,12,3,0,,,
Marty Pavelich,27,DET,LW,70,15,15,30,59,14,0,1,3,12,2,1,,,ASG
Glen Skov,24,DET,C,70,14,16,30,53,13,1,0,3,14,2,0,,,
Jack McIntyre,24,CBH,LW,65,16,13,29,40,11,5,0,1,11,2,0,,,
Metro Prystai,27,2TM,C,69,13,16,29,37,9,3,1,0,8,8,0,,,
Metro Prystai,27,DET,C,13,2,3,5,9,1,1,0,0,1,2,0,,,
Metro Prystai,27,CBH,C,56,11,13,24,28,8,2,1,0,7,6,0,,,
George Armstrong,24,TOR,RW,66,10,18,28,80,6,4,0,0,14,4,0,,,
Larry Popein,24,NYR,C,70,11,17,28,27,11,0,0,0,13,4,0,,,Calder-4
Tod Sloan,27,TOR,C,63,13,15,28,89,12,1,0,1,4,10,1,,,
Tony Leswick,31,DET,RW,70,10,17,27,137,9,0,1,1,15,1,1,,,
Bill Mosienko,33,CBH,RW,64,12,15,27,24,9,3,0,1,14,1,0,,,
Jerry Toppazzini,23,CBH,RW,70,9,18,27,59,6,1,2,1,14,3,1,,,ASG
Johnny Wilson,25,DET,LW,70,12,15,27,14,7,5,0,2,8,7,0,,,
Allan Stanley,28,2TM,D,64,10,16,26,24,8,2,0,0,10,6,0,,,ASG
Allan Stanley,28,NYR,D,12,0,2,2,2,0,0,0,0,2,0,0,,,
Allan Stanley,28,CBH,D,52,10,14,24,22,8,2,0,0,8,6,0,,,
Tom Johnson,26,MTL,D,70,6,19,25,74,5,0,1,1,16,3,0,,,
Rudy Migay,26,TOR,C,67,8,16,24,66,6,0,2,3,14,2,0,,,
Bill Gadsby,27,2TM,D,70,11,13,24,61,8,2,1,2,9,4,0,,,
Bill Gadsby,27,CBH,D,18,3,6,9,19,2,0,1,1,4,2,0,,,
Bill Gadsby,27,NYR,D,52,8,7,15,42,6,2,0,1,5,2,0,,,
Larry Wilson,24,CBH,C,63,12,11,23,37,9,3,0,0,9,2,0,,,
Pete Conacher,22,2TM,LW,70,12,11,23,12,12,0,0,2,6,5,0,,,
Pete Conacher,22,CBH,LW,18,2,4,6,2,2,0,0,0,1,3,0,,,
Pete Conacher,22,NYR,LW,52,10,7,17,10,10,0,0,2,5,2,0,,,
Bill Quackenbush,32,BOS,D,68,2,20,22,8,2,0,0,0,14,6,0,,,
Hugh Bolton,25,TOR,D,69,2,19,21,55,1,1,0,2,11,7,1,,,Norris-5
Floyd Curry,29,MTL,RW,68,11,10,21,34,6,2,3,3,10,0,0,,,
Bill Dineen,22,DET,RW,69,10,9,19,36,7,3,0,3,8,1,0,,,ASG
Vic Stasiuk,25,DET,RW,59,8,11,19,67,5,3,0,1,8,3,0,,,
Ron Stewart,22,TOR,RW,53,14,5,19,20,12,1,1,3,3,0,2,,,ASG
Butch Bouchard,35,MTL,D,70,2,16,18,83,2,0,0,0,15,0,1,,,
Fern Flaman,28,BOS,D,70,4,14,18,150,3,1,0,1,12,2,0,,,"ASG,ASnhl-2,Norris-3"
Warren Godfrey,23,BOS,D,64,1,17,18,60,1,0,0,0,16,1,0,,,ASG
Leo Boivin,22,2TM,D,66,6,11,17,113,4,2,0,0,10,1,0,,,
Leo Boivin,22,TOR,D,7,0,0,0,8,0,0,0,0,0,0,0,,,
Leo Boivin,22,BOS,D,59,6,11,17,105,4,2,0,0,10,1,0,,,
Bob Goldham,32,DET,D,69,1,16,17,14,1,0,0,0,15,1,0,,,"ASG,ASnhl-2,Norris-4"
Hal Laycoe,32,BOS,D,70,4,13,17,32,4,0,0,2,11,1,1,,,
Jim Morrison,23,TOR,D,70,5,12,17,84,4,0,1,1,9,3,0,,,ASG
Dollard St. Laurent,25,MTL,D,58,3,14,17,24,3,0,0,0,14,0,0,,,
Dave Creighton,24,2TM,C,63,9,8,17,14,8,1,0,3,6,2,0,,,
Dave Creighton,24,TOR,C,14,2,1,3,8,1,1,0,1,0,1,0,,,
Dave Creighton,24,CBH,C,49,7,7,14,6,7,0,0,2,6,1,0,,,
Harry Howell,22,NYR,D,70,2,14,16,87,0,2,0,1,9,5,0,,,
Joe Klukay,32,2TM,RW,66,8,8,16,48,8,0,0,1,8,0,0,,,
Joe Klukay,32,BOS,RW,10,0,0,0,4,0,0,0,0,0,0,0,,,
Joe Klukay,32,TOR,LW,56,8,8,16,44,8,0,0,1,8,0,0,,,
Jimmy Thomson,27,TOR,D,70,4,12,16,63,3,0,1,1,12,0,0,,,
Bob Chrystal,24,NYR,D,68,6,9,15,68,4,2,0,1,5,3,1,,,
Murray Costello,20,BOS,RW,54,4,11,15,25,3,1,0,0,10,1,0,,,
Paul Ronty,26,2TM,C,59,4,11,15,10,1,3,0,1,9,2,0,,,
Paul Ronty,26,NYR,C,54,4,11,15,10,1,3,0,1,9,2,0,,,
Paul Ronty,26,MTL,C,5,0,0,0,0,0,0,0,0,0,0,0,,,
Tim Horton,25,TOR,D,66,5,9,14,84,5,0,0,1,8,1,0,,,
Edgar Laprade,35,NYR,C,60,3,11,14,0,2,1,0,1,9,1,1,,,
Ivan Irwin,27,NYR,D,60,0,13,13,85,0,0,0,0,13,0,0,,,
Gus Mortson,30,CBH,D,65,2,11,13,133,2,0,0,0,11,0,0,,,
Gord Hollingworth,21,CBH,D,70,3,9,12,135,2,1,0,0,9,0,0,,,"ASG,Calder-5"
Frank Martin,21,CBH,D,66,4,8,12,35,4,0,0,0,6,2,0,,,ASG
John McCormack,29,CBH,C,63,5,7,12,8,4,0,1,1,7,0,0,,,
Milt Schmidt,36,BOS,C,23,4,8,12,26,3,1,0,0,5,3,0,,,
Parker MacDonald,21,TOR,LW,62,8,3,11,36,8,0,0,0,3,0,0,,,
Bud MacPherson,27,MTL,D,30,1,8,9,55,1,0,0,0,8,0,0,,,
Gus Bodnar,31,BOS,C,67,4,4,8,14,1,0,3,0,3,1,0,,,
Brian Cullen,21,TOR,C,27,3,5,8,6,2,1,0,0,2,3,0,,,
Don Marshall,22,MTL,LW,39,5,3,8,9,5,0,0,0,2,0,1,,,
Aldo Guidolin,22,NYR,RW,70,2,5,7,34,0,0,2,0,4,1,0,,,
Camille Henry,22,NYR,C,21,5,2,7,2,0,5,0,1,1,1,0,,,
Bob Bailey,23,TOR,RW,32,4,2,6,52,2,2,0,1,2,0,0,,,
Larry Cahan,21,TOR,D,58,0,6,6,64,0,0,0,0,5,1,0,,,
Wally Hergesheimer,28,NYR,RW,14,4,2,6,4,3,1,0,0,1,1,0,,,
Vic Howe,25,NYR,RW,29,2,4,6,10,2,0,0,0,4,0,0,,,
Eddie Mazur,25,MTL,LW,25,1,5,6,21,1,0,0,0,5,0,0,,,
Bob Solinger,29,TOR,LW,17,1,5,6,11,1,0,0,1,5,0,0,,,
Lorne Davis,24,2TM,RW,30,0,5,5,6,0,0,0,0,5,0,0,,,
Lorne Davis,24,CBH,RW,8,0,0,0,4,0,0,0,0,0,0,0,,,
Lorne Davis,24,DET,RW,22,0,5,5,2,0,0,0,0,5,0,0,,,
Jack Evans,26,NYR,D,47,0,5,5,91,0,0,0,0,5,0,0,,,
Lou Jankowski,23,CBH,RW,40,3,2,5,8,3,0,0,0,2,0,0,,,
Willie Marshall,23,TOR,C,16,1,4,5,0,1,0,0,0,4,0,0,,,
Benny Woit,27,DET,D,62,2,3,5,22,2,0,0,0,3,0,0,,,
Bob Armstrong,23,BOS,D,57,1,3,4,38,0,1,0,0,3,0,0,,,
Bill Ezinicki,30,NYR,RW,16,2,2,4,22,2,0,0,0,1,1,0,,,
Lou Fontinato,23,NYR,D,28,2,2,4,60,1,1,0,0,2,0,0,,,
Paul Meger,25,MTL,LW,13,0,4,4,6,0,0,0,0,4,0,0,,,
Dick Gamble,26,CBH,LW,14,2,0,2,6,1,1,0,1,0,0,0,,,
Gord Hannigan,26,TOR,C,13,0,2,2,8,0,0,0,0,2,0,0,,,
Bill McCreary,20,NYR,LW,8,0,2,2,0,0,0,0,0,1,1,0,,,
Jackie McLeod,24,NYR,RW,11,1,1,2,2,1,0,0,0,1,0,0,,,
Ray Timgren,26,2TM,LW,15,1,1,2,4,1,0,0,0,0,0,1,,,
Ray Timgren,26,CBH,LW,14,1,1,2,2,1,0,0,0,0,0,1,,,
Ray Timgren,26,TOR,LW,1,0,0,0,2,0,0,0,0,0,0,0,,,
Paul Masnick,23,2TM,C,18,1,0,2,8,1,0,0,0,1,0,0,,,
Paul Masnick,23,CBH,C,14,1,0,1,8,1,0,0,0,0,0,0,,,
Paul Masnick,23,MTL,C,4,0,0,1,0,0,0,0,0,1,0,0,,,
Al Dewsbury,28,CBH,D,12,0,1,1,10,0,0,0,0,1,0,0,,,
Lee Fogolin,28,CBH,D,9,0,1,1,16,0,0,0,0,1,0,0,,,
Jim Hay,23,DET,D,21,0,1,1,20,0,0,0,0,0,1,0,,,
Guy Rousseau,20,MTL,LW,2,0,1,1,0,0,0,0,0,1,0,0,,,
Terry Sawchuk,25,DET,G,68,0,1,1,10,,,,,1,,,4040:00,,"ASG,ASnhl-2,Vezina-1"
Floyd Smith,19,BOS,RW,3,0,1,1,0,0,0,0,0,1,0,0,,,
Jean-Guy Talbot,22,MTL,D,3,0,1,1,0,0,0,0,0,1,0,0,,,
