Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Keith Allen,31,DET,D,18,0,0,0,4,0,0,0,0,0,0,0,,,
Jim Bartlett,22,MTL,LW,2,0,0,0,4,0,0,0,0,0,0,0,,,
Hank Bassen,22,CBH,G,21,0,0,0,0,,,,,0,,,1260:00,,
Andre Binette,21,MTL,G,1,0,0,0,0,,,,,0,,,60:00,,
Garry Blaine,21,MTL,RW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Dick Bouchard,20,NYR,RW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Johnny Bower,30,NYR,G,5,0,0,0,0,,,,,0,,,300:00,,
Jack Caffery,20,TOR,C,3,0,0,0,0,0,0,0,0,0,0,0,,,
Norm Corcoran,23,BOS,C,2,0,0,0,2,0,0,0,0,0,0,0,,,ASG
Dick Duff,18,TOR,LW,3,0,0,0,2,0,0,0,0,0,0,0,,,
Claude Evans,21,MTL,G,4,0,0,0,0,,,,,0,,,200:00,,
Gerry Foley,22,TOR,RW,4,0,0,0,8,0,0,0,0,0,0,0,,,
Ray Frederick,25,CBH,G,5,0,0,0,0,,,,,0,,,300:00,,
Glenn Hall,23,DET,G,2,0,0,0,0,,,,,0,,,120:00,,ASG
Bob Hassard,25,CBH,C,17,0,0,0,4,0,0,0,0,0,0,0,,,
John Henderson,21,BOS,G,45,0,0,0,0,,,,,0,,,2658:17,,
Jim Henry,34,BOS,G,27,0,0,0,0,,,,,0,,,1541:43,,
Ike Hildebrand,27,CBH,RW,3,0,0,0,0,0,0,0,0,0,0,0,,,
Larry Hillman,17,DET,D,6,0,0,0,2,0,0,0,0,0,0,0,,,ASG
Charlie Hodge,21,MTL,G,14,0,0,0,0,,,,,0,,,819:00,,
Ron Howell,19,NYR,LW,2,0,0,0,0,0,0,0,0,0,0,0,,,
Gerry James,20,TOR,RW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Paul Knox,21,TOR,RW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Jean-Paul Lamirande,30,MTL,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Harry Lumley,28,TOR,G,69,0,0,0,9,,,,,0,,,4137:00,,"ASG,ASnhl-1,Hart-2"
Gilles Mayer,24,TOR,G,1,0,0,0,0,,,,,0,,,60:00,,
Jacques Plante,26,MTL,G,52,0,0,0,2,,,,,0,,,3079:00,,Calder-3
Don Poile,22,DET,C,4,0,0,0,0,0,0,0,0,0,0,0,,,
Marc Reaume,20,TOR,D,1,0,0,0,4,0,0,0,0,0,0,0,,,
Dave Reid,21,TOR,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Al Rollins,28,CBH,G,44,0,0,0,0,,,,,0,,,2640:00,,
Glen Sonmor,25,NYR,LW,13,0,0,0,4,0,0,0,0,0,0,0,,,
Frank Sullivan,25,CBH,D,1,0,0,0,0,0,0,0,0,0,0,0,,,
Skip Teal,21,BOS,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Orval Tessier,21,MTL,C,4,0,0,0,0,0,0,0,0,0,0,0,,,
Gump Worsley,25,NYR,G,65,0,0,0,4,,,,,0,,,3898:05,,
Ed Zeniuk,21,DET,D,2,0,0,0,0,0,0,0,0,0,0,0,,,
League Average,,,,,,,,,,,,,,,,,,
