Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Wayne Gretzky,22,EDM,C,80,71,125,196,61,59,47,18,6,9,85,36,4,348,20.4,,,"ASG,ASnhl-1,Byng-5,Hart-1,Ross-1,Pearson-1"
Peter Šťastný,26,QUE,C,75,47,77,124,29,78,42,5,0,4,48,28,1,201,23.4,,,"ASG,ASnhl-3,Byng-10,Hart-7"
Denis Savard,21,CBH,C,78,35,86,121,26,99,22,13,0,4,53,33,0,212,16.5,,,"ASG,ASnhl-2,Byng-8,Hart-3"
Mike Bossy,26,NYI,RW,79,60,58,118,27,20,41,19,0,7,37,21,0,274,21.9,,,"ASG,ASnhl-1,Byng-1,Hart-10,Selke-24"
Marcel Dionne,31,LAK,C,80,56,51,107,10,22,38,17,1,7,30,20,1,346,16.2,,,"ASG,ASnhl-5,Byng-4"
Barry Pederson,21,BOS,C,77,46,61,107,37,47,30,15,1,10,36,24,1,213,21.6,,,"ASG,ASnhl-4,Selke-11"
Mark Messier,22,EDM,LW,77,48,58,106,18,72,35,12,1,2,34,20,4,237,20.3,,,"ASG,ASnhl-1"
Michel Goulet,22,QUE,LW,80,57,48,105,30,51,43,10,4,4,38,8,2,256,22.3,,,"ASG,ASnhl-2"
Glenn Anderson,22,EDM,RW,72,48,56,104,40,70,37,11,0,10,37,18,1,243,19.8,,,ASnhl-4
Jari Kurri,22,EDM,RW,80,45,59,104,48,22,34,10,1,3,47,10,2,218,20.6,,,"ASG,ASnhl-5,ASnhl-7,Byng-6,Selke-2"
Kent Nilsson,26,CGY,C,80,46,58,104,3,10,26,16,4,6,38,19,1,217,21.2,,,Byng-3
Lanny McDonald,29,CGY,RW,80,66,32,98,-1,90,49,17,0,8,16,16,0,275,24.0,,,"ASG,ASnhl-2,Hart-8"
Paul Coffey,21,EDM,D,80,29,67,96,52,87,19,9,1,2,38,27,2,260,11.2,,,"ASG,ASnhl-4,Norris-5"
Rick Middleton,29,BOS,RW,80,49,47,96,31,8,40,6,3,7,35,12,0,212,23.1,,,"ASnhl-3,Byng-2,Selke-9"
Anton Šťastný,23,QUE,LW,79,32,60,92,26,25,22,10,0,7,48,12,0,166,19.3,,,Byng-17
Dale Hawerchuk,19,WIN,C,79,40,51,91,-17,31,27,13,0,3,31,20,0,297,13.5,,,
Ron Francis,19,HAR,C,79,31,59,90,-26,60,25,4,2,4,37,21,1,210,14.8,,,"ASG,Byng-17"
Steve Larmer,21,CBH,RW,80,43,47,90,44,28,30,13,0,9,27,20,0,195,22.1,,,"ASnhl-7,AR-1,Calder-1"
Bryan Trottier,26,NYI,C,80,34,55,89,36,68,21,13,0,5,41,14,0,179,19.0,,,"ASG,Selke-13"
Stan Smyl,25,VAN,RW,74,38,50,88,-9,114,22,15,1,2,34,16,0,213,17.8,,,"ASnhl-7,Selke-10"
Thomas Gradin,26,VAN,C,80,32,54,86,-17,61,18,12,2,4,37,16,1,175,18.3,,,Selke-16
Al Secord,24,CBH,LW,80,54,32,86,35,180,34,20,0,6,28,4,0,240,22.5,,,"ASG,ASnhl-3,Selke-30"
Bobby Clarke,33,PHI,C,80,23,62,85,37,115,16,6,1,2,47,11,4,164,14.0,,,"ASnhl-6,Hart-6,Selke-1"
John Ogrodnick,23,DET,LW,80,41,44,85,11,30,36,5,0,2,34,10,0,254,16.1,,,"ASnhl-8,Selke-30"
Bernie Federko,26,STL,C,75,24,60,84,-9,24,15,9,0,1,39,21,0,184,13.0,,,
Darryl Sittler,32,PHI,C,80,43,40,83,17,60,33,10,0,8,31,9,0,231,18.6,,,ASG
Brian Propp,23,PHI,LW,80,40,42,82,34,72,26,13,1,12,31,8,3,250,16.0,,,ASnhl-12
Dennis Maruk,27,WSH,C,80,31,50,81,-22,71,19,12,0,2,36,14,0,185,16.8,,,
Darcy Rota,29,VAN,LW,73,42,39,81,13,88,33,9,0,5,28,11,0,173,24.3,,,"ASnhl-5,Selke-30"
John Anderson,25,TOR,LW,80,31,49,80,-7,24,21,10,0,6,28,20,1,199,15.6,,,
Charlie Simmer,28,LAK,LW,80,29,51,80,0,51,17,11,1,1,36,15,0,182,15.9,,,
Marián Šťastný,30,QUE,RW,60,36,43,79,19,32,23,13,0,3,32,11,0,169,21.3,,,ASG
Rick Vaive,23,TOR,RW,78,51,28,79,-13,105,30,18,3,8,15,12,1,296,17.2,,,"ASG,ASnhl-6"
Neal Broten,23,MNS,C,79,32,45,77,25,43,22,8,2,4,31,12,2,163,19.6,,,"ASG,Byng-14,Selke-18"
Bobby Smith,24,MNS,C,77,24,53,77,-20,81,12,12,0,3,29,24,0,193,12.4,,,
Mike Gartner,23,WSH,RW,73,38,38,76,-3,54,27,10,1,3,25,13,0,269,14.1,,,ASnhl-7
Guy Lafleur,31,MTL,RW,68,27,49,76,5,12,18,9,0,1,36,13,0,176,15.3,,,
Paul MacLean,24,WIN,RW,80,32,44,76,-5,121,17,15,0,2,25,19,0,164,19.5,,,
Tom McCarthy,22,MNS,LW,80,28,48,76,19,59,23,4,1,4,29,18,1,171,16.4,,,ASG
Gilbert Perreault,32,BUF,C,77,30,46,76,-9,34,20,8,2,5,32,13,1,192,15.6,,,
Mike Rogers,28,NYR,C,71,29,47,76,-10,28,17,7,5,5,24,21,2,200,14.5,,,Byng-17
Blaine Stoughton,29,HAR,RW,72,45,31,76,-23,27,35,10,0,8,24,7,0,207,21.7,,,
Brian Sutter,26,STL,LW,79,46,30,76,-3,254,35,11,0,4,19,11,0,202,22.8,,,"ASG,ASnhl-4,Hart-10,Selke-16"
Dino Ciccarelli,22,MNS,RW,77,37,38,75,15,94,23,14,0,4,25,13,0,210,17.6,,,ASG
Ken Linseman,24,EDM,C,72,33,42,75,15,181,19,10,4,3,32,10,0,141,23.4,,,
Mark Pavelich,24,NYR,C,78,37,38,75,19,52,25,10,2,6,28,10,0,154,24.0,,,"Byng-14,Hart-10,Selke-24"
Paul Reinhart,23,CGY,D,78,17,58,75,2,28,12,5,0,1,29,29,0,153,11.1,,,"ASnhl-10,Norris-7"
Ryan Walter,24,MTL,LW,80,29,46,75,15,40,20,8,1,4,35,11,0,169,17.2,,,"ASG,ASnhl-9,Selke-24"
Dave Babych,21,WIN,D,79,13,61,74,-8,56,6,7,0,1,28,33,0,252,5.2,,,"ASG,ASnhl-9"
Keith Crowder,24,BOS,RW,74,35,39,74,22,105,25,10,0,5,27,12,0,158,22.2,,,
Reed Larson,26,DET,D,80,22,52,74,-9,104,14,7,1,1,39,13,0,273,8.1,,,ASnhl-24
Peter McNab,30,BOS,C,74,22,52,74,16,23,16,6,0,2,30,22,0,159,13.8,,,Byng-17
Ray Bourque,22,BOS,D,65,22,51,73,49,20,15,7,0,5,27,22,2,205,10.7,,,"ASG,ASnhl-3,Byng-16,Norris-3"
Tony McKegney,24,BUF,LW,78,36,37,73,1,18,26,10,0,2,28,9,0,178,20.2,,,ASnhl-11
Jörgen Pettersson,26,STL,LW,74,35,38,73,-10,4,25,7,3,4,25,13,0,201,17.4,,,Byng-11
Guy Chouinard,26,CGY,C,80,13,59,72,-23,18,6,7,0,2,25,34,0,158,8.2,,,
Mats Näslund,23,MTL,LW,74,26,45,71,35,10,25,1,0,6,34,11,0,122,21.3,,,"ASnhl-10,AR-1,Byng-9,Calder-6"
John Tonelli,25,NYI,LW,76,31,40,71,30,55,22,8,1,4,31,9,0,171,18.1,,,"ASnhl-6,Hart-10,Selke-8"
Bobby Carpenter,19,WSH,LW,80,32,37,69,0,64,18,14,0,4,22,15,0,197,16.2,,,
Mark Johnson,25,HAR,LW,73,31,38,69,-5,28,23,5,3,4,27,11,0,167,18.6,,,Selke-29
Don Maloney,24,NYR,LW,78,29,40,69,-5,88,14,14,1,2,30,8,2,133,21.8,,,ASG
Steve Payne,24,MNS,LW,80,30,39,69,-9,53,15,14,1,2,24,15,0,201,14.9,,,
