Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Bernie Geoffrion,29,MTL,RW,64,50,45,95,3,27,34,16,0,12,23,22,0,316,15.8,,,"ASG,ASnhl-1,Byng-5,Hart-1,Ross-1"
Jean Béliveau,29,MTL,C,69,32,58,90,10,57,19,13,0,11,38,20,0,324,9.9,,,ASnhl-1
Frank Mahovlich,23,TOR,C,70,48,36,84,23,131,41,7,0,10,23,13,0,223,21.5,,,"ASG,ASnhl-1,Hart-4"
Andy Bathgate,28,NYR,RW,70,29,48,77,-12,22,22,6,1,1,31,17,0,304,9.5,,,ASG
Gordie Howe,32,DET,RW,64,23,49,72,-5,30,15,6,2,4,31,17,1,357,6.4,,,"ASG,ASnhl-2,Hart-3"
Red Kelly,33,TOR,C,64,20,50,70,19,12,16,3,1,0,36,11,3,212,9.4,,,Byng-1
Norm Ullman,25,DET,C,70,28,42,70,13,34,23,5,0,5,32,7,3,205,13.7,,,"ASG,Byng-2"
Dickie Moore,30,MTL,LW,57,35,34,69,11,62,22,13,0,2,22,12,0,188,18.6,,,ASnhl-2
Henri Richard,24,MTL,C,70,24,44,68,18,91,20,4,0,4,32,12,0,274,8.8,,,"ASG,ASnhl-2"
Alex Delvecchio,28,DET,C,70,27,35,62,0,26,20,5,2,3,28,6,1,268,10.1,,,ASG
Bill Hay,25,CBH,C,69,11,48,59,0,45,7,4,0,0,31,17,0,183,6.0,,,ASG
Bob Nevin,22,TOR,RW,68,21,37,58,26,13,15,5,1,5,31,6,0,143,14.7,,,Calder-2
Bobby Hull,22,CBH,LW,67,31,25,56,5,43,26,5,0,5,17,8,0,309,10.0,,,ASG
Andy Hebenton,31,NYR,RW,70,26,28,54,-20,10,16,8,2,1,19,9,0,176,14.8,,,Byng-3
Camille Henry,28,NYR,C,53,28,25,53,-10,8,20,8,0,4,16,9,0,120,23.3,,,
Stan Mikita,20,CBH,RW,68,19,34,53,27,94,15,4,0,5,26,8,0,205,9.3,,,
Vic Stasiuk,31,2TM,LW,69,15,38,53,-8,49,9,6,0,1,27,11,0,158,9.5,,,
Vic Stasiuk,31,BOS,LW,46,5,25,30,-6,33,3,2,0,0,20,5,0,94,5.3,,,
Vic Stasiuk,31,DET,LW,23,10,13,23,-2,16,6,4,0,1,7,6,0,64,15.6,,,
Bert Olmstead,34,TOR,LW,67,18,34,52,4,84,9,9,0,3,22,12,0,178,10.1,,,
Marcel Bonin,28,MTL,W,65,16,35,51,10,43,11,5,0,3,28,7,0,124,12.9,,,
Jerry Toppazzini,29,BOS,RW,67,15,35,50,-5,35,13,0,2,1,26,5,4,189,7.9,0:33,,
Don McKenney,26,BOS,C,68,26,23,49,-22,20,21,4,1,2,17,6,0,165,15.8,,,"ASG,Byng-4"
Murray Balfour,24,CBH,RW,70,21,27,48,6,123,14,7,0,2,24,3,0,168,12.5,,,
Bill Hicke,22,MTL,RW,70,18,27,45,14,29,15,3,0,2,21,6,0,151,11.9,,,
Dave Keon,20,TOR,C,70,20,25,45,12,6,17,2,1,3,23,2,0,206,9.7,,,Calder-1
Dean Prentice,28,NYR,LW,56,20,25,45,0,17,17,3,0,4,22,2,1,191,10.5,,,ASG
Kenny Wharram,27,CBH,RW,64,16,29,45,30,12,13,3,0,4,26,3,0,136,11.8,,,ASG
Charlie Burns,24,BOS,C,62,15,26,41,-19,16,11,0,4,2,24,1,1,182,8.2,,,
Ron Murphy,27,CBH,LW,70,21,19,40,-4,30,18,3,0,1,15,4,0,203,10.3,,,ASG
Red Sullivan,31,NYR,C,70,9,31,40,-5,64,6,3,0,1,22,7,2,151,6.0,,,
Johnny Bucyk,25,BOS,LW,70,19,20,39,-31,48,15,3,1,3,14,6,0,173,11.0,,,
Billy Harris,25,TOR,C,66,12,27,39,20,26,12,0,0,1,22,5,0,131,9.2,,,
Doug Harvey,36,MTL,D,58,6,33,39,16,48,5,1,0,0,16,16,1,63,9.5,,,"ASG,ASnhl-1,Norris-1"
Murray Oliver,23,2TM,C,70,17,22,39,-21,16,12,5,0,2,17,5,0,201,8.5,,,
