Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Sidney Crosby,26,PIT,C,80,36,68,104,18,46,25,11,0,5,41,27,0,259,13.9,421,1757:47,21:58,991,896,52.5,28,47,41,56,"ASnhl-1,Hart-1,Ross-1,Selke-18,Pearson-1"
Ryan Getzlaf,28,ANA,C,77,31,56,87,28,31,26,5,0,7,38,18,0,204,15.2,373,1638:58,21:17,692,719,49.0,87,110,53,76,"ASnhl-2,Hart-2,Selke-10"
Claude Giroux,26,PHI,C,82,28,58,86,7,46,21,7,0,7,28,30,0,223,12.6,436,1675:38,20:26,931,829,52.9,46,90,43,34,"ASnhl-3,Hart-3"
Tyler Seguin,22,DAL,C,80,37,47,84,16,18,26,11,0,8,33,14,0,294,12.6,517,1547:49,19:21,280,395,41.5,24,47,66,59,"ASnhl-5,Byng-4,Hart-6"
Corey Perry,28,ANA,RW,81,43,39,82,32,65,35,8,0,9,29,10,0,280,15.4,492,1577:59,19:29,9,16,36.0,28,81,31,56,"ASnhl-1,Hart-13"
Taylor Hall,22,EDM,LW,75,27,53,80,-15,44,20,7,0,1,42,10,1,250,10.8,427,1501:02,20:01,37,44,45.7,41,54,76,100,ASnhl-4
Phil Kessel,26,TOR,RW,82,37,43,80,-5,27,29,8,0,6,31,12,0,305,12.1,556,1694:37,20:40,2,12,14.3,30,25,37,88,ASnhl-3
Nicklas Bäckström,26,WSH,C,82,18,61,79,-20,54,11,6,1,1,23,38,0,196,9.2,336,1623:46,19:48,714,701,50.5,54,89,54,24,
Jamie Benn,24,DAL,C,81,34,45,79,21,64,28,5,1,3,29,14,2,279,12.2,512,1551:20,19:09,402,359,52.8,59,116,69,67,"ASnhl-1,Hart-12"
Alex Ovechkin,28,WSH,LW,78,51,28,79,-35,48,27,24,0,10,12,15,1,386,13.2,766,1602:32,20:33,2,1,66.7,22,204,32,48,"ASnhl-2,Hart-23,Richard-1"
Joe Pavelski,29,SJS,C,82,41,38,79,23,32,24,16,1,3,22,15,1,225,18.2,462,1627:43,19:51,675,531,56.0,68,47,56,57,"ASnhl-2,Hart-7,Selke-8"
Patrick Sharp,32,CHI,LW,82,34,44,78,13,40,24,10,0,3,29,15,0,313,10.9,567,1548:42,18:53,83,69,54.6,27,55,41,25,"ASnhl-3,Hart-20"
Joe Thornton,34,SJS,C,82,11,65,76,20,32,9,2,0,3,47,17,1,122,9.0,226,1552:21,18:56,617,482,56.1,34,54,76,96,"ASnhl-9,Hart-22"
Erik Karlsson,23,OTT,D,82,20,54,74,-15,36,15,5,0,1,28,26,0,257,7.8,589,2219:53,27:04,0,0,,101,122,68,115,"ASnhl-7,Norris-7"
Evgeni Malkin,27,PIT,C,60,23,49,72,10,62,16,7,0,3,26,23,0,191,12.0,340,1203:45,20:04,303,318,48.8,18,27,37,58,
Matt Duchene,23,COL,C,71,23,47,70,8,19,18,5,0,6,35,12,0,217,10.6,374,1313:16,18:30,532,526,50.3,44,53,40,36,"Byng-8,Hart-17"
Anže Kopitar,26,LAK,C,82,29,41,70,34,24,19,10,0,9,28,13,0,200,14.5,340,1712:45,20:53,773,678,53.3,44,90,52,41,"ASnhl-6,Byng-10,Hart-8,Selke-2"
Patrick Marleau,34,SJS,LW,82,33,37,70,0,18,20,11,2,4,25,12,0,285,11.6,482,1682:48,20:31,163,145,52.9,29,85,50,65,"ASnhl-7,Byng-3,Hart-23"
Patrick Kane,25,CHI,RW,69,29,40,69,7,22,19,10,0,6,25,15,0,227,12.8,402,1353:06,19:37,4,4,50.0,15,16,44,23,"ASnhl-4,ASnhl-14,Byng-14"
David Krejčí,27,BOS,C,80,19,50,69,39,28,16,3,0,6,34,16,0,169,11.2,286,1529:40,19:07,618,590,51.2,56,75,45,48,"ASnhl-8,Byng-11,Selke-12"
Kyle Okposo,25,NYI,RW,71,27,42,69,-9,51,22,5,0,4,32,10,0,195,13.8,381,1450:46,20:26,97,107,47.5,35,43,44,39,ASnhl-11
Blake Wheeler,27,WPG,RW,82,28,41,69,4,63,20,8,0,4,30,11,0,225,12.4,408,1532:28,18:41,15,25,37.5,68,150,36,32,ASnhl-10
Martin St. Louis,38,2TM,RW,81,30,39,69,13,10,20,9,1,5,26,12,1,204,14.7,370,1696:11,20:56,68,99,40.7,38,24,65,53,"ASnhl-5,Byng-2"
Martin St. Louis,38,TBL,RW,62,29,32,61,12,6,20,9,0,5,22,9,1,167,17.4,297,1344:49,21:41,67,93,41.9,22,15,51,42,
Martin St. Louis,38,NYR,RW,19,1,7,8,1,4,0,0,1,0,4,3,0,37,2.7,73,351:22,18:30,1,6,14.3,16,9,14,11,
Chris Kunitz,34,PIT,LW,78,35,33,68,25,66,22,13,0,8,24,9,0,218,16.1,355,1494:16,19:09,3,1,75.0,25,157,24,45,ASnhl-8
Jonathan Toews,25,CHI,C,76,28,40,68,26,34,20,5,3,5,28,10,2,193,14.5,284,1555:28,20:28,884,660,57.3,20,29,51,30,"ASnhl-7,Hart-9,Selke-3"
Thomas Vanek,30,3TM,LW,78,27,41,68,7,46,19,8,0,4,31,10,0,248,10.9,424,1509:23,19:21,20,26,43.5,17,30,31,50,ASnhl-10
Thomas Vanek,30,BUF,LW,13,4,5,9,-5,4,3,1,0,0,2,3,0,50,8.0,67,241:56,18:37,2,3,40.0,4,3,6,8,
Thomas Vanek,30,NYI,LW,47,17,27,44,4,34,12,5,0,2,20,7,0,137,12.4,250,940:09,20:00,1,0,100.0,10,17,16,37,
Thomas Vanek,30,MTL,LW,18,6,9,15,8,8,4,2,0,2,9,0,0,61,9.8,107,327:18,18:11,17,23,42.5,3,10,9,5,
Jaromír Jágr,41,NJD,RW,82,24,43,67,16,46,19,5,0,6,31,12,0,231,10.4,385,1570:59,19:10,0,2,0.0,9,4,36,59,"ASnhl-5,Byng-17,Hart-23"
Jason Spezza,30,OTT,C,75,23,43,66,-26,46,14,9,0,5,30,13,0,223,10.3,392,1365:47,18:13,775,661,54.0,26,17,47,68,
John Tavares,23,NYI,C,59,24,42,66,-6,40,16,8,0,4,25,17,0,188,12.8,334,1253:16,21:15,554,575,49.1,19,23,55,56,Hart-18
Jordan Eberle,23,EDM,RW,80,28,37,65,-11,18,20,7,1,4,24,13,0,200,14.0,360,1563:47,19:33,8,13,38.1,40,51,61,71,Byng-15
Gabriel Landeskog,21,COL,LW,81,26,39,65,21,71,21,5,0,4,34,5,0,222,11.7,384,1512:49,18:41,13,5,72.2,52,176,64,35,ASnhl-9
Bryan Little,26,WPG,RW,82,23,41,64,8,58,13,8,2,1,32,7,2,170,13.5,291,1640:18,20:00,785,868,47.5,38,84,38,31,
Ryan O'Reilly,22,COL,C,80,28,36,64,-1,2,19,9,0,6,23,13,0,201,13.9,320,1585:38,19:49,192,179,51.8,43,22,83,33,"ASnhl-11,Byng-1,Selke-6"
Ryan Johansen,21,CBJ,C,82,33,30,63,3,43,26,7,0,5,17,13,0,237,13.9,390,1447:01,17:39,682,611,52.7,37,114,39,40,
Nathan MacKinnon,18,COL,C,82,24,39,63,20,26,16,8,0,5,30,9,0,241,10.0,388,1422:13,17:21,194,258,42.9,45,57,51,28,"AR-1,Calder-1"
Patrice Bergeron,28,BOS,C,80,30,32,62,38,43,22,7,1,7,25,4,3,243,12.3,430,1439:18,17:59,1015,717,58.6,57,52,49,28,"ASnhl-4,Byng-13,Hart-5,Selke-1"
Alexander Steen,29,STL,LW,68,33,29,62,17,46,25,7,1,9,17,10,2,211,15.6,443,1379:08,20:17,265,276,49.0,28,43,42,12,"ASnhl-6,Hart-18,Selke-15"
Jakub Voráček,24,PHI,RW,82,23,39,62,11,22,15,8,0,2,24,15,0,235,9.8,444,1414:55,17:15,4,2,66.7,20,19,33,30,
Jarome Iginla,36,BOS,RW,78,30,31,61,34,47,26,4,0,8,21,10,0,209,14.4,395,1420:50,18:13,8,29,21.6,27,142,30,29,ASnhl-7
Duncan Keith,30,CHI,D,79,6,55,61,22,28,3,3,0,3,36,18,1,198,3.0,428,1947:20,24:39,0,0,,89,36,48,70,"ASnhl-1,Byng-19,Hart-15,Norris-1"
James Neal,26,PIT,LW,59,27,34,61,15,55,16,11,0,4,19,15,0,238,11.3,427,1088:30,18:27,5,13,27.8,23,58,31,22,
Eric Staal,29,CAR,C,79,21,40,61,-13,74,18,1,2,0,27,11,2,230,9.1,403,1602:42,20:17,754,676,52.7,28,67,77,61,
James van Riemsdyk,24,TOR,LW,80,30,31,61,-9,50,19,9,2,3,23,6,2,279,10.8,402,1684:30,21:03,46,67,40.7,29,118,36,41,
Marián Hossa,35,CHI,RW,72,30,30,60,28,20,23,4,3,4,20,9,1,241,12.4,408,1315:37,18:16,1,2,33.3,26,43,75,26,"ASnhl-11,Selke-5"
T.J. Oshie,27,STL,RW,79,21,39,60,19,42,14,5,2,5,28,10,1,152,13.8,272,1499:45,18:59,28,38,42.4,54,77,62,21,ASnhl-9
Max Pacioretty,25,MTL,LW,73,39,21,60,8,35,28,10,1,11,14,7,0,270,14.4,464,1349:52,18:29,6,4,60.0,33,69,28,18,ASnhl-5
Jason Pominville,31,MIN,RW,82,30,30,60,3,16,23,7,0,5,20,10,0,226,13.3,395,1524:23,18:35,87,72,54.7,31,23,37,24,"ASnhl-8,Byng-12"
Wayne Simmonds,25,PHI,RW,82,29,31,60,-4,106,14,15,0,4,22,9,0,209,13.9,335,1375:10,16:46,1,1,50.0,35,132,36,27,
Paul Stastny,28,COL,C,71,25,35,60,9,22,21,4,0,4,23,11,1,150,16.7,240,1305:51,18:24,655,555,54.1,46,54,35,20,Selke-16
Milan Lucic,25,BOS,LW,80,24,35,59,30,91,21,3,0,5,26,9,0,153,15.7,279,1390:03,17:23,61,70,46.6,22,240,33,71,ASnhl-11
Ondřej Palát,22,TBL,LW,81,23,36,59,32,20,18,3,2,3,26,8,2,165,13.9,287,1460:48,18:02,5,32,13.5,64,146,47,38,"AR-1,Calder-2,Selke-11"
Mats Zuccarello,26,NYR,LW,77,19,40,59,11,32,14,4,1,4,27,13,0,170,11.2,294,1319:45,17:08,3,5,37.5,41,116,44,38,
Valtteri Filppula,29,TBL,C,75,25,33,58,5,20,19,6,0,2,19,14,0,131,19.1,208,1498:30,19:59,693,633,52.3,33,33,53,28,
Frans Nielsen,29,NYI,C,80,25,33,58,-11,8,18,5,2,0,17,15,1,167,15.0,282,1467:00,18:20,534,550,49.3,47,39,50,35,"Byng-5,Selke-17"
Kyle Turris,24,OTT,C,82,26,32,58,22,39,18,6,2,5,23,8,1,215,12.1,389,1535:47,18:44,724,705,50.7,33,45,51,39,
David Backes,29,STL,C,74,27,30,57,14,119,17,10,0,5,24,6,0,165,16.4,275,1446:33,19:33,621,580,51.7,56,273,32,22,"ASnhl-9,ASnhl-11,Selke-4"
Jussi Jokinen,30,PIT,LW,81,21,36,57,12,18,15,6,0,4,21,15,0,172,12.2,297,1271:46,15:42,160,139,53.5,31,34,22,47,
David Perron,25,EDM,LW,78,28,29,57,-16,90,19,8,1,2,24,5,0,220,12.7,383,1491:48,19:08,13,26,33.3,20,116,52,42,
Derek Stepan,23,NYR,C,82,17,40,57,12,18,12,5,0,2,24,13,3,199,8.5,356,1480:37,18:03,683,829,45.2,46,30,50,37,
Dustin Byfuglien,28,WPG,D,78,20,36,56,-20,86,12,8,0,1,18,18,0,256,7.8,489,1800:42,23:05,0,2,0.0,80,213,68,72,
Ryan Nugent-Hopkins,20,EDM,C,80,19,37,56,-12,26,13,6,0,4,23,14,0,178,10.7,307,1631:30,20:24,543,737,42.4,35,72,63,50,
Zach Parise,29,MIN,LW,67,29,27,56,10,30,14,14,1,5,21,6,0,245,11.8,378,1368:33,20:26,10,14,41.7,45,70,46,18,ASnhl-11
Jaden Schwartz,21,STL,LW,80,25,31,56,28,27,17,5,3,1,26,5,0,188,13.3,302,1402:14,17:32,44,34,56.4,32,54,66,15,
Shea Weber,28,NSH,D,79,23,33,56,-2,52,11,12,0,4,19,14,0,195,11.8,401,2125:22,26:54,0,0,,173,169,35,50,"ASnhl-3,Hart-21,Norris-3"
Victor Hedman,23,TBL,D,75,13,42,55,5,53,10,3,0,2,25,11,6,170,7.6,342,1682:49,22:26,0,0,,101,86,34,44,"ASnhl-9,Norris-9"
Clarke MacArthur,28,OTT,LW,79,24,31,55,12,78,15,8,1,5,22,7,2,159,15.1,266,1393:03,17:38,15,17,46.9,20,108,33,37,
