Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Logan Couture,24,SJS,C,65,23,31,54,21,20,17,4,2,6,20,8,2,233,9.9,400,1230:55,18:56,479,471,50.4,68,16,39,43,
Jiří Hudler,30,CGY,C,75,17,37,54,4,16,15,2,0,1,26,11,0,109,15.6,204,1413:22,18:51,4,18,18.2,15,35,29,39,
Mikko Koivu,30,MIN,C,65,11,43,54,0,24,9,2,0,4,25,16,2,147,7.5,288,1360:41,20:56,719,592,54.8,32,33,49,27,
Andrew Ladd,28,WPG,LW,78,23,31,54,8,57,19,4,0,2,21,8,2,189,12.2,348,1538:37,19:44,24,38,38.7,42,154,37,44,
Jeff Skinner,21,CAR,LW,71,33,21,54,-14,22,22,11,0,6,12,9,0,274,12.0,474,1220:46,17:12,23,28,45.1,8,22,48,43,ASnhl-9
Patrik Eliáš,37,NJD,LW,65,18,35,53,-4,30,12,4,2,1,18,13,4,116,15.5,193,1162:10,17:53,276,401,40.8,19,26,26,32,
Patric Hörnqvist,27,NSH,RW,76,22,31,53,1,28,15,7,0,6,21,10,0,248,8.9,384,1281:15,16:52,0,6,0.0,34,77,53,13,
Brad Marchand,25,BOS,LW,82,25,28,53,36,64,19,1,5,5,27,1,0,149,16.8,247,1307:44,15:57,6,17,26.1,23,73,46,51,
P.K. Subban,24,MTL,D,82,10,43,53,-4,81,6,4,0,1,24,19,0,204,4.9,457,2018:32,24:37,0,0,,125,135,26,83,"ASnhl-13,Norris-14"
Keith Yandle,27,PHX,D,82,8,45,53,-23,63,5,3,0,2,17,28,0,241,3.3,521,1979:59,24:09,0,0,,105,22,31,65,
David Desharnais,27,MTL,C,79,16,36,52,11,24,13,3,0,2,24,12,0,96,16.7,158,1358:53,17:12,611,591,50.8,35,23,34,22,
Scott Hartnell,31,PHI,LW,78,20,32,52,11,103,11,9,0,3,21,11,0,207,9.7,354,1316:43,16:53,4,14,22.2,39,155,19,35,
Craig Smith,24,NSH,C,79,24,28,52,16,22,17,7,0,4,25,3,0,215,11.2,386,1295:33,16:24,3,16,15.8,21,54,50,49,
Mikkel Bødker,24,PHX,LW,82,19,32,51,-9,20,14,5,0,1,21,11,0,166,11.4,284,1428:05,17:25,3,4,42.9,16,105,33,18,
Alex Pietrangelo,24,STL,D,81,8,43,51,20,32,6,2,0,1,26,16,1,164,4.9,421,2054:05,25:22,0,0,,164,24,37,34,"ASnhl-4,Norris-5"
Brad Richards,33,NYR,C,82,20,31,51,-8,18,15,5,0,2,17,14,0,259,7.7,513,1531:05,18:40,512,517,49.8,43,24,33,46,
Reilly Smith,22,BOS,RW,82,20,31,51,28,14,14,6,0,3,23,8,0,146,13.7,244,1205:55,14:42,0,2,0.0,14,63,35,41,
Radim Vrbata,32,PHX,RW,80,20,31,51,-6,22,10,10,0,2,20,11,0,263,7.6,475,1436:33,17:57,17,26,39.5,27,68,41,20,
James Wisniewski,29,CBJ,D,75,7,44,51,0,61,4,3,0,1,19,25,0,166,4.2,346,1696:38,22:37,0,0,,73,100,18,37,
David Legwand,33,2TM,C,83,14,37,51,-17,61,8,6,0,4,24,13,0,146,9.6,220,1409:07,16:59,585,571,50.6,38,49,37,42,
David Legwand,33,NSH,C,62,10,30,40,-8,30,6,4,0,2,18,12,0,107,9.3,161,1067:25,17:13,454,434,51.1,29,30,31,37,
David Legwand,33,DET,C,21,4,7,11,-9,31,2,2,0,2,6,1,0,39,10.3,59,341:42,16:16,131,137,48.9,9,19,6,5,
Matt Moulson,30,3TM,LW,75,23,28,51,2,34,14,9,0,5,18,10,0,176,13.1,291,1347:43,17:58,2,7,22.2,43,46,32,14,
Matt Moulson,30,NYI,LW,11,6,3,9,3,6,1,5,0,0,1,2,0,28,21.4,44,194:11,17:39,0,3,0.0,9,4,6,1,
Matt Moulson,30,BUF,LW,44,11,18,29,-8,20,8,3,0,2,12,6,0,105,10.5,180,824:26,18:44,1,3,25.0,27,32,22,11,
Matt Moulson,30,MIN,LW,20,6,7,13,7,8,5,1,0,3,5,2,0,43,14.0,67,329:06,16:27,1,1,50.0,7,10,4,2,
Jeff Carter,29,LAK,C,72,27,23,50,8,44,18,8,1,5,17,6,0,256,10.5,461,1364:31,18:57,336,308,52.2,29,68,32,59,
Brandon Dubinsky,27,CBJ,C,76,16,34,50,5,98,10,4,2,2,26,6,2,189,8.5,339,1426:57,18:47,578,512,53.0,37,234,32,19,Selke-20
Tyler Johnson,23,TBL,C,82,24,26,50,23,26,14,5,5,4,20,5,1,181,13.3,313,1540:20,18:47,614,661,48.2,37,55,23,41,"AR-1,Calder-3,Selke-19"
Nazem Kadri,23,TOR,C,78,20,30,50,-11,67,13,7,0,2,19,11,0,148,13.5,310,1356:27,17:23,510,617,45.3,34,141,44,57,
Henrik Sedin,33,VAN,C,70,11,39,50,3,42,7,4,0,1,25,14,0,97,11.3,177,1447:04,20:40,574,523,52.3,19,43,22,36,
Daniel Alfredsson,41,DET,RW,68,18,31,49,2,10,14,4,0,4,17,14,0,151,11.9,271,1151:04,16:56,5,9,35.7,25,59,24,36,Byng-9
Nick Bonino,25,ANA,C,77,22,27,49,14,22,15,7,0,2,14,13,0,159,13.8,261,1249:41,16:14,583,611,48.8,68,28,37,35,
Tyler Bozak,27,TOR,C,58,19,30,49,2,14,13,5,1,1,27,3,0,90,21.1,159,1214:56,20:57,681,718,48.7,42,62,49,24,
Mike Fisher,33,NSH,C,75,20,29,49,-4,60,16,4,0,4,22,7,0,177,11.3,280,1481:51,19:45,596,550,52.0,73,144,34,38,
Niklas Kronwall,33,DET,D,79,8,41,49,0,44,3,5,0,0,20,20,1,110,7.3,244,1920:43,24:19,0,0,,154,93,25,50,"ASnhl-14,Norris-13"
Joel Ward,33,WSH,RW,82,24,25,49,7,32,16,6,2,4,21,4,0,133,18.0,228,1317:50,16:04,90,109,45.2,67,54,48,27,
Brent Burns,28,SJS,RW,69,22,26,48,26,34,20,2,0,3,17,9,0,245,9.0,454,1160:08,16:49,61,70,46.6,24,145,45,37,
Gustav Nyquist,24,DET,RW,57,28,20,48,16,10,22,6,0,6,17,3,0,153,18.3,265,960:36,16:51,5,4,55.6,14,18,34,19,Hart-16
Bobby Ryan,26,OTT,RW,70,23,25,48,7,45,17,6,0,2,22,3,0,190,12.1,349,1180:50,16:52,8,5,61.5,30,104,50,39,
Carl Söderberg,28,BOS,C,73,16,32,48,4,36,11,5,0,3,21,11,0,129,12.4,243,1040:53,14:16,139,189,42.4,36,52,33,14,
Travis Zajac,28,NJD,C,80,18,30,48,3,28,15,3,0,3,18,12,0,165,10.9,279,1624:52,20:19,761,633,54.6,25,53,49,23,
Henrik Zetterberg,33,DET,C,45,16,32,48,19,20,13,3,0,1,18,14,0,151,10.6,267,924:53,20:33,259,230,53.0,15,23,28,26,
Shane Doan,37,PHX,RW,69,23,24,47,-7,34,13,10,0,4,15,9,0,167,13.8,318,1306:56,18:56,6,6,50.0,22,135,48,20,
Mark Giordano,30,CGY,D,64,14,33,47,12,63,7,7,0,2,17,13,3,180,7.8,403,1614:58,25:14,0,0,,103,73,39,43,"ASnhl-11,Norris-10"
Mike Ribeiro,33,PHX,C,80,16,31,47,-13,52,12,4,0,3,20,11,0,110,14.5,176,1439:31,17:60,391,512,43.3,18,72,24,46,
Brandon Saad,21,CHI,LW,78,19,28,47,20,20,16,3,0,2,20,6,2,159,11.9,271,1270:39,16:17,50,72,41.0,20,48,50,24,
Daniel Sedin,33,VAN,LW,73,16,31,47,0,38,11,5,0,4,18,13,0,224,7.1,370,1504:12,20:36,8,19,29.6,21,37,32,27,
Matt Niskanen,27,PIT,D,81,10,36,46,33,51,7,3,0,6,24,12,0,162,6.2,354,1724:48,21:18,0,0,,76,124,19,49,"ASnhl-10,Norris-11"
Derick Brassard,26,NYR,C,81,18,27,45,2,46,11,7,0,4,16,11,0,159,11.3,274,1279:32,15:48,469,508,48.0,19,124,28,28,
Mike Cammalleri,31,CGY,C,63,26,19,45,-13,26,20,6,0,8,11,8,0,191,13.6,343,1250:14,19:51,88,103,46.1,29,26,30,42,
Mason Raymond,28,TOR,LW,82,19,26,45,-6,22,12,6,1,4,20,5,1,178,10.7,299,1421:24,17:20,7,9,43.8,24,38,26,39,
Kevin Shattenkirk,25,STL,D,81,10,35,45,1,38,3,7,0,5,15,19,1,188,5.3,395,1666:04,20:34,0,0,,101,72,38,37,
Antoine Vermette,31,PHX,C,82,24,21,45,0,44,14,7,3,4,15,6,0,160,15.0,247,1575:21,19:13,1005,778,56.4,71,90,42,22,Selke-14
Oliver Ekman-Larsson,22,PHX,D,80,15,29,44,-4,50,7,8,0,6,15,14,0,199,7.5,444,2071:37,25:54,0,1,0.0,80,134,26,36,"ASnhl-17,Norris-14"
Cody Hodgson,23,BUF,C,72,20,24,44,-26,20,11,9,0,0,14,10,0,182,11.0,321,1306:17,18:09,453,516,46.7,22,47,24,36,
Marcus Johansson,23,WSH,C,80,8,36,44,-21,4,2,6,0,1,21,15,0,107,7.5,172,1403:04,17:32,95,179,34.7,27,49,32,49,Byng-6
Joffrey Lupul,30,TOR,LW,69,22,22,44,-15,44,16,6,0,1,16,6,0,191,11.5,312,1274:02,18:28,24,31,43.6,35,118,25,47,
Andrej Sekera,27,CAR,D,74,11,33,44,4,20,6,4,1,1,22,11,0,142,7.7,310,1752:12,23:41,0,0,,127,54,68,38,
Mark Streit,36,PHI,D,82,10,34,44,3,44,6,4,0,2,23,11,0,121,8.3,279,1692:44,20:39,0,0,,108,41,16,41,
Troy Brouwer,28,WSH,RW,82,25,18,43,-6,92,13,12,0,3,9,9,0,161,15.5,315,1545:39,18:51,223,213,51.1,39,210,34,22,
Tyler Ennis,24,BUF,C,80,21,22,43,-25,42,15,6,0,0,12,10,0,210,10.0,347,1508:10,18:51,242,383,38.7,53,89,38,26,
Adam Henrique,23,NJD,C,77,25,18,43,3,20,15,7,3,4,11,5,2,137,18.2,223,1390:11,18:03,407,511,44.3,50,73,50,30,
Olli Jokinen,35,WPG,C,82,18,25,43,-8,62,16,2,0,1,19,6,0,171,10.5,293,1395:55,17:01,612,718,46.0,45,120,20,30,
Ryan Kesler,29,VAN,C,77,25,18,43,-15,81,15,9,1,5,11,7,0,239,10.5,406,1679:47,21:49,740,666,52.6,68,133,47,28,
Andrei Markov,35,MTL,D,81,7,36,43,12,34,4,2,1,1,17,19,0,131,5.3,292,2044:20,25:14,0,0,,180,49,35,82,"ASnhl-16,Norris-16"
Ryan McDonagh,24,NYR,D,77,14,29,43,11,36,9,2,3,4,17,11,1,177,7.9,315,1910:53,24:49,0,0,,131,88,51,66,"ASnhl-8,Norris-8"
Mathieu Perreault,26,ANA,C,69,18,25,43,13,36,14,4,0,1,20,5,0,120,15.0,202,956:52,13:52,437,393,52.7,15,73,19,19,
Tomáš Plekanec,31,MTL,C,81,20,23,43,11,38,14,3,3,5,16,7,0,199,10.1,373,1601:47,19:47,822,891,48.0,45,44,38,37,Selke-7
Ryan Suter,29,MIN,D,82,8,35,43,15,34,5,3,0,0,20,14,1,150,5.3,342,2411:54,29:25,1,0,100.0,132,72,30,41,"ASnhl-5,Hart-23,Norris-4"
Vladimir Tarasenko,22,STL,RW,64,21,22,43,20,16,16,5,0,3,20,2,0,136,15.4,276,971:06,15:10,2,4,33.3,9,22,32,20,
Justin Williams,32,LAK,RW,82,19,24,43,14,48,15,4,0,1,21,3,0,239,7.9,404,1390:15,16:57,2,8,20.0,21,44,25,75,
Aleš Hemský,30,2TM,RW,75,13,30,43,-15,24,11,2,0,1,19,11,0,138,9.4,235,1196:53,15:58,1,3,25.0,33,37,44,42,
Aleš Hemský,30,EDM,RW,55,9,17,26,-13,20,7,2,0,1,10,7,0,94,9.6,162,884:18,16:05,1,3,25.0,23,26,33,37,
Aleš Hemský,30,OTT,RW,20,4,13,17,-2,4,4,0,0,0,9,4,0,44,9.1,73,312:35,15:38,0,0,,10,11,11,5,
Jason Chimera,34,WSH,LW,82,15,27,42,4,36,14,1,0,0,22,4,1,167,9.0,254,1264:25,15:25,38,49,43.7,30,140,25,30,
Andrew Cogliano,26,ANA,C,82,21,21,42,13,26,18,0,3,5,18,0,2,157,13.4,269,1262:14,15:24,11,16,40.7,36,94,22,31,
Michael Frolík,25,WPG,RW,81,15,27,42,8,12,14,1,0,2,25,1,1,189,7.9,344,1350:31,16:40,43,25,63.2,51,41,53,24,
Alex Goligoski,28,DAL,D,81,6,36,42,9,28,3,3,0,0,24,12,0,141,4.3,294,1969:23,24:19,0,1,0.0,153,92,18,86,
Teddy Purcell,28,TBL,RW,81,12,30,42,-3,14,9,3,0,4,16,14,0,157,7.6,276,1333:47,16:28,4,12,25.0,12,13,36,40,
Alexander Semin,29,CAR,RW,65,22,20,42,1,42,15,6,1,3,14,6,0,210,10.5,486,1294:08,19:55,1,9,10.0,30,22,49,56,
Marek Židlický,36,NJD,D,81,12,30,42,-3,60,4,8,0,2,18,10,2,128,9.4,259,1753:38,21:39,0,0,,81,124,19,58,
Johan Franzén,34,DET,RW,54,16,25,41,6,40,9,7,0,4,15,10,0,149,10.7,251,953:31,17:39,119,106,52.9,23,66,18,28,
Brendan Gallagher,21,MTL,RW,81,19,22,41,4,73,11,8,0,0,21,1,0,211,9.0,384,1293:07,15:58,47,81,36.7,36,38,41,22,
Mikael Granlund,21,MIN,C,63,8,33,41,-3,22,6,2,0,2,23,10,0,104,7.7,169,1091:28,17:19,415,374,52.6,46,38,27,24,
Evander Kane,22,WPG,LW,63,19,22,41,-7,66,16,1,2,4,18,4,0,250,7.6,477,1278:13,20:17,45,60,42.9,36,173,28,26,
Alex Killorn,24,TBL,C,82,17,24,41,8,63,14,3,0,2,19,5,0,173,9.8,302,1375:52,16:47,74,98,43.0,31,77,32,43,
Mike Richards,28,LAK,C,82,11,30,41,-6,28,6,4,1,3,21,8,1,157,7.0,294,1392:10,16:59,489,418,53.9,21,73,28,65,
Brayden Schenn,22,PHI,C,82,20,21,41,0,54,16,4,0,6,16,5,0,178,11.2,301,1291:21,15:45,296,389,43.2,37,200,37,19,
Brent Seabrook,28,CHI,D,82,7,34,41,23,22,3,3,1,0,28,6,0,149,4.7,317,1825:40,22:16,0,0,,142,171,35,68,"ASnhl-18,Norris-17"
Cam Atkinson,24,CBJ,RW,79,21,19,40,-4,18,16,4,1,5,14,5,0,216,9.7,353,1247:20,15:47,0,0,,38,55,29,20,
Zdeno Chára,36,BOS,D,77,17,23,40,25,66,7,10,0,3,17,5,1,168,10.1,341,1898:19,24:39,0,0,,104,163,20,62,"ASnhl-2,Norris-2"
Brian Gionta,35,MTL,RW,81,18,22,40,1,22,16,2,0,3,16,5,1,184,9.8,336,1445:31,17:51,23,37,38.3,52,46,38,21,
Martin Hanzal,26,PHX,C,65,15,25,40,-9,73,10,5,0,2,17,8,0,169,8.9,268,1214:19,18:41,599,500,54.5,37,200,32,19,
Roman Josi,23,NSH,D,72,13,27,40,-2,18,10,3,0,2,17,10,0,168,7.7,300,1902:06,26:25,0,0,,150,32,22,34,
