Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Wayne Gretzky,20,EDM,C,80,55,109,164,41,28,36,15,4,3,68,38,3,261,21.1,,,"ASG,ASnhl-1,Byng-2,Hart-1,Ross-1"
Marcel Dionne,29,LAK,C,80,58,77,135,54,70,31,23,4,9,55,22,0,342,17.0,,,"ASG,ASnhl-2,Byng-6,Hart-3"
Kent Nilsson,24,CGY,C,80,49,82,131,14,26,29,20,0,8,49,33,0,217,22.6,,,"ASG,ASnhl-4,Byng-4,Hart-8"
Mike Bossy,24,NYI,RW,79,68,51,119,38,32,38,28,2,10,35,16,0,315,21.6,,,"ASG,ASnhl-1,Byng-5,Hart-4"
Dave Taylor,25,LAK,RW,72,47,65,112,48,130,34,13,0,3,39,26,0,206,22.8,,,"ASG,ASnhl-2,Selke-7"
Peter Šťastný,24,QUE,C,77,39,70,109,10,37,26,11,2,4,48,22,0,232,16.8,,,"ASG,ASnhl-6,Byng-16,Hart-11,Calder-1"
Mike Rogers,26,HAR,C,80,40,65,105,-21,32,26,10,4,1,39,21,5,242,16.5,,,"ASG,Byng-15"
Charlie Simmer,26,LAK,LW,65,56,49,105,32,62,33,23,0,10,31,18,0,171,32.7,,,"ASG,ASnhl-1"
Bernie Federko,24,STL,C,78,31,73,104,9,47,20,9,2,4,37,36,0,170,18.2,,,"ASG,ASnhl-5,Byng-16"
Rick Middleton,27,BOS,RW,80,44,59,103,15,16,24,16,4,7,34,24,1,222,19.8,,,"ASG,ASnhl-4,Byng-3"
Jacques Richard,28,QUE,RW,78,52,51,103,-9,39,36,16,0,6,27,24,0,261,19.9,,,"ASnhl-5,ASnhl-8"
Bryan Trottier,24,NYI,C,73,31,72,103,50,74,20,9,2,5,45,22,5,156,19.9,,,"ASnhl-3,Hart-5,Selke-8"
Dennis Maruk,25,WSH,C,80,50,47,97,-6,87,32,16,2,5,33,14,0,242,20.7,,,ASnhl-7
Wilf Paiement,25,TOR,RW,77,40,57,97,-9,145,24,13,3,2,36,21,0,302,13.2,,,
Wayne Babych,22,STL,RW,78,54,42,96,14,93,40,14,0,7,30,12,0,306,17.6,,,"ASG,ASnhl-3,Selke-31"
Darryl Sittler,30,TOR,C,80,43,53,96,-8,77,27,14,2,2,34,18,1,267,16.1,,,
Mike Gartner,21,WSH,RW,80,48,46,94,-4,100,35,13,0,3,34,12,0,326,14.7,,,"ASG,ASnhl-8"
Bobby Smith,22,MNS,C,78,29,64,93,1,73,16,13,0,7,33,31,0,242,12.0,,,ASG
Rick Kehoe,29,PIT,RW,80,55,33,88,-8,6,35,20,0,5,14,19,0,299,18.4,,,"ASG,ASnhl-9,ASnhl-13,Byng-1"
Blake Dunlop,27,STL,C,80,20,67,87,15,40,14,6,0,2,43,24,0,134,14.9,,,Byng-10
Dale McCourt,24,DET,C,80,30,56,86,-17,50,17,11,2,2,34,22,0,286,10.5,,,
Bill Barber,28,PHI,LW,80,43,42,85,6,69,25,16,2,2,21,20,1,292,14.7,,,"ASG,ASnhl-2"
Danny Gare,26,BUF,RW,73,46,39,85,12,109,31,15,0,7,26,13,0,249,18.5,,,"ASG,ASnhl-6,Hart-10"
Anton Šťastný,21,QUE,LW,80,39,46,85,4,12,27,12,0,4,32,14,0,177,22.0,,,"ASnhl-5,Byng-16,Calder-10"
Randy Carlyle,24,PIT,D,76,16,67,83,-16,136,8,7,1,1,27,39,1,242,6.6,,,"ASG,ASnhl-2,Hart-11,Norris-1"
Guy Chouinard,24,CGY,C,52,31,52,83,18,24,21,10,0,1,28,24,0,141,22.0,,,
Peter McNab,28,BOS,C,80,37,46,83,12,24,21,16,0,4,27,19,0,201,18.4,,,Byng-10
Lanny McDonald,27,CLR,RW,80,35,46,81,-28,56,24,11,0,2,29,17,0,298,11.7,,,
Pat Boutette,28,HAR,LW,80,28,52,80,-11,160,18,8,2,3,37,15,0,182,15.4,,,ASnhl-13
Clark Gillies,26,NYI,LW,80,33,45,78,27,99,24,9,0,3,26,19,0,188,17.6,,,ASnhl-6
Bob Bourne,26,NYI,LW,78,35,41,76,34,62,19,9,7,5,31,8,2,195,17.9,,,"ASG,ASnhl-4,Selke-5"
Tom Lysiak,27,CBH,C,72,21,55,76,7,20,14,5,2,3,39,16,0,167,12.6,,,Byng-9
Larry Murphy,19,LAK,D,80,16,60,76,16,79,10,5,1,0,30,27,3,153,10.5,,,"ASnhl-6,Calder-2,Norris-7"
Denis Potvin,27,NYI,D,74,20,56,76,39,104,11,9,0,4,19,32,5,206,9.7,,,"ASG,ASnhl-1,Hart-9,Norris-2"
