Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Gordie Howe,28,DET,RW,70,44,45,89,74,29,15,0,6,28,16,1,,,"ASG,ASnhl-1,Hart-1,Ross-1"
Ted Lindsay,31,DET,LW,70,30,55,85,103,23,6,1,4,36,19,0,,,"ASG,ASnhl-1"
Jean Béliveau,25,MTL,C,69,33,51,84,105,21,12,0,4,33,18,0,,,"ASG,ASnhl-1,Hart-2"
Andy Bathgate,24,NYR,RW,70,27,50,77,60,19,6,2,3,29,21,0,,,"ASG,Hart-3"
Ed Litzenberger,24,CBH,RW,70,32,32,64,48,30,1,1,3,21,11,0,,,"ASG,ASnhl-2,Hart-6"
Maurice Richard,35,MTL,RW,63,33,29,62,74,21,12,0,2,19,10,0,,,"ASG,ASnhl-2"
Don McKenney,22,BOS,C,69,21,39,60,31,18,3,0,1,35,4,0,,,"ASG,Byng-4"
Dickie Moore,26,MTL,LW,70,29,29,58,56,16,13,0,10,21,8,0,,,ASG
Henri Richard,20,MTL,C,63,18,36,54,71,15,3,0,2,23,13,0,,,ASG
Norm Ullman,21,DET,C,64,16,36,52,47,10,6,0,0,25,11,0,,,
Doug Harvey,32,MTL,D,70,6,44,50,100,4,2,0,2,19,24,1,,,"ASG,ASnhl-1,Hart-5,Norris-1"
Real Chevrefils,24,BOS,LW,70,31,17,48,38,26,5,0,9,16,1,0,,,"ASG,ASnhl-2"
Bert Olmstead,30,MTL,LW,64,15,33,48,74,11,3,1,1,24,9,0,,,ASG
Johnny Wilson,27,CBH,LW,70,18,30,48,24,9,9,0,2,24,6,0,,,
Leo Labine,25,BOS,RW,67,18,29,47,130,17,1,0,1,25,4,0,,,
George Armstrong,26,TOR,RW,54,18,26,44,40,10,8,0,2,15,11,0,,,ASG
Andy Hebenton,27,NYR,RW,70,21,23,44,15,10,11,0,4,15,7,1,,,Byng-1
Dean Prentice,24,NYR,LW,68,19,23,42,38,16,3,0,6,20,2,1,,,ASG
Glen Skov,26,CBH,C,67,14,28,42,69,10,4,0,1,22,6,0,,,
Alex Delvecchio,24,DET,C,48,16,25,41,8,10,6,0,4,16,9,0,,,ASG
Bill Gadsby,29,NYR,D,70,4,37,41,72,3,0,1,0,19,18,0,,,"ASG,ASnhl-2,Norris-4"
Sid Smith,31,TOR,LW,70,17,24,41,2,15,2,0,6,21,3,0,,,Byng-3
Dick Duff,20,TOR,LW,70,26,14,40,48,17,9,0,3,7,7,0,,,ASG
Bernie Geoffrion,25,MTL,RW,41,19,21,40,16,15,4,0,3,12,9,0,,,
Doug Mohns,23,BOS,LW,68,6,34,40,89,4,2,0,1,18,16,0,,,Norris-5
Vic Stasiuk,27,BOS,LW,64,24,16,40,67,17,7,0,2,14,2,0,,,
Dave Creighton,26,NYR,C,70,18,21,39,40,12,6,0,2,15,6,0,,,
Fleming Mackell,27,BOS,C,65,22,17,39,76,17,4,1,6,14,3,0,,,
Johnny Peirson,31,BOS,RW,68,13,26,39,41,11,2,0,5,17,9,0,,,
Danny Lewicki,25,NYR,LW,70,18,20,38,47,13,4,1,3,9,11,0,,,
Jerry Toppazzini,25,BOS,RW,55,15,23,38,29,13,1,1,2,20,2,1,,,
Nick Mickoski,29,CBH,LW,70,16,20,36,24,14,2,0,3,17,2,1,,,
Dutch Reibel,26,DET,C,70,13,23,36,6,8,5,0,4,16,7,0,,,Byng-2
Red Kelly,29,DET,D,70,10,25,35,18,4,6,0,1,14,11,0,,,"ASG,ASnhl-1,Norris-2"
Rudy Migay,28,TOR,C,66,15,20,35,51,8,5,2,2,14,5,1,,,ASG
Tod Sloan,29,TOR,C,52,14,21,35,33,11,3,0,1,13,8,0,,,
Ron Stewart,24,TOR,RW,65,15,20,35,28,9,5,1,1,16,4,0,,,
Larry Regan,26,BOS,RW,69,14,19,33,29,12,1,1,1,17,2,0,,,Calder-1
Cal Gardner,32,BOS,C,70,12,20,32,64,7,5,0,2,14,6,0,,,
Jack McIntyre,26,CBH,LW,70,18,14,32,30,15,3,0,1,13,1,0,,,
Fern Flaman,30,BOS,D,68,6,25,31,108,6,0,0,1,24,1,0,,,"ASG,ASnhl-2,Norris-3"
Allan Stanley,30,BOS,D,60,6,25,31,45,3,3,0,1,14,10,1,,,ASG
Billy Dea,23,DET,RW,69,15,15,30,14,14,1,0,3,12,3,0,,,Calder-3
Larry Popein,26,NYR,C,67,11,19,30,20,9,0,2,3,14,5,0,,,
Claude Provost,23,MTL,RW,67,16,14,30,24,14,2,0,5,12,2,0,,,ASG
Harry Watson,33,CBH,LW,70,11,19,30,9,10,1,0,1,14,5,0,,,
Camille Henry,24,NYR,C,36,14,15,29,2,6,8,0,0,9,6,0,,,
Hec Lalande,22,CBH,C,50,11,17,28,34,9,2,0,0,9,8,0,,,
Tim Horton,27,TOR,D,66,6,19,25,72,5,1,0,0,16,3,0,,,
Lorne Ferguson,26,DET,LW,70,13,10,23,26,10,1,2,5,7,3,0,,,
Gus Mortson,32,CBH,D,70,5,18,23,147,3,2,0,2,14,4,0,,,
Eric Nesterenko,23,CBH,RW,24,8,15,23,32,6,2,0,0,11,4,0,,,
Red Sullivan,27,NYR,C,42,6,17,23,36,3,2,1,0,12,4,1,,,
Ted Kennedy,31,TOR,C,30,6,16,22,35,6,0,0,0,8,8,0,,,
Metro Prystai,29,DET,C,70,7,15,22,16,6,1,0,4,12,1,2,,,
Bob Pulford,20,TOR,LW,65,11,11,22,32,7,4,0,0,10,1,0,,,
Johnny Bucyk,21,DET,LW,66,10,11,21,39,9,1,0,3,11,0,0,,,
Forbes Kennedy,21,CBH,C,69,8,13,21,104,5,3,0,1,12,1,0,,,Calder-4
André Pronovost,20,MTL,LW,64,10,11,21,56,10,0,0,1,11,0,0,,,ASG
Brian Cullen,23,TOR,C,45,8,12,20,23,7,1,0,0,9,3,0,,,
Don Marshall,24,MTL,C,70,12,8,20,6,8,1,3,2,7,1,0,,,ASG
Jim Morrison,25,TOR,D,63,3,17,20,49,2,1,0,1,16,1,0,,,ASG
Marc Reaume,22,TOR,D,63,6,14,20,81,5,1,0,0,7,7,0,,,
Ron Murphy,23,NYR,LW,33,7,12,19,14,4,3,0,0,9,3,0,,,
Hank Ciesla,22,CBH,C,70,10,8,18,28,7,3,0,0,7,1,0,,,
Pierre Pilote,25,CBH,D,70,3,14,17,119,3,0,0,2,13,1,0,,,Calder-5
Bob Armstrong,25,BOS,D,57,1,15,16,79,1,0,0,0,10,4,1,,,
Barry Cullen,21,TOR,RW,51,6,10,16,30,5,1,0,0,8,2,0,,,
Floyd Curry,31,MTL,RW,70,7,9,16,20,5,1,1,2,7,1,1,,,"ASG,Byng-5"
Gerry Foley,24,NYR,RW,69,7,9,16,48,6,1,0,1,8,1,0,,,
Gerry James,22,TOR,RW,53,4,12,16,90,4,0,0,0,9,2,1,,,
Marty Pavelich,29,DET,LW,63,3,13,16,48,2,0,1,1,13,0,0,,,
Marcel Pronovost,26,DET,D,70,7,9,16,36,7,0,0,1,7,2,0,,,ASG
Lou Fontinato,25,NYR,D,70,3,12,15,139,3,0,0,0,10,0,2,,,
Jean-Guy Gendron,22,NYR,LW,70,9,6,15,38,8,0,1,2,3,3,0,,,
Tom Johnson,28,MTL,D,70,4,11,15,59,4,0,0,0,9,1,1,,,ASG
Parker MacDonald,23,NYR,C,45,7,8,15,24,4,3,0,0,7,1,0,,,
Billy McNeill,21,DET,RW,64,5,10,15,24,5,0,0,1,10,0,0,,,
Moose Vasko,21,CBH,D,64,3,12,15,31,2,1,0,0,9,3,0,,,
Bill Dineen,24,DET,RW,51,6,7,13,12,6,0,0,1,6,1,0,,,
Jackie Leclair,27,MTL,C,47,3,10,13,14,2,1,0,0,10,0,0,,,
Jean-Guy Talbot,24,MTL,D,69,0,13,13,74,0,0,0,0,13,0,0,,,ASG
Harry Howell,24,NYR,D,65,2,10,12,70,2,0,0,0,9,1,0,,,
Ed Kachur,22,CBH,RW,34,5,7,12,21,4,1,0,0,7,0,0,,,
Al MacNeil,21,TOR,D,53,4,8,12,84,2,2,0,1,4,4,0,,,
Dollard St. Laurent,27,MTL,D,64,1,11,12,49,1,0,0,1,11,0,0,,,ASG
Jimmy Thomson,29,TOR,D,62,0,12,12,50,0,0,0,0,11,0,1,,,
Leo Boivin,24,BOS,D,55,2,8,10,55,2,0,0,1,7,1,0,,,
Billy Harris,21,TOR,C,23,4,6,10,6,4,0,0,0,6,0,0,,,
Wally Hergesheimer,30,CBH,RW,41,2,8,10,12,2,0,0,0,6,2,0,,,
Larry Cahan,23,NYR,D,61,5,4,9,65,4,1,0,1,3,1,0,,,
Jack Evans,28,NYR,D,70,3,6,9,116,3,0,0,0,6,0,0,,,
Warren Godfrey,25,DET,D,69,1,8,9,103,1,0,0,0,7,1,0,,,
Frank Martin,23,CBH,D,70,1,8,9,12,1,0,0,0,7,1,0,,,
Al Arbour,24,DET,D,44,1,6,7,36,1,0,0,0,6,0,0,,,
Phil Goyette,23,MTL,C,14,3,4,7,0,3,0,0,0,3,1,0,,,ASG
Ron Ingram,23,CBH,D,45,1,6,7,21,1,0,0,0,4,2,0,,,
Gary Aldcorn,21,TOR,LW,22,5,1,6,4,5,0,0,1,1,0,0,,,
Ken Mosdell,34,CBH,RW,25,2,4,6,8,2,0,0,0,4,0,0,,,
Bob Baun,20,TOR,D,20,0,5,5,37,0,0,0,0,4,1,0,,,
Jack Bionda,23,BOS,D,35,2,3,5,41,2,0,0,0,3,0,0,,,
Bruce Cline,25,NYR,RW,30,2,3,5,10,2,0,0,1,3,0,0,,,
Bob Turner,23,MTL,D,58,1,4,5,48,1,0,0,0,4,0,0,,,ASG
Jack Caffery,22,BOS,C,47,2,2,4,20,2,0,0,1,2,0,0,,,
Ron Hurst,25,TOR,RW,14,2,2,4,8,1,1,0,0,1,1,0,,,
