Player,Age,Team,Pos,GP,G,A,PTS,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,TOI,ATOI,Awards
Mike Nykoluk,22,TOR,RW,32,3,1,4,20,3,0,0,3,1,0,0,,,
Bob Beckett,20,BOS,C,18,0,3,3,2,0,0,0,0,3,0,0,,,
Larry Hillman,19,DET,D,16,1,2,3,2,1,0,0,0,1,1,0,,,
Bronco Horvath,26,2TM,C,8,1,2,3,4,0,1,0,0,1,1,0,,,
Bronco Horvath,26,NYR,C,7,1,2,3,4,0,1,0,0,1,1,0,,,
Bronco Horvath,26,MTL,C,1,0,0,0,0,0,0,0,0,0,0,0,,,
Kenny Girard,20,TOR,RW,3,0,1,1,2,0,0,0,0,1,0,0,,,
Gord Hollingworth,23,DET,D,25,0,1,1,16,0,0,0,0,1,0,0,,,
Allan Johnson,21,MTL,RW,2,0,1,1,2,0,0,0,0,1,0,0,,,
Frank Mahovlich,19,TOR,LW,3,1,0,1,2,0,1,0,0,0,0,0,,,
Eddie Mazur,27,CBH,LW,15,0,1,1,2,0,0,0,0,1,0,0,,,
Al Nicholson,20,BOS,LW,5,0,1,1,0,0,0,0,0,1,0,0,,,
Al Rollins,30,CBH,G,70,0,1,1,9,,,,,1,,,4198:00,,
John Sleaver,22,CBH,RW,12,1,0,1,2,1,0,0,0,0,0,0,,,
Gene Achtymichuk,24,MTL,C,3,0,0,0,0,0,0,0,0,0,0,0,,,
Dale Anderson,24,DET,D,13,0,0,0,6,0,0,0,0,0,0,0,,,
Ralph Backstrom,19,MTL,C,3,0,0,0,0,0,0,0,0,0,0,0,,,
Murray Balfour,20,MTL,RW,2,0,0,0,2,0,0,0,0,0,0,0,,,
Hugh Bolton,27,TOR,D,6,0,0,0,2,0,0,0,0,0,0,0,,,
Johnny Bower,32,NYR,G,2,0,0,0,0,,,,,0,,,119:36,,
Ed Chadwick,23,TOR,G,70,0,0,0,0,,,,,0,,,4195:48,,Calder-2
Dick Cherry,19,BOS,D,6,0,0,0,4,0,0,0,0,0,0,0,,,
Murray Costello,22,DET,C,3,0,0,0,0,0,0,0,0,0,0,0,,,
Glen Cressman,22,MTL,C,4,0,0,0,2,0,0,0,0,0,0,0,,,
Ian Cushenan,23,CBH,D,11,0,0,0,13,0,0,0,0,0,0,0,,,
Norm Defelice,24,BOS,G,10,0,0,0,2,,,,,0,,,600:00,,
Glenn Hall,25,DET,G,70,0,0,0,2,,,,,0,,,4198:00,,"ASG,ASnhl-1"
Floyd Hillman,23,BOS,D,6,0,0,0,10,0,0,0,0,0,0,0,,,
Bud MacPherson,29,MTL,D,10,0,0,0,4,0,0,0,0,0,0,0,,,
Tom McCarthy,22,DET,LW,3,0,0,0,0,0,0,0,0,0,0,0,,,
Gerry McNeil,30,MTL,G,9,0,0,0,2,,,,,0,,,538:00,,
Ed Panagabko,22,BOS,LW,1,0,0,0,0,0,0,0,0,0,0,0,,,
Jacques Plante,28,MTL,G,61,0,0,0,16,,,,,0,,,3658:00,,"ASG,ASnhl-2,Vezina-1"
George Ranieri,21,BOS,LW,2,0,0,0,0,0,0,0,0,0,0,0,,,
Guy Rousseau,22,MTL,LW,2,0,0,0,2,0,0,0,0,0,0,0,,,
Terry Sawchuk,27,BOS,G,34,0,0,0,16,,,,,0,,,2040:00,,Hart-4
Don Simmons,25,BOS,G,26,0,0,0,0,,,,,0,,,1560:00,,
Floyd Smith,21,BOS,RW,24,0,0,0,4,0,0,0,0,0,0,0,,,
Stan Smrke,28,MTL,LW,4,0,0,0,0,0,0,0,0,0,0,0,,,ASG
Gord Strate,21,DET,D,5,0,0,0,4,0,0,0,0,0,0,0,,,
Zellio Toppazzini,27,CBH,RW,7,0,0,0,0,0,0,0,0,0,0,0,,,
Jerry Wilson,19,MTL,C,3,0,0,0,2,0,0,0,0,0,0,0,,,
Benny Woit,29,CBH,D,9,0,0,0,2,0,0,0,0,0,0,0,,,
Gump Worsley,27,NYR,G,68,0,0,0,19,,,,,0,,,4077:34,,
League Average,,,,,,,,,,,,,,,,,,
