Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Phil Esposito,28,BOS,C,78,76,76,152,69,71,51,24,1,16,48,27,1,550,13.8,,,"ASG,ASnhl-1,Hart-2,Ross-1,Pearson-1"
Bobby Orr,22,BOS,D,78,37,102,139,124,91,29,5,3,5,48,44,10,392,9.4,,,"ASG,ASnhl-1,Hart-1,Norris-1"
Johnny Bucyk,35,BOS,LW,78,51,65,116,37,8,29,22,0,5,39,26,0,225,22.7,,,"ASG,ASnhl-1,Byng-1"
Ken Hodge,26,BOS,RW,78,43,62,105,69,113,38,5,0,7,55,7,0,232,18.5,,,"ASG,ASnhl-1"
Bobby Hull,32,CBH,LW,78,44,52,96,35,32,33,11,0,11,29,21,2,378,11.6,,,"ASG,ASnhl-2,Byng-4,Hart-3"
Norm Ullman,35,TOR,C,73,34,51,85,14,24,22,11,1,4,38,12,1,226,15.0,,,Hart-14
Wayne Cashman,25,BOS,LW,77,21,58,79,59,100,17,4,0,3,52,6,0,175,12.0,,,
John McKenzie,33,BOS,RW,65,31,46,77,27,120,20,11,0,3,26,20,0,151,20.5,,,
Jean Béliveau,39,MTL,C,70,25,51,76,24,42,18,7,0,4,34,17,0,172,14.5,,,Hart-14
Dave Keon,30,TOR,C,76,38,38,76,25,4,25,5,8,9,22,13,3,277,13.7,,,"ASG,ASnhl-2,Byng-2,Hart-4"
Fred Stanfield,26,BOS,C,75,24,52,76,31,12,15,9,0,3,29,23,0,267,9.0,,,
Walt Tkaczuk,23,NYR,C,77,26,49,75,18,48,20,5,1,4,37,12,0,213,12.2,,,
Yvan Cournoyer,27,MTL,RW,65,37,36,73,18,21,19,18,0,5,20,16,0,197,18.8,,,"ASG,ASnhl-2"
Frank Mahovlich,33,2TM,LW,73,31,42,73,9,41,19,10,2,4,28,13,1,204,15.2,,,ASG
Frank Mahovlich,33,DET,LW,35,14,18,32,4,30,7,6,1,2,12,5,1,104,13.5,,,
Frank Mahovlich,33,MTL,LW,38,17,24,41,5,11,12,4,1,2,16,8,0,100,17.0,,,
Stan Mikita,30,CBH,C,74,24,48,72,20,85,17,7,0,4,33,15,0,220,10.9,,,ASG
Gilbert Perreault,20,BUF,C,78,38,34,72,-38,19,24,14,0,5,19,15,0,210,18.1,,,"ASG,Byng-5,Hart-13,Calder-1"
Jean Ratelle,30,NYR,C,78,26,46,72,27,14,19,6,1,3,33,13,0,203,12.8,,,"ASG,Byng-3,Hart-14"
Jude Drouin,22,MNS,C,75,16,52,68,4,49,12,4,0,2,33,19,0,208,7.7,,,Calder-2
Tom Webster,22,DET,RW,78,30,37,67,-48,40,23,7,0,5,21,16,0,183,16.4,,,Calder-4
André Boudrias,27,VAN,C,77,25,41,66,14,16,17,7,1,2,30,10,1,254,9.8,,,
Dennis Hull,26,CBH,LW,78,40,26,66,27,16,30,10,0,7,16,10,0,229,17.5,,,ASG
Bill Goldsworthy,26,MNS,RW,77,34,31,65,-13,85,28,5,1,7,20,11,0,295,11.5,,,Hart-14
