Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TOI,ATOI,Awards
Bobby Orr,26,BOS,D,80,46,89,135,80,101,28,16,2,4,51,36,2,384,12.0,,,"ASG,ASnhl-1,Hart-3,Ross-1,Pearson-1,Norris-1"
Phil Esposito,32,BOS,C,79,61,66,127,17,62,30,27,4,8,38,27,1,346,17.6,,,"ASG,ASnhl-2"
Marcel Dionne,23,DET,C,80,47,74,121,-15,14,22,15,10,1,43,29,2,378,12.4,,,"ASG,ASnhl-4,Byng-1,Hart-8"
Guy Lafleur,23,MTL,RW,70,53,66,119,53,37,36,15,2,11,39,26,1,260,20.4,,,"ASG,ASnhl-1,Byng-5,Hart-5"
Pete Mahovlich,28,MTL,C,80,35,82,117,41,64,20,14,1,3,53,28,1,241,14.5,,,ASnhl-5
Bobby Clarke,25,PHI,C,80,27,89,116,79,125,14,10,3,4,63,24,2,195,13.8,,,"ASG,ASnhl-1,Hart-1"
René Robert,26,BUF,RW,74,40,60,100,7,75,26,14,0,3,33,27,0,264,15.2,,,"ASG,ASnhl-2"
Rod Gilbert,33,NYR,RW,76,36,61,97,1,22,25,11,0,1,29,32,0,243,14.8,,,"ASG,ASnhl-3"
Gilbert Perreault,24,BUF,C,68,39,57,96,1,36,27,12,0,8,31,26,0,243,16.0,,,ASnhl-3
Rick Martin,23,BUF,LW,68,52,43,95,5,72,31,21,0,6,27,16,0,297,17.5,,,"ASG,ASnhl-1,ASnhl-8"
Jacques Lemaire,29,MTL,C,80,36,56,92,25,20,24,12,0,8,30,26,0,260,13.8,,,
Jean Ratelle,34,NYR,C,79,36,55,91,1,26,20,16,0,6,32,23,0,205,17.6,,,ASnhl-6
Steve Vickers,23,NYR,LW,80,41,48,89,10,64,25,16,0,6,33,15,0,188,21.8,,,"ASG,ASnhl-2,ASnhl-10"
Danny Grant,28,DET,LW,80,50,37,87,-12,28,30,19,1,6,21,11,5,238,21.0,,,ASnhl-3
Stan Mikita,34,CBH,C,79,36,50,86,14,48,23,13,0,6,28,22,0,253,14.2,,,"ASG,ASnhl-6"
Ron Schock,31,PIT,C,80,23,63,86,22,36,18,3,2,3,49,10,4,172,13.4,,,
Johnny Bucyk,39,BOS,LW,78,29,52,81,11,10,20,9,0,4,29,23,0,167,17.4,,,"ASnhl-5,Byng-2"
Darryl Sittler,24,TOR,C,72,36,44,80,-10,47,23,12,1,2,31,12,1,273,13.2,,,ASG
Garry Unger,27,STL,C,80,36,44,80,-2,123,26,10,0,8,30,14,0,347,10.4,,,ASG
Syl Apps,27,PIT,C,79,24,55,79,8,43,19,4,1,6,41,13,1,181,13.3,,,ASG
Rick MacLeish,25,PHI,C,80,38,41,79,29,50,24,11,3,8,27,13,1,307,12.4,,,
André Boudrias,31,VAN,LW,77,16,62,78,7,46,7,9,0,2,40,22,0,166,9.6,,,
Reggie Leach,24,PHI,RW,80,45,33,78,53,63,33,12,0,10,23,10,0,289,15.6,,,ASnhl-4
Gregg Sheppard,25,BOS,C,76,30,48,78,43,19,18,5,7,4,37,10,1,251,12.0,,,
Tom Lysiak,21,ATF,C,77,25,52,77,23,73,16,9,0,2,30,20,2,206,12.1,,,ASG
Don Luce,26,BUF,C,80,33,43,76,61,45,24,1,8,6,35,3,5,245,13.5,,,ASG
Denis Potvin,21,NYI,D,79,21,55,76,27,105,14,5,2,4,27,26,2,211,10.0,,,"ASG,ASnhl-1,ASnhl-2,Hart-7,Norris-2"
Guy Lapointe,26,MTL,D,80,28,47,75,46,88,16,11,1,0,23,22,2,220,12.7,,,"ASG,ASnhl-2,ASnhl-3,Norris-3"
Jean Pronovost,29,PIT,RW,78,43,32,75,15,37,31,11,1,9,25,6,1,277,15.5,,,"ASG,ASnhl-5"
Yvan Cournoyer,31,MTL,RW,76,29,45,74,17,32,18,11,0,2,27,18,0,175,16.6,,,ASnhl-7
Dennis Hextall,31,MNS,C,80,17,57,74,-44,147,13,4,0,2,44,13,0,164,10.4,,,ASG
Carol Vadnais,29,BOS,D,79,18,56,74,10,129,12,6,0,2,24,30,2,258,7.0,,,"ASG,ASnhl-7"
Vic Hadfield,34,PIT,LW,78,31,42,73,5,72,20,7,4,3,22,18,2,248,12.5,,,
Bill Goldsworthy,30,MNS,RW,71,37,35,72,-37,77,25,11,1,3,22,13,0,273,13.6,,,ASnhl-9
Bob Nevin,36,LAK,RW,80,31,41,72,36,19,22,7,2,3,33,5,3,159,19.5,,,"ASnhl-6,Byng-3,Hart-9"
Bill Barber,22,PHI,LW,79,34,37,71,45,66,21,8,5,4,22,13,2,273,12.5,,,"ASG,ASnhl-4"
Rick Dudley,26,BUF,LW,78,31,39,70,29,116,27,4,0,6,35,4,0,229,13.5,,,Hart-9
Jim Lorentz,27,BUF,RW,72,25,45,70,17,18,19,6,0,6,31,14,0,145,17.2,,,
Pierre Larouche,19,PIT,C,79,31,37,68,2,52,26,5,0,4,30,7,0,177,17.5,,,Calder-2
Don Lever,22,VAN,C,80,38,30,68,-13,49,27,11,0,4,21,9,0,213,17.8,,,ASnhl-6
Mike Murphy,24,LAK,RW,78,30,38,68,32,44,24,3,3,6,28,9,1,175,17.1,,,ASnhl-10
Ivan Boldirev,25,CBH,C,80,24,43,67,-3,54,18,6,0,1,35,8,0,196,12.2,,,
